Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1228 Odda;1228;Odda;41,3;40,3;42;71;31;40;41,3;36,3;.;41,5;71;3;.;68
1231 Ullensvang;1231;Ullensvang;39,1;37,6;41,4;43;26;17;39,1;31,9;.;40,5;43;7;.;36
1232 Eidfjord;1232;Eidfjord;41,4;38,6;42,8;12;4;8;41,4;:;:;:;12;:;:;:
1233 Ulvik;1233;Ulvik;46,9;45,3;47,9;10;4;6;46,9;:;:;:;10;:;:;:
1234 Granvin;1234;Granvin;42,7;38,7;48,1;12;7;5;42,7;:;:;:;12;:;:;:
1235 Voss;1235;Voss;39,7;36,4;42,2;173;73;100;39,7;:;:;:;173;:;:;:
1238 Kvam;1238;Kvam;40,3;37,2;43,1;102;48;54;40,3;:;:;40,8;102;:;:;90
1241 Fusa;1241;Fusa;38,6;34,5;42,9;45;23;22;38,6;.;.;38,6;45;.;.;45
1242 Samnanger;1242;Samnanger;43,1;39,2;48,9;38;23;15;43,1;39,2;.;43,5;38;4;.;34
1243 Os (Hord.);1243;Os (Hord.);40,4;39;41,8;236;120;116;40,4;39,2;48,1;40,3;236;6;4;226
1244 Austevoll;1244;Austevoll;38,7;37,6;40;57;29;28;38,7;37,4;.;38,8;57;3;.;54
1245 Sund;1245;Sund;42;41,3;42,8;88;47;41;42;39,7;.;42,3;88;11;.;77
1246 Fjell;1246;Fjell;40,2;39,1;41,3;362;192;170;40,2;35,8;34,8;40,4;362;17;3;342
1247 Askøy;1247;Askøy;40;38,2;41,9;362;184;178;40;35,5;37,1;40,4;362;23;3;336
1251 Vaksdal;1251;Vaksdal;38,7;37,2;40,3;54;29;25;38,7;:;:;:;54;:;:;:
1252 Modalen;1252;Modalen;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1253 Osterøy;1253;Osterøy;38,9;38,1;40;113;65;48;38,9;:;:;39;113;:;:;106
1256 Meland;1256;Meland;44;43,7;44,3;92;43;49;44;:;:;44,1;92;:;:;85
1259 Øygarden;1259;Øygarden;41,2;38,8;45,1;60;37;23;41,2;31,5;.;41,7;60;3;.;57
1260 Radøy;1260;Radøy;40,2;38;42,3;59;28;31;40,2;:;:;40,7;59;:;:;53
1263 Lindås;1263;Lindås;41,2;40,6;41,9;213;109;104;41,2;29,2;.;41,6;213;6;.;207
1264 Austrheim;1264;Austrheim;39,5;35,7;43,1;33;16;17;39,5;29,2;.;40,5;33;3;.;30
1265 Fedje;1265;Fedje;45,4;44,5;48,7;13;10;3;45,4;:;:;:;13;:;:;:
1266 Masfjorden;1266;Masfjorden;44,5;42,6;47,4;20;12;8;44,5;.;.;44,5;20;.;.;20
1401 Flora;1401;Flora;41;40,2;41,9;181;97;84;41;33,3;48,1;41,3;181;10;3;168
1411 Gulen;1411;Gulen;44;43,9;44,1;38;16;22;44;.;.;44;38;.;.;38
1412 Solund;1412;Solund;39,6;41,9;37,4;10;5;5;39,6;:;:;:;10;:;:;:
1413 Hyllestad;1413;Hyllestad;43,2;39,5;47,8;20;11;9;43,2;.;.;43,2;20;.;.;20
1416 Høyanger;1416;Høyanger;41;38,2;44,3;57;31;26;41;44,8;.;40,7;57;3;.;54
1417 Vik;1417;Vik;39,3;35,6;43,5;34;18;16;39,3;33,8;.;40,3;34;5;.;29
1418 Balestrand;1418;Balestrand;44,3;40,3;47,3;19;8;11;44,3;:;:;:;19;:;:;:
1419 Leikanger;1419;Leikanger;43,2;43,5;42,8;23;12;11;43,2;:;:;:;23;:;:;:
1420 Sogndal;1420;Sogndal;41,9;39,6;44,1;93;47;46;41,9;35,2;.;42,2;93;4;.;89
1421 Aurland;1421;Aurland;47,3;47;47,6;16;8;8;47,3;:;:;:;16;:;:;:
1422 Lærdal;1422;Lærdal;40,9;36,9;44,3;39;18;21;40,9;:;:;:;39;:;:;:
1424 Årdal;1424;Årdal;39,8;38;43,5;60;40;20;39,8;:;:;:;60;:;:;:
1426 Luster;1426;Luster;42;37,4;46,6;64;32;32;42;:;:;:;64;:;:;:
1428 Askvoll;1428;Askvoll;43,2;42,1;44,7;33;19;14;43,2;:;:;:;33;:;:;:
1429 Fjaler;1429;Fjaler;42,4;39,5;44,7;22;10;12;42,3;.;.;42,3;22;.;.;22
1430 Gaular;1430;Gaular;43,7;40,2;48,2;41;23;18;43,7;36,7;.;44,2;41;3;.;38
1431 Jølster;1431;Jølster;42,3;43;41,4;41;22;19;42,3;:;:;:;41;:;:;:
1432 Førde;1432;Førde;41,4;40;42,4;162;72;90;41,4;38,8;.;41,6;162;11;.;151
1433 Naustdal;1433;Naustdal;38,9;35,7;42,3;37;19;18;38,9;30,8;.;39,7;37;3;.;34
1438 Bremanger;1438;Bremanger;41,4;40,3;42,5;57;30;27;41,4;:;:;41,4;57;:;:;51
1439 Vågsøy;1439;Vågsøy;41,5;37,7;44;75;30;45;41,5;40,2;.;41,5;75;3;.;72
1441 Selje;1441;Selje;41,5;40,9;42;41;18;23;41,5;:;:;:;41;:;:;:
1443 Eid;1443;Eid;41,3;39,8;42,8;90;45;45;41,3;37,6;.;41,6;90;8;.;82
1444 Hornindal;1444;Hornindal;41;40;42;25;12;13;41;:;:;:;25;:;:;:
1445 Gloppen;1445;Gloppen;41,3;38,7;43;60;23;37;41,3;37,8;.;41,6;60;4;.;56
1449 Stryn;1449;Stryn;41;38,8;43,7;99;55;44;41;38,5;.;41,2;99;7;.;92
1502 Molde;1502;Molde;39,9;37,3;42,9;312;164;148;39,9;:;:;40,4;312;:;:;293
1504 Ålesund;1504;Ålesund;40,6;39,1;42,1;528;257;271;40,6;33,5;37,3;41,1;528;28;14;486
1505 Kristiansund;1505;Kristiansund;40,6;39,9;41,3;272;136;136;40,6;:;:;40,9;272;:;:;252
1511 Vanylven;1511;Vanylven;41,7;40,6;42,9;52;28;24;41,7;:;:;:;52;:;:;:
1514 Sande (M. og R.);1514;Sande (M. og R.);43,3;40,3;47,7;34;20;14;43,3;:;:;:;34;:;:;:
1515 Herøy (M. og R.);1515;Herøy (M. og R.);39,8;36,2;43,2;116;57;59;39,8;:;:;:;116;:;:;:
1516 Ulstein;1516;Ulstein;40,4;38,7;42,6;121;68;53;40,4;29,7;39,5;40,9;121;4;5;112
1517 Hareid;1517;Hareid;40;35,9;44,1;66;33;33;40;35,7;47,6;40,1;66;6;3;57
1519 Volda;1519;Volda;41,7;40;44,3;113;67;46;41,7;34,4;.;42,1;113;6;.;107
1520 Ørsta;1520;Ørsta;39,5;37,7;41,7;104;58;46;39,5;33,5;.;39,9;104;7;.;97
1523 Ørskog;1523;Ørskog;42,2;40,4;44,8;25;15;10;42,2;:;:;:;25;:;:;:
1524 Norddal;1524;Norddal;43,4;40,5;46,2;31;15;16;43,4;44,3;.;43,3;31;4;.;27
1525 Stranda;1525;Stranda;43,2;41,2;45,3;54;28;26;43,2;38,5;.;43,5;54;4;.;50
1526 Stordal;1526;Stordal;43;42,3;43,5;13;5;8;43;:;:;:;13;:;:;:
1528 Sykkylven;1528;Sykkylven;39,1;37;41,5;95;50;45;39,1;34;.;39,4;95;4;.;91
1529 Skodje;1529;Skodje;38,7;35,9;43,7;66;42;24;38,7;:;:;:;66;:;:;:
1531 Sula;1531;Sula;41,7;40,4;44;107;67;40;41,7;:;:;41,9;107;:;:;100
1532 Giske;1532;Giske;40,3;39;42,8;94;61;33;40,3;36;.;40,8;94;9;.;85
1534 Haram;1534;Haram;40,1;38,6;41,7;124;63;61;40,1;:;:;40,4;124;:;:;113
1535 Vestnes;1535;Vestnes;39,1;36,6;40,9;80;34;46;39,1;:;:;:;80;:;:;:
1539 Rauma;1539;Rauma;42;36,9;46,8;86;42;44;42;39,2;.;42,1;86;5;.;81
1543 Nesset;1543;Nesset;41,8;36,1;46,2;39;17;22;41,8;37,8;.;42,3;39;4;.;35
1545 Midsund;1545;Midsund;42,1;36,8;46;28;12;16;42,1;34,8;.;43,3;28;4;.;24
1546 Sandøy;1546;Sandøy;40,1;36,7;43,2;23;11;12;40,1;40,2;.;40,1;23;4;.;19
1547 Aukra;1547;Aukra;44;40,8;47,5;50;26;24;44;:;:;:;50;:;:;:
1548 Fræna;1548;Fræna;39,3;38,1;40,2;133;57;76;39,3;:;:;39,3;133;:;:;124
1551 Eide;1551;Eide;37,9;33,8;40,9;38;16;22;37,9;:;:;:;38;:;:;:
1554 Averøy;1554;Averøy;39,2;37,4;42,4;51;32;19;39,2;36,3;.;39,5;51;4;.;47
1557 Gjemnes;1557;Gjemnes;39;38,5;39,5;34;15;19;39;.;.;39;34;.;.;34
1560 Tingvoll;1560;Tingvoll;38,9;36,8;41,4;50;27;23;38,9;38,8;.;38,9;50;4;.;46
1563 Sunndal;1563;Sunndal;39,3;35,5;42;72;30;42;39,3;34,4;.;39,7;72;5;.;67
1566 Surnadal;1566;Surnadal;40,5;38;43,5;78;43;35;40,5;:;:;:;78;:;:;:
1567 Rindal;1567;Rindal;40,6;37;46,6;16;10;6;40,6;.;.;40,6;16;.;.;16
1571 Halsa;1571;Halsa;42,2;42,8;41,1;14;9;5;42,2;.;.;42,2;14;.;.;14
1573 Smøla;1573;Smøla;39,6;36,8;43,5;26;15;11;39,6;36;.;40,1;26;3;.;23
1576 Aure;1576;Aure;38,5;36,9;40,2;61;31;30;38,5;:;:;:;61;:;:;:
1601 Trondheim;1601;Trondheim;40,9;39,2;42,6;1954;994;960;40,9;35,7;39,7;41,2;1954;113;58;1783
1612 Hemne;1612;Hemne;38,2;35,9;41,1;64;36;28;38,2;:;:;:;64;:;:;:
1613 Snillfjord;1613;Snillfjord;41;39,5;43,2;10;6;4;41;:;:;:;10;:;:;:
1617 Hitra;1617;Hitra;38,8;34;44;52;27;25;38,8;38,4;.;38,9;52;6;.;46
1620 Frøya;1620;Frøya;36,8;35,9;37,5;66;29;37;36,8;38,6;.;36,7;66;3;.;63
1621 Ørland;1621;Ørland;38,9;34,8;43,8;61;33;28;38,9;:;:;:;61;:;:;:
1622 Agdenes;1622;Agdenes;43,4;39,3;45,8;22;8;14;43,4;.;.;43,4;22;.;.;22
1624 Rissa;1624;Rissa;41,5;39,1;43,7;100;47;53;41,5;34,3;.;41,8;100;4;.;96
1627 Bjugn;1627;Bjugn;39,6;39,9;39,3;52;26;26;39,6;38,8;.;39,7;52;5;.;47
1630 Åfjord;1630;Åfjord;37;33,5;41,1;50;27;23;37;.;.;37;50;.;.;50
1632 Roan;1632;Roan;35,8;29,1;42,5;12;6;6;35,8;32;.;38,5;12;5;.;7
1633 Osen;1633;Osen;42;36,4;46,1;12;5;7;42;.;.;42;12;.;.;12
1634 Oppdal;1634;Oppdal;42,6;40;45,2;109;56;53;42,6;43,3;.;42,5;109;3;.;106
1635 Rennebu;1635;Rennebu;41,2;39,5;42,6;26;11;15;41,2;.;.;41,2;26;.;.;26
1636 Meldal;1636;Meldal;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1638 Orkdal;1638;Orkdal;39,5;37,7;41,3;130;66;64;39,5;:;:;39,6;130;:;:;123
1640 Røros;1640;Røros;41,7;42,1;41,4;71;36;35;41,7;:;:;42,4;71;:;:;67
1644 Holtålen;1644;Holtålen;41,7;39,1;45,6;37;22;15;41,7;:;:;:;37;:;:;:
1648 Midtre Gauldal;1648;Midtre Gauldal;37,2;34,4;41,2;95;56;39;37,2;35,5;.;37,3;95;5;.;90
1653 Melhus;1653;Melhus;38,3;36;40,9;231;123;108;38,3;:;:;38,3;231;:;:;219
1657 Skaun;1657;Skaun;38,4;37,3;39,4;88;40;48;38,4;:;:;:;88;:;:;:
1662 Klæbu;1662;Klæbu;39,5;36,6;42;100;46;54;39,5;:;:;39,5;100;:;:;95
1663 Malvik;1663;Malvik;41,7;40,6;42,6;190;90;100;41,7;38,7;.;41,8;190;6;.;184
1664 Selbu;1664;Selbu;38,7;36,9;40,4;53;26;27;38,7;.;.;38,7;53;.;.;53
1665 Tydal;1665;Tydal;36,6;36,3;37,1;7;4;3;36,6;.;.;36,6;7;.;.;7
1702 Steinkjer;1702;Steinkjer;39,5;37,1;42,5;257;145;112;39,5;:;:;39,6;257;:;:;245
1703 Namsos;1703;Namsos;38,8;38,4;39,1;176;92;84;38,8;28;.;39,3;176;8;.;168
1711 Meråker;1711;Meråker;40,5;37,3;44,1;32;17;15;40,5;37,7;.;40,9;32;4;.;28
1714 Stjørdal;1714;Stjørdal;39,5;37,4;41,8;320;163;157;39,5;:;:;39,8;320;:;:;302
1717 Frosta;1717;Frosta;39,5;36,7;43,5;36;21;15;39,5;:;:;:;36;:;:;:
1718 Leksvik;1718;Leksvik;38,5;36,9;40;42;20;22;38,5;:;:;:;42;:;:;:
1719 Levanger;1719;Levanger;39,2;36,4;41,6;237;110;127;39,2;:;:;39,5;237;:;:;226
1721 Verdal;1721;Verdal;40,3;36,7;44;188;95;93;40,3;34,4;.;40,5;188;7;.;181
1724 Verran;1724;Verran;38,3;37,3;39,7;28;16;12;38,3;:;:;:;28;:;:;:
1725 Namdalseid;1725;Namdalseid;38,9;39,4;38,5;20;8;12;38,9;39,9;.;38,7;20;3;.;17
1736 Snåsa;1736;Snåsa;42,5;38,2;47,9;32;18;14;42,5;.;.;42,5;32;.;.;32
1738 Lierne;1738;Lierne;42;40,9;44,1;23;15;8;42;:;:;:;23;:;:;:
1739 Røyrvik;1739;Røyrvik;43,3;:;:;5;:;:;43,3;.;.;43,3;5;.;.;5
1740 Namsskogan;1740;Namsskogan;38,1;38,1;38,3;15;8;7;38,1;.;.;38,1;15;.;.;15
1742 Grong;1742;Grong;43;40,3;46;26;14;12;43;:;:;:;26;:;:;:
1743 Høylandet;1743;Høylandet;42,7;37,4;45,8;16;6;10;42,6;.;.;42,6;16;.;.;16
1744 Overhalla;1744;Overhalla;41,1;39,4;43;48;25;23;41,1;:;:;:;48;:;:;:
1748 Fosnes;1748;Fosnes;45;43;46,4;14;6;8;45;:;:;:;14;:;:;:
1749 Flatanger;1749;Flatanger;39,8;35,2;45,1;13;7;6;39,8;.;.;39,8;13;.;.;13
1750 Vikna;1750;Vikna;37,2;32,4;40,8;52;22;30;37,2;30,7;.;37,6;52;3;.;49
1751 Nærøy;1751;Nærøy;38,3;35,3;41;72;34;38;38,3;38,5;.;38,3;72;3;.;69
1755 Leka;1755;Leka;37,5;35,9;39,2;6;3;3;37,5;.;.;37,5;6;.;.;6
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);38,5;37,3;40,4;92;56;36;38,5;:;:;:;92;:;:;:
1804 Bodø;1804;Bodø;42,4;41;44,1;613;333;280;42,4;36,7;39,2;42,7;613;30;5;578
1805 Narvik;1805;Narvik;39,8;37,1;42,1;217;99;118;39,8;36,4;.;40,1;217;12;.;205
1811 Bindal;1811;Bindal;40,8;41,5;39,9;19;10;9;40,8;.;.;40,8;19;.;.;19
1812 Sømna;1812;Sømna;41,6;39,3;44,2;26;14;12;41,6;:;:;:;26;:;:;:
1813 Brønnøy;1813;Brønnøy;39,5;34,8;44,2;105;53;52;39,5;36,2;.;39,8;105;9;.;96
1815 Vega;1815;Vega;40,2;35,3;45,1;14;7;7;40,2;:;:;:;14;:;:;:
1816 Vevelstad;1816;Vevelstad;40,9;35,9;44,3;10;4;6;40,9;.;.;40,9;10;.;.;10
1818 Herøy (Nordl.);1818;Herøy (Nordl.);40,3;39,8;40,7;22;8;14;40,3;:;:;:;22;:;:;:
1820 Alstahaug;1820;Alstahaug;40,9;40;42,2;94;57;37;40,9;41,2;.;40,8;94;3;.;91
1822 Leirfjord;1822;Leirfjord;37,3;41,5;33,5;21;10;11;37,3;27,4;.;40,4;21;5;.;16
1824 Vefsn;1824;Vefsn;40,1;38,8;41;158;68;90;40,1;:;:;40,6;158;:;:;149
1825 Grane;1825;Grane;38,9;36,4;42;16;9;7;38,9;.;.;38,9;16;.;.;16
1826 Hattfjelldal;1826;Hattfjelldal;40,5;39,1;41,8;18;9;9;40,5;:;:;:;18;:;:;:
1827 Dønna;1827;Dønna;41,6;38,3;44,4;19;9;10;41,6;:;:;:;19;:;:;:
1828 Nesna;1828;Nesna;38,9;40,4;37,4;27;13;14;38,9;36,1;.;40,3;27;9;.;18
1832 Hemnes;1832;Hemnes;41,2;38,5;44,9;61;35;26;41,2;38,4;.;41,4;61;4;.;57
1833 Rana;1833;Rana;39,3;37,6;41,5;328;182;146;39,3;33,1;.;39,6;328;14;.;314
1834 Lurøy;1834;Lurøy;44,2;41,4;46,9;22;11;11;44,2;.;.;44,2;22;.;.;22
1835 Træna;1835;Træna;32,1;:;:;6;:;:;32,1;.;.;32,1;6;.;.;6
1836 Rødøy;1836;Rødøy;41,5;40,2;46,2;24;19;5;41,5;:;:;:;24;:;:;:
1837 Meløy;1837;Meløy;38,4;33,8;42,5;93;44;49;38,4;38,7;.;38,4;93;6;.;87
1838 Gildeskål;1838;Gildeskål;37,5;36,2;39,3;24;14;10;37,5;:;:;:;24;:;:;:
1839 Beiarn;1839;Beiarn;42,8;41,2;45,2;10;6;4;42,8;.;.;42,8;10;.;.;10
1840 Saltdal;1840;Saltdal;40;35,9;42,9;51;21;30;40;:;:;:;51;:;:;:
1841 Fauske;1841;Fauske;39,2;35,5;42,9;121;60;61;39,2;:;:;39,2;121;:;:;115
1845 Sørfold;1845;Sørfold;38,7;38,1;39,4;29;17;12;38,7;:;:;:;29;:;:;:
1848 Steigen;1848;Steigen;37,9;34;42,8;32;18;14;37,9;32,7;.;39,6;32;8;.;24
1849 Hamarøy;1849;Hamarøy;42,3;41,1;43,2;17;7;10;42,3;:;:;:;17;:;:;:
1850 Tysfjord;1850;Tysfjord;43,1;39,3;49,3;26;16;10;43,1;.;.;43,1;26;.;.;26
1851 Lødingen;1851;Lødingen;43,7;39;47,5;18;8;10;43,7;:;:;:;18;:;:;:
1852 Tjeldsund;1852;Tjeldsund;44,6;44;45,3;9;5;4;44,6;.;.;44,6;9;.;.;9
1853 Evenes;1853;Evenes;39,1;37,6;41,4;18;11;7;39,1;.;.;39,1;18;.;.;18
1854 Ballangen;1854;Ballangen;39,5;34,5;43,8;28;13;15;39,5;.;.;39,5;28;.;.;28
1856 Røst;1856;Røst;41,5;:;:;9;:;:;41,5;:;:;:;9;:;:;:
1857 Værøy;1857;Værøy;40,9;36,5;44,7;13;6;7;40,9;.;.;40,9;13;.;.;13
1859 Flakstad;1859;Flakstad;41,4;35,9;46,1;26;12;14;41,4;:;:;:;26;:;:;:
1860 Vestvågøy;1860;Vestvågøy;38,4;35,6;41,2;157;78;79;38,4;:;:;38,6;157;:;:;143
1865 Vågan;1865;Vågan;41,2;38,6;44;118;62;56;41,2;:;:;41,5;118;:;:;106
1866 Hadsel;1866;Hadsel;39,9;38,1;41,7;101;51;50;39,9;:;:;40,2;101;:;:;90
1867 Bø (Nordl.);1867;Bø (Nordl.);40,5;36,3;43,3;27;11;16;40,5;36,1;.;41,5;27;5;.;22
1868 Øksnes;1868;Øksnes;38,2;36,4;40;63;31;32;38,2;:;:;:;63;:;:;:
1870 Sortland;1870;Sortland;39,6;37,7;41,9;147;80;67;39,6;:;:;39,4;147;:;:;138
1871 Andøy;1871;Andøy;39,6;38,8;40,5;55;29;26;39,6;30;.;40,6;55;5;.;50
1874 Moskenes;1874;Moskenes;34,9;32,6;38,4;20;12;8;34,9;:;:;:;20;:;:;:
1902 Tromsø;1902;Tromsø;41,2;39,7;42,7;808;420;388;41,2;40,5;43,5;41,2;808;32;8;768
1903 Harstad;1901;Harstad;39;36,6;41,8;317;169;148;39;32,7;.;39,5;317;21;.;296
1911 Kvæfjord;1911;Kvæfjord;39,2;38,6;40,1;39;22;17;39,2;34,4;.;39,6;39;3;.;36
1913 Skånland;1913;Skånland;37,5;34,2;41,6;36;20;16;37,5;34;.;37,9;36;4;.;32
1917 Ibestad;1917;Ibestad;39,4;35,4;45,3;15;9;6;39,4;:;:;:;15;:;:;:
1919 Gratangen;1919;Gratangen;36,1;34,5;41,1;16;12;4;36,1;:;:;:;16;:;:;:
1920 Lavangen;1920;Lavangen;43,4;43,3;43,6;13;7;6;43,4;.;.;43,4;13;.;.;13
1922 Bardu;1922;Bardu;42,3;36,7;45,6;38;14;24;42,3;:;:;:;38;:;:;:
1923 Salangen;1923;Salangen;41,7;39;44,2;33;16;17;41,7;:;:;:;33;:;:;:
1924 Målselv;1924;Målselv;41,5;39,8;43,8;91;53;38;41,5;:;:;:;91;:;:;:
1925 Sørreisa;1925;Sørreisa;42,1;40,9;44,7;52;35;17;42,1;:;:;:;52;:;:;:
1926 Dyrøy;1926;Dyrøy;40,9;40,9;40,9;13;6;7;40,9;.;.;40,9;13;.;.;13
1927 Tranøy;1927;Tranøy;37,2;38,9;35,5;14;7;7;37,2;:;:;:;14;:;:;:
1928 Torsken;1928;Torsken;39,3;:;:;6;:;:;39,3;:;:;:;6;:;:;:
1929 Berg;1929;Berg;40,6;:;:;6;:;:;40,6;:;:;:;6;:;:;:
1931 Lenvik;1931;Lenvik;40,4;37,3;43,3;154;76;78;40,4;:;:;40,6;154;:;:;148
1933 Balsfjord;1933;Balsfjord;37,2;35,7;39;78;41;37;37,2;:;:;:;78;:;:;:
1936 Karlsøy;1936;Karlsøy;39,8;36,2;44,7;28;16;12;39,8;31,7;.;40,8;28;3;.;25
1938 Lyngen;1938;Lyngen;41,1;35,6;46;40;19;21;41,1;:;:;:;40;:;:;:
1939 Storfjord;1939;Storfjord;43;38,6;46,5;27;12;15;43;36,7;.;44,1;27;4;.;23
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;39,8;36,1;41,6;24;8;16;39,8;.;.;39,8;24;.;.;24
1941 Skjervøy;1941;Skjervøy;39,2;33,5;43,7;41;18;23;39,2;.;.;39,2;41;.;.;41
1942 Nordreisa;1942;Nordreisa;36,5;34,1;39,2;56;29;27;36,5;:;:;:;56;:;:;:
1943 Kvænangen;1943;Kvænangen;42,2;37,9;47;19;10;9;42,2;.;.;42,2;19;.;.;19
2002 Vardø;2002;Vardø;38,1;35,2;45,9;18;13;5;38,1;.;.;38,1;18;.;.;18
2003 Vadsø;2003;Vadsø;40,2;38,8;41,4;91;44;47;40,2;32,5;.;41,8;91;16;.;75
2004 Hammerfest;2004;Hammerfest;38,1;35,1;40,4;105;45;60;38,1;:;:;39,4;105;:;:;89
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;41,3;38,8;45,9;31;20;11;41,3;.;.;41,3;31;.;.;31
2012 Alta;2012;Alta;38,3;35,5;41,3;276;144;132;38,3;31;.;38,6;276;10;.;266
2014 Loppa;2014;Loppa;38,2;:;:;8;:;:;38,2;.;.;38,2;8;.;.;8
2015 Hasvik;2015;Hasvik;39,4;37,5;40,8;14;6;8;39,4;:;:;:;14;:;:;:
2017 Kvalsund;2017;Kvalsund;38,1;34,7;44,1;11;7;4;38,1;.;.;38,1;11;.;.;11
2018 Måsøy;2018;Måsøy;43,8;41,5;48,3;15;10;5;43,8;.;.;43,8;15;.;.;15
2019 Nordkapp;2019;Nordkapp;43,4;43,6;43,2;44;24;20;43,4;:;:;:;44;:;:;:
2020 Porsanger;2020;Porsanger Porsángu Porsanki;40;34,1;42,1;42;11;31;40;:;:;:;42;:;:;:
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;40,7;36,8;45,6;34;19;15;40,7;.;.;40,7;34;.;.;34
2022 Lebesby;2022;Lebesby;37,7;32,4;43,6;19;10;9;37,7;:;:;:;19;:;:;:
2023 Gamvik;2023;Gamvik;38,1;42,7;35,8;9;3;6;38,1;:;:;:;9;:;:;:
2024 Berlevåg;2024;Berlevåg;35,8;35,2;36,1;8;3;5;35,8;.;.;35,8;8;.;.;8
2025 Deatnu Tana;2025;Deatnu Tana;41;35,2;45,2;33;14;19;41;:;:;:;33;:;:;:
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;43,8;45,4;41,7;7;4;3;43,8;.;.;43,8;7;.;.;7
2028 Båtsfjord;2028;Båtsfjord;35,7;29,5;42,4;21;11;10;35,7;:;:;:;21;:;:;:
2030 Sør-Varanger;2030;Sør-Varanger;41,1;37,9;45;135;74;61;41,1;41,1;43,1;41,1;135;8;3;124
