Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0420 Eidskog;420;Eidskog;36,7;34,4;39,3;68;36;32;36,7;:;:;:;68;:;:;:
0423 Grue;423;Grue;36,2;35,9;36,7;66;41;25;36,2;:;:;36,5;66;:;:;62
0425 Åsnes;425;Åsnes;38,4;35,5;41,9;63;34;29;38,4;:;:;:;63;:;:;:
0426 Våler (Hedm.);426;Våler (Hedm.);39,1;36;41,8;33;15;18;39,1;39,3;.;39,1;33;3;.;30
0427 Elverum;427;Elverum;38,7;36,4;41,5;226;124;102;38,7;35,1;30,1;39,2;226;15;6;205
0428 Trysil;428;Trysil;41,5;40,2;42,8;65;32;33;41,5;:;:;41,2;65;:;:;60
0429 Åmot;429;Åmot;38,4;37,1;40,3;53;32;21;38,4;29,7;.;39,1;53;4;.;49
0430 Stor-Elvdal;430;Stor-Elvdal;38,5;39,2;37,7;29;16;13;38,5;32,1;.;39,2;29;3;.;26
0432 Rendalen;432;Rendalen;39,2;34,5;41,7;23;8;15;39,2;.;.;39,2;23;.;.;23
0434 Engerdal;434;Engerdal;40,8;39,5;43,4;12;8;4;40,8;:;:;:;12;:;:;:
0436 Tolga;436;Tolga;42,2;38,4;44,5;34;13;21;42,2;:;:;42,7;34;:;:;28
0437 Tynset;437;Tynset;40,9;40,2;41,8;74;40;34;40,9;35,9;30,4;42,2;74;7;4;63
0438 Alvdal;438;Alvdal;41,9;41;43,4;42;26;16;41,9;37,5;.;42,2;42;3;.;39
0439 Folldal;439;Folldal;43,3;42;44,8;34;18;16;43,3;:;:;:;34;:;:;:
0441 Os (Hedm.);441;Os (Hedm.);39,5;38,8;40,1;28;13;15;39,5;:;:;:;28;:;:;:
0501 Lillehammer;501;Lillehammer;42,1;40,4;43,7;321;153;168;42,1;33,5;42,2;42,8;321;24;5;292
0502 Gjøvik;502;Gjøvik;39,8;37;43,3;326;178;148;39,8;35,4;35,3;40,3;326;23;9;294
0511 Dovre;511;Dovre;37,5;34,8;42,5;37;24;13;37,5;:;:;:;37;:;:;:
0512 Lesja;512;Lesja;43,4;39,8;45,8;20;8;12;43,4;.;.;43,4;20;.;.;20
0513 Skjåk;513;Skjåk;39,1;36,4;41,2;27;12;15;39,1;.;.;39,1;27;.;.;27
0514 Lom;514;Lom;40,5;38,3;42,9;25;13;12;40,5;:;:;:;25;:;:;:
0515 Vågå;515;Vågå;39,4;37,5;41,3;41;21;20;39,4;:;:;:;41;:;:;:
0516 Nord-Fron;516;Nord-Fron;39,3;34,6;44,5;72;38;34;39,3;:;:;39,7;72;:;:;65
0517 Sel;517;Sel;39,2;38,7;39,8;91;51;40;39,2;34,9;.;39,3;91;3;.;88
0519 Sør-Fron;519;Sør-Fron;38;35,4;42;45;27;18;38;:;:;:;45;:;:;:
0520 Ringebu;520;Ringebu;37,7;34,9;41,5;42;24;18;37,7;36,5;.;37,9;42;6;.;36
0521 Øyer;521;Øyer;38,7;38,5;38,9;72;37;35;38,7;36,6;.;38,9;72;6;.;66
0522 Gausdal;522;Gausdal;40,1;38,9;41,3;82;41;41;40,1;36;.;40,3;82;4;.;78
0528 Østre Toten;528;Østre Toten;39,4;37,9;41;178;93;85;39,4;35,3;41,3;39,6;178;9;5;164
0529 Vestre Toten;529;Vestre Toten;39,2;37,2;40,9;139;62;77;39,2;:;:;39,6;139;:;:;131
0532 Jevnaker;532;Jevnaker;39,4;38,9;40,1;87;52;35;39,4;:;:;:;87;:;:;:
0533 Lunner;533;Lunner;38,9;36;41,5;113;53;60;38,9;:;:;39,4;113;:;:;107
0534 Gran;534;Gran;39,5;36,9;41,9;184;88;96;39,5;:;:;40,3;184;:;:;169
0536 Søndre Land;536;Søndre Land;40;36,2;43,5;61;29;32;40;:;:;:;61;:;:;:
0538 Nordre Land;538;Nordre Land;37,5;34,8;39,7;97;43;54;37,5;43,6;.;37,3;97;3;.;94
0540 Sør-Aurdal;540;Sør-Aurdal;37,3;34,3;40,6;39;20;19;37,3;:;:;:;39;:;:;:
0541 Etnedal;541;Etnedal;40,1;38,4;43,3;20;13;7;40,1;:;:;:;20;:;:;:
0542 Nord-Aurdal;542;Nord-Aurdal;39,8;37,3;42,2;73;35;38;39,8;36,5;.;40,1;73;5;.;68
0543 Vestre Slidre;543;Vestre Slidre;39,8;34,8;43,9;22;10;12;39,8;:;:;:;22;:;:;:
0544 Øystre Slidre;544;Øystre Slidre;39,6;38,1;41,6;45;26;19;39,6;:;:;:;45;:;:;:
0545 Vang;545;Vang;42,5;42,3;42,6;20;6;14;42,5;:;:;:;20;:;:;:
0602 Drammen;602;Drammen;40,3;38,4;42,4;692;350;342;40,3;35,3;39,1;41,7;692;107;100;485
0604 Kongsberg;604;Kongsberg;40,9;39,2;43,1;286;160;126;40,9;37,9;43,2;41,2;286;26;5;255
0605 Ringerike;605;Ringerike;38,3;35,9;41,3;315;172;143;38,3;34,1;:;:;315;:;:;283
0612 Hole;612;Hole;41,8;40,2;43,5;73;38;35;41,8;40,4;.;41,9;73;7;.;66
0615 Flå;615;Flå;41,2;37,6;43,6;15;6;9;41,2;:;:;:;15;:;:;:
0616 Nes (Busk.);616;Nes (Busk.);42,1;40,2;44,2;44;23;21;42,1;:;:;:;44;:;:;:
0617 Gol;617;Gol;36,1;35,6;36,8;59;33;26;36,1;:;:;37,5;59;:;:;50
0618 Hemsedal;618;Hemsedal;37;33,5;40,3;37;18;19;37;39,3;.;36,8;37;3;.;34
0619 Ål;619;Ål;39,4;35,5;42,3;56;24;32;39,4;:;:;:;56;:;:;:
0620 Hol;620;Hol;40,1;37,7;43,1;43;24;19;40,1;:;:;40,4;43;:;:;37
