Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.minoritet;
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;
0706 Sandefjord;706;Sandefjord;253;56;197;22,1;
0709 Larvik;709;Larvik;215;37;178;17,2;
0711 Svelvik;711;Svelvik;27;9;18;33,3;
0713 Sande;713;Sande;43;8;35;18,6;
0714 Hof;714;Hof;19;2;17;10,5;
0716 Re;716;Re;55;11;44;20;
0719 Andebu;719;Andebu;29;6;23;20,7;
0720 Stokke;720;Stokke;79;14;65;17,7;
0722 Nøtterøy;722;Nøtterøy;108;29;79;26,9;
0723 Tjøme;723;Tjøme;21;5;16;23,8;
0728 Lardal;728;Lardal;5;.;.;.;
0805 Porsgrunn;805;Porsgrunn;281;99;182;35,2;
0806 Skien;806;Skien;409;177;232;43,3;
0807 Notodden;807;Notodden;100;28;72;28;
0811 Siljan;811;Siljan;20;2;18;10;
0814 Bamble;814;Bamble;122;43;79;35,2;
0815 Kragerø;815;Kragerø;57;19;38;33,3;
0817 Drangedal;817;Drangedal;25;4;21;16;
0819 Nome;819;Nome;44;13;31;29,5;
0821 Bø;821;Bø;33;7;26;21,2;
0822 Sauherad;822;Sauherad;29;7;22;24,1;
0826 Tinn;826;Tinn;55;26;29;47,3;
0827 Hjartdal;827;Hjartdal;13;.;.;.;
0828 Seljord;828;Seljord;22;4;18;18,2;
0829 Kviteseid;829;Kviteseid;11;3;8;27,3;
0830 Nissedal;830;Nissedal;7;2;5;28,6;
0831 Fyresdal;831;Fyresdal;8;.;.;.;
0833 Tokke;833;Tokke;12;2;10;16,7;
0834 Vinje;834;Vinje;18;5;13;27,8;
0901 Risør;901;Risør;43;7;36;16,3;
0904 Grimstad;904;Grimstad;134;39;95;29,1;
0906 Arendal;906;Arendal;257;71;186;27,6;
0911 Gjerstad;911;Gjerstad;15;5;10;33,3;
0912 Vegårshei;912;Vegårshei;7;1;6;14,3;
0914 Tvedestrand;914;Tvedestrand;28;7;21;25;
0919 Froland;919;Froland;39;10;29;25,6;
0926 Lillesand;926;Lillesand;48;11;37;22,9;
0928 Birkenes;928;Birkenes;29;9;20;31;
0929 Åmli;929;Åmli;15;3;12;20;
0935 Iveland;935;Iveland;4;2;2;50;
0937 Evje og Hornnes;937;Evje og Hornnes;22;9;13;40,9;
0938 Bygland;938;Bygland;5;2;3;40;
0940 Valle;940;Valle;4;.;.;.;
0941 Bykle;941;Bykle;3;.;.;.;
1001 Kristiansand;1001;Kristiansand;323;133;190;41,2;
1002 Mandal;1002;Mandal;84;31;53;36,9;
1003 Farsund;1003;Farsund;21;4;17;19;
1004 Flekkefjord;1004;Flekkefjord;41;4;37;9,8;
1014 Vennesla;1014;Vennesla;86;15;71;17,4;
1017 Songdalen;1017;Songdalen;26;9;17;34,6;
1018 Søgne;1018;Søgne;53;7;46;13,2;
1021 Marnardal;1021;Marnardal;12;4;8;33,3;
1026 Åseral;1026;Åseral;4;3;1;75;
1027 Audnedal;1027;Audnedal;6;.;.;.;
1029 Lindesnes;1029;Lindesnes;15;6;9;40;
1032 Lyngdal;1032;Lyngdal;17;5;12;29,4;
1034 Hægebostad;1034;Hægebostad;9;4;5;44,4;
1037 Kvinesdal;1037;Kvinesdal;20;6;14;30;
1046 Sirdal;1046;Sirdal;14;2;12;14,3;
1101 Eigersund;1101;Eigersund;52;5;47;9,6;
1102 Sandnes;1102;Sandnes;312;73;239;23,4;
1103 Stavanger;1103;Stavanger;509;155;354;30,5;
1106 Haugesund;1106;Haugesund;155;40;115;25,8;
1111 Sokndal;1111;Sokndal;13;1;12;7,7;
1112 Lund;1112;Lund;11;2;9;18,2;
1114 Bjerkreim;1114;Bjerkreim;12;3;9;25;
1119 Hå;1119;Hå;100;17;83;17;
1120 Klepp;1120;Klepp;69;14;55;20,3;
1121 Time;1121;Time;105;19;86;18,1;
1122 Gjesdal;1122;Gjesdal;70;15;55;21,4;
1124 Sola;1124;Sola;80;22;58;27,5;
1127 Randaberg;1127;Randaberg;36;7;29;19,4;
1129 Forsand;1129;Forsand;5;.;.;.;
1130 Strand;1130;Strand;55;7;48;12,7;
1133 Hjelmeland;1133;Hjelmeland;4;1;3;25;
1134 Suldal;1134;Suldal;21;6;15;28,6;
1135 Sauda;1135;Sauda;39;2;37;5,1;
1141 Finnøy;1141;Finnøy;11;.;.;.;
1142 Rennesøy;1142;Rennesøy;17;1;16;5,9;
1144 Kvitsøy;1144;Kvitsøy;:;:;:;:;
1145 Bokn;1145;Bokn;:;:;:;:;
1146 Tysvær;1146;Tysvær;26;4;22;15,4;
1149 Karmøy;1149;Karmøy;174;38;136;21,8;
1160 Vindafjord;1160;Vindafjord;40;5;35;12,5;
1201 Bergen;1201;Bergen;1873;645;1228;34,4;
1211 Etne;1211;Etne;20;5;15;25;
1216 Sveio;1216;Sveio;40;4;36;10;
1219 Bømlo;1219;Bømlo;94;23;71;24,5;
1221 Stord;1221;Stord;168;38;130;22,6;
1222 Fitjar;1222;Fitjar;24;3;21;12,5;
1223 Tysnes;1223;Tysnes;25;5;20;20;
1224 Kvinnherad;1224;Kvinnherad;92;19;73;20,7;
1227 Jondal;1227;Jondal;6;.;.;.;
1228 Odda;1228;Odda;45;1;44;2,2;
1231 Ullensvang;1231;Ullensvang;18;1;17;5,6;
1232 Eidfjord;1232;Eidfjord;6;2;4;33,3;
1233 Ulvik;1233;Ulvik;3;.;.;.;
1234 Granvin;1234;Granvin;6;1;5;16,7;
1235 Voss;1235;Voss;102;18;84;17,6;
1238 Kvam;1238;Kvam;68;24;44;35,3;
