"Nëringsregion 
nr & navn";naringsregion_nr;"Nëringsregion
navn";vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_5.europa;vreg_5.asia;vreg_5.afrika;vreg_5.nord_amerika_oseania;vreg_5.sor_og_mellom_amerika;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
40 Bergen;40;Bergen;18328;17930;11021;8751;7307;9179;19615;9352;4385;932;1967;2603;4676;10115;2221;932;9352;4385;1967
41 Bjõrnefjorden;41;Bjõrnefjorden;1493;635;893;212;600;423;1596;324;90;38;80;138;212;1104;142;38;324;90;80
42 Hardanger;42;Hardanger;1264;820;721;367;543;453;1374;356;299;24;31;165;330;746;133;24;356;299;31
43 Voss;43;Voss;519;391;307;193;212;198;549;177;151;22;11;87;113;297;52;22;177;151;11
44 Nordhordland;44;Nordhordland;1760;749;1072;268;688;481;1824;375;192;48;67;153;256;1303;112;48;375;192;67
45 Osterfjorden;45;Osterfjorden;645;231;379;85;266;146;655;110;76;12;23;67;117;448;23;12;110;76;23
46 Sunnhordland;46;Sunnhordland;3448;1978;2081;843;1367;1135;3720;1080;410;73;143;504;702;2167;347;73;1080;410;143
47 Hordaland Vest;47;Hordaland Vest;3007;1987;1829;812;1178;1175;3134;1068;487;99;206;288;610;2007;229;99;1068;487;206
48 HAFS;48;HAFS;606;282;319;103;287;179;642;126;47;25;48;71;175;335;61;25;126;47;48
49 Nordfjord;49;Nordfjord;2147;970;1304;394;843;576;2237;440;334;32;74;296;510;1310;121;32;440;334;74
50 Sogn;50;Sogn;1648;958;970;428;678;530;1720;273;464;35;114;268;351;993;108;35;273;464;114
51 Sunnfjord;51;Sunnfjord;1532;1306;905;616;627;690;1715;569;428;27;99;186;296;1023;210;27;569;428;99
52 Nordmõre;52;Nordmõre;2762;2154;1662;923;1100;1231;3041;1031;659;59;126;309;771;1623;338;59;1031;659;126
53 Romsdal;53;Romsdal;3150;1859;1898;728;1252;1131;3376;889;525;79;140;383;755;1933;305;79;889;525;140
54 Storfjord;54;Storfjord;1483;555;844;226;639;329;1578;307;94;23;29;151;318;990;119;23;307;94;29
55 Sõre Sunnmõre;55;Sõre Sunnmõre;2939;1789;1911;706;1028;1083;3143;895;520;65;105;279;431;2164;269;65;895;520;105
56 èlesundregionen;56;èlesundregionen;5245;2912;3272;1190;1973;1722;5691;1671;441;125;229;686;847;3588;570;125;1671;441;229
57 Fosen;57;Fosen;937;426;596;130;341;296;981;271;61;23;27;113;205;596;67;23;271;61;27
58 Hitra/Frõya;58;Hitra/Frõya;1227;291;752;104;475;187;1266;144;83;7;18;71;108;1041;46;7;144;83;18
59 Oppdal/Rennebu;59;Oppdal/Rennebu;360;211;210;88;150;123;382;93;84;9;3;72;38;241;31;9;93;84;3
60 Orkdalregionen;60;Orkdalregionen;639;662;387;271;252;391;786;271;181;16;47;91;147;385;163;16;271;181;47
61 Trondheimsregionen;61;Trondheimsregionen;10985;12493;6581;6073;4404;6420;12223;7056;2742;563;885;2164;3002;5255;1802;563;7056;2742;885
62 Rõrosregionen;62;Rõrosregionen;310;157;146;67;164;90;367;40;38;9;13;110;72;119;66;9;40;38;13
63 Stjõrdalsregionen;63;Stjõrdalsregionen;742;1051;428;435;314;616;845;536;304;34;74;192;119;397;137;34;536;304;74
64 Innherred;64;Innherred;1979;2010;1289;911;690;1099;2192;944;732;46;74;335;307;1292;258;46;944;732;74
65 Indre Namdal;65;Indre Namdal;294;214;129;125;165;89;315;88;97;4;3;127;46;117;25;4;88;97;3
66 Kystgruppen;66;Kystgruppen;369;287;215;104;154;183;394;104;148;4;6;63;83;219;29;4;104;148;6
67 Midtre Namdal;67;Midtre Namdal;569;696;305;302;264;394;631;282;318;23;11;102;188;256;85;23;282;318;11
