Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0904 Grimstad;904;Grimstad;2887;400;2487;2345;311;2034;542;89;453;20;12,3;22,2;18,7;10,8;21,1;28,6;24,7;29,5
0906 Arendal;906;Arendal;6850;895;5955;5497;687;4810;1353;208;1145;23,5;15,9;25,3;21,7;13,7;23,6;35,3;33,3;35,7
0911 Gjerstad;911;Gjerstad;412;43;369;350;32;318;62;11;51;25;13,9;27,5;23,2;11,4;25,9;43,7;39,3;44,7
0912 Vegårshei;912;Vegårshei;260;22;238;227;18;209;33;4;29;20,4;9,1;23,1;19,1;7,8;21,8;38,8;33,3;39,7
0914 Tvedestrand;914;Tvedestrand;1008;130;878;852;105;747;156;25;131;25,5;17,4;27,4;24,2;15,5;26,3;36,4;35,2;36,7
0919 Froland;919;Froland;763;110;653;680;102;578;83;8;75;21,2;15,4;22,6;20,5;15,1;21,9;28,5;21,6;29,5
0926 Lillesand;926;Lillesand;1271;150;1121;1080;120;960;191;30;161;19,5;12,5;21;18,4;10,9;20,1;29,7;31,9;29,3
0928 Birkenes;928;Birkenes;587;70;517;489;49;440;98;21;77;18,3;10,2;20,5;17,1;8,1;19,6;27,5;27,6;27,5
0929 Åmli;929;Åmli;283;28;255;243;21;222;40;7;33;24;12,8;26,5;23,6;10,9;26,5;26,8;25,9;27
0935 Iveland;935;Iveland;183;17;166;161;16;145;22; : ; : ;20,7;9,3;23,7;20,1;9,4;23;26,8; : ; : 
0937 Evje og Hornnes;937;Evje og Hornnes;449;53;396;352;41;311;97;12;85;20;12;22;18;10,5;19,9;33,3;23,1;35,6
0938 Bygland;938;Bygland;171;15;156;151;10;141;20;5;15;21,3;10,9;23,5;20,3;7,6;23;35,1;71,4;30
0940 Valle;940;Valle;129;11;118;106;9;97;23; : ; : ;15,3;6,5;17,5;13,9;5,9;15,9;28; : ; : 
0941 Bykle;941;Bykle;77;14;63;55;10;45;22;4;18;11,6;10,8;11,9;10,3;9,4;10,5;17,5;16,7;17,6
1001 Kristiansand;1001;Kristiansand;11288;1697;9591;8121;1165;6956;3167;532;2635;19,5;13,3;21,2;16,8;10,5;18,7;33;32,5;33,1
1002 Mandal;1002;Mandal;2185;271;1914;1740;194;1546;445;77;368;21,9;13,5;24;19,7;10,7;22,1;38,4;39,3;38,3
1003 Farsund;1003;Farsund;1138;127;1011;951;98;853;187;29;158;18,9;10,3;21;17,3;8,4;19,6;35,8;44,6;34,6
1004 Flekkefjord;1004;Flekkefjord;1063;137;926;857;105;752;206;32;174;18,5;11,8;20,2;17;9,9;18,9;29;31,7;28,5
1014 Vennesla;1014;Vennesla;1917;285;1632;1636;258;1378;281;27;254;20,8;14,3;22,6;19,6;13,7;21,3;31,4;22,3;32,8
1017 Songdalen;1017;Songdalen;889;134;755;705;108;597;184;26;158;21,4;14,9;23,2;19,8;13,5;21,7;30,6;26,3;31,4
1018 Søgne;1018;Søgne;1342;174;1168;1110;143;967;232;31;201;18,7;11,4;20,7;17,1;10,1;19,1;33,4;29;34,2
1021 Marnardal;1021;Marnardal;293;34;259;247;28;219;46;6;40;19,6;10,6;22;18,2;9,2;20,9;32,2;33,3;32
1026 Åseral;1026;Åseral;77;14;63;57;10;47;20;4;16;13;9,7;14;10,9;7,8;12;27,4;23,5;28,6
1027 Audnedal;1027;Audnedal;166;22;144;141;14;127;25;8;17;15,3;9,1;17;14,1;6,2;16,4;28,4;50;23,6
1029 Lindesnes;1029;Lindesnes;664;91;573;551;65;486;113;26;87;21,5;14,3;23,3;20,3;11,4;22,7;30;40,6;27,8
1032 Lyngdal;1032;Lyngdal;1041;137;904;841;92;749;200;45;155;20,1;12,5;22,2;18,6;9,6;21;31,2;33,3;30,6
1034 Hægebostad;1034;Hægebostad;153;16;137;124;10;114;29;6;23;14,2;7;16,1;12,4;4,6;14,6;35,4;50;32,9
1037 Kvinesdal;1037;Kvinesdal;732;102;630;618;75;543;114;27;87;19,3;12,5;21,3;18,1;10;20,3;31,6;37,5;30,1
1046 Sirdal;1046;Sirdal;155;16;139;124;12;112;31;4;27;13,3;6,7;15;12,4;5,5;14,3;19,1;19;19,1
1101 Eigersund;1101;Eigersund;1622;207;1415;1261;137;1124;361;70;291;16,6;9,9;18,4;14,8;7,1;17,1;28;41,9;25,9
1102 Sandnes;1102;Sandnes;7508;1105;6403;5047;737;4310;2461;368;2093;15,5;11,4;16,5;13,1;8,8;14,3;24,6;27,3;24,2
1103 Stavanger;1103;Stavanger;14472;2065;12407;9249;1307;7942;5223;758;4465;16;11,5;17;13,2;8,6;14,5;25,4;28,3;24,9
1106 Haugesund;1106;Haugesund;4930;630;4300;3595;437;3158;1335;193;1142;20,2;12,9;22;17,9;10,2;20;30,4;30,6;30,4
1111 Sokndal;1111;Sokndal;327;41;286;306;38;268;21; : ; : ;15,8;9,4;17,5;15,7;8,9;17,6;16,9; : ; : 
1112 Lund;1112;Lund;323;46;277;253;29;224;70;17;53;15,7;10,3;17,3;13,8;7,3;15,6;33,2;37;32,1
1114 Bjerkreim;1114;Bjerkreim;210;30;180;171;24;147;39;6;33;11,6;7,9;12,5;10,6;6,6;11,8;18,9;33,3;17,6
1119 Hå;1119;Hå;1653;243;1410;1149;157;992;504;86;418;14;9,4;15,3;11,7;6,8;13,2;25,7;30,7;24,9
1120 Klepp;1120;Klepp;1633;235;1398;1237;172;1065;396;63;333;13,4;8,8;14,6;11,9;7,2;13,3;21,9;23,2;21,7
1121 Time;1121;Time;1514;233;1281;1177;182;995;337;51;286;12,8;9,3;13,7;11,2;7,9;12,2;24,4;24,6;24,4
1122 Gjesdal;1122;Gjesdal;921;153;768;710;112;598;211;41;170;12;8,9;12,9;10,7;7;11,8;20,8;31,1;19,3
1124 Sola;1124;Sola;2329;383;1946;1582;254;1328;747;129;618;13,8;10,9;14,6;11,6;8,2;12,6;23,7;30,8;22,6
1127 Randaberg;1127;Randaberg;936;143;793;732;108;624;204;35;169;13,6;9,2;14,9;12,2;7,6;13,6;23,6;26,5;23
1129 Forsand;1129;Forsand;111;6;105;100;4;96;11; : ; : ;14,4;3,8;17,2;14,5;2,7;17,6;14,3; : ; : 
1130 Strand;1130;Strand;1277;191;1086;1026;141;885;251;50;201;16,4;11,3;17,8;14,9;9,2;16,5;28,4;32,5;27,5
1133 Hjelmeland;1133;Hjelmeland;242;23;219;167;11;156;75;12;63;13,8;7;15,4;11,9;4;13,9;21,6;23,5;21,2
1134 Suldal;1134;Suldal;337;42;295;277;27;250;60;15;45;13,9;8,8;15,1;12,9;6,3;14,5;22,1;30;20,4
1135 Sauda;1135;Sauda;532;71;461;464;57;407;68;14;54;17,5;10,8;19,4;16,7;9,1;18,8;27,5;40;25,5
1141 Finnøy;1141;Finnøy;205;29;176;163;23;140;42;6;36;10,5;7,3;11,3;9,9;6,3;10,9;13,3;17,1;12,8
1142 Rennesøy;1142;Rennesøy;365;56;309;262;35;227;103;21;82;11,8;8,5;12,7;9,8;5,8;10,9;24,8;36,8;22,9
1144 Kvitsøy;1144;Kvitsøy;39;9;30;32;6;26;7; : ; : ;12,2;12,7;12;11,1;9;11,7;22,6; : ; : 
1145 Bokn;1145;Bokn;87;14;73;73;11;62;14; : ; : ;16,1;12,5;17,1;15,4;10,4;16,8;21,9; : ; : 
1146 Tysvær;1146;Tysvær;1067;136;931;876;97;779;191;39;152;15,7;9,5;17,4;14,2;7,3;16,1;30,9;37,9;29,5
1149 Karmøy;1149;Karmøy;5432;661;4771;4526;531;3995;906;130;776;19,9;11,6;22,1;18,5;10;20,9;31,6;33;31,4
1151 Utsira;1151;Utsira;14; : ; : ;12; : ; : ; : ;0; : ;10,1; : ; : ;9,6; : ; : ; : ;.; : 
1160 Vindafjord;1160;Vindafjord;849;121;728;613;72;541;236;49;187;15,2;10,3;16,5;12,9;6,9;14,6;27,9;36,6;26,3
1201 Bergen;1201;Bergen;30983;4619;26364;22088;2969;19119;8895;1650;7245;16,6;11,5;18;14,2;8,4;15,9;28;33,2;27
1211 Etne;1211;Etne;361;46;315;290;32;258;71;14;57;14,1;9,6;15,2;13,1;7,4;14,4;21,1;28,6;19,9
1216 Sveio;1216;Sveio;598;79;519;492;65;427;106;14;92;17;11,1;18,5;15,6;9,7;17,2;29,4;35;28,8
1219 Bømlo;1219;Bømlo;1216;160;1056;975;122;853;241;38;203;16,1;9,7;17,9;14,6;8,1;16,5;28,3;27,5;28,4
1221 Stord;1221;Stord;1905;248;1657;1475;203;1272;430;45;385;15,7;9,1;17,6;13,8;8;15,6;29,4;27,4;29,6
1222 Fitjar;1222;Fitjar;316;39;277;282;34;248;34;5;29;16,1;10,2;17,6;15,6;9,2;17,2;23,1;38,5;21,6
1223 Tysnes;1223;Tysnes;295;27;268;255;22;233;40;5;35;17,3;7,6;19,8;16,6;6,6;19,3;24,1;26,3;23,8
1224 Kvinnherad;1224;Kvinnherad;1473;171;1302;1279;142;1137;194;29;165;17,7;10,3;19,5;16,8;9,1;18,8;27,9;32,6;27,2
1227 Jondal;1227;Jondal;131;13;118;117;11;106;14; : ; : ;19,2;8,2;22,6;18,7;7,5;22,1;24,6; : ; : 
1228 Odda;1228;Odda;807;98;709;680;76;604;127;22;105;18;10,8;19,9;17,1;9,1;19,2;25,6;29,3;24,9
1231 Ullensvang;1231;Ullensvang;288;35;253;217;21;196;71;14;57;13,9;8,7;15,1;11,8;5,8;13,3;28,9;31,1;28,4
1232 Eidfjord;1232;Eidfjord;76;6;70;57;6;51;19;0;19;12,2;4,8;14,1;10,3;4,9;11,8;27,1;0;28,4
1233 Ulvik;1233;Ulvik;95;14;81;74;9;65;21;5;16;14,3;9,9;15,5;13,1;7,1;14,7;21,6;33,3;19,5
1234 Granvin;1234;Granvin;89;10;79;78;9;69;11; : ; : ;14,9;7,2;17,2;14,2;6,9;16,4;22,9; : ; : 
1235 Voss;1235;Voss;1271;164;1107;1034;115;919;237;49;188;14,2;8,9;15,6;12,6;6,7;14,2;31,5;39,2;30
1238 Kvam;1238;Kvam;894;106;788;687;67;620;207;39;168;16,5;9,2;18,5;14,5;6,5;16,8;29,6;33,1;28,9
1241 Fusa;1241;Fusa;335;32;303;288;28;260;47;4;43;14,1;7;15,8;13,2;6,4;14,9;23,5;23,5;23,5
1242 Samnanger;1242;Samnanger;305;32;273;268;22;246;37;10;27;19,3;10,8;21,2;18,4;8;20,8;29,6;47,6;26
1243 Os (Hord.);1243;Os (Hord.);1944;252;1692;1541;194;1347;403;58;345;15,9;10,5;17,2;14,4;8,8;15,8;26,8;29,6;26,4
1244 Austevoll;1244;Austevoll;440;56;384;348;39;309;92;17;75;13,9;8,5;15,3;12,8;6,6;14,5;20,7;26,2;19,8
1245 Sund;1245;Sund;796;115;681;658;88;570;138;27;111;18,4;13,8;19,5;17,3;11,6;18,7;26,6;35,5;25,1
1246 Fjell;1246;Fjell;2536;356;2180;2126;306;1820;410;50;360;15,9;10,1;17,5;14,8;9,3;16,4;25,3;23,4;25,6
1247 Askøy;1247;Askøy;2855;303;2552;2396;243;2153;459;60;399;16,1;9,4;17,6;14,9;8;16,5;27;28,4;26,8
1251 Vaksdal;1251;Vaksdal;459;45;414;394;40;354;65;5;60;17,9;8,5;20,4;16,9;8,1;19,2;29,1;13,9;32,1
1252 Modalen;1252;Modalen;32;4;28;30;4;26; : ;0; : ;13,7;9,5;14,6;14;10;14,9; : ;0; : 
1253 Osterøy;1253;Osterøy;819;87;732;688;65;623;131;22;109;16,3;8;18,5;15,1;6,4;17,7;26,8;32,8;25,8
1256 Meland;1256;Meland;793;98;695;683;77;606;110;21;89;16;9,8;17,6;15,3;8,3;17,1;23,1;29,2;22
1259 Øygarden;1259;Øygarden;600;82;518;494;60;434;106;22;84;19,5;13,7;20,8;18,1;11;19,9;29,4;42,3;27,3
1260 Radøy;1260;Radøy;630;68;562;536;60;476;94;8;86;19;10,7;21;18,4;10,2;20,5;23,6;17,4;24,4
1263 Lindås;1263;Lindås;1663;197;1466;1428;166;1262;235;31;204;17,1;10,5;18,7;16,1;9,5;17,8;26,3;24;26,7
1264 Austrheim;1264;Austrheim;321;40;281;254;34;220;67;6;61;17,3;11,2;18,8;16,2;10,2;17,8;23,3;24;23,3
1265 Fedje;1265;Fedje;49; : ; : ;45; : ; : ;4;0;4;14,6; : ; : ;14,4; : ; : ;17,4;0;18,2
1266 Masfjorden;1266;Masfjorden;122;14;108;113;14;99;9;0;9;11,7;6,1;13,3;11,4;6,2;13;18,4;0;19,6
1401 Flora;1401;Flora;1320;193;1127;987;131;856;333;62;271;17;11,7;18,4;14,7;8,7;16,4;31,9;41,6;30,3
1411 Gulen;1411;Gulen;196;19;177;168;15;153;28;4;24;13,3;6;15,3;12,7;5;15;18,3;25;17,5
1412 Solund;1412;Solund;79;8;71;64;4;60;15;4;11;15,1;8,7;16,5;14,1;4,7;16,3;22,4;66,7;18
1413 Hyllestad;1413;Hyllestad;112;6;106;90;4;86;22; : ; : ;13,2;3,8;15,3;12,2;2,6;14,7;19,8; : ; : 
1416 Høyanger;1416;Høyanger;467;43;424;409;33;376;58;10;48;17,7;7,8;20,3;17,2;6,5;20,2;22;25,6;21,3
1417 Vik;1417;Vik;187;20;167;149;14;135;38;6;32;11,4;5,9;12,8;10,2;4,4;11,7;21,3;25;20,8
1418 Balestrand;1418;Balestrand;117;13;104;94;11;83;23; : ; : ;13,7;7,7;15,2;13,4;7,1;15,1;15,4; : ; : 
1419 Leikanger;1419;Leikanger;153;15;138;133;14;119;20; : ; : ;10,7;5,4;12;10;5,3;11,2;20,2; : ; : 
1420 Sogndal;1420;Sogndal;630;106;524;433;58;375;197;48;149;12,4;8,8;13,4;9,6;5,4;10,9;33,6;37,8;32,5
1421 Aurland;1421;Aurland;185;21;164;155;19;136;30; : ; : ;16,3;8,6;18,4;15,4;8,2;17,5;23,6; : ; : 
1422 Lærdal;1422;Lærdal;226;30;196;203;27;176;23; : ; : ;16;10,8;17,3;15,7;10;17,2;19,5; : ; : 
1424 Årdal;1424;Årdal;685;70;615;551;43;508;134;27;107;19,4;10,6;21,5;17,8;7;20,5;31,6;60;28,2
1426 Luster;1426;Luster;411;50;361;363;40;323;48;10;38;12,8;7,5;14,2;12,2;6,3;13,8;20,2;28,6;18,7
1428 Askvoll;1428;Askvoll;269;20;249;234;18;216;35; : ; : ;14,7;5,4;17,1;13,8;5,1;16;27,3; : ; : 
1429 Fjaler;1429;Fjaler;262;63;199;186;19;167;76;44;32;14,5;12,4;15,4;12,5;6;14,3;23,9;23;25,2
1430 Gaular;1430;Gaular;231;30;201;204;26;178;27;4;23;12,4;7,7;13,7;12;7,1;13,4;17,1;16;17,3
1431 Jølster;1431;Jølster;244;29;215;167;10;157;77;19;58;12,7;7,1;14,2;9,7;2,7;11,6;38,7;54,3;35,4
1432 Førde;1432;Førde;1009;160;849;787;110;677;222;50;172;11,8;8,5;12,7;10,3;6,4;11,4;25,1;30,5;23,9
1433 Naustdal;1433;Naustdal;206;23;183;185;19;166;21;4;17;11,8;6,2;13,3;11,3;5,3;13;17,9;25;16,8
1438 Bremanger;1438;Bremanger;440;64;376;305;29;276;135;35;100;18,5;13,5;19,7;15,6;7,3;17,7;31,8;46,7;28,7
1439 Vågsøy;1439;Vågsøy;698;72;626;555;52;503;143;20;123;17,9;9;20,2;16,4;7,1;19;27,5;29,9;27,2
1441 Selje;1441;Selje;290;31;259;259;28;231;31; : ; : ;16,2;8,1;18,4;15,7;7,6;18;22,3; : ; : 
1443 Eid;1443;Eid;504;73;431;412;47;365;92;26;66;13,2;9;14,4;11,9;6,4;13,4;27,1;36,1;24,6
1444 Hornindal;1444;Hornindal;59;8;51;50;6;44;9; : ; : ;7,9;4,7;8,8;7,3;3,6;8,4;14,3; : ; : 
1445 Gloppen;1445;Gloppen;412;49;363;360;39;321;52;10;42;11,5;6,2;13;10,9;5,3;12,5;18,2;16,9;18,5
1449 Stryn;1449;Stryn;644;93;551;432;56;376;212;37;175;14,2;10,1;15,2;11,7;7;13;25,2;29,6;24,4
1502 Molde;1502;Molde;2747;389;2358;2176;247;1929;571;142;429;15,8;10,8;17,1;14,2;7,7;15,9;27,2;37,3;25
1504 Ålesund;1504;Ålesund;4936;686;4250;3786;483;3303;1150;203;947;16;10,9;17,4;14,4;8,7;15,9;26;27,5;25,7
1505 Kristiansund;1505;Kristiansund;3535;472;3063;2891;357;2534;644;115;529;21,6;15;23,1;20,2;12,7;22;31,1;34,5;30,5
1511 Vanylven;1511;Vanylven;366;30;336;327;23;304;39;7;32;17,6;7,1;20,3;17;5,7;20;26,5;46,7;24,2
1514 Sande (M. og R.);1514;Sande (M. og R.);255;33;222;194;23;171;61;10;51;15,1;10,2;16,3;14,4;8,1;16,1;17,7;25;16,8
1515 Herøy (M. og R.);1515;Herøy (M. og R.);998;103;895;828;73;755;170;30;140;17,4;9,3;19,4;16,6;7,3;19;23;28;22,2
1516 Ulstein;1516;Ulstein;790;130;660;537;82;455;253;48;205;14,8;12,8;15,3;12,5;9;13,4;24,5;47,5;22
1517 Hareid;1517;Hareid;562;73;489;419;58;361;143;15;128;17,1;11;18,7;15,5;9,9;17,1;24,4;19,2;25,2
1519 Volda;1519;Volda;898;143;755;679;75;604;219;68;151;15,4;10,1;17,1;13,1;6;15,3;34,2;38,4;32,6
1520 Ørsta;1520;Ørsta;1057;134;923;900;105;795;157;29;128;15,7;9,7;17,3;14,7;8,2;16,4;27,1;29,9;26,5
1523 Ørskog;1523;Ørskog;249;25;224;174;19;155;75;6;69;16,8;9;18,6;14,1;7,6;15,8;29,9;21,4;30,9
1524 Norddal;1524;Norddal;114;7;107;100;6;94;14; : ; : ;11,2;3,8;12,8;11;3,4;12,9;12,4; : ; : 
1525 Stranda;1525;Stranda;337;50;287;250;30;220;87;20;67;11,5;8,2;12,4;10,5;5,6;11,9;16,2;25,3;14,7
1526 Stordal;1526;Stordal;112;14;98;83;11;72;29; : ; : ;17,4;11,6;18,8;15,9;10,5;17,3;24; : ; : 
1528 Sykkylven;1528;Sykkylven;705;110;595;526;76;450;179;34;145;14,1;11,3;14,8;12,3;8,8;13,1;25,2;30,6;24,2
1529 Skodje;1529;Skodje;450;51;399;375;44;331;75;7;68;15,6;9,3;17,1;14,5;8,6;16;25;18,4;26
1531 Sula;1531;Sula;784;94;690;641;74;567;143;20;123;14,2;9;15,5;13,2;7,6;14,7;21,2;26,3;20,6
1532 Giske;1532;Giske;670;99;571;518;66;452;152;33;119;13,6;9,8;14,5;11,9;7,2;13,2;25,7;35,9;23,8
1534 Haram;1534;Haram;931;129;802;688;90;598;243;39;204;16;11,5;17,1;14,2;9;15,6;25,1;31,2;24,1
1535 Vestnes;1535;Vestnes;828;120;708;683;91;592;145;29;116;18,8;12,7;20,4;17,8;10,4;20;25;40,3;22,8
1539 Rauma;1539;Rauma;758;95;663;691;86;605;67;9;58;16;10,1;17,5;16;9,7;17,6;15,9;16,4;15,8
1543 Nesset;1543;Nesset;305;30;275;273;25;248;32;5;27;15,7;7,7;17,7;15;6,6;17,3;25,6;50;23,5
1545 Midsund;1545;Midsund;179;18;161;142;9;133;37;9;28;14,6;7,9;16,2;13,8;4,4;16,1;19,3;39,1;16,6
1546 Sandøy;1546;Sandøy;109;16;93;86;11;75;23;5;18;13,6;11,1;14,2;12,9;9,3;13,7;17,4;19,2;17
1547 Aukra;1547;Aukra;327;40;287;274;33;241;53;7;46;15,5;9,6;17;14,9;8,5;16,5;20,2;23,3;19,8
1548 Fræna;1548;Fræna;1084;145;939;893;121;772;191;24;167;17,1;11,5;18,6;15,6;10,2;17,1;31;28,6;31,3
1551 Eide;1551;Eide;341;47;294;282;41;241;59;6;53;15,4;10,6;16,6;13,9;9,7;15;31,1;28,6;31,4
1554 Averøy;1554;Averøy;620;77;543;547;67;480;73;10;63;16,8;10,8;18,3;16,5;10;18,2;19,5;23,3;19
1557 Gjemnes;1557;Gjemnes;252;35;217;206;17;189;46;18;28;15,5;13,2;15,9;13,9;7,4;15,1;30,7;51,4;24,3
1560 Tingvoll;1560;Tingvoll;345;30;315;286;15;271;59;15;44;18,1;8,7;20,2;16,9;4,8;19,5;28,6;44,1;25,6
1563 Sunndal;1563;Sunndal;919;150;769;696;76;620;223;74;149;19,6;15,6;20,6;16,5;9,1;18,3;47,8;61,7;42,9
1566 Surnadal;1566;Surnadal;617;69;548;556;60;496;61;9;52;16,2;8,7;18,1;15,4;7,8;17,4;31;39,1;29,9
1567 Rindal;1567;Rindal;161;15;146;156;14;142;5; : ; : ;12,9;5,7;14,9;12,7;5,3;14,8;21,7; : ; : 
1571 Halsa;1571;Halsa;168;8;160;150;7;143;18; : ; : ;17,2;4,7;19,9;16,4;4,3;19;30; : ; : 
1573 Smøla;1573;Smøla;256;23;233;228;21;207;28; : ; : ;18,7;9,3;20,8;18,5;9;20,7;20,7; : ; : 
1576 Aure;1576;Aure;413;43;370;345;30;315;68;13;55;18,2;10,8;19,8;17,1;8,2;19,1;26,4;37,1;24,7
1601 Trondheim;1601;Trondheim;20743;3287;17456;15648;2244;13404;5095;1043;4052;16,3;11,5;17,7;14,3;8,9;15,9;28,3;30,7;27,7
1612 Hemne;1612;Hemne;481;82;399;407;58;349;74;24;50;17,8;13,6;19;16,2;10,4;17,9;38,1;51,1;34
1613 Snillfjord;1613;Snillfjord;100;10;90;93;10;83;7;0;7;15,8;7,2;18,2;15,5;7,2;18;21,2;.;21,2
1617 Hitra;1617;Hitra;634;58;576;481;34;447;153;24;129;21,1;10,3;23,5;20,6;7,2;24,1;22,5;27;21,8
1620 Frøya;1620;Frøya;556;55;501;457;36;421;99;19;80;18,5;9,5;20,6;19,6;7,7;22,5;14,6;16,4;14,3
1621 Ørland;1621;Ørland;599;94;505;539;83;456;60;11;49;17,8;12,2;19,4;17,1;11,3;18,9;27,4;31,4;26,6
1622 Agdenes;1622;Agdenes;174;25;149;147;22;125;27; : ; : ;16,1;10,7;17,6;15;10,1;16,3;27,6; : ; : 
1624 Rissa;1624;Rissa;832;98;734;684;79;605;148;19;129;19,6;11,7;21,6;18;10;20,1;33,9;37,3;33,5
1627 Bjugn;1627;Bjugn;635;63;572;587;55;532;48;8;40;21,6;10,9;24,2;21,3;10;24,2;24,7;28,6;24,1
1630 Åfjord;1630;Åfjord;304;30;274;290;28;262;14; : ; : ;15;6,9;17,2;14,8;6,6;17,2;18,7; : ; : 
1632 Roan;1632;Roan;114;9;105;104;7;97;10; : ; : ;18,1;6,9;21;18;5,6;21,5;18,9; : ; : 
1633 Osen;1633;Osen;93;7;86;87;7;80;6;0;6;15,6;6,7;17,5;15,3;6,7;17,2;24;.;24
1634 Oppdal;1634;Oppdal;772;103;669;646;79;567;126;24;102;17,7;11,6;19,3;16,4;9,7;18,1;31;30,8;31,1
1635 Rennebu;1635;Rennebu;276;30;246;257;26;231;19;4;15;17,2;9;19,4;16,8;8;19,2;25;44,4;22,4
1636 Meldal;1636;Meldal;564;64;500;516;48;468;48;16;32;22,2;12,5;24,7;21,8;10;24,8;28,9;47,1;24,2
1638 Orkdal;1638;Orkdal;1437;154;1283;1251;123;1128;186;31;155;19,1;11,3;20,8;18;9,8;19,8;31,4;28,2;32,2
1640 Røros;1640;Røros;535;52;483;468;45;423;67;7;60;14,8;7,4;16,5;14,1;6,9;15,8;22,6;14,9;24,1
1644 Holtålen;1644;Holtålen;208;13;195;191;13;178;17;0;17;16,7;5,2;19,6;16,3;5,3;19,1;25,4;0;27,9
1648 Midtre Gauldal;1648;Midtre Gauldal;643;92;551;512;60;452;131;32;99;15,5;10,5;16,9;14,7;7,8;16,6;20,2;30,8;18,2
1653 Melhus;1653;Melhus;1608;213;1395;1374;168;1206;234;45;189;15,6;10,2;17;14,4;8,5;16;30,2;35,7;29,1
1657 Skaun;1657;Skaun;734;86;648;665;70;595;69;16;53;15,4;9,9;16,7;14,8;8,5;16,2;26,1;38,1;23,9
1662 Klæbu;1662;Klæbu;565;96;469;482;78;404;83;18;65;14,4;11,9;15;13,4;10,3;14,2;25,9;36;24
1663 Malvik;1663;Malvik;1362;193;1169;1171;164;1007;191;29;162;15,4;11,1;16,4;14,6;10,2;15,7;23,2;23,6;23,2
1664 Selbu;1664;Selbu;409;44;365;361;32;329;48;12;36;16,1;9,4;17,6;15,1;7,2;16,9;31,8;52,2;28,1
1665 Tydal;1665;Tydal;48;8;40;45;8;37; : ;0; : ;8,9;6,2;9,8;8,8;6,3;9,6; : ;0; : 
1702 Steinkjer;1702;Steinkjer;2640;404;2236;2237;310;1927;403;94;309;19,1;13,6;20,5;17,5;11,3;19,2;38,1;41,2;37,3
1703 Namsos;1703;Namsos;1493;252;1241;1258;187;1071;235;65;170;17,8;13,6;18,9;16,3;11;17,8;33,9;43,3;31,3
1711 Meråker;1711;Meråker;429;56;373;341;40;301;88;16;72;25,9;17,1;28,1;23,2;13,8;25,6;47,3;43,2;48,3
1714 Stjørdal;1714;Stjørdal;2421;322;2099;2067;250;1817;354;72;282;16,5;10,7;18;15,3;8,9;17;30,4;35,8;29,3
1717 Frosta;1717;Frosta;329;39;290;288;37;251;41; : ; : ;20,1;11,1;22,5;19,3;11,3;21,6;27,9; : ; : 
1718 Leksvik;1718;Leksvik;417;42;375;377;39;338;40; : ; : ;18,8;10,3;20,7;18,3;9,8;20,3;24,8; : ; : 
1719 Levanger;1719;Levanger;2057;336;1721;1747;252;1495;310;84;226;16,3;12,2;17,5;15,2;10;16,6;28,9;34,4;27,3
1721 Verdal;1721;Verdal;1937;254;1683;1681;207;1474;256;47;209;19,9;12,7;21,7;18,7;11;20,8;32,5;41,6;31
1724 Verran;1724;Verran;481;37;444;364;33;331;117;4;113;29,1;12,1;33;25,7;11,3;29,5;49,2;30,8;50,2
1725 Namdalseid;1725;Namdalseid;187;17;170;179;17;162;8;0;8;17,7;8,2;20,1;17,9;8,5;20,3;14,8;0;17
1736 Snåsa;1736;Snåsa;179;22;157;170;22;148;9;0;9;13,4;7,2;15,3;13,2;7,2;15,1;18,4;0;19,1
1738 Lierne;1738;Lierne;106;11;95;97;9;88;9; : ; : ;12,4;7,6;13,4;12,3;6,7;13,5;14,1; : ; : 
1739 Røyrvik;1739;Røyrvik;43;7;36;39;7;32;4;0;4;14,1;12,7;14,3;13,9;13,2;14,1;15,4;0;16,7
