Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1266 Masfjorden;1266;Masfjorden;45;21;3;21;0;20;14;0;6;0;25;7;3;15;0
1401 Flora;1401;Flora;1 099;334;456;299;10;596;259;259;73;5;503;75;197;226;5
1411 Gulen;1411;Gulen;169;99;3;67;0;79;59;3;17;0;90;40;0;50;0
1412 Solund;1412;Solund;70;35;0;32;3;37;29;0;8;0;33;6;0;24;3
1413 Hyllestad;1413;Hyllestad;113;74;10;20;9;77;64;5;5;3;36;10;5;15;6
1416 Høyanger;1416;Høyanger;275;65;95;115;0;142;56;48;38;0;133;9;47;77;0
1417 Vik;1417;Vik;200;109;30;61;0;102;69;17;16;0;98;40;13;45;0
1418 Balestrand;1418;Balestrand;142;65;28;43;6;68;42;13;10;3;74;23;15;33;3
1419 Leikanger;1419;Leikanger;104;38;26;37;3;40;21;9;10;0;64;17;17;27;3
1420 Sogndal;1420;Sogndal;538;202;235;98;3;309;166;107;33;3;229;36;128;65;0
1421 Aurland;1421;Aurland;115;72;0;40;3;66;46;0;17;3;49;26;0;23;0
1422 Lærdal;1422;Lærdal;77;35;21;21;0;41;26;9;6;0;36;9;12;15;0
1424 Årdal;1424;Årdal;457;191;132;131;3;283;150;89;41;3;174;41;43;90;0
1426 Luster;1426;Luster;221;105;47;66;3;125;70;23;32;0;96;35;24;34;3
1428 Askvoll;1428;Askvoll;120;47;4;66;3;50;31;4;12;3;70;16;0;54;0
1429 Fjaler;1429;Fjaler;133;58;6;62;7;58;34;3;18;3;75;24;3;44;4
1430 Gaular;1430;Gaular;163;90;0;70;3;96;69;0;24;3;67;21;0;46;0
1431 Jølster;1431;Jølster;213;76;84;47;6;130;51;61;15;3;83;25;23;32;3
1432 Førde;1432;Førde;874;298;325;239;12;468;215;173;73;7;406;83;152;166;5
1433 Naustdal;1433;Naustdal;119;53;14;52;0;64;39;7;18;0;55;14;7;34;0
1438 Bremanger;1438;Bremanger;489;177;123;179;10;241;132;61;44;4;248;45;62;135;6
1439 Vågsøy;1439;Vågsøy;468;231;47;182;8;266;190;28;44;4;202;41;19;138;4
1441 Selje;1441;Selje;135;65;6;61;3;66;43;3;17;3;69;22;3;44;0
1443 Eid;1443;Eid;308;95;87;123;3;164;75;48;38;3;144;20;39;85;0
1444 Hornindal;1444;Hornindal;57;32;3;22;0;30;20;0;10;0;27;12;3;12;0
1445 Gloppen;1445;Gloppen;298;79;119;100;0;157;59;70;28;0;141;20;49;72;0
1449 Stryn;1449;Stryn;887;484;153;242;8;536;380;75;78;3;351;104;78;164;5
1502 Molde;1502;Molde;1 924;722;595;584;23;1057;532;326;187;12;867;190;269;397;11
1504 Ålesund;1504;Ålesund;4 037;1911;818;1275;33;2296;1435;452;395;14;1741;476;366;880;19
1505 Kristiansund;1505;Kristiansund;2 094;787;568;719;20;1146;632;310;198;6;948;155;258;521;14
1511 Vanylven;1511;Vanylven;140;45;0;81;14;62;34;0;17;11;78;11;0;64;3
1514 Sande;1514;Sande (M. og R.);376;227;3;136;10;250;202;3;39;6;126;25;0;97;4
1515 Herøy;1515;Herøy (M. og R.);776;404;124;241;7;385;257;59;66;3;391;147;65;175;4
1516 Ulstein;1516;Ulstein;1 034;474;243;258;59;667;421;115;72;59;367;53;128;186;0
1517 Hareid;1517;Hareid;621;241;154;217;9;338;193;84;56;5;283;48;70;161;4
1519 Volda;1519;Volda;550;132;297;115;6;313;97;178;35;3;237;35;119;80;3
1520 Ørsta;1520;Ørsta;578;189;198;180;11;305;154;106;39;6;273;35;92;141;5
1523 Ørskog;1523;Ørskog;266;110;46;107;3;137;81;25;31;0;129;29;21;76;3
1524 Norddal;1524;Norddal;112;58;6;48;0;58;35;3;20;0;54;23;3;28;0
1525 Stranda;1525;Stranda;557;339;37;175;6;306;227;19;57;3;251;112;18;118;3
1526 Stordal;1526;Stordal;115;55;6;46;8;63;34;3;22;4;52;21;3;24;4
1528 Sykkylven;1528;Sykkylven;730;280;193;246;11;380;210;98;64;8;350;70;95;182;3
1529 Skodje;1529;Skodje;295;146;39;107;3;155;113;18;24;0;140;33;21;83;3
1531 Sula;1531;Sula;686;330;80;257;19;392;263;38;76;15;294;67;42;181;4
1532 Giske;1532;Giske;588;283;88;198;19;322;210;49;56;7;266;73;39;142;12
1534 Haram;1534;Haram;1 011;369;217;407;18;512;292;105;110;5;499;77;112;297;13
1535 Vestnes;1535;Vestnes;555;262;72;218;3;314;219;41;54;0;241;43;31;164;3
1539 Rauma;1539;Rauma;404;178;7;213;6;205;137;3;62;3;199;41;4;151;3
1543 Nesset;1543;Nesset;119;56;3;57;3;61;46;3;12;0;58;10;0;45;3
1545 Midsund;1545;Midsund;211;95;17;95;4;103;69;4;30;0;108;26;13;65;4
1546 Sandøy;1546;Sandøy;146;60;0;86;0;72;44;0;28;0;74;16;0;58;0
1547 Aukra;1547;Aukra;286;125;42;107;12;150;95;22;30;3;136;30;20;77;9
1548 Fræna;1548;Fræna;644;286;67;282;9;331;231;29;67;4;313;55;38;215;5
1551 Eide;1551;Eide;218;91;20;100;7;117;72;12;30;3;101;19;8;70;4
1554 Averøy;1554;Averøy;381;176;30;162;13;192;133;9;45;5;189;43;21;117;8
1557 Gjemnes;1557;Gjemnes;142;66;16;60;0;73;48;9;16;0;69;18;7;44;0
1560 Tingvoll;1560;Tingvoll;212;69;67;70;6;113;51;39;20;3;99;18;28;50;3
1563 Sunndal;1563;Sunndal;514;64;331;119;0;273;48;197;28;0;241;16;134;91;0
1566 Surnadal;1566;Surnadal;203;68;22;106;7;98;52;15;27;4;105;16;7;79;3
1567 Rindal;1567;Rindal;20;11;0;9;0;11;8;0;3;0;9;3;0;6;0
1571 Halsa;1571;Halsa;62;31;3;28;0;30;25;0;5;0;32;6;3;23;0
1573 Smøla;1573;Smøla;140;81;0;59;0;73;56;0;17;0;67;25;0;42;0
1576 Aure;1576;Aure;283;127;65;88;3;149;98;32;19;0;134;29;33;69;3
1601 Trondheim;1601;Trondheim;14 759;4606;5715;4304;134;8013;3502;3068;1379;64;6746;1104;2647;2925;70
1612 Hemne;1612;Hemne;191;46;71;74;0;100;37;42;21;0;91;9;29;53;0
1613 Snillfjord;1613;Snillfjord;36;18;0;18;0;23;14;0;9;0;13;4;0;9;0
1617 Hitra;1617;Hitra;702;433;74;185;10;423;307;51;58;7;279;126;23;127;3
1620 Frøya;1620;Frøya;688;475;8;196;9;386;316;5;60;5;302;159;3;136;4
1621 Ørland;1621;Ørland;207;91;0;113;3;99;72;0;27;0;108;19;0;86;3
1622 Agdenes;1622;Agdenes;114;45;6;63;0;57;33;3;21;0;57;12;3;42;0
1624 Rissa;1624;Rissa;433;244;30;153;6;285;219;18;45;3;148;25;12;108;3
1627 Bjugn;1627;Bjugn;181;91;3;87;0;83;58;0;25;0;98;33;3;62;0
1630 Åfjord;1630;Åfjord;82;31;3;48;0;36;22;3;11;0;46;9;0;37;0
1632 Roan;1632;Roan;65;33;0;32;0;33;23;0;10;0;32;10;0;22;0
1633 Osen;1633;Osen;23;17;0;6;0;14;11;0;3;0;9;6;0;3;0
1634 Oppdal;1634;Oppdal;405;158;151;96;0;216;119;71;26;0;189;39;80;70;0
1635 Rennebu;1635;Rennebu;73;42;3;28;0;38;30;0;8;0;35;12;3;20;0
1636 Meldal;1636;Meldal;175;87;3;85;0;97;71;3;23;0;78;16;0;62;0
1638 Orkdal;1638;Orkdal;604;118;264;214;8;300;101;143;51;5;304;17;121;163;3
1640 Røros;1640;Røros;235;79;101;55;0;118;48;52;18;0;117;31;49;37;0
1644 Holtålen;1644;Holtålen;72;35;6;31;0;33;19;3;11;0;39;16;3;20;0
1648 Midtre Gauldal;1648;Midtre Gauldal;673;482;71;114;6;341;247;46;45;3;332;235;25;69;3
1653 Melhus;1653;Melhus;777;349;226;186;16;444;266;115;55;8;333;83;111;131;8
1657 Skaun;1657;Skaun;243;89;65;83;6;129;69;32;25;3;114;20;33;58;3
1662 Klæbu;1662;Klæbu;321;154;54;106;7;183;119;29;32;3;138;35;25;74;4
1663 Malvik;1663;Malvik;764;327;172;254;11;431;268;87;72;4;333;59;85;182;7
1664 Selbu;1664;Selbu;133;57;21;52;3;71;49;9;13;0;62;8;12;39;3
1665 Tydal;1665;Tydal;22;9;3;10;0;8;5;0;3;0;14;4;3;7;0
1702 Steinkjer;1702;Steinkjer;1 067;298;466;289;14;597;237;276;75;9;470;61;190;214;5
1703 Namsos;1703;Namsos;741;117;419;197;8;352;75;213;59;5;389;42;206;138;3
1711 Meråker;1711;Meråker;185;25;101;59;0;88;19;54;15;0;97;6;47;44;0
1714 Stjørdal;1714;Stjørdal;1 131;214;517;392;8;554;177;273;99;5;577;37;244;293;3
1717 Frosta;1717;Frosta;159;88;10;58;3;77;53;5;19;0;82;35;5;39;3
1718 Leksvik;1718;Leksvik;163;55;31;74;3;79;50;18;11;0;84;5;13;63;3
1719 Levanger;1719;Levanger;1 063;335;440;279;9;552;235;232;76;9;511;100;208;203;0
1721 Verdal;1721;Verdal;788;322;300;163;3;490;301;149;40;0;298;21;151;123;3
1724 Verran;1724;Verran;224;144;38;42;0;160;130;24;6;0;64;14;14;36;0
1725 Namdalseid;1725;Namdalseid;54;16;3;29;6;23;12;3;5;3;31;4;0;24;3
1736 Snåase Snåsa;1736;Snåsa;36;12;9;15;0;17;9;5;3;0;19;3;4;12;0
1738 Lierne;1738;Lierne;24;13;0;8;3;13;10;0;3;0;11;3;0;5;3
1739 Røyrvik;1739;Røyrvik;18;6;0;12;0;8;3;0;5;0;10;3;0;7;0
1740 Namsskogan;1740;Namsskogan;25;11;0;14;0;8;5;0;3;0;17;6;0;11;0
1742 Grong;1742;Grong;218;28;161;23;6;141;24;110;4;3;77;4;51;19;3
1743 Høylandet;1743;Høylandet;33;23;0;10;0;15;11;0;4;0;18;12;0;6;0
1744 Overhalla;1744;Overhalla;172;73;49;50;0;92;47;31;14;0;80;26;18;36;0
1748 Fosnes;1748;Fosnes;39;18;0;21;0;18;15;0;3;0;21;3;0;18;0
1749 Flatanger;1749;Flatanger;72;44;0;25;3;39;27;0;9;3;33;17;0;16;0
1750 Vikna;1750;Vikna;286;94;72;117;3;140;67;35;35;3;146;27;37;82;0
1751 Nærøy;1751;Nærøy;251;74;80;89;8;133;56;52;21;4;118;18;28;68;4
1755 Leka;1755;Leka;24;9;0;15;0;6;6;0;0;0;18;3;0;15;0
1756 Inderøy;1756;Inderøy (f.o.m. 2012);229;77;68;73;11;115;57;39;15;4;114;20;29;58;7
1804 Bodø;1804;Bodø;2 793;805;1140;826;22;1542;622;672;235;13;1251;183;468;591;9
1805 Narvik;1805;Narvik;1 269;379;471;407;12;692;299;268;120;5;577;80;203;287;7
1811 Bindal;1811;Bindal;39;19;3;17;0;21;13;3;5;0;18;6;0;12;0
1812 Sømna;1812;Sømna;89;19;35;35;0;41;15;17;9;0;48;4;18;26;0
1813 Brønnøy;1813;Brønnøy;399;101;153;145;0;183;61;84;38;0;216;40;69;107;0
1815 Vega;1815;Vega;31;7;0;24;0;7;4;0;3;0;24;3;0;21;0
1816 Vevelstad;1816;Vevelstad;25;10;0;15;0;14;7;0;7;0;11;3;0;8;0
1818 Herøy;1818;Herøy (Nordl.);184;108;29;47;0;107;78;18;11;0;77;30;11;36;0
1820 Alstahaug;1820;Alstahaug;551;133;272;143;3;301;95;161;45;0;250;38;111;98;3
1822 Leirfjord;1822;Leirfjord;153;20;102;31;0;74;15;52;7;0;79;5;50;24;0
1824 Vefsn;1824;Vefsn;581;134;238;209;0;322;102;159;61;0;259;32;79;148;0
1825 Grane;1825;Grane;48;26;0;22;0;25;16;0;9;0;23;10;0;13;0
1826 Hattfjelldal;1826;Hattfjelldal;117;16;75;26;0;63;9;47;7;0;54;7;28;19;0
1827 Dønna;1827;Dønna;59;30;4;25;0;37;24;4;9;0;22;6;0;16;0
1828 Nesna;1828;Nesna;263;42;159;62;0;159;36;102;21;0;104;6;57;41;0
1832 Hemnes;1832;Hemnes;172;44;61;67;0;78;30;27;21;0;94;14;34;46;0
1833 Rana;1833;Rana;1 101;314;459;322;6;607;236;275;93;3;494;78;184;229;3
1834 Lurøy;1834;Lurøy;58;30;0;28;0;25;16;0;9;0;33;14;0;19;0
1835 Træna;1835;Træna;83;55;6;19;3;48;34;3;8;3;35;21;3;11;0
1836 Rødøy;1836;Rødøy;42;18;0;24;0;15;9;0;6;0;27;9;0;18;0
1837 Meløy;1837;Meløy;294;125;56;113;0;139;85;27;27;0;155;40;29;86;0
1838 Gildeskål;1838;Gildeskål;174;62;62;47;3;90;46;28;16;0;84;16;34;31;3
1839 Beiarn;1839;Beiarn;33;11;10;9;3;14;5;3;3;3;19;6;7;6;0
1840 Saltdal;1840;Saltdal;250;44;156;47;3;150;34;99;14;3;100;10;57;33;0
1841 Fauske;1841;Fauske;401;98;182;118;3;200;64;99;37;0;201;34;83;81;3
1845 Sørfold;1845;Sørfold;85;32;0;53;0;38;22;0;16;0;47;10;0;37;0
1848 Steigen;1848;Steigen;161;55;51;52;3;83;47;24;12;0;78;8;27;40;3
1849 Hábmer Hamarøy;1849;Hamarøy;175;57;63;51;4;99;39;42;18;0;76;18;21;33;4
1850 Divtasvuodna Tysfjord;1850;Tysfjord;92;40;19;33;0;49;32;7;10;0;43;8;12;23;0
1851 Lødingen;1851;Lødingen;250;43;147;57;3;138;30;91;14;3;112;13;56;43;0
1852 Tjeldsund;1852;Tjeldsund;34;8;3;23;0;12;5;3;4;0;22;3;0;19;0
1853 Evenes;1853;Evenes;79;23;33;20;3;41;15;23;3;0;38;8;10;17;3
1854 Ballangen;1854;Ballangen;117;22;61;34;0;54;15;32;7;0;63;7;29;27;0
1856 Røst;1856;Røst;32;12;0;17;3;14;8;0;3;3;18;4;0;14;0
1857 Værøy;1857;Værøy;99;79;0;17;3;51;47;0;4;0;48;32;0;13;3
1859 Flakstad;1859;Flakstad;60;28;3;29;0;25;18;0;7;0;35;10;3;22;0
1860 Vestvågøy;1860;Vestvågøy;707;170;336;192;9;364;97;205;59;3;343;73;131;133;6
1865 Vågan;1865;Vågan;826;280;342;196;8;448;197;200;46;5;378;83;142;150;3
1866 Hadsel;1866;Hadsel;654;138;368;142;6;335;99;193;40;3;319;39;175;102;3
1867 Bø;1867;Bø (Nordl.);156;44;51;58;3;71;31;27;10;3;85;13;24;48;0
1868 Øksnes;1868;Øksnes;344;207;33;104;0;159;115;18;26;0;185;92;15;78;0
1870 Sortland;1870;Sortland;580;137;251;189;3;293;95;144;51;3;287;42;107;138;0
1871 Andøy;1871;Andøy;318;86;136;93;3;158;54;77;27;0;160;32;59;66;3
1874 Moskenes;1874;Moskenes;129;105;3;18;3;85;76;3;3;3;44;29;0;15;0
1902 Tromsø;1902;Tromsø;4 941;1836;1360;1676;69;2689;1293;795;567;34;2252;543;565;1109;35
1903 Harstad;1901;Harstad;1 514;348;738;419;9;793;253;411;123;6;721;95;327;296;3
1911 Kvæfjord;1911;Kvæfjord;259;28;168;60;3;143;21;96;23;3;116;7;72;37;0
1913 Skånland;1913;Skånland;171;76;32;63;0;98;66;18;14;0;73;10;14;49;0
1917 Ibestad;1917;Ibestad;92;38;32;22;0;57;26;25;6;0;35;12;7;16;0
1919 Gratangen;1919;Gratangen;100;53;21;23;3;51;35;10;3;3;49;18;11;20;0
1920 Lavangen;1920;Lavangen;28;5;3;20;0;8;5;0;3;0;20;0;3;17;0
1922 Bardu;1922;Bardu;213;37;129;44;3;105;25;62;15;3;108;12;67;29;0
1923 Salangen;1923;Salangen;181;26;122;30;3;96;14;75;7;0;85;12;47;23;3
1924 Målselv;1924;Målselv;294;95;106;84;9;149;72;49;22;6;145;23;57;62;3
1925 Sørreisa;1925;Sørreisa;173;64;35;71;3;82;47;17;18;0;91;17;18;53;3
1926 Dyrøy;1926;Dyrøy;31;7;0;24;0;7;4;0;3;0;24;3;0;21;0
1927 Tranøy;1927;Tranøy;77;10;37;30;0;29;7;13;9;0;48;3;24;21;0
1928 Torsken;1928;Torsken;64;38;3;23;0;26;17;0;9;0;38;21;3;14;0
1929 Berg;1929;Berg;115;49;50;16;0;59;27;29;3;0;56;22;21;13;0
1931 Lenvik;1931;Lenvik;665;171;322;163;9;359;118;197;41;3;306;53;125;122;6
1933 Balsfjord;1933;Balsfjord;202;107;0;91;4;93;71;0;22;0;109;36;0;69;4
1936 Karlsøy;1936;Karlsøy;178;101;7;66;4;84;50;3;27;4;94;51;4;39;0
1938 Lyngen;1938;Lyngen;94;46;16;32;0;59;38;11;10;0;35;8;5;22;0
1939 Storfjord;1939;Storfjord;85;17;40;22;6;43;6;29;5;3;42;11;11;17;3
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;92;24;41;27;0;49;16;28;5;0;43;8;13;22;0
1941 Skjervøy;1941;Skjervøy;199;101;32;63;3;116;66;25;22;3;83;35;7;41;0
1942 Nordreisa;1942;Nordreisa;186;47;84;55;0;85;30;37;18;0;101;17;47;37;0
1943 Kvænangen;1943;Kvænangen;29;13;0;16;0;12;9;0;3;0;17;4;0;13;0
2002 Vardø;2002;Vardø;173;107;12;51;3;106;81;6;19;0;67;26;6;32;3
2003 Vadsø;2003;Vadsø;855;62;651;139;3;478;53;380;45;0;377;9;271;94;3
2004 Hammerfest;2004;Hammerfest;1 206;480;402;315;9;674;337;236;97;4;532;143;166;218;5
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;38;18;0;20;0;15;11;0;4;0;23;7;0;16;0
2012 Alta;2012;Alta;1 140;381;366;389;4;604;288;220;96;0;536;93;146;293;4
2014 Loppa;2014;Loppa;82;43;0;36;3;48;35;0;13;0;34;8;0;23;3
2015 Hasvik;2015;Hasvik;140;97;3;40;0;84;71;3;10;0;56;26;0;30;0
2017 Kvalsund;2017;Kvalsund;36;17;5;11;3;8;8;0;0;0;28;9;5;11;3
2018 Måsøy;2018;Måsøy;143;99;3;41;0;75;60;3;12;0;68;39;0;29;0
2019 Nordkapp;2019;Nordkapp;270;128;40;99;3;119;70;21;28;0;151;58;19;71;3
2020 Porsanger Porsángu Porsanki;2020;Porsanger Porsángu Porsanki;200;43;64;93;0;75;21;34;20;0;125;22;30;73;0
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;41;14;0;27;0;12;4;0;8;0;29;10;0;19;0
2022 Lebesby;2022;Lebesby;85;41;3;41;0;37;25;3;9;0;48;16;0;32;0
2023 Gamvik;2023;Gamvik;161;115;0;43;3;94;74;0;17;3;67;41;0;26;0
2024 Berlevåg;2024;Berlevåg;90;67;0;23;0;43;36;0;7;0;47;31;0;16;0
2025 Deatnu Tana;2025;Deatnu Tana;158;68;3;87;0;71;53;0;18;0;87;15;3;69;0
2027 Unjárga Nesseby;2027;Unjárga Nesseby;49;14;8;27;0;19;11;3;5;0;30;3;5;22;0
2028 Båtsfjord;2028;Båtsfjord;344;189;34;118;3;169;107;20;39;3;175;82;14;79;0
2030 Sør-Varanger;2030;Sør-Varanger;991;377;174;423;17;473;256;92;115;10;518;121;82;308;7
