Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0430 Stor-Elvdal;430;Stor-Elvdal;295;50;200;38;7;194;33;149;9;3;101;17;51;29;4
0432 Rendalen;432;Rendalen;54;17;9;25;3;25;12;4;6;3;29;5;5;19;0
0434 Engerdal;434;Engerdal;65;11;46;8;0;24;4;17;3;0;41;7;29;5;0
0436 Tolga;436;Tolga;146;39;68;36;3;78;24;35;16;3;68;15;33;20;0
0437 Tynset;437;Tynset;425;174;124;127;0;242;119;71;52;0;183;55;53;75;0
0438 Alvdal;438;Alvdal;102;24;46;32;0;47;16;23;8;0;55;8;23;24;0
0439 Folldal;439;Folldal;56;13;12;28;3;22;8;7;7;0;34;5;5;21;3
0441 Os;441;Os (Hedm.);132;47;49;30;6;70;29;29;9;3;62;18;20;21;3
0501 Lillehammer;501;Lillehammer;1 807;397;990;409;11;917;274;502;136;5;890;123;488;273;6
0502 Gjøvik;502;Gjøvik;2 395;565;1277;536;17;1259;412;678;162;7;1136;153;599;374;10
0511 Dovre;511;Dovre;177;60;58;56;3;86;41;31;11;3;91;19;27;45;0
0512 Lesja;512;Lesja;106;63;7;33;3;55;44;4;7;0;51;19;3;26;3
