naringsgregion_nr-naringsregionnavn;naringsgregion_nr;naringsgregionnavn;avslutning_arsak_8.alle;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_3.alle;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_8.alle;avslutning_arsak_8.alle;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.annet;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.annet;avslutning_arsak_3.alle;avslutning_arsak_3.alle;avslutning_arsak_3.arbutd;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.annet;avslutning_arsak_3.arbutd;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.annet
;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
31 Setesdal;31;Setesdal;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
32 Arendalregionen;32;Arendalregionen;82;20;12;16;17;7;:;8;24,3902439;14,6341463;19,5121951;20,7317073;8,5365854;:;9,7560976;82;33;49;40,24390244;59,75609756;41;41;12;8;:;8;8;8;9;8;:;:;:;:;:;5;29,26829268;19,51219512;:;19,51219512;19,51219512;19,51219512;21,95121951;19,51219512;:;:;:;:;:;12,19512195;41;41;17;16;24;25;41,46341463;39,02439024;58,53658537;60,97560976
33 Lister;33;Lister;28;9;:;8;:;:;:;:;32,1428571;:;28,5714286;:;:;:;:;28;12;16;42,85714286;57,14285714;18;10;8;:;:;:;:;5;:;:;:;:;:;:;:;:;44,44444444;:;:;:;:;50;:;:;:;:;:;:;:;:;18;10;:;9;15;:;:;90;83,33333333;:
34 Mandalsregionen;34;Mandalsregionen;25;13;:;5;:;:;:;:;52;:;20;:;:;:;:;25;5;20;20;80;16;9;9;:;:;:;:;:;:;:;:;:;:;:;:;:;56,25;:;:;:;:;:;:;:;:;:;:;:;:;:;16;9;:;:;14;6;:;:;87,5;66,66666667
35 Kristiansandregionen;35;Kristiansandregionen;105;31;17;26;10;6;:;15;29,5238095;16,1904762;24,7619048;9,5238095;5,7142857;:;14,2857143;105;36;69;34,28571429;65,71428571;52;53;21;10;9;8;10;16;:;8;:;:;:;:;7;8;40,38461538;18,86792453;17,30769231;15,09433962;19,23076923;30,18867925;:;15,09433962;:;:;:;:;13,46153846;15,09433962;52;53;12;24;40;29;23,07692308;45,28301887;76,92307692;54,71698113
36 Dalane;36;Dalane;22;8;:;5;:;:;:;:;36,3636364;:;22,7272727;:;:;:;:;22;8;14;36,36363636;63,63636364;11;11;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;11;11;:;5;8;6;:;45,45454545;72,72727273;54,54545455
37 Haugesundregionen;37;Haugesundregionen;62;15;6;11;17;:;:;7;24,1935484;9,6774194;17,7419355;27,4193548;:;:;11,2903226;62;28;34;45,16129032;54,83870968;36;26;10;5;:;:;5;6;7;10;:;:;:;:;5;:;27,77777778;19,23076923;:;:;13,88888889;23,07692308;19,44444444;38,46153846;:;:;:;:;13,88888889;:;36;26;12;16;24;10;33,33333333;61,53846154;66,66666667;38,46153846
38 Ryfylke;38;Ryfylke;14;5;:;:;5;:;:;:;35,7142857;:;:;35,7142857;:;:;:;14;6;8;42,85714286;57,14285714;8;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8;6;:;:;5;:;:;:;62,5;:
39 Stavangerregionen;39;Stavangerregionen;169;36;11;38;37;20;:;25;21,3017751;6,5088757;22,4852071;21,8934911;11,8343195;:;14,7928994;169;75;94;44,37869822;55,62130178;78;91;14;22;7;:;14;24;13;24;13;7;:;:;16;9;17,94871795;24,17582418;8,974358974;:;17,94871795;26,37362637;16,66666667;26,37362637;16,66666667;7,692307692;:;:;20,51282051;9,89010989;78;91;27;48;51;43;34,61538462;52,74725275;65,38461538;47,25274725
40 Bergen;40;Bergen;230;51;24;48;60;32;:;12;22,173913;10,4347826;20,8695652;26,0869565;13,9130435;:;5,2173913;230;108;122;46,95652174;53,04347826;90;140;25;26;7;17;19;29;15;45;20;12;:;:;:;9;27,77777778;18,57142857;7,777777778;12,14285714;21,11111111;20,71428571;16,66666667;32,14285714;22,22222222;8,571428571;:;:;:;6,428571429;90;140;34;74;56;66;37,77777778;52,85714286;62,22222222;47,14285714
41 Bjørnefjorden;41;Bjørnefjorden;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
42 Hardanger;42;Hardanger;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;9;:;:;:;55,55555556;:;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
43 Voss;43;Voss;13;:;:;:;5;:;:;:;:;:;:;38,4615385;:;:;:;13;:;:;69,23076923;:;:;10;:;:;:;:;:;:;:;5;:;:;:;:;:;:;:;:;:;:;:;:;:;50;:;:;:;:;:;:;:;:;:;7;:;:;:;70;:;:
44 Nordhordland;44;Nordhordland;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
45 Osterfjorden;45;Osterfjorden;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
46 Sunnhordland;46;Sunnhordland;26;7;:;5;:;:;:;7;26,9230769;:;19,2307692;:;:;:;26,9230769;26;9;17;34,61538462;65,38461538;11;15;:;:;:;:;:;:;:;:;:;:;:;:;:;6;:;:;:;:;:;:;:;:;:;:;:;:;:;40;11;15;:;6;8;9;:;40;72,72727273;60
47 Hordaland Vest;47;Hordaland Vest;45;7;6;10;15;7;:;:;15,5555556;13,3333333;22,2222222;33,3333333;15,5555556;:;:;45;25;20;55,55555556;44,44444444;19;26;5;:;:;:;:;6;:;12;:;:;:;:;:;:;26,31578947;:;:;:;:;23,07692308;:;46,15384615;:;:;:;:;:;:;19;26;7;18;12;8;36,84210526;69,23076923;63,15789474;30,76923077
48 HAFS;48;HAFS;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
49 Nordfjord;49;Nordfjord;22;10;:;:;:;:;:;:;45,4545455;:;:;:;:;:;:;22;8;14;36,36363636;63,63636364;8;14;:;8;:;:;:;:;:;:;:;:;:;:;:;:;:;57,14285714;:;:;:;:;:;:;:;:;:;:;:;:;8;14;:;5;5;9;:;35,71428571;62,5;64,28571429
50 Sogn;50;Sogn;26;5;:;:;5;6;:;6;19,2307692;:;:;19,2307692;23,0769231;:;23,0769231;26;8;18;30,76923077;69,23076923;11;15;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;11;15;5;:;6;12;45,45454545;:;54,54545455;80
51 Sunnfjord;51;Sunnfjord;22;9;:;:;:;:;:;:;40,9090909;:;:;:;:;:;:;22;7;15;31,81818182;68,18181818;9;13;5;:;:;:;:;:;:;:;:;:;:;:;:;:;55,55555556;:;:;:;:;:;:;:;:;:;:;:;:;:;9;13;:;5;7;8;:;38,46153846;77,77777778;61,53846154
52 Nordmøre;52;Nordmøre;62;10;10;21;8;:;:;6;16,1290323;16,1290323;33,8709677;12,9032258;:;:;9,6774194;62;29;33;46,77419355;53,22580645;30;32;:;6;6;:;7;14;:;6;:;:;:;:;:;:;:;18,75;20;:;23,33333333;43,75;:;18,75;:;:;:;:;:;:;30;32;9;20;21;12;30;62,5;70;37,5
53 Romsdal;53;Romsdal;34;7;:;7;15;:;:;:;20,5882353;:;20,5882353;44,1176471;:;:;:;34;22;12;64,70588235;35,29411765;13;21;5;:;:;:;:;6;:;11;:;:;:;:;:;:;38,46153846;:;:;:;:;28,57142857;:;52,38095238;:;:;:;:;:;:;13;21;5;17;8;:;38,46153846;80,95238095;61,53846154;:
54 Storfjord;54;Storfjord;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8;:;:;:;:;:;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
55 Søre Sunnmøre;55;Søre Sunnmøre;41;13;5;:;12;:;:;:;31,7073171;12,195122;:;29,2682927;:;:;:;41;16;25;39,02439024;60,97560976;15;26;6;7;5;:;:;:;:;12;:;:;:;:;:;:;40;26,92307692;33,33333333;:;:;:;:;46,15384615;:;:;:;:;:;:;15;26;:;16;15;10;:;61,53846154;100;38,46153846
56 Ålesundregionen;56;Ålesundregionen;33;:;:;12;10;:;:;7;:;:;36,3636364;30,3030303;:;:;21,2121212;33;22;11;66,66666667;33,33333333;21;12;:;:;:;:;9;:;:;7;:;:;:;:;6;:;:;:;:;:;42,85714286;:;:;58,33333333;:;:;:;:;28,57142857;:;21;12;12;10;9;:;57,14285714;83,33333333;42,85714286;:
57 Fosen;57;Fosen;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
58 Hitra/Frøya;58;Hitra/Frøya;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
59 Oppdal/Rennebu;59;Oppdal/Rennebu;12;:;:;:;:;8;:;:;:;:;:;:;66,6666667;:;:;12;:;:;:;83,33333333;7;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7;5;:;:;6;:;:;:;85,71428571;:
60 Orkdalregionen;60;Orkdalregionen;14;5;:;:;:;:;:;:;35,7142857;:;:;:;:;:;:;14;:;:;:;71,42857143;6;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;6;8;:;:;:;6;:;:;:;75
61 Trondheimsregionen;61;Trondheimsregionen;189;46;13;33;58;18;:;20;24,3386243;6,8783069;17,4603175;30,6878307;9,5238095;:;10,5820106;189;91;98;48,14814815;51,85185185;92;97;27;19;7;6;17;16;20;38;10;8;:;:;10;10;29,34782609;19,58762887;7,608695652;6,18556701;18,47826087;16,49484536;21,73913043;39,17525773;10,86956522;8,24742268;:;:;10,86956522;10,30927835;92;97;37;54;55;43;40,2173913;55,67010309;59,7826087;44,32989691
62 Rørosregionen;62;Rørosregionen;7;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7;:;:;:;71,42857143;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
63 Stjørdalsregionen;63;Stjørdalsregionen;19;:;:;13;:;:;:;5;:;:;68,4210526;:;:;:;26,3157895;19;13;6;68,42105263;31,57894737;11;8;:;:;:;:;6;7;:;:;:;:;:;:;:;:;:;:;:;:;54,54545455;87,5;:;:;:;:;:;:;:;:;11;8;6;7;5;:;54,54545455;87,5;45,45454545;:
64 Innherred;64;Innherred;54;8;5;18;9;:;:;9;14,8148148;9,2592593;33,3333333;16,6666667;:;:;16,6666667;54;27;27;50;50;21;33;:;:;:;:;7;11;:;6;:;:;:;:;:;5;:;:;:;:;33,33333333;33,33333333;:;18,18181818;:;:;:;:;:;15,15151515;21;33;10;17;11;16;47,61904762;51,51515152;52,38095238;48,48484848
65 Indre Namdal;65;Indre Namdal;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
66 Kystgruppen;66;Kystgruppen;18;5;:;8;:;:;:;:;27,7777778;:;44,4444444;:;:;:;:;18;11;7;61,11111111;38,88888889;5;13;:;:;:;:;:;6;:;:;:;:;:;:;:;:;:;:;:;:;:;46,15384615;:;:;:;:;:;:;:;:;5;13;:;9;:;:;:;69,23076923;:;:
67 Midtre Namdal;67;Midtre Namdal;18;:;:;9;:;:;:;:;:;:;50;:;:;:;:;18;12;6;66,66666667;33,33333333;6;12;:;:;:;:;:;7;:;:;:;:;:;:;:;:;:;:;:;:;:;58,33333333;:;:;:;:;:;:;:;:;6;12;:;9;:;:;:;75;:;:
68 Sør-Helgeland;68;Sør-Helgeland;14;:;6;:;:;:;:;:;:;42,8571429;:;:;:;:;:;14;:;:;:;85,71428571;8;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8;6;:;:;8;:;:;:;100;:
69 HALD;69;HALD;31;6;11;6;:;:;:;6;19,3548387;35,483871;19,3548387;:;:;:;19,3548387;31;8;23;25,80645161;74,19354839;11;20;:;:;5;6;:;5;:;:;:;:;:;:;:;:;:;:;45,45454545;30;:;25;:;:;:;:;:;:;:;:;11;20;:;7;10;13;:;35;90,90909091;65
70 Ytre Helgeland;70;Ytre Helgeland;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
71 Mosjøregionen;71;Mosjøregionen;12;:;:;:;:;:;:;:;:;:;:;:;:;:;:;12;:;:;66,66666667;:;7;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7;5;5;:;:;:;71,42857143;:;:;:
72 Ranaregionen;72;Ranaregionen;10;:;:;:;:;:;:;5;:;:;:;:;:;:;50;10;:;:;:;60;:;6;:;:;:;:;:;:;:;:;:;:;:;:;:;5;:;:;:;:;:;:;:;:;:;:;:;:;:;83,33333333;:;:;:;:;:;5;:;:;:;83,33333333
73 Salten;73;Salten;51;10;5;6;16;9;:;5;19,6078431;9,8039216;11,7647059;31,372549;17,6470588;:;9,8039216;51;22;29;43,1372549;56,8627451;20;31;:;7;:;:;:;:;:;15;6;:;:;:;:;:;:;22,58064516;:;:;:;:;:;48,38709677;30;:;:;:;:;:;20;31;:;18;16;13;:;58,06451613;80;41,93548387
74 Ofoten;74;Ofoten;30;7;8;5;7;:;:;:;23,3333333;26,6666667;16,6666667;23,3333333;:;:;:;30;12;18;40;60;18;12;6;:;7;:;:;:;:;5;:;:;:;:;:;:;33,33333333;:;38,88888889;:;:;:;:;41,66666667;:;:;:;:;:;:;18;12;:;9;15;:;:;75;83,33333333;:
75 Lofoten;75;Lofoten;25;:;8;:;6;:;:;:;:;32;:;24;:;:;:;25;8;17;32;68;14;11;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;14;11;:;5;11;6;:;45,45454545;78,57142857;54,54545455
76 Vesterålen;76;Vesterålen;34;8;7;:;:;:;:;12;23,5294118;20,5882353;:;:;:;:;35,2941176;34;7;27;20,58823529;79,41176471;10;24;:;7;:;:;:;:;:;:;:;:;:;:;:;8;:;29,16666667;:;:;:;:;:;:;:;:;:;:;:;33,33333333;10;24;:;5;8;19;:;20,83333333;80;79,16666667
77 Sør-Troms;77;Sør-Troms;34;9;:;7;7;:;:;5;26,4705882;:;20,5882353;20,5882353;:;:;14,7058824;34;14;20;41,17647059;58,82352941;16;18;5;:;:;:;:;:;:;:;:;:;:;:;:;:;31,25;:;:;:;:;:;:;:;:;:;:;:;:;:;16;18;6;8;10;10;37,5;44,44444444;62,5;55,55555556
78 Midt-Troms;78;Midt-Troms;34;10;5;5;8;:;:;5;29,4117647;14,7058824;14,7058824;23,5294118;:;:;14,7058824;34;13;21;38,23529412;61,76470588;15;19;5;5;5;:;:;:;:;7;:;:;:;:;:;:;33,33333333;26,31578947;33,33333333;:;:;:;:;36,84210526;:;:;:;:;:;:;15;19;:;10;12;9;:;52,63157895;80;47,36842105
79 Tromsøregionen;79;Tromsøregionen;79;16;7;11;35;:;:;9;20,2531646;8,8607595;13,9240506;44,3037975;:;:;11,3924051;79;46;33;58,2278481;41,7721519;28;51;6;10;:;:;:;7;12;23;:;:;:;:;:;7;21,42857143;19,60784314;:;:;:;13,7254902;42,85714286;45,09803922;:;:;:;:;:;13,7254902;28;51;16;30;12;21;57,14285714;58,82352941;42,85714286;41,17647059
80 Nord-Troms;80;Nord-Troms;6;:;:;:;5;:;:;:;:;:;:;83,3333333;:;:;:;6;:;:;83,33333333;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
81 Vest-Finnmark;81;Vest-Finnmark;33;6;:;8;10;:;:;:;18,1818182;:;24,2424242;30,3030303;:;:;:;33;18;15;54,54545455;45,45454545;16;17;:;:;:;:;:;5;:;8;:;:;:;:;:;:;:;:;:;:;:;29,41176471;:;47,05882353;:;:;:;:;:;:;16;17;5;13;11;:;31,25;76,47058824;68,75;:
82 Midt-Finnmark;82;Midt-Finnmark;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
83 Øst-Finnmark;83;Øst-Finnmark;38;10;:;:;13;7;:;:;26,3157895;:;:;34,2105263;18,4210526;:;:;38;17;21;44,73684211;55,26315789;17;21;7;:;:;:;:;:;:;10;:;:;:;:;:;:;41,17647059;:;:;:;:;:;:;47,61904762;:;:;:;:;:;:;17;21;5;12;12;9;29,41176471;57,14285714;70,58823529;42,85714286
99 Uoppgitt naringsregion;99;Uoppgitt naringsregion;;;;;;;;;;;;;;;;;;;.;.;;;;;;;;;;;;;;;;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;;;;;;;.;.;.;.
