Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_5.europa;vreg_5.asia;vreg_5.afrika;vreg_5.nord_amerika_oseania;vreg_5.sor_og_mellom_amerika;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0417 Stange;417;Stange;739;738;381;373;358;365;851;294;271;34;27;160;205;340;146;34;294;271;27
0418 Nord-Odal;418;Nord-Odal;127;63;71;24;56;39;127;43;6;3;11;36;27;61;3;3;43;6;11
0419 Sõr-Odal;419;Sõr-Odal;261;156;134;60;127;96;269;82;37;10;19;89;41;120;19;10;82;37;19
0420 Eidskog;420;Eidskog;230;156;111;52;119;104;263;86;29;5;3;146;26;53;38;5;86;29;3
0423 Grue;423;Grue;172;137;88;68;84;69;193;80;26;5;5;56;25;86;26;5;80;26;5
0425 èsnes;425;èsnes;218;232;123;103;95;129;250;111;77;6;6;81;31;100;38;6;111;77;6
0426 VÜler (Hedm.);426;VÜler (Hedm.);158;50;86;15;72;35;161;39;3;3;3;40;43;72;6;3;39;3;3
0427 Elverum;427;Elverum;668;934;350;423;318;511;835;388;312;25;42;206;122;315;192;25;388;312;42
0428 Trysil;428;Trysil;386;158;203;78;183;80;415;67;53;5;4;190;76;115;34;5;67;53;4
0429 èmot;429;èmot;215;71;108;32;107;39;222;36;16;7;5;38;60;110;14;7;36;16;5
0430 Stor-Elvdal;430;Stor-Elvdal;130;229;64;164;66;65;138;51;164;6;0;17;65;42;14;6;51;164;0
0432 Rendalen;432;Rendalen;54;25;28;6;26;19;57;11;0;3;8;21;13;18;5;3;11;0;8
0434 Engerdal;434;Engerdal;55;53;19;19;36;34;63;27;17;0;0;37;10;8;8;0;27;17;0
0436 Tolga;436;Tolga;92;75;52;36;40;39;105;17;43;0;0;8;53;30;14;0;17;43;0
0437 Tynset;437;Tynset;298;188;169;91;129;97;314;94;70;5;3;31;29;233;21;5;94;70;3
0438 Alvdal;438;Alvdal;62;64;31;27;31;37;75;17;32;0;0;14;19;28;14;0;17;32;0
0439 Folldal;439;Folldal;43;29;18;11;25;18;48;12;11;0;0;10;23;10;5;0;12;11;0
0441 Os (Hedm.);441;Os (Hedm.);110;52;61;26;49;26;123;31;5;0;3;23;36;50;14;0;31;5;3
0501 Lillehammer;501;Lillehammer;1096;1360;565;638;531;722;1339;703;337;47;30;370;264;415;290;47;703;337;30
0502 Gjõvik;502;Gjõvik;1158;1805;638;881;520;924;1490;1000;388;39;46;249;208;662;371;39;1000;388;46
0511 Dovre;511;Dovre;125;86;64;37;61;49;128;37;37;4;5;15;20;86;7;4;37;37;5
0512 Lesja;512;Lesja;108;17;59;5;49;12;110;4;7;3;3;10;32;64;4;3;4;7;3
0513 SkjÜk;513;SkjÜk;82;54;60;25;22;29;97;7;27;3;3;9;12;59;17;3;7;27;3
0514 Lom;514;Lom;53;50;32;23;21;27;56;26;22;0;0;12;24;17;3;0;26;22;0
0515 VÜgÜ;515;VÜgÜ;61;88;35;27;26;61;70;41;32;0;5;14;13;33;10;0;41;32;5
0516 Nord-Fron;516;Nord-Fron;175;133;101;56;74;77;183;76;43;6;0;24;37;108;14;6;76;43;0
0517 Sel;517;Sel;123;205;69;112;54;93;136;56;124;3;9;16;34;70;16;3;56;124;9
0519 Sõr-Fron;519;Sõr-Fron;161;45;100;17;61;28;185;12;7;3;0;25;33;101;26;3;12;7;0
0520 Ringebu;520;Ringebu;264;122;155;67;109;55;279;56;46;3;3;26;68;167;18;3;56;46;3
0521 ùyer;521;ùyer;311;211;194;103;117;108;376;66;70;9;0;66;57;179;74;9;66;70;0
0522 Gausdal;522;Gausdal;218;107;132;43;86;64;238;43;39;4;0;56;40;118;24;4;43;39;0
0528 ùstre Toten;528;ùstre Toten;619;406;359;176;260;230;724;155;120;15;7;89;84;431;120;15;155;120;7
0529 Vestre Toten;529;Vestre Toten;351;475;207;211;144;264;396;275;131;10;14;57;76;208;55;10;275;131;14
0532 Jevnaker;532;Jevnaker;290;175;175;72;115;103;348;74;29;3;11;74;70;143;61;3;74;29;11
0533 Lunner;533;Lunner;336;381;183;179;153;202;355;158;147;15;42;100;57;163;35;15;158;147;42
0534 Gran;534;Gran;462;538;279;257;183;281;559;235;190;3;14;88;61;311;99;3;235;190;14
0536 Sõndre Land;536;Sõndre Land;184;180;100;92;84;88;200;58;99;5;3;40;63;76;21;5;58;99;3
0538 Nordre Land;538;Nordre Land;196;150;114;72;82;78;217;76;50;3;0;42;28;123;24;3;76;50;0
0540 Sõr-Aurdal;540;Sõr-Aurdal;113;70;63;40;50;30;115;51;11;3;4;15;55;41;4;3;51;11;4
0541 Etnedal;541;Etnedal;54;109;33;81;21;28;66;10;85;3;0;7;20;25;14;3;10;85;0
0542 Nord-Aurdal;542;Nord-Aurdal;367;178;210;80;157;98;409;71;49;6;10;55;80;226;48;6;71;49;10
0543 Vestre Slidre;543;Vestre Slidre;86;61;45;32;41;29;87;31;23;3;4;6;32;46;3;3;31;23;4
0544 ùystre Slidre;544;ùystre Slidre;179;61;97;17;82;44;178;25;10;8;19;43;37;91;7;8;25;10;19
0545 Vang;545;Vang;143;68;75;45;68;23;147;23;38;0;3;16;24;102;5;0;23;38;3
0602 Drammen;602;Drammen;4671;8475;2748;4068;1923;4407;5907;5455;1403;118;256;1000;726;2824;1357;118;5455;1403;256
0604 Kongsberg;604;Kongsberg;1751;1706;927;818;824;888;1904;989;295;93;170;465;509;685;245;93;989;295;170
0605 Ringerike;605;Ringerike;1537;1470;847;658;690;812;1911;754;204;33;103;310;334;860;407;33;754;204;103
0612 Hole;612;Hole;596;238;363;88;233;150;658;125;9;13;29;125;98;360;75;13;125;9;29
0615 FlÜ;615;FlÜ;73;13;42;3;31;10;76;7;0;0;3;8;24;41;3;0;7;0;3
0616 Nes (Busk.);616;Nes (Busk.);200;170;96;87;104;83;225;57;77;5;6;35;35;125;30;5;57;77;6
0617 Gol;617;Gol;383;264;211;110;172;154;448;119;73;5;3;60;60;257;71;5;119;73;3
0618 Hemsedal;618;Hemsedal;327;93;184;44;143;49;331;57;24;6;3;133;36;152;10;6;57;24;3
0619 èl;619;èl;265;159;144;80;121;79;282;67;57;6;11;44;44;171;23;6;67;57;11
0620 Hol;620;Hol;502;138;269;70;233;68;500;76;32;17;15;163;80;242;15;17;76;32;15
0621 Sigdal;621;Sigdal;146;41;77;12;69;29;153;32;0;3;0;5;33;106;9;3;32;0;0
0622 Krõdsherad;622;Krõdsherad;199;40;122;15;77;25;206;27;3;0;3;23;32;143;8;0;27;3;3
0623 Modum;623;Modum;638;490;360;216;278;274;743;220;120;13;32;123;129;373;118;13;220;120;32
0624 ùvre Eiker;624;ùvre Eiker;1223;717;735;325;488;392;1335;397;149;16;43;236;199;774;126;16;397;149;43
0625 Nedre Eiker;625;Nedre Eiker;1515;1818;893;834;622;984;1786;1214;216;28;89;317;204;966;299;28;1214;216;89
0626 Lier;626;Lier;2010;1699;1205;812;805;887;2184;1067;334;41;82;322;312;1334;216;41;1067;334;82
0627 Rõyken;627;Rõyken;1623;786;931;323;692;463;1682;509;103;58;57;397;353;815;117;58;509;103;57
0628 Hurum;628;Hurum;648;307;374;144;274;163;674;148;99;24;10;144;163;317;50;24;148;99;10
0631 Flesberg;631;Flesberg;126;83;70;41;56;42;130;19;55;3;3;25;26;72;7;3;19;55;3
0632 Rollag;632;Rollag;40;44;24;18;16;26;42;6;26;0;8;13;16;10;3;0;6;26;8
0633 Nore og Uvdal;633;Nore og Uvdal;136;69;85;35;51;34;135;20;38;4;8;23;24;85;3;4;20;38;8
0701 Horten;701;Horten;1425;1628;759;745;666;883;1805;762;384;55;46;345;265;758;437;55;762;384;46
0702 Holmestrand;702;Holmestrand;483;390;257;162;226;228;543;218;61;21;30;118;84;260;81;21;218;61;30
0704 Tõnsberg;704;Tõnsberg;2415;2081;1407;973;1008;1108;2701;1221;382;83;106;578;443;1311;369;83;1221;382;106
0706 Sandefjord;706;Sandefjord;2665;2807;1455;1302;1210;1505;3296;1536;366;125;149;660;553;1329;754;125;1536;366;149
0709 Larvik;709;Larvik;2066;2179;1147;1028;919;1151;2402;1196;472;47;128;424;402;1193;383;47;1196;472;128
0711 Svelvik;711;Svelvik;449;173;248;62;201;111;499;74;21;10;18;88;79;272;60;10;74;21;18
0713 Sande (Vestf.);713;Sande (Vestf.);545;282;328;119;217;163;583;141;71;16;16;98;106;325;54;16;141;71;16
0714 Hof;714;Hof;160;45;86;15;74;30;173;16;6;4;6;18;37;101;17;4;16;6;6
0716 Re;716;Re (f.o.m. 2002);484;280;304;107;180;173;569;151;30;9;5;97;80;298;94;9;151;30;5
0719 Andebu;719;Andebu;334;151;176;62;158;89;371;81;13;6;14;55;100;173;43;6;81;13;14
0720 Stokke;720;Stokke;796;529;439;246;357;283;819;336;103;41;26;141;177;437;64;41;336;103;26
0722 Nõtterõy;722;Nõtterõy;1054;894;544;389;510;505;1164;596;106;40;42;277;256;481;150;40;596;106;42
0723 Tjõme;723;Tjõme;317;152;164;56;153;96;316;107;18;17;11;53;92;155;16;17;107;18;11
0728 Lardal;728;Lardal;95;56;59;21;36;35;113;21;12;3;3;24;15;53;21;3;21;12;3
0805 Porsgrunn;805;Porsgrunn;1383;1971;817;936;566;1035;1691;1063;428;57;115;324;346;655;366;57;1063;428;115
0806 Skien;806;Skien;2187;3935;1229;1846;958;2089;2813;1826;1121;71;290;541;438;1136;698;71;1826;1121;290
0807 Notodden;807;Notodden;506;542;293;247;213;295;561;267;179;18;22;106;115;267;73;18;267;179;22
0811 Siljan;811;Siljan;47;93;24;34;23;59;59;36;35;0;9;13;14;19;13;0;36;35;9
0814 Bamble;814;Bamble;418;557;230;247;188;310;454;311;175;14;21;114;90;200;50;14;311;175;21
0815 Kragerõ;815;Kragerõ;476;457;274;195;202;262;536;210;146;18;23;113;128;217;78;18;210;146;23
0817 Drangedal;817;Drangedal;204;110;99;34;105;76;207;44;45;8;10;18;127;51;11;8;44;45;10
