Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_5.europa;vreg_5.asia;vreg_5.afrika;vreg_5.nord_amerika_oseania;vreg_5.sor_og_mellom_amerika;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1160 Vindafjord;1160;Vindafjord;799;211;493;74;306;137;842;116;32;11;9;53;110;625;54;11;116;32;9
1201 Bergen;1201;Bergen;18328;17930;11021;8751;7307;9179;19615;9352;4385;932;1967;2603;4676;10115;2221;932;9352;4385;1967
1211 Etne;1211;Etne;336;55;201;20;135;35;349;18;19;3;3;31;50;253;15;3;18;19;3
1216 Sveio;1216;Sveio;281;165;170;80;111;85;328;55;40;10;13;36;89;144;59;10;55;40;13
1219 Bõmlo;1219;Bõmlo;601;457;352;198;249;259;644;291;96;9;18;101;141;350;52;9;291;96;18
1221 Stord;1221;Stord;955;802;637;371;318;431;1028;496;155;30;48;160;202;563;103;30;496;155;48
1222 Fitjar;1222;Fitjar;143;37;79;15;64;22;154;14;3;3;8;13;23;105;13;3;14;3;8
1223 Tysnes;1223;Tysnes;167;40;85;8;82;32;168;23;0;6;9;24;47;90;7;6;23;0;9
1224 Kvinnherad;1224;Kvinnherad;530;350;296;128;234;222;610;156;83;7;24;96;107;320;87;7;156;83;24
1227 Jondal;1227;Jondal;49;16;29;7;20;9;49;8;3;0;4;3;25;21;0;0;8;3;4
1228 Odda;1228;Odda;325;271;172;112;153;159;373;126;79;4;14;52;51;219;51;4;126;79;14
1231 Ullensvang;1231;Ullensvang;165;142;84;64;81;78;169;78;53;4;3;16;59;86;8;4;78;53;3
1232 Eidfjord;1232;Eidfjord;69;24;35;9;34;15;70;16;4;3;3;9;23;35;3;3;16;4;3
1233 Ulvik;1233;Ulvik;96;25;51;12;45;13;100;7;11;0;3;28;45;22;5;0;7;11;3
1234 Granvin;1234;Granvin;49;8;24;3;25;5;49;4;4;0;0;8;13;28;0;0;4;4;0
1235 Voss;1235;Voss;519;391;307;193;212;198;549;177;151;22;11;87;113;297;52;22;177;151;11
1238 Kvam;1238;Kvam;511;334;326;160;185;174;564;117;146;12;6;50;114;335;65;12;117;146;6
1241 Fusa;1241;Fusa;175;62;107;10;68;52;183;42;3;4;5;11;34;126;12;4;42;3;5
1242 Samnanger;1242;Samnanger;94;62;51;22;43;40;112;21;18;0;5;15;12;67;18;0;21;18;5
1243 Os (Hord.);1243;Os (Hord.);1224;511;735;180;489;331;1301;261;69;34;70;112;166;911;112;34;261;69;70
1244 Austevoll;1244;Austevoll;435;72;261;23;174;49;439;27;14;7;20;43;43;342;11;7;27;14;20
1245 Sund;1245;Sund;372;250;219;115;153;135;377;120;90;14;21;33;74;251;19;14;120;90;21
1246 Fjell;1246;Fjell;1191;740;705;301;486;439;1269;405;131;32;94;102;201;855;111;32;405;131;94
1247 Askõy;1247;Askõy;1230;795;766;319;464;476;1261;457;183;45;79;138;265;779;79;45;457;183;79
1251 Vaksdal;1251;Vaksdal;157;113;91;53;66;60;161;38;63;0;7;18;37;101;5;0;38;63;7
1252 Modalen;1252;Modalen;17;4;10;0;7;4;16;3;0;0;3;6;7;3;0;0;3;0;3
1253 Osterõy;1253;Osterõy;471;113;278;31;193;82;478;69;12;10;15;43;73;344;18;10;69;12;15
1256 Meland;1256;Meland;372;211;211;83;161;128;387;81;66;24;22;30;46;272;39;24;81;66;22
1259 ùygarden;1259;ùygarden;214;202;139;77;75;125;227;86;83;8;12;15;70;122;20;8;86;83;12
1260 Radõy;1260;Radõy;359;103;221;36;138;67;373;39;40;3;7;14;60;282;17;3;39;40;7
1263 LindÜs;1263;LindÜs;711;340;427;120;284;220;740;198;65;17;31;88;92;514;46;17;198;65;31
1264 Austrheim;1264;Austrheim;252;74;177;25;75;49;258;44;17;4;3;15;18;215;10;4;44;17;3
1265 Fedje;1265;Fedje;24;7;11;3;13;4;25;3;0;0;3;3;19;3;0;0;3;0;3
1266 Masfjorden;1266;Masfjorden;42;16;25;3;17;13;42;10;3;0;3;3;21;18;0;0;10;3;3
1401 Flora;1401;Flora;587;647;352;309;235;338;662;320;190;11;51;65;130;381;86;11;320;190;51
1411 Gulen;1411;Gulen;137;47;72;13;65;34;157;20;0;0;6;3;20;113;21;0;20;0;6
1412 Solund;1412;Solund;61;15;36;6;25;9;69;5;0;0;0;4;15;41;9;0;5;0;0
1413 Hyllestad;1413;Hyllestad;108;18;71;8;37;10;111;6;4;0;4;9;22;76;4;0;6;4;4
1416 Hõyanger;1416;Hõyanger;165;164;98;69;67;95;181;40;54;3;51;23;56;83;19;3;40;54;51
1417 Vik;1417;Vik;177;40;94;19;83;21;174;7;32;3;0;8;34;132;0;3;7;32;0
1418 Balestrand;1418;Balestrand;127;57;67;18;60;39;133;11;25;0;15;27;44;56;6;0;11;25;15
1419 Leikanger;1419;Leikanger;76;46;35;12;41;34;76;24;19;3;0;10;14;49;3;3;24;19;0
1420 Sogndal;1420;Sogndal;344;326;231;144;113;182;360;83;210;10;7;71;66;197;26;10;83;210;7
1421 Aurland;1421;Aurland;129;19;71;6;58;13;125;12;3;6;3;18;33;71;3;6;12;3;3
1422 Lërdal;1422;Lërdal;109;33;57;12;52;21;114;11;0;0;16;45;18;45;6;0;11;0;16
1424 èrdal;1424;èrdal;311;204;195;116;116;88;336;72;87;3;18;30;45;234;27;3;72;87;18
1426 Luster;1426;Luster;210;69;122;32;88;37;223;13;34;7;3;36;41;126;20;7;13;34;3
1428 Askvoll;1428;Askvoll;118;47;58;15;60;32;123;23;5;3;11;23;42;50;8;3;23;5;11
1429 Fjaler;1429;Fjaler;182;155;82;61;100;94;182;72;37;19;27;32;76;55;19;19;72;37;27
1430 Gaular;1430;Gaular;172;18;105;3;67;15;177;9;0;3;0;16;29;125;7;3;9;0;0
1431 Jõlster;1431;Jõlster;116;112;72;64;44;48;123;17;79;0;9;7;21;88;7;0;17;79;9
1432 Fõrde;1432;Fõrde;551;494;314;231;237;263;639;202;159;9;36;84;89;369;97;9;202;159;36
1433 Naustdal;1433;Naustdal;106;36;62;10;44;26;114;21;0;5;3;14;27;60;13;5;21;0;3
1438 Bremanger;1438;Bremanger;315;212;175;83;140;129;334;65;113;3;13;19;145;149;21;3;65;113;13
1439 VÜgsõy;1439;VÜgsõy;442;154;286;51;156;103;473;99;13;3;8;93;75;271;34;3;99;13;8
1441 Selje;1441;Selje;102;58;59;16;43;42;107;37;3;0;13;13;48;40;6;0;37;3;13
1443 Eid;1443;Eid;250;152;143;65;107;87;270;67;55;6;4;59;59;126;26;6;67;55;4
1444 Hornindal;1444;Hornindal;59;11;28;6;31;5;57;4;0;3;6;6;18;33;0;3;4;0;6
1445 Gloppen;1445;Gloppen;189;163;104;79;85;84;185;61;87;8;11;30;60;92;3;8;61;87;11
1449 Stryn;1449;Stryn;790;220;509;94;281;126;811;107;63;10;19;76;105;599;31;10;107;63;19
1502 Molde;1502;Molde;1289;1102;773;510;516;592;1464;476;356;30;65;175;296;788;205;30;476;356;65
1504 èlesund;1504;èlesund;3057;1941;1920;862;1137;1079;3315;1161;274;85;163;453;440;2080;342;85;1161;274;163
1505 Kristiansund;1505;Kristiansund;1354;1104;843;491;511;613;1485;614;273;25;61;181;251;898;155;25;614;273;61
1511 Vanylven;1511;Vanylven;124;47;72;5;52;42;124;40;0;3;4;17;38;66;3;3;40;0;4
1514 Sande (M. og R.);1514;Sande (M. og R.);364;43;254;12;110;31;368;28;4;4;3;18;46;296;8;4;28;4;3
1515 Herõy (M. og R.);1515;Herõy (M. og R.);605;274;345;84;260;190;647;127;68;11;26;51;56;488;52;11;127;68;26
1516 Ulstein;1516;Ulstein;742;422;579;156;163;266;790;219;119;12;24;54;93;582;61;12;219;119;24
1517 Hareid;1517;Hareid;431;254;262;107;169;147;459;158;43;9;16;29;40;353;37;9;158;43;16
1519 Volda;1519;Volda;300;430;166;217;134;213;346;159;195;12;18;53;84;151;58;12;159;195;18
1520 ùrsta;1520;ùrsta;373;319;233;125;140;194;410;164;90;14;14;57;74;228;51;14;164;90;14
1523 ùrskog;1523;ùrskog;220;87;132;31;88;56;253;42;8;3;0;28;47;142;36;3;42;8;0
1524 Norddal;1524;Norddal;125;18;60;8;65;10;128;11;0;3;0;21;50;51;6;3;11;0;0
1525 Stranda;1525;Stranda;520;96;300;40;220;56;538;63;7;3;5;36;64;417;21;3;63;7;5
1526 Stordal;1526;Stordal;129;19;73;9;56;10;127;18;0;3;0;29;49;49;0;3;18;0;0
1528 Sykkylven;1528;Sykkylven;489;335;279;138;210;197;532;173;79;12;21;37;108;331;56;12;173;79;21
1529 Skodje;1529;Skodje;264;82;158;19;106;63;281;43;14;3;6;25;80;157;19;3;43;14;6
1531 Sula;1531;Sula;564;226;375;75;189;151;598;153;15;9;15;64;85;406;43;9;153;15;15
1532 Giske;1532;Giske;495;204;301;73;194;131;521;66;75;17;20;57;88;333;43;17;66;75;20
1534 Haram;1534;Haram;727;431;443;151;284;280;828;237;62;7;24;79;121;520;108;7;237;62;24
1535 Vestnes;1535;Vestnes;446;217;297;72;149;145;465;117;59;9;13;67;84;286;28;9;117;59;13
1539 Rauma;1539;Rauma;384;124;226;32;158;92;388;83;10;11;16;64;145;164;15;11;83;10;16
1543 Nesset;1543;Nesset;98;43;57;7;41;36;104;25;0;3;8;7;43;45;9;3;25;0;8
1545 Midsund;1545;Midsund;169;64;99;13;70;51;178;27;18;4;6;10;32;123;13;4;27;18;6
1546 Sandõy;1546;Sandõy;138;28;75;10;63;18;148;11;3;5;0;8;33;92;15;5;11;3;0
1547 Aukra;1547;Aukra;233;91;133;34;100;57;231;43;31;11;8;15;51;156;9;11;43;31;8
1548 Frëna;1548;Frëna;531;218;313;60;218;158;546;118;50;11;24;45;104;371;26;11;118;50;24
1551 Eide;1551;Eide;148;89;94;31;54;58;170;40;22;3;3;6;38;101;25;3;40;22;3
1554 Averõy;1554;Averõy;316;113;191;27;125;86;337;51;18;6;17;23;124;163;27;6;51;18;17
1557 Gjemnes;1557;Gjemnes;106;63;63;25;43;38;115;25;19;3;7;7;56;40;12;3;25;19;7
1560 Tingvoll;1560;Tingvoll;138;99;77;46;61;53;150;32;48;3;4;14;88;33;15;3;32;48;4
1563 Sunndal;1563;Sunndal;129;440;72;221;57;219;162;163;220;9;15;19;42;59;42;9;163;220;15
1566 Surnadal;1566;Surnadal;148;86;83;30;65;56;167;37;15;5;10;15;48;80;24;5;37;15;10
1567 Rindal;1567;Rindal;25;3;14;0;11;3;25;0;0;0;3;4;3;18;0;0;0;0;3
1571 Halsa;1571;Halsa;46;21;26;5;20;16;60;7;0;0;0;3;14;29;14;0;7;0;0
1573 Smõla;1573;Smõla;147;23;81;4;66;19;150;15;0;0;3;22;43;80;5;0;15;0;3
1576 Aure;1576;Aure;205;113;118;43;87;70;220;46;43;3;6;16;64;122;18;3;46;43;6
1601 Trondheim;1601;Trondheim;8659;11387;5199;5610;3460;5777;9762;6505;2465;511;794;1878;2684;3586;1614;511;6505;2465;794
1612 Hemne;1612;Hemne;86;138;50;63;36;75;109;65;39;3;8;12;21;50;26;3;65;39;8
1613 Snillfjord;1613;Snillfjord;35;9;24;3;11;6;34;5;0;0;3;6;20;8;0;0;5;0;3
1617 Hitra;1617;Hitra;571;183;361;78;210;105;592;72;70;5;15;26;58;482;26;5;72;70;15
1620 Frõya;1620;Frõya;656;108;391;26;265;82;674;72;13;3;3;45;50;559;20;3;72;13;3
1621 ùrland;1621;ùrland;148;95;90;21;58;74;161;58;7;7;10;16;16;109;20;7;58;7;10
1622 Agdenes;1622;Agdenes;82;45;47;16;35;29;96;17;3;3;9;5;8;66;17;3;17;3;9
1624 Rissa;1624;Rissa;388;109;273;38;115;71;401;57;28;7;4;35;55;291;20;7;57;28;4
1627 Bjugn;1627;Bjugn;158;74;94;16;64;58;163;51;4;5;9;23;78;52;10;5;51;4;9
1630 èfjord;1630;èfjord;64;31;34;10;30;21;67;26;3;0;0;10;16;38;3;0;26;3;0
1632 Roan;1632;Roan;59;12;34;3;25;9;62;8;0;0;0;4;13;42;3;0;8;0;0
1633 Osen;1633;Osen;23;3;13;3;10;0;21;0;3;0;0;0;3;18;0;0;0;3;0
1634 Oppdal;1634;Oppdal;293;192;175;80;118;112;313;82;80;8;3;64;18;203;28;8;82;80;3
1635 Rennebu;1635;Rennebu;67;19;35;8;32;11;69;11;4;0;0;8;20;38;3;0;11;4;0
1636 Meldal;1636;Meldal;148;43;98;10;50;33;161;17;3;3;8;10;28;108;15;3;17;3;8
1638 Orkdal;1638;Orkdal;288;428;168;180;120;248;385;167;137;7;20;58;70;153;104;7;167;137;20
1640 Rõros;1640;Rõros;215;129;102;59;113;70;263;30;37;8;6;84;45;78;56;8;30;37;6
1644 HoltÜlen;1644;HoltÜlen;66;21;33;7;33;14;76;3;0;0;7;11;17;38;10;0;3;0;7
1648 Midtre Gauldal;1648;Midtre Gauldal;605;110;307;54;298;56;615;53;41;3;4;25;21;557;12;3;53;41;4
1653 Melhus;1653;Melhus;517;385;334;168;183;217;536;245;91;15;15;57;56;388;35;15;245;91;15
1657 Skaun;1657;Skaun;176;125;108;49;68;76;191;71;25;5;9;30;56;85;20;5;71;25;9
1662 Klëbu;1662;Klëbu;259;116;157;48;102;68;266;38;31;9;31;37;21;192;16;9;38;31;31
1663 Malvik;1663;Malvik;640;324;401;130;239;194;710;123;87;18;26;116;141;365;88;18;123;87;26
1664 Selbu;1664;Selbu;129;46;75;14;54;32;143;21;3;3;6;21;23;82;17;3;21;3;6
1665 Tydal;1665;Tydal;29;6;11;0;18;6;28;7;0;0;0;15;10;3;0;0;7;0;0
1702 Steinkjer;1702;Steinkjer;548;718;325;352;223;366;621;316;282;19;28;105;84;340;92;19;316;282;28
1703 Namsos;1703;Namsos;293;579;151;259;142;320;345;226;277;18;6;64;107;104;70;18;226;277;6
1711 MerÜker;1711;MerÜker;92;144;49;65;43;79;125;49;55;0;6;40;19;32;34;0;49;55;6
1714 Stjõrdal;1714;Stjõrdal;509;873;305;359;204;514;583;462;249;24;64;143;93;249;98;24;462;249;64
1717 Frosta;1717;Frosta;141;34;74;11;67;23;137;25;0;9;4;9;7;116;5;9;25;0;4
1718 Leksvik;1718;Leksvik;97;103;58;41;39;62;105;70;19;3;3;23;25;46;11;3;70;19;3
1719 Levanger;1719;Levanger;606;669;356;295;250;374;684;359;193;15;24;106;116;370;92;15;359;193;24
1721 Verdal;1721;Verdal;474;434;376;180;98;254;506;205;170;9;17;75;30;360;41;9;205;170;17
1724 Verran;1724;Verran;178;67;136;33;42;34;193;17;35;0;0;15;27;136;15;0;17;35;0
1725 Namdalseid;1725;Namdalseid;42;23;24;3;18;20;45;6;11;0;3;10;11;20;4;0;6;11;3
1736 SnÜsa;1736;SnÜsa;58;16;22;6;36;10;60;5;9;0;0;31;8;18;3;0;5;9;0
1738 Lierne;1738;Lierne;76;4;29;0;47;4;74;3;0;3;0;50;7;17;0;3;3;0;0
1739 Rõyrvik;1739;Rõyrvik;29;7;15;3;14;4;32;3;0;0;0;15;0;14;3;0;3;0;0
1740 Namsskogan;1740;Namsskogan;28;9;8;3;20;6;28;9;0;0;0;6;6;16;0;0;9;0;0
1742 Grong;1742;Grong;67;174;37;112;30;62;85;67;85;0;3;17;21;28;19;0;67;85;3
1743 Hõylandet;1743;Hõylandet;36;6;18;3;18;3;36;0;3;0;0;8;4;24;0;0;0;3;0
1744 Overhalla;1744;Overhalla;121;70;67;36;54;34;126;31;30;3;0;12;26;80;8;3;31;30;0
1748 Fosnes;1748;Fosnes;39;7;20;0;19;7;38;8;0;0;0;4;24;10;0;0;8;0;0
1749 Flatanger;1749;Flatanger;74;16;43;3;31;13;77;11;0;0;3;12;20;42;3;0;11;0;3
1750 Vikna;1750;Vikna;194;136;123;43;71;93;212;48;66;0;4;30;40;124;18;0;48;66;4
1751 Nërõy;1751;Nërõy;155;142;85;61;70;81;161;48;82;4;3;31;39;81;10;4;48;82;3
1755 Leka;1755;Leka;20;9;7;0;13;9;21;8;0;0;0;3;4;14;0;0;8;0;0
1756 Inderõy (f.o.m. 2012);1756;Inderõy (f.o.m. 2012);173;122;96;51;77;71;188;47;52;3;5;34;50;86;18;3;47;52;5
1804 Bodõ;1804;Bodõ;1635;2087;959;979;676;1108;1928;916;727;59;92;408;335;831;354;59;916;727;92
1805 Narvik;1805;Narvik;856;959;512;474;344;485;1003;450;305;29;28;284;130;413;176;29;450;305;28
1811 Bindal;1811;Bindal;34;9;19;4;15;5;35;6;0;0;0;3;9;23;0;0;6;0;0
1812 Sõmna;1812;Sõmna;45;69;24;27;21;42;51;36;23;3;3;11;16;16;8;3;36;23;3
1813 Brõnnõy;1813;Brõnnõy;196;287;99;115;97;172;232;151;85;3;13;48;36;110;38;3;151;85;13
1815 Vega;1815;Vega;26;19;13;3;13;16;32;11;0;0;0;13;7;5;7;0;11;0;0
1816 Vevelstad;1816;Vevelstad;23;8;15;0;8;8;23;4;0;3;3;0;8;12;3;3;4;0;3
1818 Herõy (Nordl.);1818;Herõy (Nordl.);153;54;95;25;58;29;158;22;28;0;0;18;3;133;4;0;22;28;0
1820 Alstahaug;1820;Alstahaug;256;396;144;196;112;200;329;148;159;8;8;48;38;162;81;8;148;159;8
1822 Leirfjord;1822;Leirfjord;51;136;26;62;25;74;70;28;80;4;5;21;13;13;23;4;28;80;5
1824 Vefsn;1824;Vefsn;274;416;162;209;112;207;321;214;130;7;18;63;67;137;54;7;214;130;18
1825 Grane;1825;Grane;61;21;31;5;30;16;65;16;0;3;0;21;3;36;5;3;16;0;0
1826 Hattfjelldal;1826;Hattfjelldal;48;93;26;50;22;43;63;20;58;0;0;22;13;13;15;0;20;58;0
1827 Dõnna;1827;Dõnna;48;24;30;12;18;12;66;5;0;0;0;3;22;23;18;0;5;0;0
1828 Nesna;1828;Nesna;96;191;58;115;38;76;107;73;103;3;3;11;17;66;13;3;73;103;3
1832 Hemnes;1832;Hemnes;116;107;66;38;50;69;147;39;30;7;0;36;18;55;38;7;39;30;0
1833 Rana;1833;Rana;661;749;395;361;266;388;760;364;244;20;22;180;124;338;118;20;364;244;22
1834 Lurõy;1834;Lurõy;81;19;40;0;41;19;82;17;0;3;0;35;9;35;3;3;17;0;0
1835 Trëna;1835;Trëna;69;19;41;8;28;11;69;13;5;0;0;3;0;66;0;0;13;5;0
1836 Rõdõy;1836;Rõdõy;38;24;18;6;20;18;50;10;0;0;3;15;8;15;12;0;10;0;3
1837 Melõy;1837;Melõy;207;173;119;55;88;118;233;89;37;11;10;54;44;98;37;11;89;37;10
1838 GildeskÜl;1838;GildeskÜl;106;92;64;36;42;56;109;34;52;0;3;13;22;70;4;0;34;52;3
1839 Beiarn;1839;Beiarn;22;21;8;6;14;15;25;3;15;0;0;10;5;7;3;0;3;15;0
1840 Saltdal;1840;Saltdal;115;200;69;114;46;86;149;58;102;5;0;46;18;46;39;5;58;102;0
1841 Fauske;1841;Fauske;230;274;123;122;107;152;277;121;78;9;19;61;48;112;56;9;121;78;19
1845 Sõrfold;1845;Sõrfold;67;29;37;7;30;22;71;17;0;0;7;5;17;45;4;0;17;0;7
1848 Steigen;1848;Steigen;123;72;75;26;48;46;123;36;32;4;0;18;58;43;4;4;36;32;0
1849 Hamarõy;1849;Hamarõy;105;103;59;55;46;48;124;56;25;0;3;20;49;35;20;0;56;25;3
1850 Tysfjord;1850;Tysfjord;82;45;48;14;34;31;91;13;21;0;0;28;4;49;10;0;13;21;0
1851 Lõdingen;1851;Lõdingen;85;201;45;103;40;98;97;78;100;4;7;24;16;41;16;4;78;100;7
1852 Tjeldsund;1852;Tjeldsund;19;26;8;7;11;19;24;14;3;0;5;9;3;7;5;0;14;3;5
1853 Evenes;1853;Evenes;51;50;27;23;24;27;58;20;20;3;3;17;3;30;8;3;20;20;3
1854 Ballangen;1854;Ballangen;62;94;29;37;33;57;66;37;49;3;3;23;11;26;6;3;37;49;3
1856 Rõst;1856;Rõst;22;17;12;5;10;12;23;13;0;0;3;5;3;15;0;0;13;0;3
1857 Vërõy;1857;Vërõy;88;14;48;5;40;9;98;3;0;0;0;3;0;85;10;0;3;0;0
1859 Flakstad;1859;Flakstad;64;19;32;4;32;15;67;11;0;0;3;15;20;28;4;0;11;0;3
1860 VestvÜgõy;1860;VestvÜgõy;332;493;164;247;168;246;366;235;201;7;16;67;93;165;41;7;235;201;16
1865 VÜgan;1865;VÜgan;532;454;310;217;222;237;578;244;144;8;12;108;109;307;54;8;244;144;12
1866 Hadsel;1866;Hadsel;254;487;151;228;103;259;321;213;187;6;14;47;62;139;73;6;213;187;14
1867 Bõ (Nordl.);1867;Bõ (Nordl.);84;93;46;35;38;58;97;41;35;3;0;16;15;50;16;3;41;35;0
1868 ùksnes;1868;ùksnes;310;110;156;39;154;71;336;50;29;3;3;52;36;219;29;3;50;29;3
1870 Sortland;1870;Sortland;261;414;154;184;107;230;315;192;135;4;29;56;36;165;58;4;192;135;29
1871 Andõy;1871;Andõy;183;199;99;89;84;110;205;78;82;10;7;46;39;88;32;10;78;82;7
1874 Moskenes;1874;Moskenes;137;11;86;3;51;8;136;6;0;0;5;12;10;114;0;0;6;0;5
1902 Tromsõ;1902;Tromsõ;4056;3423;2222;1655;1834;1768;4561;1390;1153;185;189;1240;1095;1535;691;185;1390;1153;189
1903 Harstad;1901;Harstad;684;1190;405;544;279;646;797;619;374;26;58;157;226;275;139;26;619;374;58
1911 Kvëfjord;1911;Kvëfjord;83;205;49;108;34;97;89;97;93;3;6;16;38;27;8;3;97;93;6
1913 SkÜnland;1913;SkÜnland;114;87;74;34;40;53;141;27;27;3;4;16;25;70;30;3;27;27;4
1917 Ibestad;1917;Ibestad;61;41;33;28;28;13;66;25;10;0;0;5;26;30;5;0;25;10;0
1919 Gratangen;1919;Gratangen;101;32;54;12;47;20;104;10;18;0;0;29;16;55;4;0;10;18;0
1920 Lavangen;1920;Lavangen;24;12;10;3;14;9;27;7;0;0;3;7;4;13;3;0;7;0;3
1922 Bardu;1922;Bardu;97;162;52;74;45;88;126;47;74;3;10;27;41;27;31;3;47;74;10
1923 Salangen;1923;Salangen;49;153;23;84;26;69;69;61;69;0;3;10;17;22;20;0;61;69;3
1924 MÜlselv;1924;MÜlselv;186;175;114;61;72;114;207;57;92;3;3;47;23;113;24;3;57;92;3
1925 Sõrreisa;1925;Sõrreisa;128;84;71;25;57;59;143;39;21;5;4;21;42;60;20;5;39;21;4
1926 Dyrõy;1926;Dyrõy;25;18;10;3;15;15;32;9;0;0;0;7;7;11;7;0;9;0;0
1927 Tranõy;1927;Tranõy;50;70;23;23;27;47;57;27;34;0;0;22;17;9;9;0;27;34;0
1928 Torsken;1928;Torsken;76;10;37;0;39;10;78;9;0;0;0;21;5;49;3;0;9;0;0
1929 Berg;1929;Berg;71;59;34;32;37;27;75;4;49;0;3;11;6;54;4;0;4;49;3
1931 Lenvik;1931;Lenvik;327;484;175;233;152;251;379;186;223;3;20;69;73;182;55;3;186;223;20
1933 Balsfjord;1933;Balsfjord;206;74;116;14;90;60;232;40;0;5;3;47;52;102;31;5;40;0;3
1936 Karlsõy;1936;Karlsõy;159;53;88;15;71;38;167;30;12;0;3;25;15;118;9;0;30;12;3
1938 Lyngen;1938;Lyngen;86;48;59;19;27;29;96;26;3;0;8;26;15;44;11;0;26;3;8
1939 Storfjord;1939;Storfjord;77;63;30;34;47;29;88;12;38;0;0;51;16;9;12;0;12;38;0
1940 G†ivuotna KÜfjord;1940;G†ivuotna KÜfjord;57;67;28;34;29;33;62;19;37;3;3;25;6;23;8;3;19;37;3
1941 Skjervõy;1941;Skjervõy;158;69;90;38;68;31;176;30;21;0;0;18;22;118;18;0;30;21;0
1942 Nordreisa;1942;Nordreisa;99;132;54;50;45;82;109;64;54;3;3;28;22;47;12;3;64;54;3
1943 Kvënangen;1943;Kvënangen;35;15;17;3;18;12;40;8;0;0;3;18;11;6;5;0;8;0;3
2002 Vardõ;2002;Vardõ;174;67;108;30;66;37;214;17;6;3;3;59;10;103;42;3;17;6;3
2003 Vadsõ;2003;Vadsõ;202;818;106;436;96;382;335;323;334;3;26;114;30;56;135;3;323;334;26
2004 Hammerfest;2004;Hammerfest;769;735;469;354;300;381;919;316;242;7;20;196;105;461;157;7;316;242;20
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;126;31;55;9;71;22;129;23;4;0;0;97;17;11;4;0;23;4;0
2012 Alta;2012;Alta;741;832;453;354;288;478;984;433;116;20;20;265;100;355;264;20;433;116;20
2014 Loppa;2014;Loppa;69;26;50;7;19;19;68;23;0;0;3;10;15;43;0;0;23;0;3
2015 Hasvik;2015;Hasvik;155;29;97;9;58;20;161;21;3;0;0;41;12;102;6;0;21;3;0
2017 Kvalsund;2017;Kvalsund;54;13;19;0;35;13;57;9;0;0;0;30;0;23;4;0;9;0;0
2018 MÜsõy;2018;MÜsõy;130;41;80;14;50;27;143;20;6;0;3;24;21;85;13;0;20;6;3
2019 Nordkapp;2019;Nordkapp;224;131;120;46;104;85;246;74;27;3;6;67;37;118;24;3;74;27;6
2020 Porsanger;2020;Porsanger Pors†ngu Porsanki;133;147;55;49;78;98;197;42;35;3;4;64;20;47;66;3;42;35;4
2021 K†r†sjohka Karasjok;2021;K†r†sjohka Karasjok;101;46;41;8;60;38;127;14;3;0;3;87;8;5;27;0;14;3;3
2022 Lebesby;2022;Lebesby;94;44;40;11;54;33;104;32;0;0;0;44;4;45;11;0;32;0;0
2023 Gamvik;2023;Gamvik;179;47;114;17;65;30;204;20;0;0;3;55;9;115;25;0;20;0;3
2024 BerlevÜg;2024;BerlevÜg;93;21;47;7;46;14;105;7;3;0;0;17;14;62;12;0;7;3;0
2025 Deatnu Tana;2025;Deatnu Tana;183;89;105;18;78;71;230;28;0;5;8;96;16;66;52;5;28;0;8
2027 Unjargga-Nesseby;2027;Unj†rga Nesseby;40;41;24;11;16;30;56;18;6;0;0;26;0;13;17;0;18;6;0
2028 BÜtsfjord;2028;BÜtsfjord;351;124;175;48;176;76;414;43;14;0;4;114;7;230;63;0;43;14;4
2030 Sõr-Varanger;2030;Sõr-Varanger;604;701;346;260;258;441;995;193;79;27;11;235;84;257;419;27;193;79;11
