Kommune nr & navn;kommune_nr;"Kommune
navn";kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1102 Sandnes;1102;Sandnes;7079;4032;3047;4257;2647;1610;2822;1385;1437;74;82,3;65,2;81,6;86,9;74,1;64,8;74,8;57,5
1103 Stavanger;1103;Stavanger;14494;8093;6401;8831;5298;3533;5663;2795;2868;72,6;80;65;79,2;84,4;72,5;64,2;72,7;57,6
1106 Haugesund;1106;Haugesund;2880;1772;1108;1857;1263;594;1023;509;514;68;75;59,2;75,1;78,7;68,4;58;67;51,1
1111 Sokndal;1111;Sokndal;100;55;45;50;35;15;50;20;30;83,3;84,6;81,8;92,6;89,7;100;75,8;76,9;75
1112 Lund;1112;Lund;121;70;51;55;39;16;66;31;35;64;76,1;52,6;69,6;84,8;48,5;60;67,4;54,7
1114 Bjerkreim;1114;Bjerkreim;162;129;33;94;83;11;68;46;22;80,6;81,6;76,7;85,5;87,4;73,3;74,7;73;78,6
1119 Hå;1119;Hå;1383;1064;319;852;714;138;531;350;181;73;79,2;57,9;78,3;84,3;57,3;65,8;70,4;58,4
1120 Klepp;1120;Klepp;1325;959;366;817;649;168;508;310;198;76,9;83,2;64,3;84,1;87,2;74;67,6;75,8;57,9
1121 Time;1121;Time;976;605;371;576;409;167;400;196;204;73,8;81,8;63,6;80,2;85,9;69;66,1;74,2;59,8
1122 Gjesdal;1122;Gjesdal;755;575;180;451;377;74;304;198;106;78,2;82,7;66,7;83,4;87,1;68,5;71,7;75,6;65,4
1124 Sola;1124;Sola;2273;1417;856;1360;920;440;913;497;416;75,1;80,3;67,9;84,9;86,8;81,3;64,1;70,6;57,8
1127 Randaberg;1127;Randaberg;619;434;185;373;280;93;246;154;92;74,8;82,2;61,9;81,8;87,5;68,4;66,3;74;56,4
1129 Forsand;1129;Forsand;60;49;11;39;35;4;21;14;7;84,5;87,5;73,3;92,9;94,6;80;72,4;73,7;70
1130 Strand;1130;Strand;578;350;228;306;221;85;272;129;143;69,8;77,3;60,8;76,1;84,7;60,3;63,8;67,2;61,1
1133 Hjelmeland;1133;Hjelmeland;257;197;60;152;115;37;105;82;23;78,1;85,7;60,6;84,4;88,5;74;70,5;82;46,9
1134 Suldal;1134;Suldal;191;136;55;93;69;24;98;67;31;75,8;84,5;60,4;80,2;87,3;64,9;72,1;81,7;57,4
1135 Sauda;1135;Sauda;168;110;58;94;73;21;74;37;37;71,5;82,1;57,4;74,6;84,9;52,5;67,9;77,1;60,7
1141 Finnøy;1141;Finnøy;272;250;22;170; : ; : ;102;83;19;87,2;87,7;81,5;89,5; : ; : ;83,6;83,8;82,6
1142 Rennesøy;1142;Rennesøy;294;243;51;174;156;18;120;87;33;74,2;77,9;60,7;82,9;84,8;69,2;64,5;68;56,9
1144 Kvitsøy;1144;Kvitsøy;23; : ; : ;10; : ; : ;13; : ; : ;79,3; : ; : ;83,3; : ; : ;76,5; : ; : 
1145 Bokn;1145;Bokn;49;42;7;28; : ; : ;21;16;5;79;82,4;63,6;87,5; : ; : ;70;76,2;55,6
1146 Tysvær;1146;Tysvær;395;286;109;238;200;38;157;86;71;67,6;81,9;46,4;76,8;87,3;46,9;57,3;71,7;46,1
1149 Karmøy;1149;Karmøy;1818;1234;584;1056;838;218;762;396;366;66,4;72,5;56,5;73,7;77,4;62,3;58,5;64;53,5
1151 Utsira;1151;Utsira;11;4;7; : ; : ; : ;8; : ; : ;84,6;66,7;100; : ; : ; : ;88,9; : ; : 
1160 Vindafjord;1160;Vindafjord;571;480;91;360;326;34;211;154;57;71,2;74,7;57,2;78,1;79,3;68;61,9;66,4;52,3
1201 Bergen;1201;Bergen;20762;11773;8989;12407;7672;4735;8355;4101;4254;67,6;75,6;59,3;72,8;79;64,5;61,1;69,9;54,4
1211 Etne;1211;Etne;255;234;21;153;146;7;102;88;14;78,2;83,9;44,7;82,3;86,4;41,2;72,9;80;46,7
1216 Sveio;1216;Sveio;244;187;57;145;125;20;99;62;37;69,9;77,3;53,3;74;81,7;46,5;64,7;69,7;57,8
1219 Bømlo;1219;Bømlo;554;378;176;326;240;86;228;138;90;68,9;80,9;52,2;78,6;85,7;63,7;58,6;73,8;44,6
1221 Stord;1221;Stord;960;564;396;607;404;203;353;160;193;68;71,7;63,5;72,9;73,3;72;61,1;67,8;56,4
1222 Fitjar;1222;Fitjar;111;90;21;73;62;11;38;28;10;76,6;78,9;67,7;90,1;89,9;91,7;59,4;62,2;52,6
1223 Tysnes;1223;Tysnes;121;95;26;64;57;7;57;38;19;74,2;74,2;74,3;86,5;85,1;100;64;62,3;67,9
1224 Kvinnherad;1224;Kvinnherad;451;288;163;240;183;57;211;105;106;68,5;74;60,6;74,8;80,3;61,3;62,6;65,2;60,2
1227 Jondal;1227;Jondal;39;28;11;22;18;4;17;10;7;72,2;71,8;73,3;73,3;78,3;57,1;70,8;62,5;87,5
1228 Odda;1228;Odda;352;214;138;162;114;48;190;100;90;73,6;84,3;61,6;73;85,1;54,5;74,2;83,3;66,2
1231 Ullensvang;1231;Ullensvang;155;102;53;72;52;20;83;50;33;69,2;84,3;51,5;65,5;83,9;41,7;72,8;84,7;60
1232 Eidfjord;1232;Eidfjord;48;38;10;23; : ; : ;25;18;7;70,6;76;55,6;67,6; : ; : ;73,5;81,8;58,3
1233 Ulvik;1233;Ulvik;68;52;16;35;27;8;33;25;8;77,3;80;69,6;76,1;77,1;72,7;78,6;83,3;66,7
1234 Granvin;1234;Granvin;34; : ; : ;16; : ; : ;18; : ; : ;75,6; : ; : ;69,6; : ; : ;81,8; : ; : 
1235 Voss;1235;Voss;481;329;152;274;205;69;207;124;83;66,8;80,2;49;68,2;81;46,3;65,1;79;51,6
1238 Kvam;1238;Kvam;433;303;130;259;205;54;174;98;76;65,8;72,8;53,7;66,9;73,7;49,5;64,2;71;57,1
1241 Fusa;1241;Fusa;147;115;32;83;79;4;64;36;28;74,2;75,7;69,6;79,8;80,6;66,7;68,1;66,7;70
1242 Samnanger;1242;Samnanger;82;51;31;45;33;12;37;18;19;68,9;78,5;57,4;83,3;94,3;63,2;56,9;60;54,3
1243 Os (Hord.);1243;Os (Hord.);1036;771;265;618;520;98;418;251;167;71,7;75,9;61,9;79,2;81,8;68,1;63;66,1;58,8
1244 Austevoll;1244;Austevoll;344;301;43;201;190;11;143;111;32;79,1;80,7;69,4;81;82,6;61,1;76,5;77,6;72,7
1245 Sund;1245;Sund;358;247;111;205;152;53;153;95;58;71,6;80,7;57,2;74,8;80,4;62,4;67,7;81,2;53,2
1246 Fjell;1246;Fjell;1127;757;370;661;502;159;466;255;211;72,9;78,4;63,7;79,7;83,1;70,7;64,9;70,4;59,3
1247 Askøy;1247;Askøy;1145;780;365;674;530;144;471;250;221;70,4;76,6;60;75,6;79,9;63,2;64,1;70,4;58,2
1251 Vaksdal;1251;Vaksdal;143;92;51;73;57;16;70;35;35;66,8;75,4;55,4;64,6;78,1;40;69,3;71,4;67,3
1252 Modalen;1252;Modalen;15;11;4;6; : ; : ;9; : ; : ;83,3;78,6;100;75; : ; : ;90; : ; : 
1253 Osterøy;1253;Osterøy;333;274;59;210;190;20;123;84;39;71,6;74,3;61,5;82,4;82,3;83,3;58,6;60,9;54,2
1256 Meland;1256;Meland;329;224;105;186;152;34;143;72;71;73,4;77,2;66,5;79,8;85,4;61,8;66,5;64,3;68,9
1259 Øygarden;1259;Øygarden;235;149;86;129;105;24;106;44;62;69,1;80,1;55,8;73,3;86,8;43,6;64,6;67,7;62,6
1260 Radøy;1260;Radøy;279;234;45;179;164;15;100;70;30;74,6;81;52,9;83,3;87,7;53,6;62,9;68,6;52,6
1263 Lindås;1263;Lindås;613;453;160;354;297;57;259;156;103;71,9;77,3;59,9;78,5;81,6;65,5;64,4;70,3;57,2
1264 Austrheim;1264;Austrheim;208;166;42;142;126;16;66;40;26;75,1;78,3;64,6;79,3;80,8;69,6;67,3;71,4;61,9
1265 Fedje;1265;Fedje;18; : ; : ;10; : ; : ;8; : ; : ;81,8; : ; : ;90,9; : ; : ;72,7; : ; : 
1266 Masfjorden;1266;Masfjorden;38;29;9;19; : ; : ;19;12;7;79,2;82,9;69,2;82,6; : ; : ;76;85,7;63,6
1401 Flora;1401;Flora;644;379;265;389;251;138;255;128;127;65,2;78,5;52,6;73,3;83,7;59,7;55,9;69,9;46,5
1411 Gulen;1411;Gulen;120;94;26;59;53;6;61;41;20;80,5;83,9;70,3;86,8;89,8;66,7;75,3;77,4;71,4
1412 Solund;1412;Solund;51;41;10;30;26;4;21;15;6;78,5;75,9;90,9;78,9;76,5;100;77,8;75;85,7
1413 Hyllestad;1413;Hyllestad;87;79;8;59; : ; : ;28;23;5;79,8;85,9;47,1;81,9; : ; : ;75,7;82,1;55,6
1416 Høyanger;1416;Høyanger;181;106;75;97;68;29;84;38;46;74,8;83,5;65,2;77,6;84;65,9;71,8;82,6;64,8
1417 Vik;1417;Vik;137;118;19;75;66;9;62;52;10;78,3;80,3;67,9;82,4;84,6;69,2;73,8;75,4;66,7
1418 Balestrand;1418;Balestrand;119;86;33;52;44;8;67;42;25;83,8;87,8;75;82,5;84,6;72,7;84,8;91,3;75,8
1419 Leikanger;1419;Leikanger;74;54;20;30;25;5;44;29;15;78,7;83,1;69;81,1;83,3;71,4;77,2;82,9;68,2
1420 Sogndal;1420;Sogndal;344;239;105;224;173;51;120;66;54;61,5;77,9;41,7;69,3;80,5;47,2;50,8;71,7;37,5
1421 Aurland;1421;Aurland;94;83;11;46; : ; : ;48;39;9;75,2;76,9;64,7;76,7; : ; : ;73,8;73,6;75
1422 Lærdal;1422;Lærdal;92;71;21;48;40;8;44;31;13;79,3;81,6;72,4;82,8;85,1;72,7;75,9;77,5;72,2
1424 Årdal;1424;Årdal;275;203;72;177;146;31;98;57;41;66,6;79;46,2;70,5;83,9;40,3;60,5;68,7;51,9
1426 Luster;1426;Luster;179;149;30;103;88;15;76;61;15;77,5;87,1;50;81,1;88;55,6;73,1;85,9;45,5
1428 Askvoll;1428;Askvoll;83;59;24;42;31;11;41;28;13;69,2;70,2;66,7;73,7;70,5;84,6;65,1;70;56,5
1429 Fjaler;1429;Fjaler;99;73;26;46;39;7;53;34;19;57,6;64;44,8;63;69,6;41,2;53,5;58,6;46,3
1430 Gaular;1430;Gaular;122;108;14;69; : ; : ;53;40;13;83;82,4;87,5;83,1; : ; : ;82,8;81,6;86,7
1431 Jølster;1431;Jølster;116;85;31;68;55;13;48;30;18;59,2;89,5;30,7;58,6;94,8;22,4;60;81,1;41,9
1432 Førde;1432;Førde;611;385;226;336;232;104;275;153;122;72,4;83,3;59,2;75,2;85,6;59,1;69,3;80,1;59,2
1433 Naustdal;1433;Naustdal;93;71;22;47;43;4;46;28;18;83;86,6;73,3;85,5;87,8;66,7;80,7;84,8;75
1438 Bremanger;1438;Bremanger;265;185;80;140;120;20;125;65;60;67,1;78,4;50,3;68;82,2;33,3;66,1;72,2;60,6
1439 Vågsøy;1439;Vågsøy;361;269;92;230;200;30;131;69;62;71,8;72,3;70,2;79;78,7;81,1;61,8;58,5;66
1441 Selje;1441;Selje;102;72;30;51;44;7;51;28;23;76,7;83,7;63,8;85;84,6;87,5;69,9;82,4;59
1443 Eid;1443;Eid;219;152;67;122;98;24;97;54;43;70,4;76;60,4;78,2;83,8;61,5;62,6;65,1;59,7
1444 Hornindal;1444;Hornindal;53;44;9;27;22;5;26;22;4;86,9;88;81,8;96,4;100;83,3;78,8;78,6;80
1445 Gloppen;1445;Gloppen;207;123;84;118;78;40;89;45;44;79,6;83,7;74,3;88,1;89,7;85,1;70,6;75;66,7
1449 Stryn;1449;Stryn;597;518;79;396;362;34;201;156;45;73,9;79,3;51;79,5;83,2;54;64,8;71,6;48,9
1502 Molde;1502;Molde;1392;858;534;797;546;251;595;312;283;69,8;77,6;60;73,9;79;64,7;65;75,4;56,4
1504 Ålesund;1504;Ålesund;3046;2017;1029;1815;1352;463;1231;665;566;71,6;76,6;63,4;75,2;78,2;67,5;66,8;73,4;60,4
1505 Kristiansund;1505;Kristiansund;1338;853;485;820;584;236;518;269;249;67,5;76,1;56,4;75,2;80,9;64,1;58,1;67,4;50,6
1511 Vanylven;1511;Vanylven;103;75;28;49; : ; : ;54;28;26;73,6;76,5;66,7;80,3; : ; : ;68,4;71,8;65
1514 Sande (M. og R.);1514;Sande (M. og R.);269;247;22;193;189;4;76;58;18;82;84;64,7;87,7;88,7;57,1;70,4;71,6;66,7
1515 Herøy (M. og R.);1515;Herøy (M. og R.);544;411;133;276;241;35;268;170;98;76,4;82,4;62,4;80,5;84;62,5;72,6;80,2;62,4
1516 Ulstein;1516;Ulstein;754;570;184;534;470;64;220;100;120;75,3;86,4;54;84,1;89,4;58,7;60,1;74,6;51,7
1517 Hareid;1517;Hareid;416;265;151;246;175;71;170;90;80;74,7;75,1;74;79,9;77,4;86,6;68,3;70,9;65,6
1519 Volda;1519;Volda;337;185;152;172;111;61;165;74;91;58;71,2;47,4;55,8;72,1;39,6;60,4;69,8;54,5
1520 Ørsta;1520;Ørsta;390;252;138;222;176;46;168;76;92;70,9;80,8;58;78,2;85,9;58,2;63,2;71;57,9
1523 Ørskog;1523;Ørskog;164;118;46;87;74;13;77;44;33;67,8;67,8;67,6;68;69,8;59,1;67,5;64,7;71,7
1524 Norddal;1524;Norddal;93;80;13;44;38;6;49;42;7;86,9;88,9;76,5;88;88,4;85,7;86;89,4;70
1525 Stranda;1525;Stranda;431;364;67;253;224;29;178;140;38;83,4;82,5;88,2;86,6;86,2;90,6;79,1;77,3;86,4
1526 Stordal;1526;Stordal;87;77;10;48; : ; : ;39;32;7;75;77,8;58,8;76,2; : ; : ;73,6;74,4;70
1528 Sykkylven;1528;Sykkylven;495;338;157;279;209;70;216;129;87;72,8;79,5;61,6;79,5;84,3;68;65,7;72,9;57,2
1529 Skodje;1529;Skodje;212;166;46;119;107;12;93;59;34;72,9;75,8;63,9;78,3;78,7;75;66,9;71,1;60,7
1531 Sula;1531;Sula;509;381;128;310;271;39;199;110;89;78,2;81,2;70,3;83,1;84,2;76,5;71,6;74,8;67,9
1532 Giske;1532;Giske;413;302;111;232;195;37;181;107;74;73,2;74,9;68,9;76,6;77,1;74;69,3;71,3;66,7
1534 Haram;1534;Haram;679;457;222;399;315;84;280;142;138;74,1;78,7;66,3;83;85,4;75;64,4;67;61,9
1535 Vestnes;1535;Vestnes;418;306;112;251;224;27;167;82;85;74,6;82,7;58,9;77,7;86,2;42,9;70,5;74,5;66,9
1539 Rauma;1539;Rauma;331;257;74;178;163;15;153;94;59;83;85,1;76,3;89,4;89,1;93,8;76,5;79;72,8
1543 Nesset;1543;Nesset;92;64;28;44; : ; : ;48;22;26;75,4;77,1;71,8;78,6; : ; : ;72,7;71;74,3
1545 Midsund;1545;Midsund;145;109;36;75;69;6;70;40;30;82,9;87,2;72;92,6;92;100;74,5;80;68,2
1546 Sandøy;1546;Sandøy;99;82;17;56;50;6;43;32;11;79,8;79,6;81;90,3;89,3;100;69,4;68,1;73,3
1547 Aukra;1547;Aukra;198;153;45;107;93;14;91;60;31;78,9;84,5;64,3;80,5;84,5;60,9;77,1;84,5;66
1548 Fræna;1548;Fræna;399;296;103;225;200;25;174;96;78;68,1;72,2;58,5;75,5;78,4;58,1;60,4;61,9;58,6
1551 Eide;1551;Eide;123;80;43;63;51;12;60;29;31;68;72,1;61,4;68,5;70,8;60;67,4;74,4;62
1554 Averøy;1554;Averøy;289;227;62;168;153;15;121;74;47;80,5;85;67,4;90,3;91,1;83,3;69,9;74,7;63,5
1557 Gjemnes;1557;Gjemnes;96;70;26;50;41;9;46;29;17;70,1;78,7;54,2;69,4;77,4;47,4;70,8;80,6;58,6
1560 Tingvoll;1560;Tingvoll;134;94;40;70;52;18;64;42;22;68,4;81,7;49,4;70,7;81,3;51,4;66;82,4;47,8
1563 Sunndal;1563;Sunndal;206;80;126;106;51;55;100;29;71;50,4;76,2;41,4;51,5;82,3;38,2;49,3;67,4;44,4
1566 Surnadal;1566;Surnadal;125;86;39;62;53;9;63;33;30;66,8;74,1;54,9;71,3;84,1;37,5;63;62,3;63,8
1567 Rindal;1567;Rindal;18; : ; : ;9;9;0;9; : ; : ;81,8; : ; : ;100;100;0;69,2; : ; : 
1571 Halsa;1571;Halsa;41;32;9;24;20;4;17;12;5;69,5;80;47,4;88,9;87;100;53,1;70,6;33,3
1573 Smøla;1573;Smøla;103;91;12;57; : ; : ;46;35;11;78;80,5;63,2;83,8; : ; : ;71,9;76,1;61,1
1576 Aure;1576;Aure;177;140;37;104;94;10;73;46;27;72,8;84,8;47,4;79,4;91,3;35,7;65,2;74,2;54
1601 Trondheim;1601;Trondheim;11224;5631;5593;6546;3565;2981;4678;2066;2612;64,5;74;57,2;68,9;75,8;62,1;59,3;71;52,4
1612 Hemne;1612;Hemne;109;54;55;56;36;20;53;18;35;59,9;80,6;47,8;61,5;85,7;40,8;58,2;72;53
1613 Snillfjord;1613;Snillfjord;26;20;6;13; : ; : ;13;9;4;78,8;80;75;72,2; : ; : ;86,7;100;66,7
1617 Hitra;1617;Hitra;506;420;86;302;273;29;204;147;57;76,8;84;54,1;78;85,6;42,6;75;81,2;62,6
1620 Frøya;1620;Frøya;553;477;76;313;297;16;240;180;60;84,7;85,2;81,7;86,5;86,8;80;82,5;82,6;82,2
1621 Ørland;1621;Ørland;144;90;54;66;55;11;78;35;43;70,2;73,8;65,1;70,2;68,8;78,6;70,3;83,3;62,3
1622 Agdenes;1622;Agdenes;64;44;20;34;28;6;30;16;14;70,3;73,3;64,5;81;84,8;66,7;61,2;59,3;63,6
1624 Rissa;1624;Rissa;275;230;45;182;167;15;93;63;30;65,6;68;55,6;66,2;67,3;55,6;64,6;70;55,6
1627 Bjugn;1627;Bjugn;137;101;36;70;62;8;67;39;28;74,9;82,1;60;80,5;81,6;72,7;69,8;83;57,1
1630 Åfjord;1630;Åfjord;58;42;16;30;26;4;28;16;12;80,6;87,5;66,7;88,2;92,9;66,7;73,7;80;66,7
1632 Roan;1632;Roan;41;37;4;24;24;0;17;13;4;83,7;90,2;50;88,9;88,9;0;77,3;92,9;50
1633 Osen;1633;Osen;19; : ; : ;10; : ; : ;9;9;0;76; : ; : ;71,4; : ; : ;81,8;90;0
1634 Oppdal;1634;Oppdal;260;193;67;153;122;31;107;71;36;67,5;76,9;50;73,9;79,2;58,5;60,1;73,2;44,4
1635 Rennebu;1635;Rennebu;55;44;11;30; : ; : ;25;17;8;74,3;80;57,9;76,9; : ; : ;71,4;73,9;66,7
1636 Meldal;1636;Meldal;108;86;22;67; : ; : ;41;22;19;69,7;71,7;62,9;76,1; : ; : ;61,2;61,1;61,3
1638 Orkdal;1638;Orkdal;355;174;181;182;110;72;173;64;109;63,6;72,2;57,1;67,7;73,8;60;59,9;69,6;55,3
1640 Røros;1640;Røros;217;156;61;107;82;25;110;74;36;77;84,3;62,9;78,1;86,3;59,5;75,9;82,2;65,5
1644 Holtålen;1644;Holtålen;49;39;10;23;19;4;26;20;6;73,1;81,3;52,6;76,7;79,2;66,7;70,3;83,3;46,2
1648 Midtre Gauldal;1648;Midtre Gauldal;506;454;52;247;221;26;259;233;26;79,8;84,1;55,3;78,9;82,5;57,8;80,7;85,7;53,1
1653 Melhus;1653;Melhus;491;327;164;289;225;64;202;102;100;66,8;75,5;54,3;70;77,1;52,9;62,7;72,3;55,2
1657 Skaun;1657;Skaun;183;123;60;107;87;20;76;36;40;72,3;80,4;60;79,9;87,9;57,1;63,9;66,7;61,5
1662 Klæbu;1662;Klæbu;221;163;58;135;111;24;86;52;34;71,5;77,3;59,2;78,9;81,6;68,6;62,3;69,3;54
1663 Malvik;1663;Malvik;575;416;159;346;285;61;229;131;98;73,2;77,9;63,3;78,1;82,1;63,5;67;70,1;63,2
1664 Selbu;1664;Selbu;98;70;28;56;48;8;42;22;20;66,7;63,6;75,7;71,8;71,6;72,7;60,9;51,2;76,9
1665 Tydal;1665;Tydal;22;18;4;9; : ; : ;13; : ; : ;88;90;80;81,8; : ; : ;92,9; : ; : 
1702 Steinkjer;1702;Steinkjer;567;321;246;334;217;117;233;104;129;57;71,3;45,2;60,3;75,9;43,7;53;63,4;46,7
1703 Namsos;1703;Namsos;389;186;203;188;102;86;201;84;117;60,3;80,9;48,9;62,5;83,6;48;58,4;77,8;49,6
1711 Meråker;1711;Meråker;84;43;41;44;24;20;40;19;21;49,1;65,2;39;53;66,7;42,6;45,5;63,3;36,2
1714 Stjørdal;1714;Stjørdal;705;321;384;372;214;158;333;107;226;65,3;76,2;58,4;71,1;80,1;61,7;59,9;69,5;56,2
1717 Frosta;1717;Frosta;100;81;19;54;47;7;46;34;12;69,9;71,1;65,5;77,1;75,8;87,5;63;65,4;57,1
1718 Leksvik;1718;Leksvik;115;68;47;65;46;19;50;22;28;71,4;80;61,8;79,3;85,2;67,9;63,3;71;58,3
1719 Levanger;1719;Levanger;696;407;289;383;260;123;313;147;166;70,2;82,4;58,1;75,4;86,1;59,7;64,8;76,6;57
1721 Verdal;1721;Verdal;480;329;151;345;272;73;135;57;78;64,5;77,2;47,5;71,4;77,3;55,7;51,7;77;41,7
1724 Verran;1724;Verran;118;99;19;83;78;5;35;21;14;50;54,4;35,2;47,7;52,7;19,2;56,5;61,8;50
1725 Namdalseid;1725;Namdalseid;39;28;11;17; : ; : ;22;12;10;81,3;90,3;64,7;94,4; : ; : ;73,3;85,7;62,5
1736 Snåsa;1736;Snåsa;40;36;4;18; : ; : ;22; : ; : ;81,6;85,7;57,1;90; : ; : ;75,9; : ; : 
1738 Lierne;1738;Lierne;53; : ; : ;18;18;0;35; : ; : ;85,5; : ; : ;81,8;81,8;0;87,5; : ; : 
1739 Røyrvik;1739;Røyrvik;21; : ; : ;10;10;0;11; : ; : ;84; : ; : ;90,9;90,9;0;78,6; : ; : 
1740 Namsskogan;1740;Namsskogan;22;15;7;5; : ; : ;17;11;6;75,9;68,2;100;71,4; : ; : ;77,3;68,8;100
1742 Grong;1742;Grong;78;43;35;51;30;21;27;13;14;43,8;78,2;28,5;47,2;85,7;28,8;38,6;65;28
1743 Høylandet;1743;Høylandet;29;25;4;15; : ; : ;14; : ; : ;80,6;80,6;80;78,9; : ; : ;82,4; : ; : 
1744 Overhalla;1744;Overhalla;94;78;16;63;53;10;31;25;6;65,3;76,5;38,1;86,3;91,4;66,7;43,7;56,8;22,2
1748 Fosnes;1748;Fosnes;24;20;4;12;12;0;12;8;4;75;74,1;80;80;80;0;70,6;66,7;80
1749 Flatanger;1749;Flatanger;49;42;7;26;26;0;23;16;7;65,3;65,6;63,6;66,7;68,4;0;63,9;61,5;70
1750 Vikna;1750;Vikna;183;116;67;107;82;25;76;34;42;73,2;80,6;63,2;83,6;87,2;73,5;62,3;68;58,3
1751 Nærøy;1751;Nærøy;153;95;58;69;48;21;84;47;37;64,8;72,5;55,2;62,2;69,6;50;67,2;75,8;58,7
1755 Leka;1755;Leka;21;15;6;6;6;0;15;9;6;84;93,8;66,7;100;100;0;78,9;90;66,7
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);143;105;38;83;68;15;60;37;23;64,4;75,5;45,8;70,9;81,9;44,1;57,1;66,1;46,9
1804 Bodø;1804;Bodø;2031;1069;962;1118;671;447;913;398;515;64,8;76,4;55,5;66,9;78,1;55,1;62,4;73,7;55,8
1805 Narvik;1805;Narvik;954;518;436;521;330;191;433;188;245;64,2;72,8;56,3;64,9;77,3;50,8;63,4;66;61,6
1811 Bindal;1811;Bindal;20;16;4;10; : ; : ;10; : ; : ;55,6;59,3;44,4;55,6; : ; : ;55,6; : ; : 
1812 Sømna;1812;Sømna;49;30;19;26;18;8;23;12;11;58,3;85,7;38,8;76,5;94,7;53,3;46;75;32,4
1813 Brønnøy;1813;Brønnøy;232;130;102;98;66;32;134;64;70;61,5;77,4;48,8;62;75,9;45,1;61,2;79;50,7
1815 Vega;1815;Vega;23;13;10;9; : ; : ;14;6;8;65,7;76,5;55,6;75; : ; : ;60,9;75;53,3
1816 Vevelstad;1816;Vevelstad;20;14;6;9;9;0;11;5;6;76,9;77,8;75;75;75;0;78,6;83,3;75
1818 Herøy (Nordl.);1818;Herøy (Nordl.);113;96;17;74;66;8;39;30;9;65,7;71,6;44,7;72,5;76,7;50;55,7;62,5;40,9
1820 Alstahaug;1820;Alstahaug;314;173;141;164;101;63;150;72;78;62,2;80,5;48,6;61,9;80,2;45,3;62,5;80,9;51,7
1822 Leirfjord;1822;Leirfjord;63;32;31;31;21;10;32;11;21;49,6;74,4;36,9;50;80,8;27,8;49,2;64,7;43,8
1824 Vefsn;1824;Vefsn;352;173;179;174;107;67;178;66;112;64,2;80,8;53,6;61,5;80,5;44,7;67,2;81,5;60,9
1825 Grane;1825;Grane;48;38;10;17; : ; : ;31;22;9;80;88,4;58,8;77,3; : ; : ;81,6;88;69,2
1826 Hattfjelldal;1826;Hattfjelldal;39;27;12;20;15;5;19;12;7;36,8;77,1;16,9;37;78,9;14,3;36,5;75;19,4
1827 Dønna;1827;Dønna;44;28;16;23;17;6;21;11;10;75,9;70;88,9;71,9;68;85,7;80,8;73,3;90,9
1828 Nesna;1828;Nesna;95;55;40;55;36;19;40;19;21;46,8;80,9;29,6;45,1;85,7;23,8;49,4;73,1;38,2
1832 Hemnes;1832;Hemnes;113;66;47;57;39;18;56;27;29;66,5;79,5;54;73,1;81,3;60;60,9;77,1;50,9
1833 Rana;1833;Rana;715;403;312;393;246;147;322;157;165;64,4;75,8;54;66,3;75,5;55,1;62,3;76,2;53,1
1834 Lurøy;1834;Lurøy;72;57;15;30;30;0;42;27;15;82,8;85,1;75;93,8;93,8;0;76,4;77,1;75
1835 Træna;1835;Træna;67;54;13;39;35;4;28;19;9;89,3;91,5;81,3;92,9;97,2;66,7;84,8;82,6;90
1836 Rødøy;1836;Rødøy;39;23;16;13; : ; : ;26;12;14;81,3;76,7;88,9;72,2; : ; : ;86,7;80;93,3
1837 Meløy;1837;Meløy;205;125;80;96;75;21;109;50;59;68,6;72,7;63;68,6;70,8;61,8;68,6;75,8;63,4
1838 Gildeskål;1838;Gildeskål;110;74;36;57;46;11;53;28;25;73,3;85,1;57,1;72,2;85,2;44;74,6;84,8;65,8
1839 Beiarn;1839;Beiarn;17;11;6;8; : ; : ;9;5;4;58,6;64,7;50;80; : ; : ;47,4;50;44,4
1840 Saltdal;1840;Saltdal;137;73;64;76;48;28;61;25;36;51,3;79,3;36,6;47,5;84,2;27,2;57;71,4;50
1841 Fauske;1841;Fauske;248;152;96;132;90;42;116;62;54;66,1;79,2;52,5;73,7;84,1;58,3;59,2;72,9;48,6
1845 Sørfold;1845;Sørfold;54;41;13;23; : ; : ;31;20;11;75;82;59,1;79,3; : ; : ;72,1;87;55
1848 Steigen;1848;Steigen;83;63;20;44;39;5;39;24;15;57,6;65,6;41,7;54,3;60;31,3;61,9;77,4;46,9
