Kommune nr & navn;kommune_nr;"Kommune
navn";kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0238 Nannestad;238;Nannestad;950;622;328;560;425;135;390;197;193;74,1;78,2;67,4;78,1;81,4;69,2;69;72,2;66,1
0239 Hurdal;239;Hurdal;119;83;36;63;47;16;56;36;20;73,5;82,2;59;76,8;85,5;59,3;70;78,3;58,8
0301 Oslo;301;Oslo kommune;85579;38235;47344;48843;22645;26198;36736;15590;21146;64,5;76,7;57,2;69,7;78,1;63,8;58,7;74,8;50,7
0402 Kongsvinger;402;Kongsvinger;725;360;365;392;211;181;333;149;184;53,6;69,9;43,6;57,3;74;45,4;49,9;64,8;42
0403 Hamar;403;Hamar;1349;639;710;739;378;361;610;261;349;61,3;74,3;53;65,2;76,4;56,6;57,2;71,5;49,8
0412 Ringsaker;412;Ringsaker;1254;878;376;727;561;166;527;317;210;67,2;74,9;54,3;72,3;79,1;56,1;61,2;68,3;52,9
0415 Løten;415;Løten;226;144;82;125;93;32;101;51;50;61,1;68,2;51,6;65,4;72,1;51,6;56,4;62,2;51,5
0417 Stange;417;Stange;715;431;284;389;250;139;326;181;145;62,4;73,1;51,2;67,5;79,1;53,5;57,3;66,1;49,2
0418 Nord-Odal;418;Nord-Odal;95;71;24;56;46;10;39;25;14;63,3;69,6;50;70;73;58,8;55,7;64,1;45,2
0419 Sør-Odal;419;Sør-Odal;214;141;73;100;76;24;114;65;49;66;72,3;56,6;69,9;73,8;60;63;70,7;55,1
0420 Eidskog;420;Eidskog;170;120;50;78;63;15;92;57;35;56,1;65,9;41,3;62,4;71,6;40,5;51,7;60,6;41,7
0423 Grue;423;Grue;156;102;54;74;53;21;82;49;33;66,1;69,9;60;63,2;68,8;52,5;68,9;71;66
0425 Åsnes;425;Åsnes;180;110;70;96;69;27;84;41;43;54,4;66,3;42,4;57,5;69;40,3;51,2;62,1;43,9
0426 Våler (Hedm.);426;Våler (Hedm.);118;92;26;64;55;9;54;37;17;68,2;71,9;57,8;75,3;74,3;81,8;61,4;68,5;50
0427 Elverum;427;Elverum;726;361;365;360;207;153;366;154;212;60,2;70,4;52,7;61,6;73,1;50,8;58,8;67;54,1
0428 Trysil;428;Trysil;251;213;38;127;109;18;124;104;20;57,6;66,4;33;57,5;64,5;34,6;57,7;68,4;31,7
0429 Åmot;429;Åmot;135;110;25;66;56;10;69;54;15;61,6;69,2;41,7;61,1;67,5;40;62,2;71,1;42,9
0430 Stor-Elvdal;430;Stor-Elvdal;103;63;40;61;33;28;42;30;12;35,6;64,3;20,9;31,4;67,3;19,3;44,2;61,2;26,1
0432 Rendalen;432;Rendalen;35;28;7;12; : ; : ;23;17;6;53;58,3;38,9;41,4; : ; : ;62,2;77,3;40
0434 Engerdal;434;Engerdal;35;31;4;13; : ; : ;22; : ; : ;47,3;75,6;12,1;46,4; : ; : ;47,8; : ; : 
0436 Tolga;436;Tolga;67;50;17;33;27;6;34;23;11;60,4;78,1;36,2;62,3;79,4;31,6;58,6;76,7;39,3
0437 Tynset;437;Tynset;268;195;73;154;122;32;114;73;41;72,8;81,9;56,2;76,6;87,1;52,5;68,3;74,5;59,4
0438 Alvdal;438;Alvdal;65;41;24;30;21;9;35;20;15;67;85,4;49;73,2;84;56,3;62,5;87;45,5
0439 Folldal;439;Folldal;39;28;11;14; : ; : ;25;16;9;79,6;90,3;61,1;77,8; : ; : ;80,6;88,9;69,2
0441 Os (Hedm.);441;Os (Hedm.);88;68;20;51;42;9;37;26;11;72,1;75,6;62,5;76,1;80,8;60;67,3;68,4;64,7
0501 Lillehammer;501;Lillehammer;1286;667;619;694;364;330;592;303;289;67,9;78,2;59,4;72,7;78,8;66,9;63;77,5;52,6
0502 Gjøvik;502;Gjøvik;1513;743;770;840;452;388;673;291;382;63,1;77,6;53,4;67,9;81,1;57;58;72,6;50,3
0511 Dovre;511;Dovre;100;75;25;47;43;4;53;32;21;63,3;77,3;41;61;79,6;17,4;65,4;74,4;55,3
0512 Lesja;512;Lesja;78;72;6;47; : ; : ;31;26;5;75,7;81,8;40;82,5; : ; : ;67,4;72,2;50
0513 Skjåk;513;Skjåk;67;44;23;48;38;10;19;6;13;57,8;57,9;57,5;64;64,4;62,5;46,3;35,3;54,2
0514 Lom;514;Lom;54;37;17;26;20;6;28;17;11;68,4;82,2;50;70,3;80;50;66,7;85;50
0515 Vågå;515;Vågå;65;37;28;33;24;9;32;13;19;58,6;72,5;46,7;66;77,4;47,4;52,5;65;46,3
0516 Nord-Fron;516;Nord-Fron;154;115;39;88;70;18;66;45;21;66,4;85,2;40,2;73,9;86,4;47,4;58,4;83,3;35,6
0517 Sel;517;Sel;121;73;48;64;44;20;57;29;28;49,4;76;32,2;46;80;23,8;53,8;70,7;43,1
0519 Sør-Fron;519;Sør-Fron;119;97;22;72;64;8;47;33;14;71,3;76,4;55;76,6;81;53,3;64,4;68,8;56
0520 Ringebu;520;Ringebu;202;171;31;119;107;12;83;64;19;66,4;78,1;36,5;66,5;77,5;29,3;66,4;79;43,2
0521 Øyer;521;Øyer;277;194;83;155;123;32;122;71;51;64,6;69,8;55;62;68;46,4;68,2;73,2;62,2
0522 Gausdal;522;Gausdal;182;129;53;101;85;16;81;44;37;71,4;75,4;63,1;74,8;80,2;55,2;67,5;67,7;67,3
0528 Østre Toten;528;Østre Toten;540;388;152;319;251;68;221;137;84;65,7;75,8;49;72,2;80,2;52,7;58,2;68,8;46,4
0529 Vestre Toten;529;Vestre Toten;407;229;178;212;143;69;195;86;109;63,6;80,6;50;65,4;83,1;45,4;61,7;76,8;53,4
0532 Jevnaker;532;Jevnaker;265;179;86;144;115;29;121;64;57;71;77,5;60,6;74,2;82,1;53,7;67,6;70,3;64,8
0533 Lunner;533;Lunner;356;216;140;195;129;66;161;87;74;64,3;78,3;50,4;69,6;82,2;53,7;58,8;73,1;47,7
0534 Gran;534;Gran;459;266;193;271;176;95;188;90;98;57,4;68,7;46,7;62,6;72,7;49,7;51,2;62,1;44,1
0536 Søndre Land;536;Søndre Land;155;100;55;86;63;23;69;37;32;58,1;69,9;44,4;60,1;73,3;40,4;55,6;64,9;47,8
0538 Nordre Land;538;Nordre Land;160;104;56;90;63;27;70;41;29;62,7;69,3;53,3;63,4;67,7;55,1;61,9;71,9;51,8
0540 Sør-Aurdal;540;Sør-Aurdal;90;66;24;47;35;12;43;31;12;66,2;77,6;47,1;64,4;74,5;46,2;68,3;81,6;48
0541 Etnedal;541;Etnedal;44;34;10;28;24;4;16;10;6;31;75,6;10,3;27,5;80;5,6;40;66,7;24
0542 Nord-Aurdal;542;Nord-Aurdal;291;201;90;151;111;40;140;90;50;67,4;70,5;61,2;65,4;66,9;61,5;69,7;75,6;61
0543 Vestre Slidre;543;Vestre Slidre;67;52;15;32;27;5;35;25;10;58,8;75,4;33,3;56,1;77,1;22,7;61,4;73,5;43,5
0544 Øystre Slidre;544;Øystre Slidre;160;123;37;80;71;9;80;52;28;76,6;78,3;71,2;76,9;79,8;60;76,2;76,5;75,7
0545 Vang;545;Vang;98;81;17;55;47;8;43;34;9;59,8;78,6;27,9;55;82,5;18,6;67,2;73,9;50
0602 Drammen;602;Drammen;6707;2847;3860;3912;1837;2075;2795;1010;1785;61,6;75,1;54,4;68,8;78,9;61,8;53,7;69,1;47,7
0604 Kongsberg;604;Kongsberg;1974;1104;870;1092;640;452;882;464;418;71,8;79,8;63,7;77,3;83,2;70,3;66;75,4;57,9
0605 Ringerike;605;Ringerike;1588;891;697;856;545;311;732;346;386;66,3;75,1;57,7;70,5;77,6;60,6;62;71,5;55,5
0612 Hole;612;Hole;482;377;105;267;236;31;215;141;74;71,2;75,1;60;73;74,9;60,8;69,1;75,4;59,7
0615 Flå;615;Flå;43;36;7;20; : ; : ;23;17;6;63,2;63,2;63,6;58,8; : ; : ;67,6;68;66,7
0616 Nes (Busk.);616;Nes (Busk.);170;121;49;73;53;20;97;68;29;58,6;77,1;36,8;52,5;72,6;30,3;64,2;81;43,3
0617 Gol;617;Gol;394;265;129;199;147;52;195;118;77;76,5;81,3;68,3;76,8;79,5;70,3;76,2;83,7;67
0618 Hemsedal;618;Hemsedal;255;232;23;146;133;13;109;99;10;72,2;82,3;32,4;76,4;83,6;40,6;67,3;80,5;25,6
0619 Ål;619;Ål;230;170;60;126;100;26;104;70;34;75,2;83,7;58,3;75;85,5;51;75,4;81,4;65,4
0620 Hol;620;Hol;405;330;75;209;178;31;196;152;44;76,9;78,2;71,4;77,4;78,8;70,5;76,3;77,6;72,1
0621 Sigdal;621;Sigdal;103;87;16;55; : ; : ;48;35;13;73;78,4;53,3;79,7; : ; : ;66,7;71,4;56,5
0622 Krødsherad;622;Krødsherad;155;135;20;93;86;7;62;49;13;76;79,9;57,1;80,9;82,7;63,6;69,7;75,4;54,2
0623 Modum;623;Modum;539;347;192;313;222;91;226;125;101;64;73,8;51,6;71,5;78,2;59,1;55,9;67,2;46,3
0624 Øvre Eiker;624;Øvre Eiker;1096;755;341;681;524;157;415;231;184;71,8;77,2;62,1;79,9;83,7;69,5;61,5;65,6;57
0625 Nedre Eiker;625;Nedre Eiker;1904;954;950;1101;621;480;803;333;470;70,2;79,4;62,9;76,9;83,8;69,5;62,7;72,2;57,3
0626 Lier;626;Lier;2185;1309;876;1285;845;440;900;464;436;70,8;79;61,3;75,7;82;66;64,7;73,9;57,2
0627 Røyken;627;Røyken;1447;1035;412;826;655;171;621;380;241;73,9;78,2;64,9;79,5;82,1;71;67,5;72,2;61,2
0628 Hurum;628;Hurum;519;412;107;306;253;53;213;159;54;70,7;80,5;48,2;76,3;82,4;56,4;64;77,6;42,2
0631 Flesberg;631;Flesberg;106;85;21;58;50;8;48;35;13;68,8;81,7;42;72,5;83,3;40;64,9;79,5;43,3
0632 Rollag;632;Rollag;42;26;16;23;16;7;19;10;9;65,6;83,9;48,5;74,2;84,2;58,3;57,6;83,3;42,9
0633 Nore og Uvdal;633;Nore og Uvdal;111;81;30;69;58;11;42;23;19;74;79,4;62,5;78,4;87,9;50;67,7;63,9;73,1
0701 Horten;701;Horten;1482;772;710;779;451;328;703;321;382;62,2;72,4;54;65,9;75,4;56,2;58,5;68,4;52,2
0702 Holmestrand;702;Holmestrand;461;287;174;244;174;70;217;113;104;67,8;76,5;57;73,7;82,5;58,3;62,2;68,9;56,2
0704 Tønsberg;704;Tønsberg;2514;1492;1022;1422;935;487;1092;557;535;68,1;75,7;59,4;72,1;78;63;63,5;72,1;56,5
0706 Sandefjord;706;Sandefjord;2804;1547;1257;1532;918;614;1272;629;643;64,2;74,9;54,6;69,5;78,5;59,4;58,7;70,2;50,6
0709 Larvik;709;Larvik;2095;1193;902;1160;713;447;935;480;455;63,8;76,7;52,1;70;80,4;58,1;57,4;71,9;47,3
0711 Svelvik;711;Svelvik;354;268;86;187;160;27;167;108;59;70,9;74;62,8;74,2;78,4;56,3;67,6;68,4;66,3
0713 Sande (Vestf.);713;Sande (Vestf.);458;347;111;283;228;55;175;119;56;70,9;80,1;52,1;78,4;83,5;62,5;61,4;74,4;44,8
0714 Hof;714;Hof;129;103;26;65;59;6;64;44;20;76,3;76,9;74,3;74,7;73,8;85,7;78;81,5;71,4
0716 Re;716;Re (f.o.m. 2002);421;304;117;239;195;44;182;109;73;70;78,6;54,7;74,9;80,2;57,9;64,5;75,7;52,9
0719 Andebu;719;Andebu;277;202;75;154;122;32;123;80;43;71,8;75,9;62,5;81,1;84,7;69,6;62,8;65,6;58,1
0720 Stokke;720;Stokke;675;482;193;386;292;94;289;190;99;65,5;76,4;48,3;71,6;81,8;51,6;58,7;69,3;45,4
