Kommune nr & navn;kommune_nr;"Kommune
navn";botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1004 Flekkefjord;1004;Flekkefjord;462;310;152;116;84;32;346;226;120;69,2;76,5;57,8;53,2;71,2;32;76,9;78,7;73,6
1014 Vennesla;1014;Vennesla;555;344;211;156;128;28;399;216;183;65,8;76,6;53,4;54,9;74;25,2;71,3;78,3;64,4
1017 Songdalen;1017;Songdalen;374;192;182;91;60;31;283;132;151;66;73,8;59,3;52,9;68,2;36,9;71,6;76,7;67,7
1018 Søgne;1018;Søgne;412;256;156;132;103;29;280;153;127;63,5;72,1;53,1;51,4;67,8;27,6;71,4;75,4;67,2
1021 Marnardal;1021;Marnardal;87;64;23;25; : ; : ;62;42;20;63,5;78;41,8;52,1; : ; : ;69,7;77,8;57,1
1026 Åseral;1026;Åseral;43;34;9;19; : ; : ;24;16;8;62,3;69,4;45;52,8; : ; : ;72,7;72,7;72,7
1027 Audnedal;1027;Audnedal;58;49;9;19; : ; : ;39;32;7;69,9;75,4;50;52,8; : ; : ;83;82,1;87,5
1029 Lindesnes;1029;Lindesnes;242;184;58;73;66;7;169;118;51;68,4;80;46,8;60,3;82,5;17,1;72,5;78,7;61,4
1032 Lyngdal;1032;Lyngdal;400;214;186;138;98;40;262;116;146;68;77,5;59,6;60,5;76,6;40;72,8;78,4;68,9
1034 Hægebostad;1034;Hægebostad;50;43;7;16; : ; : ;34;28;6;62,5;66,2;46,7;50; : ; : ;70,8;70;75
1037 Kvinesdal;1037;Kvinesdal;216;134;82;60;39;21;156;95;61;65,7;79,3;51,3;45,1;70,9;26,9;79,6;83,3;74,4
1046 Sirdal;1046;Sirdal;117;93;24;51;47;4;66;46;20;76,5;80,2;64,9;70,8;81;28,6;81,5;79,3;87
1101 Eigersund;1101;Eigersund;873;546;327;341;256;85;532;290;242;71,5;76,4;64,6;65,3;75,3;46,7;76,1;77,3;74,7
1102 Sandnes;1102;Sandnes;7079;4032;3047;2700;2048;652;4379;1984;2395;74;82,3;65,2;71,1;80,1;52,5;75,9;84,8;69,8
1103 Stavanger;1103;Stavanger;14494;8093;6401;6346;4306;2040;8148;3787;4361;72,6;80;65;70,1;76,8;59,2;74,6;83,9;68,1
1106 Haugesund;1106;Haugesund;2880;1772;1108;1174;928;246;1706;844;862;68;75;59,2;62,9;72,7;41,6;72;77,6;67,2
1111 Sokndal;1111;Sokndal;100;55;45;48;30;18;52;25;27;83,3;84,6;81,8;78,7;81,1;75;88,1;89,3;87,1
1112 Lund;1112;Lund;121;70;51;32;17;15;89;53;36;64;76,1;52,6;41;58,6;30,6;80,2;84,1;75
1114 Bjerkreim;1114;Bjerkreim;162;129;33;61;52;9;101;77;24;80,6;81,6;76,7;74,4;73,2;81,8;84,9;88,5;75
1119 Hå;1119;Hå;1383;1064;319;724;646;78;659;418;241;73;79,2;57,9;69,8;76,2;41,3;76,8;84,3;66,6
1120 Klepp;1120;Klepp;1325;959;366;615;539;76;710;420;290;76,9;83,2;64,3;72,8;80,7;42,9;81;86,6;74
1121 Time;1121;Time;976;605;371;357;291;66;619;314;305;73,8;81,8;63,6;64,8;76,8;38,4;80,2;87;74,2
1122 Gjesdal;1122;Gjesdal;755;575;180;317;274;43;438;301;137;78,2;82,7;66,7;73,2;81,3;44,8;82,3;84,1;78,7
1124 Sola;1124;Sola;2273;1417;856;983;713;270;1290;704;586;75,1;80,3;67,9;71;77,7;57,8;78,7;83,2;73,8
1127 Randaberg;1127;Randaberg;619;434;185;257;196;61;362;238;124;74,8;82,2;61,9;68,9;78,1;50;79,7;85,9;70,1
1129 Forsand;1129;Forsand;60;49;11;19; : ; : ;41;32;9;84,5;87,5;73,3;73,1; : ; : ;91,1;94,1;81,8
1130 Strand;1130;Strand;578;350;228;229;160;69;349;190;159;69,8;77,3;60,8;59;73,4;40,6;79,3;80,9;77,6
1133 Hjelmeland;1133;Hjelmeland;257;197;60;141;120;21;116;77;39;78,1;85,7;60,6;75,4;85,1;45,7;81,7;86,5;73,6
1134 Suldal;1134;Suldal;191;136;55;90;62;28;101;74;27;75,8;84,5;60,4;69,8;80,5;53,8;82,1;88,1;69,2
1135 Sauda;1135;Sauda;168;110;58;73;46;27;95;64;31;71,5;82,1;57,4;59,8;76,7;43,5;84,1;86,5;79,5
1141 Finnøy;1141;Finnøy;272;250;22;153;146;7;119;104;15;87,2;87,7;81,5;86,4;86,9;77,8;88,1;88,9;83,3
1142 Rennesøy;1142;Rennesøy;294;243;51;147;127;20;147;116;31;74,2;77,9;60,7;68,1;73;47,6;81,7;84,1;73,8
1144 Kvitsøy;1144;Kvitsøy;23; : ; : ;13; : ; : ;10; : ; : ;79,3; : ; : ;81,3; : ; : ;76,9; : ; : 
1145 Bokn;1145;Bokn;49;42;7;33;29;4;16; : ; : ;79;82,4;63,6;76,7;82,9;50;84,2; : ; : 
1146 Tysvær;1146;Tysvær;395;286;109;171;147;24;224;139;85;67,6;81,9;46,4;59,4;78,6;23,8;75,7;85,8;63,4
1149 Karmøy;1149;Karmøy;1818;1234;584;649;545;104;1169;689;480;66,4;72,5;56,5;58,6;68,6;33,3;71,8;76;66,5
1151 Utsira;1151;Utsira;11;4;7;4; : ; : ;7; : ; : ;84,6;66,7;100;80; : ; : ;87,5; : ; : 
1160 Vindafjord;1160;Vindafjord;571;480;91;358;324;34;213;156;57;71,2;74,7;57,2;69,4;75,7;38,6;74,5;72,6;80,3
1201 Bergen;1201;Bergen;20762;11773;8989;8582;6404;2178;12180;5369;6811;67,6;75,6;59,3;62,3;70,2;46,8;71,8;83,2;64,8
1211 Etne;1211;Etne;255;234;21;141;134;7;114;100;14;78,2;83,9;44,7;74,6;80,2;31,8;83,2;89,3;56
1216 Sveio;1216;Sveio;244;187;57;112;95;17;132;92;40;69,9;77,3;53,3;61,2;72,5;32,7;79,5;82,9;72,7
1219 Bømlo;1219;Bømlo;554;378;176;257;210;47;297;168;129;68,9;80,9;52,2;63,9;80,8;33,1;73,9;81,2;66,2
1221 Stord;1221;Stord;960;564;396;408;286;122;552;278;274;68;71,7;63,5;62,8;69,8;50,8;72,5;73,7;71,4
1222 Fitjar;1222;Fitjar;111;90;21;62;52;10;49;38;11;76,6;78,9;67,7;76,5;77,6;71,4;76,6;80,9;64,7
1223 Tysnes;1223;Tysnes;121;95;26;48;40;8;73;55;18;74,2;74,2;74,3;66,7;69;57,1;80,2;78,6;85,7
1224 Kvinnherad;1224;Kvinnherad;451;288;163;206;164;42;245;124;121;68,5;74;60,6;61,1;70,1;40,8;76,3;80;72,9
1227 Jondal;1227;Jondal;39;28;11;20;14;6;19;14;5;72,2;71,8;73,3;62,5;60,9;66,7;86,4;87,5;83,3
1228 Odda;1228;Odda;352;214;138;150;107;43;202;107;95;73,6;84,3;61,6;63,8;82,9;40,6;83,1;85,6;80,5
1231 Ullensvang;1231;Ullensvang;155;102;53;86;64;22;69;38;31;69,2;84,3;51,5;61;82,1;34,9;83,1;88,4;77,5
1232 Eidfjord;1232;Eidfjord;48;38;10;22;17;5;26;21;5;70,6;76;55,6;64,7;65,4;62,5;76,5;87,5;50
1233 Ulvik;1233;Ulvik;68;52;16;35;28;7;33;24;9;77,3;80;69,6;70;73,7;58,3;86,8;88,9;81,8
1234 Granvin;1234;Granvin;34; : ; : ;18; : ; : ;16;16;0;75,6; : ; : ;90; : ; : ;64;69,6;0
1235 Voss;1235;Voss;481;329;152;228;182;46;253;147;106;66,8;80,2;49;60,8;79,8;31,3;73,3;80,8;65
1238 Kvam;1238;Kvam;433;303;130;240;180;60;193;123;70;65,8;72,8;53,7;61,2;69;45,8;72,6;79,4;63,1
1241 Fusa;1241;Fusa;147;115;32;64;57;7;83;58;25;74,2;75,7;69,6;73,6;77;53,8;74,8;74,4;75,8
1242 Samnanger;1242;Samnanger;82;51;31;24;20;4;58;31;27;68,9;78,5;57,4;54,5;76,9;22,2;77,3;79,5;75
1243 Os (Hord.);1243;Os (Hord.);1036;771;265;428;368;60;608;403;205;71,7;75,9;61,9;66,7;70,9;48,8;75,8;81,1;67,2
1244 Austevoll;1244;Austevoll;344;301;43;251;233;18;93;68;25;79,1;80,7;69,4;78;79,3;64,3;82,3;86,1;73,5
1245 Sund;1245;Sund;358;247;111;138;115;23;220;132;88;71,6;80,7;57,2;63,6;78,2;32,9;77,7;83;71
1246 Fjell;1246;Fjell;1127;757;370;473;394;79;654;363;291;72,9;78,4;63,7;68,8;75,8;47;76,1;81,4;70,5
1247 Askøy;1247;Askøy;1145;780;365;433;337;96;712;443;269;70,4;76,6;60;65,3;72;49,2;73,9;80,5;65,1
1251 Vaksdal;1251;Vaksdal;143;92;51;55;34;21;88;58;30;66,8;75,4;55,4;56,1;77,3;38,9;75,9;74,4;78,9
1252 Modalen;1252;Modalen;15;11;4;7; : ; : ;8; : ; : ;83,3;78,6;100;77,8; : ; : ;88,9; : ; : 
1253 Osterøy;1253;Osterøy;333;274;59;124;108;16;209;166;43;71,6;74,3;61,5;63,9;67,9;45,7;77,1;79;70,5
1256 Meland;1256;Meland;329;224;105;159;120;39;170;104;66;73,4;77,2;66,5;67,4;72,3;55,7;80,2;83,9;75
1259 Øygarden;1259;Øygarden;235;149;86;98;77;21;137;72;65;69,1;80,1;55,8;60,1;79,4;31,8;77,4;80,9;73,9
1260 Radøy;1260;Radøy;279;234;45;129;112;17;150;122;28;74,6;81;52,9;70,1;78,3;41,5;78,9;83,6;63,6
1263 Lindås;1263;Lindås;613;453;160;286;240;46;327;213;114;71,9;77,3;59,9;67;74,8;43,4;76,8;80,4;70,8
1264 Austrheim;1264;Austrheim;208;166;42;108;93;15;100;73;27;75,1;78,3;64,6;67,1;70,5;51,7;86,2;91,3;75
1265 Fedje;1265;Fedje;18; : ; : ; : ; : ; : ;16; : ; : ;81,8; : ; : ; : ; : ;0;94,1; : ; : 
1266 Masfjorden;1266;Masfjorden;38;29;9;20; : ; : ;18;12;6;79,2;82,9;69,2;76,9; : ; : ;81,8;80;85,7
1401 Flora;1401;Flora;644;379;265;283;217;66;361;162;199;65,2;78,5;52,6;54,4;74,6;28,8;77,3;84,4;72,4
1411 Gulen;1411;Gulen;120;94;26;88;76;12;32;18;14;80,5;83,9;70,3;81,5;85,4;63,2;78;78,3;77,8
1412 Solund;1412;Solund;51;41;10;26;19;7;25; : ; : ;78,5;75,9;90,9;72,2;67,9;87,5;86,2; : ; : 
1413 Hyllestad;1413;Hyllestad;87;79;8;28;28;0;59;51;8;79,8;85,9;47,1;65,1;80;0;89,4;89,5;88,9
1416 Høyanger;1416;Høyanger;181;106;75;66;43;23;115;63;52;74,8;83,5;65,2;67,3;81,1;51,1;79,9;85,1;74,3
1417 Vik;1417;Vik;137;118;19;66;61;5;71;57;14;78,3;80,3;67,9;71,7;73,5;55,6;85,5;89,1;73,7
1418 Balestrand;1418;Balestrand;119;86;33;49;39;10;70;47;23;83,8;87,8;75;75,4;79,6;62,5;90,9;95,9;82,1
1419 Leikanger;1419;Leikanger;74;54;20;36;24;12;38;30;8;78,7;83,1;69;70,6;77,4;60;88,4;88,2;88,9
1420 Sogndal;1420;Sogndal;344;239;105;194;144;50;150;95;55;61,5;77,9;41,7;51,9;75;27,5;81,1;82,6;78,6
1421 Aurland;1421;Aurland;94;83;11;57; : ; : ;37;29;8;75,2;76,9;64,7;72,2; : ; : ;80,4;82,9;72,7
1422 Lærdal;1422;Lærdal;92;71;21;40; : ; : ;52;32;20;79,3;81,6;72,4;75,5; : ; : ;82,5;84,2;80
1424 Årdal;1424;Årdal;275;203;72;125;112;13;150;91;59;66,6;79;46,2;61;81,2;19,4;72,1;76,5;66,3
1426 Luster;1426;Luster;179;149;30;88;81;7;91;68;23;77,5;87,1;50;71;84,4;25;85;90,7;71,9
1428 Askvoll;1428;Askvoll;83;59;24;37;33;4;46;26;20;69,2;70,2;66,7;64,9;71,7;36,4;73;68,4;80
1429 Fjaler;1429;Fjaler;99;73;26;29;25;4;70;48;22;57,6;64;44,8;36,3;47,2;14,8;76,1;78,7;71
1430 Gaular;1430;Gaular;122;108;14;72; : ; : ;50;38;12;83;82,4;87,5;80; : ; : ;87,7;86,4;92,3
1431 Jølster;1431;Jølster;116;85;31;75;59;16;41;26;15;59,2;89,5;30,7;52,4;89,4;20,8;77,4;89,7;62,5
1432 Førde;1432;Førde;611;385;226;301;244;57;310;141;169;72,4;83,3;59,2;65,7;82,4;35,2;80,3;84,9;76,8
1433 Naustdal;1433;Naustdal;93;71;22;51;45;6;42;26;16;83;86,6;73,3;83,6;88,2;60;82,4;83,9;80
1438 Bremanger;1438;Bremanger;265;185;80;128;99;29;137;86;51;67,1;78,4;50,3;57,7;80,5;29,3;79,2;76,1;85
1439 Vågsøy;1439;Vågsøy;361;269;92;183;172;11;178;97;81;71,8;72,3;70,2;65,6;67,2;47,8;79,5;83,6;75
1441 Selje;1441;Selje;102;72;30;35;29;6;67;43;24;76,7;83,7;63,8;63,6;78,4;33,3;85,9;87,8;82,8
1443 Eid;1443;Eid;219;152;67;101;84;17;118;68;50;70,4;76;60,4;66,9;77,8;39,5;73,8;73,9;73,5
1444 Hornindal;1444;Hornindal;53;44;9;27; : ; : ;26;19;7;86,9;88;81,8;90; : ; : ;83,9;86,4;77,8
1445 Gloppen;1445;Gloppen;207;123;84;109;64;45;98;59;39;79,6;83,7;74,3;79,6;84,2;73,8;79,7;83,1;75
1449 Stryn;1449;Stryn;597;518;79;294;277;17;303;241;62;73,9;79,3;51;66,8;75,7;23;82,3;84;76,5
1502 Molde;1502;Molde;1392;858;534;689;494;195;703;364;339;69,8;77,6;60;62,2;74,5;43,9;79,2;82,4;76
1504 Ålesund;1504;Ålesund;3046;2017;1029;1542;1236;306;1504;781;723;71,6;76,6;63,4;68;74,6;50,2;75,5;79,9;71,3
1505 Kristiansund;1505;Kristiansund;1338;853;485;617;487;130;721;366;355;67,5;76,1;56,4;61;72;38,7;74,4;82,2;67,7
1511 Vanylven;1511;Vanylven;103;75;28;54;48;6;49;27;22;73,6;76,5;66,7;68,4;73,8;42,9;80,3;81,8;78,6
1514 Sande (M. og R.);1514;Sande (M. og R.);269;247;22;180; : ; : ;89;69;20;82;84;64,7;81,4; : ; : ;83,2;85,2;76,9
1515 Herøy (M. og R.);1515;Herøy (M. og R.);544;411;133;356;330;26;188;81;107;76,4;82,4;62,4;78,2;84;41,9;73,2;76,4;70,9
1516 Ulstein;1516;Ulstein;754;570;184;499;460;39;255;110;145;75,3;86,4;54;73,4;87;25,8;79,4;84;76,3
1517 Hareid;1517;Hareid;416;265;151;174;151;23;242;114;128;74,7;75,1;74;66,2;71,6;44,2;82,3;80,3;84,2
1519 Volda;1519;Volda;337;185;152;148;91;57;189;94;95;58;71,2;47,4;45,3;67,4;29,7;74,4;75,2;73,6
1520 Ørsta;1520;Ørsta;390;252;138;179;146;33;211;106;105;70,9;80,8;58;64,4;79,8;34,7;77,6;82,2;73,4
1523 Ørskog;1523;Ørskog;164;118;46;58;54;4;106;64;42;67,8;67,8;67,6;59,2;61,4;40;73,6;74,4;72,4
1524 Norddal;1524;Norddal;93;80;13;27; : ; : ;66;54;12;86,9;88,9;76,5;81,8; : ; : ;89,2;90;85,7
1525 Stranda;1525;Stranda;431;364;67;235;221;14;196;143;53;83,4;82,5;88,2;80,8;81;77,8;86,7;85,1;91,4
1526 Stordal;1526;Stordal;87;77;10;39; : ; : ;48;40;8;75;77,8;58,8;67,2; : ; : ;82,8;88,9;61,5
1528 Sykkylven;1528;Sykkylven;495;338;157;180;147;33;315;191;124;72,8;79,5;61,6;63,8;71,4;43,4;79,1;87,2;69,3
1529 Skodje;1529;Skodje;212;166;46;90;83;7;122;83;39;72,9;75,8;63,9;67,7;70,9;43,8;77,2;81,4;69,6
1531 Sula;1531;Sula;509;381;128;276;241;35;233;140;93;78,2;81,2;70,3;75,6;78;62,5;81,5;87,5;73,8
1532 Giske;1532;Giske;413;302;111;240;198;42;173;104;69;73,2;74,9;68,9;69,8;73,3;56,8;78,6;78,2;79,3
1534 Haram;1534;Haram;679;457;222;269;234;35;410;223;187;74,1;78,7;66,3;64;73,6;34,3;82,7;84,8;80,3
1535 Vestnes;1535;Vestnes;418;306;112;213;184;29;205;122;83;74,6;82,7;58,9;68,7;84,8;31,2;82;79,7;85,6
1539 Rauma;1539;Rauma;331;257;74;143;120;23;188;137;51;83;85,1;76,3;79,4;83,9;62,2;85,8;86,2;85
1543 Nesset;1543;Nesset;92;64;28;30; : ; : ;62;37;25;75,4;77,1;71,8;66,7; : ; : ;80,5;82,2;78,1
1545 Midsund;1545;Midsund;145;109;36;74;66;8;71;43;28;82,9;87,2;72;83,1;89,2;53,3;82,6;84,3;80
1546 Sandøy;1546;Sandøy;99;82;17;40;35;5;59;47;12;79,8;79,6;81;71,4;70;83,3;86,8;88,7;80
1547 Aukra;1547;Aukra;198;153;45;94;83;11;104;70;34;78,9;84,5;64,3;75,2;81,4;47,8;82,5;88,6;72,3
1548 Fræna;1548;Fræna;399;296;103;189;169;20;210;127;83;68,1;72,2;58,5;62,8;69;35,7;73,7;77;69,2
1551 Eide;1551;Eide;123;80;43;61;48;13;62;32;30;68;72,1;61,4;57,5;64;41,9;82,7;88,9;76,9
1554 Averøy;1554;Averøy;289;227;62;131;113;18;158;114;44;80,5;85;67,4;73,2;81,3;45;87,8;89,1;84,6
1557 Gjemnes;1557;Gjemnes;96;70;26;35;28;7;61;42;19;70,1;78,7;54,2;59,3;70;36,8;78,2;85,7;65,5
1560 Tingvoll;1560;Tingvoll;134;94;40;47;31;16;87;63;24;68,4;81,7;49,4;52,2;68,9;35,6;82,1;90;66,7
1563 Sunndal;1563;Sunndal;206;80;126;70;30;40;136;50;86;50,4;76,2;41,4;32,3;76,9;22,5;70,8;75,8;68,3
1566 Surnadal;1566;Surnadal;125;86;39;48;41;7;77;45;32;66,8;74,1;54,9;55,8;70,7;25;76,2;77,6;74,4
1567 Rindal;1567;Rindal;18; : ; : ;10;10;0;8; : ; : ;81,8; : ; : ;76,9;83,3;0;88,9; : ; : 
1571 Halsa;1571;Halsa;41;32;9;21; : ; : ;20;14;6;69,5;80;47,4;70; : ; : ;69;77,8;54,5
1573 Smøla;1573;Smøla;103;91;12;63; : ; : ;40;30;10;78;80,5;63,2;81,8; : ; : ;72,7;75;66,7
1576 Aure;1576;Aure;177;140;37;108;90;18;69;50;19;72,8;84,8;47,4;70,6;85,7;37,5;76,7;83,3;63,3
1601 Trondheim;1601;Trondheim;11224;5631;5593;4389;2842;1547;6835;2789;4046;64,5;74;57,2;56,5;67,7;43,4;71;81,8;65,1
1612 Hemne;1612;Hemne;109;54;55;49;27;22;60;27;33;59,9;80,6;47,8;49;79,4;33,3;73,2;81,8;67,3
1613 Snillfjord;1613;Snillfjord;26;20;6;10; : ; : ;16; : ; : ;78,8;80;75;83,3; : ; : ;76,2; : ; : 
1617 Hitra;1617;Hitra;506;420;86;311;268;43;195;152;43;76,8;84;54,1;72,7;82,2;42,2;84,4;87,4;75,4
1620 Frøya;1620;Frøya;553;477;76;330;302;28;223;175;48;84,7;85,2;81,7;84,4;85,3;75,7;85,1;85;85,7
1621 Ørland;1621;Ørland;144;90;54;56;42;14;88;48;40;70,2;73,8;65,1;62,2;67,7;50;76,5;80;72,7
1622 Agdenes;1622;Agdenes;64;44;20;29; : ; : ;35;18;17;70,3;73,3;64,5;64,4; : ; : ;76,1;78,3;73,9
1624 Rissa;1624;Rissa;275;230;45;139;123;16;136;107;29;65,6;68;55,6;56,7;60,9;37,2;78,2;78,7;76,3
1627 Bjugn;1627;Bjugn;137;101;36;77;66;11;60;35;25;74,9;82,1;60;72,6;84,6;39,3;77,9;77,8;78,1
1630 Åfjord;1630;Åfjord;58;42;16;37;28;9;21;14;7;80,6;87,5;66,7;78,7;84,8;64,3;84;93,3;70
1632 Roan;1632;Roan;41;37;4;29; : ; : ;12; : ; : ;83,7;90,2;50;87,9; : ; : ;75; : ; : 
1633 Osen;1633;Osen;19; : ; : ;16;16;0; : ; : ; : ;76; : ; : ;84,2;84,2;0; : ; : ; : 
1634 Oppdal;1634;Oppdal;260;193;67;135;121;14;125;72;53;67,5;76,9;50;62,2;74,7;25,5;74,4;80,9;67,1
1635 Rennebu;1635;Rennebu;55;44;11;28; : ; : ;27;17;10;74,3;80;57,9;73,7; : ; : ;75;77,3;71,4
1636 Meldal;1636;Meldal;108;86;22;49;40;9;59;46;13;69,7;71,7;62,9;62;65,6;50;77,6;78;76,5
1638 Orkdal;1638;Orkdal;355;174;181;108;58;50;247;116;131;63,6;72,2;57,1;51,9;70,7;39,7;70,6;73;68,6
1640 Røros;1640;Røros;217;156;61;81;67;14;136;89;47;77;84,3;62,9;72,3;84,8;42,4;80;84;73,4
1644 Holtålen;1644;Holtålen;49;39;10;25; : ; : ;24;15;9;73,1;81,3;52,6;73,5; : ; : ;72,7;78,9;64,3
1648 Midtre Gauldal;1648;Midtre Gauldal;506;454;52;332;312;20;174;142;32;79,8;84,1;55,3;79,6;83,9;44,4;80,2;84,5;65,3
1653 Melhus;1653;Melhus;491;327;164;207;177;30;284;150;134;66,8;75,5;54,3;59;69,4;31,3;74;84,3;65
1657 Skaun;1657;Skaun;183;123;60;77;60;17;106;63;43;72,3;80,4;60;63,1;75,9;39,5;80,9;85,1;75,4
1662 Klæbu;1662;Klæbu;221;163;58;88;78;10;133;85;48;71,5;77,3;59,2;62,4;70,9;32,3;79,2;84,2;71,6
1663 Malvik;1663;Malvik;575;416;159;186;154;32;389;262;127;73,2;77,9;63,3;62,4;69,7;41,6;79,9;83,7;73
1664 Selbu;1664;Selbu;98;70;28;34; : ; : ;64;39;25;66,7;63,6;75,7;56,7; : ; : ;73,6;70,9;78,1
1665 Tydal;1665;Tydal;22;18;4;9; : ; : ;13; : ; : ;88;90;80;90; : ; : ;86,7; : ; : 
1702 Steinkjer;1702;Steinkjer;567;321;246;225;147;78;342;174;168;57;71,3;45,2;45,6;65;29,2;68,3;77,7;60,6
1703 Namsos;1703;Namsos;389;186;203;123;72;51;266;114;152;60,3;80,9;48,9;41;79,1;24,4;77,1;82;73,8
1711 Meråker;1711;Meråker;84;43;41;34;18;16;50;25;25;49,1;65,2;39;33,7;64,3;21,9;71,4;65,8;78,1
1714 Stjørdal;1714;Stjørdal;705;321;384;240;139;101;465;182;283;65,3;76,2;58,4;52,5;70,6;38,8;74,8;81,3;71,1
1717 Frosta;1717;Frosta;100;81;19;67;63;4;33;18;15;69,9;71,1;65,5;69,1;71,6;44,4;71,7;69,2;75
1718 Leksvik;1718;Leksvik;115;68;47;55;31;24;60;37;23;71,4;80;61,8;62,5;73,8;52,2;82,2;86;76,7
1719 Levanger;1719;Levanger;696;407;289;297;207;90;399;200;199;70,2;82,4;58,1;64,7;82,8;43,1;75;82;69,1
1721 Verdal;1721;Verdal;480;329;151;219;173;46;261;156;105;64,5;77,2;47,5;58,4;71,2;34,8;70,7;85,2;56,5
1724 Verran;1724;Verran;118;99;19;65;57;8;53;42;11;50;54,4;35,2;46,4;57;20;55,2;51,2;78,6
1725 Namdalseid;1725;Namdalseid;39;28;11;18; : ; : ;21;11;10;81,3;90,3;64,7;81,8; : ; : ;80,8;84,6;76,9
1736 Snåsa;1736;Snåsa;40;36;4;14; : ; : ;26; : ; : ;81,6;85,7;57,1;77,8; : ; : ;83,9; : ; : 
1738 Lierne;1738;Lierne;53; : ; : ;18;18;0;35; : ; : ;85,5; : ; : ;78,3;81,8;0;89,7; : ; : 
1739 Røyrvik;1739;Røyrvik;21; : ; : ;7;7;0;14; : ; : ;84; : ; : ;77,8;77,8;0;87,5; : ; : 
1740 Namsskogan;1740;Namsskogan;22;15;7;13; : ; : ;9;5;4;75,9;68,2;100;81,3; : ; : ;69,2;55,6;100
1742 Grong;1742;Grong;78;43;35;42;23;19;36;20;16;43,8;78,2;28,5;33,1;79,3;19,4;70,6;76,9;64
1743 Høylandet;1743;Høylandet;29;25;4;16; : ; : ;13; : ; : ;80,6;80,6;80;72,7; : ; : ;92,9; : ; : 
1744 Overhalla;1744;Overhalla;94;78;16;55;45;10;39;33;6;65,3;76,5;38,1;59,8;71,4;34,5;75;84,6;46,2
1748 Fosnes;1748;Fosnes;24;20;4;10;6;4;14;14;0;75;74,1;80;62,5;50;100;87,5;93,3;0
1749 Flatanger;1749;Flatanger;49;42;7;31;26;5;18; : ; : ;65,3;65,6;63,6;59,6;57,8;71,4;78,3; : ; : 
1750 Vikna;1750;Vikna;183;116;67;110;73;37;73;43;30;73,2;80,6;63,2;71;82;56,1;76,8;78,2;75
1751 Nærøy;1751;Nærøy;153;95;58;73;40;33;80;55;25;64,8;72,5;55,2;55,3;66,7;45,8;76,9;77,5;75,8
1755 Leka;1755;Leka;21;15;6;8; : ; : ;13;9;4;84;93,8;66,7;72,7; : ; : ;92,9;100;80
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);143;105;38;54;39;15;89;66;23;64,4;75,5;45,8;48,2;60,9;31,3;80,9;88;65,7
1804 Bodø;1804;Bodø;2031;1069;962;881;591;290;1150;478;672;64,8;76,4;55,5;55,2;74,2;36,3;74,8;79,3;71,9
1805 Narvik;1805;Narvik;954;518;436;441;268;173;513;250;263;64,2;72,8;56,3;55,4;70,7;41,5;74,3;75,1;73,7
1811 Bindal;1811;Bindal;20;16;4;12; : ; : ;8; : ; : ;55,6;59,3;44,4;52,2; : ; : ;61,5; : ; : 
1812 Sømna;1812;Sømna;49;30;19;18;11;7;31;19;12;58,3;85,7;38,8;45;84,6;25,9;70,5;86,4;54,5
1813 Brønnøy;1813;Brønnøy;232;130;102;96;63;33;136;67;69;61,5;77,4;48,8;53;76,8;33,3;69,4;77,9;62,7
1815 Vega;1815;Vega;23;13;10;12;6;6;11;7;4;65,7;76,5;55,6;60;75;50;73,3;77,8;66,7
1816 Vevelstad;1816;Vevelstad;20;14;6;7; : ; : ;13; : ; : ;76,9;77,8;75;58,3; : ; : ;92,9; : ; : 
1818 Herøy (Nordl.);1818;Herøy (Nordl.);113;96;17;90;80;10;23;16;7;65,7;71,6;44,7;65,2;71,4;38,5;67,6;72,7;58,3
1820 Alstahaug;1820;Alstahaug;314;173;141;156;104;52;158;69;89;62,2;80,5;48,6;51,5;77;31;78,2;86,3;73
1822 Leirfjord;1822;Leirfjord;63;32;31;29;15;14;34;17;17;49,6;74,4;36,9;39,7;68,2;27,5;63;81;51,5
1824 Vefsn;1824;Vefsn;352;173;179;126;90;36;226;83;143;64,2;80,8;53,6;50,8;83,3;25,7;75,3;78,3;73,7
1825 Grane;1825;Grane;48;38;10;33;29;4;15;9;6;80;88,4;58,8;86,8;93,5;57,1;68,2;75;60
1826 Hattfjelldal;1826;Hattfjelldal;39;27;12;15;11;4;24;16;8;36,8;77,1;16,9;21,4;84,6;7;66,7;72,7;57,1
1827 Dønna;1827;Dønna;44;28;16;21;17;4;23;11;12;75,9;70;88,9;67,7;65,4;80;85,2;78,6;92,3
