Kommune nr & navn;kommune_nr;"Kommune
navn";botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0238 Nannestad;238;Nannestad;950;622;328;403;343;60;547;279;268;74,1;78,2;67,4;69,2;74,7;48,8;78,1;83;73,6
0239 Hurdal;239;Hurdal;119;83;36;44;30;14;75;53;22;73,5;82,2;59;62,9;76,9;45,2;81,5;85,5;73,3
0301 Oslo;301;Oslo kommune;85579;38235;47344;28351;19280;9071;57228;18955;38273;64,5;76,7;57,2;65,7;74,6;52,4;64;79,1;58,5
0402 Kongsvinger;402;Kongsvinger;725;360;365;157;108;49;568;252;316;53,6;69,9;43,6;41,2;62,1;23,7;58,5;73,9;50,2
0403 Hamar;403;Hamar;1349;639;710;431;261;170;918;378;540;61,3;74,3;53;55,2;69,4;42;64,7;78,1;57,8
0412 Ringsaker;412;Ringsaker;1254;878;376;541;454;87;713;424;289;67,2;74,9;54,3;62,6;71,9;37,3;71,2;78,2;62,8
0415 Løten;415;Løten;226;144;82;82;59;23;144;85;59;61,1;68,2;51,6;53,2;57,3;45,1;66,7;78,7;54,6
0417 Stange;417;Stange;715;431;284;234;156;78;481;275;206;62,4;73,1;51,2;52,5;63,2;39,2;68,8;80,2;57,9
0418 Nord-Odal;418;Nord-Odal;95;71;24;39;39;0;56;32;24;63,3;69,6;50;60,9;78;0;65,1;61,5;70,6
0419 Sør-Odal;419;Sør-Odal;214;141;73;70;55;15;144;86;58;66;72,3;56,6;54,3;65,5;33,3;73,8;77,5;69
0420 Eidskog;420;Eidskog;170;120;50;40; : ; : ;130;81;49;56,1;65,9;41,3;44; : ; : ;61,3;64,8;56,3
0423 Grue;423;Grue;156;102;54;44;32;12;112;70;42;66,1;69,9;60;59,5;68,1;44,4;69,1;70,7;66,7
0425 Åsnes;425;Åsnes;180;110;70;82;59;23;98;51;47;54,4;66,3;42,4;48,5;72;26,4;60,5;60,7;60,3
0426 Våler (Hedm.);426;Våler (Hedm.);118;92;26;52;44;8;66;48;18;68,2;71,9;57,8;62,7;69,8;40;73,3;73,8;72
0427 Elverum;427;Elverum;726;361;365;239;160;79;487;201;286;60,2;70,4;52,7;55,5;66,4;41,6;62,8;73,9;56,9
0428 Trysil;428;Trysil;251;213;38;101;89;12;150;124;26;57,6;66,4;33;51,3;61,8;22,6;62,8;70,1;41,9
0429 Åmot;429;Åmot;135;110;25;51;47;4;84;63;21;61,6;69,2;41,7;58;63,5;28,6;64,1;74,1;45,7
0430 Stor-Elvdal;430;Stor-Elvdal;103;63;40;56;34;22;47;29;18;35,6;64,3;20,9;25,1;56,7;13,5;71,2;76,3;64,3
0432 Rendalen;432;Rendalen;35;28;7;18; : ; : ;17;12;5;53;58,3;38,9;50; : ; : ;56,7;54,5;62,5
0434 Engerdal;434;Engerdal;35;31;4;9; : ; : ;26; : ; : ;47,3;75,6;12,1;23,1; : ; : ;74,3; : ; : 
0436 Tolga;436;Tolga;67;50;17;35;31;4;32;19;13;60,4;78,1;36,2;58,3;75,6;21,1;62,7;82,6;46,4
0437 Tynset;437;Tynset;268;195;73;134;118;16;134;77;57;72,8;81,9;56,2;65,4;77,6;30,2;82,2;89,5;74
0438 Alvdal;438;Alvdal;65;41;24;18;12;6;47;29;18;67;85,4;49;41,9;75;22,2;87;90,6;81,8
0439 Folldal;439;Folldal;39;28;11;16; : ; : ;23;14;9;79,6;90,3;61,1;69,6; : ; : ;88,5;87,5;90
0441 Os (Hedm.);441;Os (Hedm.);88;68;20;35;28;7;53;40;13;72,1;75,6;62,5;66;73,7;46,7;76,8;76,9;76,5
0501 Lillehammer;501;Lillehammer;1286;667;619;372;257;115;914;410;504;67,9;78,2;59,4;59,9;76;40,6;71,7;79,6;66,4
0502 Gjøvik;502;Gjøvik;1513;743;770;498;358;140;1015;385;630;63,1;77,6;53,4;57;74;35,9;66,6;81,2;59,9
0511 Dovre;511;Dovre;100;75;25;52;43;9;48;32;16;63,3;77,3;41;54,7;76,8;23,1;76,2;78;72,7
0512 Lesja;512;Lesja;78;72;6;37;37;0;41;35;6;75,7;81,8;40;72,5;80,4;0;78,8;83,3;60
0513 Skjåk;513;Skjåk;67;44;23;43;27;16;24;17;7;57,8;57,9;57,5;58,1;57,4;59,3;57,1;58,6;53,8
0514 Lom;514;Lom;54;37;17;21;11;10;33;26;7;68,4;82,2;50;55,3;73,3;43,5;80,5;86,7;63,6
