Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika;vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo kommune;85579;13851;8095;14688;6427;1608;28136;9503;3271;64,5;84,3;75,6;71,8;66,6;72;57,7;48,8;66,8
0402 Kongsvinger;402;Kongsvinger;725;152;54;149;88;5;218;33;26;53,6;71;74;67,7;50,3;62,5;47,3;21,7;53,1
0403 Hamar;403;Hamar;1349;195;125;300;144;19;375;156;35;61,3;78,3;80,1;69,9;61;73,1;55,9;41,9;58,3
0412 Ringsaker;412;Ringsaker;1254;143;134;578;94;23;231;43;8;67,2;75,3;75,7;74,1;67,1;88,5;57,2;32,8;44,4
0415 Løten;415;Løten;226;31;22;89;12; : ;57;9; : ;61,1;83,8;62,9;65,9;54,5; : ;60;25,7; : 
0417 Stange;417;Stange;715;90;117;211;77;13;122;72;13;62,4;75,6;73,1;74,6;58,8;46,4;53;41,9;59,1
0418 Nord-Odal;418;Nord-Odal;95;17;11;41; : ; : ;15; : ;5;63,3;60,7;68,8;73,2; : ; : ;50; : ;55,6
0419 Sør-Odal;419;Sør-Odal;214;58;18;61;14;4;40;10;9;66;80,6;69,2;68,5;82,4;50;61,5;31,3;60
0420 Eidskog;420;Eidskog;170;75;11;31;13; : ;34; : ; : ;56,1;66,4;61,1;66;50; : ;47,9; : ; : 
0423 Grue;423;Grue;156;27;14;60;16; : ;31;6; : ;66,1;64,3;66,7;74,1;72,7; : ;62;40; : 
0425 Åsnes;425;Åsnes;180;33;16;59;19; : ;38;11; : ;54,4;62,3;69,6;70,2;65,5; : ;45,8;23,4; : 
0426 Våler (Hedm.);426;Våler (Hedm.);118;22;28;42;4;0;20; : ; : ;68,2;73,3;90,3;65,6;66,7;.;57,1; : ; : 
0427 Elverum;427;Elverum;726;120;56;174;83;11;180;76;26;60,2;79,5;68,3;66,2;54,2;64,7;58,6;38,8;70,3
0428 Trysil;428;Trysil;251;118;40;53;8; : ;23;6; : ;57,6;73,3;70,2;53,5;33,3; : ;41,8;18,8; : 
0429 Åmot;429;Åmot;135;18;30;58;6;4;13; : ;4;61,6;64,3;69,8;70,7;50;66,7;44,8; : ;80
0430 Stor-Elvdal;430;Stor-Elvdal;103; : ;30;24;7; : ;18;15;0;35,6; : ;58,8;77,4;53,8; : ;38,3;11,5;.
0432 Rendalen;432;Rendalen;35;9;4;13;4; : ; : ; : ;0;53;52,9;30,8;81,3;80; : ; : ; : ;.
0434 Engerdal;434;Engerdal;35;18;6;7; : ;0; : ;0; : ;47,3;69,2;75;100; : ;.; : ;.; : 
0436 Tolga;436;Tolga;67;5;27;17;7; : ;5;4; : ;60,4;83,3;75;81;53,8; : ;45,5;18,2; : 
0437 Tynset;437;Tynset;268;18;17;157;14; : ;36;21; : ;72,8;94,7;81;80,9;82,4; : ;62,1;40,4; : 
0438 Alvdal;438;Alvdal;65;7;16;18;9;0;10; : ; : ;67;87,5;94,1;78,3;69,2;.;76,9; : ; : 
0439 Folldal;439;Folldal;39;7;12;9; : ;0;7;0; : ;79,6;87,5;85,7;100; : ;.;87,5;.; : 
0441 Os (Hedm.);441;Os (Hedm.);88;15;21;31;11; : ;5; : ; : ;72,1;83,3;80,8;68,9;91,7; : ;33,3; : ; : 
0501 Lillehammer;501;Lillehammer;1286;223;147;271;164;26;338;100;17;67,9;82,9;73,1;78,3;70,4;70,3;60,2;44,4;73,9
0502 Gjøvik;502;Gjøvik;1513;168;117;438;201;20;424;121;24;63,1;83,6;75,5;76,2;61,5;71,4;53;44,2;61,5
0511 Dovre;511;Dovre;100;6;11;55; : ; : ;14;5; : ;63,3;66,7;61,1;82,1; : ; : ;56;18,5; : 
0512 Lesja;512;Lesja;78;7;15;50; : ;0;4;0;0;75,7;100;68,2;84,7; : ;.;100;.;.
0513 Skjåk;513;Skjåk;67;5;5;34;8;0; : ;11; : ;57,8;62,5;55,6;59,6;53,3;.; : ;68,8; : 
0514 Lom;514;Lom;54;7;17;13; : ;0;9;6;0;68,4;77,8;81;86,7; : ;.;45;50;.
0515 Vågå;515;Vågå;65;8;8;20;8; : ;9;8; : ;58,6;88,9;80;64,5;88,9; : ;33,3;40; : 
0516 Nord-Fron;516;Nord-Fron;154;11;22;78;9;4;23;7;0;66,4;73,3;78,6;88,6;69,2;100;39,7;26,9;.
0517 Sel;517;Sel;121;9;20;42;11; : ;23;10;4;49,4;100;71,4;75;68,8; : ;53,5;12,3;44,4
0519 Sør-Fron;519;Sør-Fron;119;11;20;66;15;0;7;0;0;71,3;68,8;83,3;76,7;68,2;.;58,3;.;.
0520 Ringebu;520;Ringebu;202;16;40;115;10;0;17;4;0;66,4;88,9;76,9;77,7;76,9;.;56,7;10;.
0521 Øyer;521;Øyer;277;42;35;114;49; : ;23;10; : ;64,6;79,2;72,9;66,3;80,3; : ;50;23,3; : 
0522 Gausdal;522;Gausdal;182;30;22;75;16; : ;25;11; : ;71,4;78,9;71;75,8;69,6; : ;71,4;44; : 
0528 Østre Toten;528;Østre Toten;540;50;49;281;64;8;66;18;4;65,7;72,5;84,5;74,9;64;80;58,4;19,6;80
0529 Vestre Toten;529;Vestre Toten;407;31;49;144;28;5;112;29;9;63,6;79,5;89,1;79,1;59,6;62,5;54,6;31,9;69,2
0532 Jevnaker;532;Jevnaker;265;40;43;94;32; : ;42;6; : ;71;76,9;78,2;77;69,6; : ;66,7;25; : 
0533 Lunner;533;Lunner;356;69;41;97;18;9;63;36;23;64,3;80,2;87,2;73,5;69,2;81,8;55,3;35,3;63,9
0534 Gran;534;Gran;459;44;30;190;52; : ;98;34; : ;57,4;71;62,5;69,1;56,5; : ;57,6;24,3; : 
0536 Søndre Land;536;Søndre Land;155;20;32;45;12; : ;20;22; : ;58,1;74,1;80;61,6;70,6; : ;46,5;35,5; : 
0538 Nordre Land;538;Nordre Land;160;24;11;68;11; : ;35; : ;0;62,7;88,9;55;66,7;61,1; : ;62,5; : ;.
0540 Sør-Aurdal;540;Sør-Aurdal;90;8;30;28; : ;0;19;0; : ;66,2;66,7;83,3;75,7; : ;.;52,8;.; : 
0541 Etnedal;541;Etnedal;44;4;11;18;6; : ; : ; : ;0;31;66,7;73,3;81,8;66,7; : ; : ; : ;.
0542 Nord-Aurdal;542;Nord-Aurdal;291;37;40;121;26; : ;36;18;10;67,4;88,1;72,7;65,8;68,4; : ;65,5;41,9;90,9
0543 Vestre Slidre;543;Vestre Slidre;67;5;14;31; : ; : ;9; : ;4;58,8;100;63,6;77,5; : ; : ;36; : ;100
0544 Øystre Slidre;544;Øystre Slidre;160;33;19;66;6;5;12;6;13;76,6;80,5;63,3;81,5;100;100;63,2;66,7;72,2
0545 Vang;545;Vang;98;7;15;59; : ;0;7;5; : ;59,8;63,6;93,8;77,6; : ;.;36,8;13,9; : 
0602 Drammen;602;Drammen;6707;606;439;1742;810;60;2408;490;152;61,6;82;79,5;72,3;68,7;68,2;51,8;46,8;67,6
0604 Kongsberg;604;Kongsberg;1974;280;311;459;151;55;495;116;107;71,8;82,6;78,9;79,8;75,1;71,4;63;50,9;71,8
0605 Ringerike;605;Ringerike;1588;175;183;518;219;15;357;67;54;66,3;78,8;76,3;74,1;62,8;60;58,6;41,6;60
0612 Hole;612;Hole;482;87;64;219;37;7;45;4;19;71,2;83,7;80;71,1;71,2;70;50,6;57,1;70,4
0615 Flå;615;Flå;43; : ;11;22; : ;0;4;0; : ;63,2; : ;68,8;64,7; : ;.;66,7;.; : 
0616 Nes (Busk.);616;Nes (Busk.);170;25;18;75;18; : ;22;6; : ;58,6;83,3;81,8;73,5;64,3; : ;46,8;10,9; : 
0617 Gol;617;Gol;394;36;42;185;44; : ;63;20; : ;76,5;78,3;84;81,9;80; : ;74,1;42,6; : 
0618 Hemsedal;618;Hemsedal;255;95;27;106;8;4;11; : ; : ;72,2;78,5;90;84,1;100;80;28,2; : ; : 
0619 Ål;619;Ål;230;30;28;109;12; : ;29;13; : ;75,2;88,2;77,8;83,8;80; : ;65,9;35,1; : 
0620 Hol;620;Hol;405;127;51;145;8;7;42;16;9;76,9;90,1;79,7;71,1;66,7;53,8;73,7;66,7;75
0621 Sigdal;621;Sigdal;103; : ;8;76;6;0;10;0;0;73; : ;44,4;85,4;66,7;.;47,6;.;.
0622 Krødsherad;622;Krødsherad;155;13;12;110;4;0;12; : ; : ;76;68,4;54,5;86,6;50;.;54,5; : ; : 
0623 Modum;623;Modum;539;60;69;213;64;5;84;30;14;64;75;76,7;72,9;64;62,5;48,6;40,5;56
0624 Øvre Eiker;624;Øvre Eiker;1096;140;118;489;73;9;203;41;23;71,8;81,9;81,4;75,5;72,3;56,3;64,9;41,8;65,7
0625 Nedre Eiker;625;Nedre Eiker;1904;187;121;629;182;17;627;85;56;70,2;83,1;76,6;79;73,1;73,9;60,8;55,2;73,7
0626 Lier;626;Lier;2185;217;196;869;122;27;585;120;49;70,8;88,2;80,7;76,7;61,6;75;64,6;46,9;70
0627 Røyken;627;Røyken;1447;255;221;517;71;42;263;39;39;73,9;83,3;82,5;74;71;82,4;62,9;54,2;86,7
0628 Hurum;628;Hurum;519;91;103;203;30; : ;49;25; : ;70,7;87,5;84,4;76,6;68,2; : ;48;36,8; : 
0631 Flesberg;631;Flesberg;106;17;17;49;5; : ;10;4; : ;68,8;89,5;94,4;76,6;71,4; : ;76,9;14,3; : 
0632 Rollag;632;Rollag;42;8;9;8; : ; : ;4; : ;7;65,6;88,9;69,2;100; : ; : ;66,7; : ;87,5
0633 Nore og Uvdal;633;Nore og Uvdal;111;12;14;55; : ;0;16;4; : ;74;85,7;70;84,6; : ;.;84,2;21,1; : 
