Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika;vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1120 Klepp;1120;Klepp;1325;107;156;680;96;16;177;72;21;76,9;81,1;87,6;82,6;68,1;80;65,3;56,3;72,4
1121 Time;1121;Time;976;79;125;387;97;14;181;67;26;73,8;85,9;84,5;80,8;66,4;66,7;66,3;53,2;68,4
1122 Gjesdal;1122;Gjesdal;755;99;141;318;59;17;84;27;10;78,2;88,4;83,9;80,7;76,6;81;70,6;43,5;83,3
1124 Sola;1124;Sola;2273;199;450;687;150;81;462;152;92;75,1;88,1;81,2;80,2;74,3;63,3;66,8;65;69,7
1127 Randaberg;1127;Randaberg;619;80;98;238;44;18;78;50;13;74,8;87,9;77,2;82,6;68,8;81,8;65;53,2;61,9
1129 Forsand;1129;Forsand;60;4;24;19; : ; : ;5; : ; : ;84,5;80;100;79,2; : ; : ;62,5; : ; : 
1130 Strand;1130;Strand;578;54;107;181;50;8;109;58;11;69,8;80,6;81,1;74,2;79,4;80;63,7;46,4;68,8
1133 Hjelmeland;1133;Hjelmeland;257;16;49;129;5; : ;34;20; : ;78,1;94,1;84,5;85,4;71,4; : ;72,3;50; : 
1134 Suldal;1134;Suldal;191;22;56;56;19; : ;18;16; : ;75,8;73,3;88,9;87,5;73,1; : ;72;43,2; : 
1135 Sauda;1135;Sauda;168;12;28;67;8; : ;30;16; : ;71,5;80;82,4;81,7;100; : ;66,7;36,4; : 
1141 Finnøy;1141;Finnøy;272;10;36;202;4; : ;13; : ;4;87,2;90,9;87,8;87,4;100; : ;76,5; : ;100
1142 Rennesøy;1142;Rennesøy;294;40;82;120; : ; : ;23;9;10;74,2;80;85,4;73,6; : ; : ;69,7;40,9;83,3
1144 Kvitsøy;1144;Kvitsøy;23; : ;15;4; : ;0; : ;0;0;79,3; : ;100;66,7; : ;.; : ;.;.
1145 Bokn;1145;Bokn;49; : ;8;30;0; : ; : ; : ; : ;79; : ;88,9;78,9;.; : ; : ; : ; : 
1146 Tysvær;1146;Tysvær;395;19;58;201;19;8;76;7;7;67,6;70,4;75,3;85,5;46,3;80;49,4;26,9;50
1149 Karmøy;1149;Karmøy;1818;217;233;748;85;37;322;92;84;66,4;72,8;75,2;71,7;60,3;71,2;57,2;49,5;58,7
1151 Utsira;1151;Utsira;11; : ; : ; : ;0;0;6;0; : ;84,6; : ; : ; : ;.;.;100;.; : 
1160 Vindafjord;1160;Vindafjord;571;33;63;384;41;0;38;6;6;71,2;82,5;77,8;74,6;80,4;.;50;25;75
1201 Bergen;1201;Bergen;20762;1763;2768;6712;1322;534;4680;1794;1189;67,6;81,7;70,5;76,6;68,3;72,5;58,8;50,9;68,3
1211 Etne;1211;Etne;255;18;31;184;6; : ;10; : ; : ;78,2;81,8;79,5;84,8;40; : ;71,4; : ; : 
1216 Sveio;1216;Sveio;244;26;55;98;20;8;28;5;4;69,9;83,9;72,4;77,8;60,6;88,9;75,7;19,2;36,4
1219 Bømlo;1219;Bømlo;554;69;78;227;30;4;123;17;6;68,9;79,3;80,4;81,7;69,8;80;55,4;30,9;35,3
1221 Stord;1221;Stord;960;108;112;330;58;14;249;60;29;68;76,6;74,7;69,5;68,2;66,7;64,2;55;69
1222 Fitjar;1222;Fitjar;111;9;13;67;8; : ;8;0; : ;76,6;81,8;68,4;81,7;80; : ;72,7;.; : 
1223 Tysnes;1223;Tysnes;121;11;29;55;6;0;16; : ; : ;74,2;73,3;76,3;73,3;85,7;.;76,2; : ; : 
1224 Kvinnherad;1224;Kvinnherad;451;50;61;174;45; : ;88;17; : ;68,5;79,4;79,2;70,7;69,2; : ;65,7;35,4; : 
1227 Jondal;1227;Jondal;39; : ;13;14; : ;0;5;0; : ;72,2; : ;81,3;66,7; : ;.;83,3;.; : 
1228 Odda;1228;Odda;352;38;24;151;33; : ;86;15; : ;73,6;88,4;77,4;84,4;86,8; : ;81,1;22,1; : 
1231 Ullensvang;1231;Ullensvang;155;8;33;58;5; : ;36;9; : ;69,2;80;84,6;84,1;71,4; : ;61;26,5; : 
1232 Eidfjord;1232;Eidfjord;48;4;18;15; : ; : ;8;0;0;70,6;66,7;100;60; : ; : ;72,7;.;.
1233 Ulvik;1233;Ulvik;68;20;22;10; : ;0;4;8; : ;77,3;90,9;84,6;58,8; : ;.;66,7;80; : 
1234 Granvin;1234;Granvin;34;7;8;16;0;0; : ;0;0;75,6;87,5;72,7;80;.;.; : ;.;.
1235 Voss;1235;Voss;481;49;66;201;34;13;73;38;7;66,8;79;80,5;80,1;79,1;86,7;54,5;31,4;58,3
1238 Kvam;1238;Kvam;433;26;71;198;35;8;62;33;0;65,8;76,5;80,7;69,7;60,3;80;65,3;38,8;.
1241 Fusa;1241;Fusa;147;6;20;87;8; : ;21; : ; : ;74,2;66,7;76,9;77;100; : ;67,7; : ; : 
1242 Samnanger;1242;Samnanger;82;11;8;32;11;0;13; : ;4;68,9;91,7;88,9;72,7;68,8;.;65; : ;80
1243 Os (Hord.);1243;Os (Hord.);1036;82;110;561;61;18;142;34;28;71,7;84,5;78;74,9;61,6;62,1;64,8;58,6;53,8
1244 Austevoll;1244;Austevoll;344;30;24;244;9; : ;17; : ;11;79,1;85,7;72,7;81,3;90; : ;68; : ;68,8
1245 Sund;1245;Sund;358;22;49;169;12;7;54;32;13;71,6;81,5;84,5;80,1;75;70;56,8;49,2;72,2
1246 Fjell;1246;Fjell;1127;65;139;537;65;17;195;56;53;72,9;83,3;80,8;77,8;72,2;63;61,1;64,4;63,1
1247 Askøy;1247;Askøy;1145;91;161;503;38;25;210;73;44;70,4;80,5;76,7;76,7;59,4;64,1;60;58,9;62,9
1251 Vaksdal;1251;Vaksdal;143;13;17;61;5; : ;22;19; : ;66,8;100;63;75,3;100; : ;68,8;39,6; : 
1252 Modalen;1252;Modalen;15;4;4; : ;0; : ; : ;0; : ;83,3;80;80; : ;.; : ; : ;.; : 
1253 Osterøy;1253;Osterøy;333;27;49;192;11;6;33;6;9;71,6;75;83,1;72,5;68,8;66,7;57,9;66,7;64,3
1256 Meland;1256;Meland;329;22;33;159;23;10;46;21;15;73,4;88;84,6;75,4;69,7;66,7;74,2;48,8;75
1259 Øygarden;1259;Øygarden;235;12;49;82;11;7;54;14;6;69,1;80;81,7;78,8;55;87,5;77,1;25,9;66,7
1260 Radøy;1260;Radøy;279;13;35;184;10; : ;20;12; : ;74,6;92,9;79,5;80,3;66,7; : ;60,6;38,7; : 
1263 Lindås;1263;Lindås;613;54;55;336;31;8;90;20;19;71,9;80,6;74,3;77,6;79,5;66,7;60,8;37,7;70,4
1264 Austrheim;1264;Austrheim;208;10;8;146; : ; : ;28;8;0;75,1;90,9;61,5;78,5; : ; : ;68,3;61,5;.
1265 Fedje;1265;Fedje;18; : ;11; : ;0;0;0; : ; : ;81,8; : ;91,7; : ;.;.;.; : ; : 
1266 Masfjorden;1266;Masfjorden;38; : ;14;13;0;0;5; : ; : ;79,2; : ;82,4;86,7;.;.;62,5; : ; : 
1401 Flora;1401;Flora;644;47;77;249;51;6;158;30;26;65,2;88,7;81,9;76,6;70,8;54,5;61,2;22,2;66,7
1411 Gulen;1411;Gulen;120; : ;12;79;11; : ;12;0; : ;80,5; : ;80;84;73,3; : ;70,6;.; : 
1412 Solund;1412;Solund;51; : ;11;27;7;0; : ;0;0;78,5; : ;73,3;79,4;100;.; : ;.;.
1413 Hyllestad;1413;Hyllestad;87;5;12;61; : ; : ; : ;0; : ;79,8;83,3;66,7;91; : ; : ; : ;.; : 
1416 Høyanger;1416;Høyanger;181;15;34;56;13; : ;15;12;35;74,8;83,3;87,2;81,2;76,5; : ;48,4;44,4;87,5
1417 Vik;1417;Vik;137; : ;22;90;0; : ;5;14;0;78,3; : ;78,6;81,1;.; : ;71,4;70;.
1418 Balestrand;1418;Balestrand;119;19;28;39; : ;0;11;8;11;83,8;95;84,8;86,7; : ;.;100;57,1;78,6
1419 Leikanger;1419;Leikanger;74;8;13;31; : ; : ;10;8; : ;78,7;100;86,7;79,5; : ; : ;66,7;72,7; : 
1420 Sogndal;1420;Sogndal;344;47;47;139;17; : ;46;39; : ;61,5;79,7;82,5;76;81; : ;70,8;24,4; : 
1421 Aurland;1421;Aurland;94;13;22;42; : ;6;6; : ; : ;75,2;81,3;75,9;75; : ;85,7;60; : ; : 
1422 Lærdal;1422;Lærdal;92;32;8;30; : ; : ;6;0;12;79,3;91,4;66,7;76,9; : ; : ;66,7;.;80
1424 Årdal;1424;Årdal;275;15;26;161;17; : ;35; : ;11;66,6;71,4;81,3;79,7;77,3; : ;53,8; : ;68,8
1426 Luster;1426;Luster;179;27;30;89;11; : ;11;6; : ;77,5;90;85,7;87,3;64,7; : ;84,6;21,4; : 
1428 Askvoll;1428;Askvoll;83;9;21;27;4; : ;10; : ;6;69,2;56,3;77,8;69,2;57,1; : ;62,5; : ;75
1429 Fjaler;1429;Fjaler;99;20;32;17;7;4;14; : ; : ;57,6;83,3;59,3;56,7;63,6;66,7;50; : ; : 
1430 Gaular;1430;Gaular;122;12;16;79;4; : ;9;0; : ;83;80;84,2;83,2;66,7; : ;100;.; : 
1431 Jølster;1431;Jølster;116;5;14;66; : ;0;10;14; : ;59,2;83,3;93,3;89,2; : ;.;58,8;19,7; : 
1432 Førde;1432;Førde;611;57;53;271;52;4;110;39;25;72,4;86,4;77,9;84,2;65,8;66,7;69,2;34,8;78,1
1433 Naustdal;1433;Naustdal;93;8;20;41;9; : ;12;0; : ;83;80;90,9;87,2;90; : ;66,7;.; : 
1438 Bremanger;1438;Bremanger;265;12;79;92;14; : ;46;14; : ;67,1;75;78,2;78,6;73,7; : ;79,3;19,2; : 
1439 Vågsøy;1439;Vågsøy;361;58;41;169;24; : ;53;9; : ;71,8;81,7;69,5;70,7;85,7; : ;63,9;75; : 
1441 Selje;1441;Selje;102;9;33;30;5;0;24; : ;0;76,7;100;78,6;85,7;83,3;.;72,7; : ;.
1443 Eid;1443;Eid;219;33;31;84;18;4;36;11; : ;70,4;68,8;77,5;79,2;81,8;66,7;67,9;34,4; : 
1444 Hornindal;1444;Hornindal;53;5;16;22;0; : ; : ; : ;5;86,9;100;94,1;84,6;.; : ; : ; : ;83,3
1445 Gloppen;1445;Gloppen;207;24;30;64; : ; : ;27;45;8;79,6;96;76,9;83,1; : ; : ;62,8;81,8;72,7
1449 Stryn;1449;Stryn;597;45;56;414;16; : ;40; : ;14;73,9;78,9;72,7;81;80; : ;50,6; : ;82,4
1502 Molde;1502;Molde;1392;105;187;547;130;19;247;118;39;69,8;77,8;77,6;77,4;68,4;86,4;64,2;45,2;72,2
1504 Ålesund;1504;Ålesund;3046;327;272;1373;201;45;646;89;93;71,6;84,3;74,7;75,5;70,3;70,3;66,3;40,3;66,4
1505 Kristiansund;1505;Kristiansund;1338;123;149;567;81;15;287;79;37;67,5;87,2;79,7;73,4;69,8;71,4;57,6;41,4;68,5
1511 Vanylven;1511;Vanylven;103;8;26;39; : ; : ;22; : ;4;73,6;61,5;83,9;75; : ; : ;62,9; : ;100
1514 Sande (M. og R.);1514;Sande (M. og R.);269;10;27;208;4; : ;16; : ; : ;82;76,9;93,1;83,2;57,1; : ;66,7; : ; : 
1515 Herøy (M. og R.);1515;Herøy (M. og R.);544;27;29;349;27;7;75;20;10;76,4;73;72,5;84,1;64,3;87,5;73,5;44,4;43,5
1516 Ulstein;1516;Ulstein;754;38;65;462;42;5;105;23;14;75,3;82,6;91,5;86,4;79,2;62,5;58;26,4;70
1517 Hareid;1517;Hareid;416;16;30;215;23;4;99;18;11;74,7;69,6;83,3;74,4;79,3;80;74,4;62,1;84,6
1519 Volda;1519;Volda;337;26;55;98;30;6;66;45;11;58;65;76,4;71;62,5;60;54,5;33,1;68,8
1520 Ørsta;1520;Ørsta;390;36;48;161;30;7;75;26;7;70,9;81,8;76,2;82,1;66,7;77,8;61,5;44,8;53,8
1523 Ørskog;1523;Ørskog;164;15;29;71;24; : ;19; : ; : ;67,8;62,5;82,9;63,4;77,4; : ;59,4; : ; : 
1524 Norddal;1524;Norddal;93;13;29;37; : ; : ;9;0; : ;86,9;92,9;87,9;92,5; : ; : ;81,8;.; : 
1525 Stranda;1525;Stranda;431;26;37;299;16; : ;45; : ; : ;83,4;86,7;75,5;83,1;88,9; : ;90; : ; : 
1526 Stordal;1526;Stordal;87;17;28;31;0; : ;9;0; : ;75;77,3;87,5;72,1;.; : ;56,3;.; : 
1528 Sykkylven;1528;Sykkylven;495;26;74;230;34;8;80;29;14;72,8;83,9;83,1;78,8;64,2;61,5;60,6;56,9;73,7
1529 Skodje;1529;Skodje;212;17;50;98;10; : ;27; : ; : ;72,9;81;75,8;75,4;58,8; : ;64,3; : ; : 
1531 Sula;1531;Sula;509;44;64;265;34;8;82;5;7;78,2;86,3;83,1;79,8;82,9;88,9;68,3;50;63,6
1532 Giske;1532;Giske;413;36;53;202;25;11;47;29;10;73,2;76,6;79,1;73,5;71,4;78,6;78,3;60,4;55,6
1534 Haram;1534;Haram;679;52;80;323;74; : ;120;16; : ;74,1;83,9;82,5;77,6;83,1; : ;63,8;42,1; : 
1535 Vestnes;1535;Vestnes;418;39;51;212;22;4;70;11;9;74,6;79,6;76,1;85,8;88;57,1;68,6;21,6;75
1539 Rauma;1539;Rauma;331;41;88;123;9;5;47;9;9;83;85,4;87,1;84,2;90;71,4;73,4;90;69,2
1543 Nesset;1543;Nesset;92;4;28;31;5; : ;18; : ;4;75,4;80;80;73,8;62,5; : ;75; : ;66,7
1545 Midsund;1545;Midsund;145;7;18;81;5; : ;21;7; : ;82,9;77,8;81,8;89;45,5; : ;91,3;58,3; : 
1546 Sandøy;1546;Sandøy;99;4;18;56;8; : ;8; : ;0;79,8;80;78,3;78,9;80; : ;88,9; : ;.
1547 Aukra;1547;Aukra;198;12;35;97;4;9;27;10;4;78,9;80;83,3;84,3;50;100;75;50;66,7
1548 Fræna;1548;Fræna;399;22;62;206;17;6;64;9;13;68,1;75,9;82,7;69,4;73,9;66,7;63,4;28,1;65
1551 Eide;1551;Eide;123;4;24;51;13; : ;24;4; : ;68;80;92,3;65,4;68,4; : ;75;23,5; : 
1554 Averøy;1554;Averøy;289;19;89;115;12;4;31;5;14;80,5;82,6;89,9;82,1;66,7;80;72,1;33,3;87,5
1557 Gjemnes;1557;Gjemnes;96;4;39;26;6; : ;11;7; : ;70,1;66,7;86,7;70,3;66,7; : ;57,9;43,8; : 
1560 Tingvoll;1560;Tingvoll;134;9;59;23;8; : ;18;12; : ;68,4;81,8;83,1;76,7;57,1; : ;75;30,8; : 
1563 Sunndal;1563;Sunndal;206;12;20;42;22;6;63;32;9;50,4;85,7;58,8;84;73,3;85,7;60;20,4;75
1566 Surnadal;1566;Surnadal;125;11;26;48;13; : ;22;0; : ;66,8;84,6;81,3;69,6;61,9; : ;71;.; : 
1567 Rindal;1567;Rindal;18; : ; : ;11; : ;0;0;0; : ;81,8; : ; : ;84,6; : ;.;.;.; : 
1571 Halsa;1571;Halsa;41; : ;10;19;7; : ; : ;0;0;69,5; : ;83,3;76;58,3; : ; : ;.;.
1573 Smøla;1573;Smøla;103;9;24;57; : ; : ;8;0; : ;78;69,2;72,7;86,4; : ; : ;72,7;.; : 
1576 Aure;1576;Aure;177;5;45;90;10;0;20; : ; : ;72,8;71,4;86,5;86,5;62,5;.;58,8; : ; : 
1601 Trondheim;1601;Trondheim;11224;1280;1586;2477;923;289;3258;940;471;64,5;80,5;68,5;75,9;67;65,7;57,7;46,8;63,1
1612 Hemne;1612;Hemne;109;9;9;34;11; : ;34; : ;7;59,9;100;64,3;81;64,7; : ;60,7; : ;87,5
1613 Snillfjord;1613;Snillfjord;26; : ;12;4; : ; : ;4;0; : ;78,8; : ;80;80; : ; : ;80;.; : 
1617 Hitra;1617;Hitra;506;15;40;363;19; : ;41;18; : ;76,8;68,2;81,6;85,2;76; : ;68,3;29; : 
1620 Frøya;1620;Frøya;553;30;35;410;17; : ;48;9; : ;84,7;76,9;92,1;85,2;100; : ;77,4;81,8; : 
1621 Ørland;1621;Ørland;144;8;11;67;12;4;33;5;4;70,2;66,7;84,6;72,8;80;80;63,5;71,4;44,4
1622 Agdenes;1622;Agdenes;64; : ;8;34;7;0;6; : ;5;70,3; : ;100;72,3;58,3;.;60; : ;71,4
1624 Rissa;1624;Rissa;275;24;33;170;11; : ;32; : ; : ;65,6;80;82,5;64,6;68,8; : ;68,1; : ; : 
1627 Bjugn;1627;Bjugn;137;11;47;40;6; : ;24; : ; : ;74,9;73,3;79,7;88,9;75; : ;57,1; : ; : 
1630 Åfjord;1630;Åfjord;58;6;11;25; : ;0;13; : ;0;80,6;85,7;91,7;86,2; : ;.;68,4; : ;.
1632 Roan;1632;Roan;41; : ;10;25; : ;0; : ;0;0;83,7; : ;90,9;92,6; : ;.; : ;.;.
1633 Osen;1633;Osen;19; : ; : ;16;0;0;0; : ;0;76; : ; : ;84,2;.;.;.; : ;.
1634 Oppdal;1634;Oppdal;260;45;10;136;14; : ;32;19; : ;67,5;84,9;66,7;77,7;66,7; : ;52,5;38; : 
1635 Rennebu;1635;Rennebu;55;4;9;31; : ;0;7; : ;0;74,3;100;56,3;91,2; : ;.;58,3; : ;.
1636 Meldal;1636;Meldal;108;7;16;61;7; : ;9; : ;5;69,7;87,5;80;68,5;53,8; : ;69,2; : ;71,4
1638 Orkdal;1638;Orkdal;355;37;37;97;50; : ;77;46; : ;63,6;77,1;71,2;71,9;64,9; : ;60,2;48,9; : 
1640 Røros;1640;Røros;217;60;28;61;34;7;16;8; : ;77;84,5;80;84,7;73,9;100;64;38,1; : 
1644 Holtålen;1644;Holtålen;49;4;11;24;5;0; : ; : ; : ;73,1;66,7;91,7;80;62,5;.; : ; : ; : 
1648 Midtre Gauldal;1648;Midtre Gauldal;506;14;11;428;7; : ;29;14; : ;79,8;63,6;64,7;85,6;70; : ;64,4;40; : 
1653 Melhus;1653;Melhus;491;30;39;250;16;9;111;26;10;66,8;75;84,8;74,6;57,1;69,2;56,6;41,3;71,4
1657 Skaun;1657;Skaun;183;23;40;59;13; : ;36;6; : ;72,3;85,2;85,1;78,7;81,3; : ;67,9;27,3; : 
1662 Klæbu;1662;Klæbu;221;21;16;120;9;6;24;11;14;71,5;84;94,1;74,1;64,3;85,7;68,6;44;58,3
1663 Malvik;1663;Malvik;575;78;93;233;51;12;64;34;10;73,2;83;80,9;75,2;72,9;80;66;51,5;55,6
1664 Selbu;1664;Selbu;98;13;12;44;9; : ;13; : ;4;66,7;72,2;57,1;65,7;69,2; : ;76,5; : ;80
1665 Tydal;1665;Tydal;22;8;7; : ;0; : ;4;0;0;88;88,9;87,5; : ;.; : ;80;.;.
1702 Steinkjer;1702;Steinkjer;567;47;50;214;47;10;120;73;6;57;66,2;80,6;71,6;60,3;55,6;49,6;36;28,6
1703 Namsos;1703;Namsos;389;46;64;71;37; : ;97;66; : ;60,3;88,5;79;80,7;66,1; : ;60,2;34,4; : 
1711 Meråker;1711;Meråker;84;19;8;15;19; : ;13;8; : ;49,1;67,9;72,7;57,7;82,6; : ;32,5;21,6; : 
1714 Stjørdal;1714;Stjørdal;705;93;63;150;61;15;221;69;33;65,3;78,8;79,7;73,5;70,1;75;62,1;42,3;63,5
1717 Frosta;1717;Frosta;100;7; : ;69; : ; : ;15;0; : ;69,9;87,5; : ;73,4; : ; : ;65,2;.; : 
1718 Leksvik;1718;Leksvik;115;16;19;32;7; : ;37; : ; : ;71,4;76,2;90,5;76,2;70; : ;74; : ; : 
1719 Levanger;1719;Levanger;696;69;62;267;58;10;164;54;12;70,2;81,2;76,5;84,2;72,5;83,3;61;42,9;57,1
1721 Verdal;1721;Verdal;480;53;14;256;22;6;81;38;10;64,5;89,8;73,7;75,3;59,5;75;51,9;34,2;71,4
1724 Verran;1724;Verran;118;7;20;72; : ;0;11; : ;0;50;70;83,3;48,6; : ;.;68,8; : ;.
1725 Namdalseid;1725;Namdalseid;39;6;6;15; : ; : ; : ;8; : ;81,3;85,7;85,7;93,8; : ; : ; : ;88,9; : 
1736 Snåsa;1736;Snåsa;40;20; : ;12;0; : ; : ; : ;0;81,6;90,9; : ;92,3;.; : ; : ; : ;.
1738 Lierne;1738;Lierne;53;36; : ;12;0; : ; : ;0;0;85,5;87,8; : ;80;.; : ; : ;.;.
1739 Røyrvik;1739;Røyrvik;21;12;0;6; : ;0; : ;0; : ;84;92,3;.;75; : ;.; : ;.; : 
1740 Namsskogan;1740;Namsskogan;22;4; : ;9;0;0;7;0;0;75,9;80; : ;69,2;.;.;100;.;.
1742 Grong;1742;Grong;78;11;11;21;8;0;15;12;0;43,8;91,7;68,8;80,8;57,1;.;45,5;16,2;.
1743 Høylandet;1743;Høylandet;29;4;4;17; : ;0; : ; : ;0;80,6;66,7;100;81; : ;.; : ; : ;.
1744 Overhalla;1744;Overhalla;94;9;15;53; : ; : ;9; : ; : ;65,3;90;65,2;80,3; : ; : ;47,4; : ; : 
1748 Fosnes;1748;Fosnes;24; : ;13;4;0; : ;4;0;0;75; : ;81,3;50;.; : ;80;.;.
1749 Flatanger;1749;Flatanger;49;8;9;25; : ;0; : ;0; : ;65,3;72,7;56,3;67,6; : ;.; : ;.; : 
1750 Vikna;1750;Vikna;183;18;19;79;13;0;27;27;0;73,2;75;79,2;82,3;76,5;.;67,5;57,4;.
1751 Nærøy;1751;Nærøy;153;18;28;46;9; : ;26;21; : ;64,8;64,3;87,5;67,6;90; : ;68,4;38,9; : 
1755 Leka;1755;Leka;21; : ;4;10; : ;0;5;0;0;84; : ;100;90,9; : ;.;62,5;.;.
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);143;19;29;54;4; : ;24;8; : ;64,4;82,6;70,7;75;36,4; : ;66,7;23,5; : 
1804 Bodø;1804;Bodø;2031;280;199;553;211;37;483;215;53;64,8;81,9;72,9;75,6;66,1;69,8;61,4;39,4;63,9
1805 Narvik;1805;Narvik;954;177;75;247;108;19;237;71;20;64,2;77,3;72,1;69,6;69,7;79,2;61,4;34,1;80
1811 Bindal;1811;Bindal;20;0; : ;13; : ;0; : ; : ;0;55,6;.; : ;65; : ;.; : ; : ;.
1812 Sømna;1812;Sømna;49;6;11;12;4; : ;11; : ;0;58,3;75;91,7;85,7;57,1; : ;50; : ;.
1813 Brønnøy;1813;Brønnøy;232;32;26;72;18;0;63;13;8;61,5;80;81,3;76,6;60;.;60,6;21;61,5
1815 Vega;1815;Vega;23;8; : ; : ; : ;0;7;0;0;65,7;88,9; : ; : ; : ;.;63,6;.;.
1816 Vevelstad;1816;Vevelstad;20;0;4;10; : ;0; : ;0;0;76,9;.;80;83,3; : ;.; : ;.;.
1818 Herøy (Nordl.);1818;Herøy (Nordl.);113;14;0;82; : ;0;10; : ;0;65,7;82,4;.;70,1; : ;.;62,5; : ;.
1820 Alstahaug;1820;Alstahaug;314;35;23;112;43; : ;60;33; : ;62,2;85,4;85,2;80;72,9; : ;57,1;27,7; : 
1822 Leirfjord;1822;Leirfjord;63;11;12;6;13; : ;5;12; : ;49,6;68,8;92,3;60;68,4; : ;31,3;25,5; : 
1824 Vefsn;1824;Vefsn;352;38;35;95;28;5;116;23;12;64,2;84,4;74,5;81,2;75,7;100;63,4;23,5;75
1825 Grane;1825;Grane;48;10; : ;24; : ; : ;7;0;0;80;90,9; : ;85,7; : ; : ;58,3;.;.
1826 Hattfjelldal;1826;Hattfjelldal;39;15; : ;8;5;0;5; : ;0;36,8;78,9; : ;72,7;45,5;.;33,3; : ;.
1827 Dønna;1827;Dønna;44; : ;12;14;13;0; : ;0;0;75,9; : ;75;66,7;100;.; : ;.;.
1828 Nesna;1828;Nesna;95;6;10;38;9; : ;16;14; : ;46,8;66,7;83,3;84,4;81,8; : ;34,8;18,2; : 
1832 Hemnes;1832;Hemnes;113;18;11;34;26; : ;15; : ;0;66,5;72;84,6;87,2;76,5; : ;53,6; : ;.
1833 Rana;1833;Rana;715;107;76;215;66;5;182;52;12;64,4;80,5;80,9;73,1;66,7;45,5;64,3;29,5;60
1834 Lurøy;1834;Lurøy;72;27;6;23; : ; : ;12;0;0;82,8;90;75;85,2; : ; : ;70,6;.;.
1835 Træna;1835;Træna;67; : ;0;52;0;0;11; : ; : ;89,3; : ;.;92,9;.;.;84,6; : ; : 
1836 Rødøy;1836;Rødøy;39;7; : ;11;6;0;8;0; : ;81,3;70;71,4;84,6;75;.;100;.; : 
1837 Meløy;1837;Meløy;205;29;24;69;22; : ;43;10;5;68,6;72,5; : ;77,5;64,7; : ;72,9;40;55,6
1838 Gildeskål;1838;Gildeskål;110;10;12;51; : ; : ;21;12;0;73,3;83,3;66,7;91,1; : ; : ;80,8;38,7;.
1839 Beiarn;1839;Beiarn;17;6; : ;4; : ;0;0;5;0;58,6;100; : ;57,1; : ;.;.;62,5;.
1840 Saltdal;1840;Saltdal;137;23;12;34;28;4;23;12; : ;51,3;74,2;85,7;81;75,7;80;43,4;14,3; : 
1841 Fauske;1841;Fauske;248;37;31;81;22; : ;56;10; : ;66,1;75,5;86,1;80,2;56,4; : ;63,6;24,4; : 
1845 Sørfold;1845;Sørfold;54;4;11;26;4;0;8;0; : ;75;80;91,7;78,8;100;.;61,5;.; : 
1848 Steigen;1848;Steigen;83;11;29;21; : ; : ;10;7;0;57,6;68,8;76,3;53,8; : ; : ;47,6;30,4;.
1849 Hamarøy;1849;Hamarøy;111;14;29;21;18; : ;25; : ; : ;73,5;73,7;78,4;70;94,7; : ;67,6; : ; : 
1850 Tysfjord;1850;Tysfjord;72;18; : ;35;5; : ;5;4; : ;70,6;81,8; : ;81,4;62,5; : ;45,5;30,8; : 
1851 Lødingen;1851;Lødingen;104;14;10;33;12;0;23;8;4;48,6;66,7;66,7;89,2;85,7;.;46;11,1;100
1852 Tjeldsund;1852;Tjeldsund;26;4; : ;6; : ;0;6;0;5;66,7;66,7; : ;85,7; : ;.;50;.;100
1853 Evenes;1853;Evenes;40;10;0;19; : ; : ;4; : ;0;53,3;76,9;.;70,4; : ; : ;40; : ;.
1854 Ballangen;1854;Ballangen;71;17;8;16; : ; : ;16;7; : ;60,2;73,9;88,9;72,7; : ; : ;61,5;24,1; : 
1856 Røst;1856;Røst;20; : ; : ;5;0;0;8; : ; : ;66,7; : ; : ;45,5;.;.;88,9; : ; : 
1857 Værøy;1857;Værøy;79; : ;0;67;10;0; : ;0;0;83,2; : ;.;84,8;100;.; : ;.;.
1859 Flakstad;1859;Flakstad;44;10;11;12; : ;0;5; : ; : ;67,7;71,4;73,3;57,1; : ;.;71,4; : ; : 
1860 Vestvågøy;1860;Vestvågøy;376;47;48;102;26;4;100;40;9;62;88,7;63,2;77,9;74,3;80;59,9;31,7;69,2
1865 Vågan;1865;Vågan;508;70;63;194;33;6;98;38;6;65,5;76,9;75;76,7;71,7;85,7;56,6;34,5;54,5
1866 Hadsel;1866;Hadsel;344;30;29;100;34; : ;95;47; : ;64,4;78,9;72,5;84,7;63; : ;63,3;39,2; : 
