kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.alle
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.personer;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0427 Elverum;427;Elverum;48;44;91,7;4;42;0;6
0428 Trysil;428;Trysil;24;15;62,5;9;15;9;0
0429 Åmot;429;Åmot;0;0;0;0;0;0;0
0430 Stor-Elvdal;430;Stor-Elvdal;1;1;100;0;1;0;0
0432 Rendalen;432;Rendalen;0;0;0;0;0;0;0
0434 Engerdal;434;Engerdal;5;4;80;1;0;0;5
0436 Tolga;436;Tolga;0;0;0;0;0;0;0
0437 Tynset;437;Tynset;15;1;6,7;14;0;15;0
0438 Alvdal;438;Alvdal;2;0;0;2;0;2;0
0439 Folldal;439;Folldal;0;0;0;0;0;0;0
0441 Os (Hedm.);441;Os (Hedm.);0;0;0;0;0;0;0
0501 Lillehammer;501;Lillehammer;109;43;39,4;66;39;69;1
0502 Gjøvik;502;Gjøvik;60;34;56,7;26;33;25;2
0511 Dovre;511;Dovre;0;0;0;0;0;0;0
0512 Lesja;512;Lesja;0;0;0;0;0;0;0
0513 Skjåk;513;Skjåk;0;0;0;0;0;0;0
0514 Lom;514;Lom;1;1;100;0;1;0;0
0515 Vågå;515;Vågå;0;0;0;0;0;0;0
0516 Nord-Fron;516;Nord-Fron;0;0;0;0;0;0;0
0517 Sel;517;Sel;27;27;100;0;27;0;0
0519 Sør-Fron;519;Sør-Fron;0;0;0;0;0;0;0
0520 Ringebu;520;Ringebu;8;8;100;0;8;0;0
0521 Øyer;521;Øyer;5;2;40;3;0;4;1
0522 Gausdal;522;Gausdal;2;0;0;2;0;2;0
0528 Østre Toten;528;Østre Toten;24;11;45,8;13;11;13;0
0529 Vestre Toten;529;Vestre Toten;37;14;37,8;23;19;17;1
0532 Jevnaker;532;Jevnaker;0;0;0;0;0;0;0
0533 Lunner;533;Lunner;60;56;93,3;4;54;6;0
0534 Gran;534;Gran;0;0;0;0;0;0;0
0536 Søndre Land;536;Søndre Land;3;0;0;3;0;3;0
0538 Nordre Land;538;Nordre Land;15;11;73,3;4;11;4;0
0540 Sør-Aurdal;540;Sør-Aurdal;6;6;100;0;6;0;0
0541 Etnedal;541;Etnedal;6;4;66,7;2;4;2;0
0542 Nord-Aurdal;542;Nord-Aurdal;10;0;0;10;0;10;0
0543 Vestre Slidre;543;Vestre Slidre;0;0;0;0;0;0;0
0544 Øystre Slidre;544;Øystre Slidre;0;0;0;0;0;0;0
0545 Vang;545;Vang;5;0;0;5;0;5;0
0602 Drammen;602;Drammen;146;129;88,4;17;114;29;3
0604 Kongsberg;604;Kongsberg;22;21;95,5;1;22;0;0
0605 Ringerike;605;Ringerike;73;54;74;19;71;1;1
0612 Hole;612;Hole;15;2;13,3;13;0;15;0
0615 Flå;615;Flå;0;0;0;0;0;0;0
0616 Nes (Busk.);616;Nes (Busk.);0;0;0;0;0;0;0
0617 Gol;617;Gol;25;22;88;3;21;2;2
0618 Hemsedal;618;Hemsedal;0;0;0;0;0;0;0
0619 Ål;619;Ål;2;0;0;2;0;2;0
0620 Hol;620;Hol;0;0;0;0;0;0;0
0621 Sigdal;621;Sigdal;2;0;0;2;0;2;0
0622 Krødsherad;622;Krødsherad;3;0;0;3;0;3;0
0623 Modum;623;Modum;55;24;43,6;31;26;29;0
0624 Øvre Eiker;624;Øvre Eiker;36;25;69,4;11;25;11;0
0625 Nedre Eiker;625;Nedre Eiker;34;11;32,4;23;16;18;0
0626 Lier;626;Lier;25;11;44;14;9;13;3
0627 Røyken;627;Røyken;0;0;0;0;0;0;0
0628 Hurum;628;Hurum;13;13;100;0;13;0;0
0631 Flesberg;631;Flesberg;0;0;0;0;0;0;0
0632 Rollag;632;Rollag;0;0;0;0;0;0;0
0633 Nore og Uvdal;633;Nore og Uvdal;4;0;0;4;0;4;0
0701 Horten;701;Horten;54;36;66,7;18;37;17;0
0702 Holmestrand;702;Holmestrand;12;2;16,7;10;0;12;0
0704 Tønsberg;704;Tønsberg;133;50;37,6;83;60;72;1
0706 Sandefjord;706;Sandefjord;87;70;80,5;17;85;2;0
0709 Larvik;709;Larvik;155;120;77,4;35;126;25;4
0711 Svelvik;711;Svelvik;9;0;0;9;0;9;0
0713 Sande (Vestf.);713;Sande (Vestf.);3;0;0;3;0;3;0
0714 Hof;714;Hof;2;0;0;2;0;2;0
0716 Re;716;Re (f.o.m. 2002);0;0;0;0;0;0;0
0719 Andebu;719;Andebu;1;0;0;1;0;1;0
0720 Stokke;720;Stokke;9;5;55,6;4;0;9;0
0722 Nøtterøy;722;Nøtterøy;0;0;0;0;0;0;0
0723 Tjøme;723;Tjøme;0;0;0;0;0;0;0
0728 Lardal;728;Lardal;0;0;0;0;0;0;0
0805 Porsgrunn;805;Porsgrunn;72;44;61,1;28;48;24;0
0806 Skien;806;Skien;222;93;41,9;129;65;150;7
0807 Notodden;807;Notodden;26;26;100;0;26;0;0
0811 Siljan;811;Siljan;8;8;100;0;8;0;0
0814 Bamble;814;Bamble;18;13;72,2;5;13;5;0
0815 Kragerø;815;Kragerø;55;33;60;22;34;21;0
0817 Drangedal;817;Drangedal;2;0;0;2;0;2;0
0819 Nome;819;Nome;7;3;42,9;4;3;4;0
0821 Bø (Telemark);821;Bø (Telem.);36;27;75;9;27;9;0
0822 Sauherad;822;Sauherad;8;6;75;2;6;2;0
0826 Tinn;826;Tinn;20;20;100;0;20;0;0
0827 Hjartdal;827;Hjartdal;0;0;0;0;0;0;0
0828 Seljord;828;Seljord;0;0;0;0;0;0;0
0829 Kviteseid;829;Kviteseid;5;0;0;5;0;5;0
0830 Nissedal;830;Nissedal;6;3;50;3;3;3;0
0831 Fyresdal;831;Fyresdal;0;0;0;0;0;0;0
0833 Tokke;833;Tokke;0;0;0;0;0;0;0
0834 Vinje;834;Vinje;14;14;100;0;14;0;0
0901 Risør;901;Risør;38;31;81,6;7;30;8;0
0904 Grimstad;904;Grimstad;62;42;67,7;20;40;22;0
0906 Arendal;906;Arendal;177;130;73,4;47;129;48;0
0911 Gjerstad;911;Gjerstad;0;0;0;0;0;0;0
0912 Vegårshei;912;Vegårshei;0;0;0;0;0;0;0
0914 Tvedestrand;914;Tvedestrand;0;0;0;0;0;0;0
0919 Froland;919;Froland;6;0;0;6;0;6;0
0926 Lillesand;926;Lillesand;26;6;23,1;20;7;19;0
0928 Birkenes;928;Birkenes;26;10;38,5;16;10;16;0
0929 Åmli;929;Åmli;0;0;0;0;0;0;0
0935 Iveland;935;Iveland;1;0;0;1;0;1;0
0937 Evje og Hornnes;937;Evje og Hornnes;1;0;0;1;0;1;0
0938 Bygland;938;Bygland;0;0;0;0;0;0;0
0940 Valle;940;Valle;0;0;0;0;0;0;0
0941 Bykle;941;Bykle;0;0;0;0;0;0;0
1001 Kristiansand;1001;Kristiansand;310;128;41,3;182;118;182;10
1002 Mandal;1002;Mandal;50;29;58;21;28;21;1
1003 Farsund;1003;Farsund;23;1;4,3;22;0;23;0
1004 Flekkefjord;1004;Flekkefjord;9;1;11,1;8;0;9;0
1014 Vennesla;1014;Vennesla;22;17;77,3;5;16;6;0
1017 Songdalen;1017;Songdalen;26;15;57,7;11;15;11;0
1018 Søgne;1018;Søgne;9;1;11,1;8;0;9;0
1021 Marnardal;1021;Marnardal;8;0;0;8;0;8;0
1026 Åseral;1026;Åseral;0;0;0;0;0;0;0
1027 Audnedal;1027;Audnedal;0;0;0;0;0;0;0
1029 Lindesnes;1029;Lindesnes;0;0;0;0;0;0;0
1032 Lyngdal;1032;Lyngdal;36;34;94,4;2;33;3;0
1034 Hægebostad;1034;Hægebostad;0;0;0;0;0;0;0
1037 Kvinesdal;1037;Kvinesdal;3;0;0;3;0;3;0
1046 Sirdal;1046;Sirdal;1;1;100;0;0;0;1
1101 Eigersund;1101;Eigersund;21;0;0;21;0;21;0
1102 Sandnes;1102;Sandnes;311;204;65,6;107;210;101;0
1103 Stavanger;1103;Stavanger;251;152;60,6;99;131;119;1
1106 Haugesund;1106;Haugesund;79;50;63,3;29;51;25;3
1111 Sokndal;1111;Sokndal;0;0;0;0;0;0;0
1112 Lund;1112;Lund;2;0;0;2;2;0;0
1114 Bjerkreim;1114;Bjerkreim;0;0;0;0;0;0;0
1119 Hå;1119;Hå;8;0;0;8;0;8;0
1120 Klepp;1120;Klepp;0;0;0;0;0;0;0
1121 Time;1121;Time;55;43;78,2;12;45;10;0
1122 Gjesdal;1122;Gjesdal;0;0;0;0;0;0;0
