Næringsregion nr & navn;naringsregion_nr;Navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
21 Hallingdal;21;Hallingdal;554;27;527;5;522;71,6;55,1;72,7;71,4;72,7;273;18;255;2;253;66,4;58,1;67,1;50;67,3;281;9;272;3;269;77,4;50;78,8;100;78,7
22 Kongsberg/Numedal;22;Kongsberg/Numedal;810;34;776;10;766;72,3;54;73,4;71,4;73,4;382;19;363;2;361;67;59,4;67,5;40;67,7;428;15;413;8;405;77,8;48,4;79,6;88,9;79,4
23 Midt-Buskerud;23;Midt-Buskerud;464;11;453;5;448;68;52,4;68,5;71,4;68,5;211;5;206;2;204;60,3;45,5;60,8;66,7;60,7;253;6;247;3;244;76,2;60;76,7;75;76,7
24 Ringerike/Hole;24;Ringerike/Hole;958;36;922;8;914;70,5;66,7;70,7;42,1;71,1;473;15;458;3;455;64,8;57,7;65,1;25;65,8;485;21;464;5;459;77,2;75;77,3;71,4;77,4
25 Tønsbergregionen;25;Tønsbergregionen;3481;113;3368;46;3322;68,8;51,1;69,6;67,6;69,6;1660;51;1609;20;1589;63,7;45,1;64,5;60,6;64,5;1821;62;1759;26;1733;74,2;57,4;75;74,3;75
26 Sandefjord/Larvik;26;Sandefjord/Larvik;2287;99;2188;53;2135;68,4;49;69,7;60,9;69,9;1104;49;1055;28;1027;63,8;41,9;65,4;56;65,7;1183;50;1133;25;1108;73,4;58,8;74,2;67,6;74,4
27 Grenland;27;Grenland;3300;163;3137;61;3076;69;56,2;69,8;60,4;70;1598;68;1530;32;1498;64,1;45,6;65,3;54,2;65,6;1702;95;1607;29;1578;74,3;67,4;74,8;69;74,9
28 Midt-Telemark;28;Midt-Telemark;450;26;424;1;423;67,6;61,9;67,9;50;68;242;12;230;1;229;68,6;57,1;69,3;100;69,2;208;14;194;.;194;66,5;66,7;66,4;.;66,7
29 Øst-Telemark;29;Øst-Telemark;477;15;462;4;458;69;62,5;69,3;57,1;69,4;216;6;210;2;208;62,1;60;62,1;100;61,9;261;9;252;2;250;76,1;64,3;76,6;40;77,2
30 Vest-Telemark;30;Vest-Telemark;446;17;429;1;428;74,1;65,4;74,5;100;74,4;206;9;197;1;196;69,1;69,2;69,1;100;69;240;8;232;.;232;78,9;61,5;79,7;.;79,7
31 Setesdal;31;Setesdal;208;13;195;2;193;79,1;61,9;80,6;100;80,4;107;5;102;.;102;77,5;45,5;80,3;.;80,3;101;8;93;2;91;80,8;80;80,9;100;80,5
32 Arendalregionen;32;Arendalregionen;2424;91;2333;28;2305;68,1;54,2;68,8;65,1;68,8;1169;44;1125;15;1110;65,3;54,3;65,9;68,2;65,8;1255;47;1208;13;1195;70,9;54;71,7;61,9;71,9
33 Lister;33;Lister;1089;40;1049;3;1046;71,7;53,3;72,6;75;72,6;529;15;514;1;513;68;45,5;69;50;69;560;25;535;2;533;75,6;59,5;76,5;100;76,5
34 Mandalsregionen;34;Mandalsregionen;738;30;708;5;703;70,4;62,5;70,8;50;71;348;8;340;.;340;66,8;42,1;67,7;.;68,1;390;22;368;5;363;74;75,9;73,9;71,4;73,9
35 Kristiansandregionen;35;Kristiansandregionen;3771;152;3619;80;3539;72;53;73,1;57,6;73,6;1859;75;1784;31;1753;68,8;44,9;70,4;44,3;71,1;1912;77;1835;49;1786;75,4;64,2;76;71;76,1
36 Dalane;36;Dalane;800;18;782;3;779;74,8;66,7;75;75;75;409;5;404;2;402;73,2;50;73,6;100;73,5;391;13;378;1;377;76,5;76,5;76,5;50;76,6
37 Haugesundregionen;37;Haugesundregionen;3024;81;2943;14;2929;73,3;55,1;73,9;56;74;1511;35;1476;8;1468;70,8;43,2;71,9;66,7;71,9;1513;46;1467;6;1461;75,9;69,7;76,1;46,2;76,3
38 Ryfylke;38;Ryfylke;713;18;695;5;690;73,1;58,1;73,6;100;73,5;362;7;355;4;351;71,8;46,7;72,6;100;72,4;351;11;340;1;339;74,5;68,8;74,7;100;74,7
39 Stavangerregionen;39;Stavangerregionen;8129;242;7887;189;7698;72;53,2;72,8;62,8;73;3979;114;3865;67;3798;67,9;46,2;68,8;45,6;69,5;4150;128;4022;122;3900;76,4;61,5;76,9;79,2;76,9
40 Bergen;40;Bergen;6598;178;6420;153;6267;71,4;50,1;72,3;68,6;72,4;3178;93;3085;71;3014;66,6;49,7;67,3;61,7;67,5;3420;85;3335;82;3253;76,5;50,6;77,5;75,9;77,5
41 Bjørnefjorden;41;Bjørnefjorden;719;12;707;9;698;72,1;70,6;72,1;64,3;72,3;338;4;334;2;332;67,3;57,1;67,5;33,3;67,9;381;8;373;7;366;77;80;76,9;87,5;76,7
42 Hardanger;42;Hardanger;762;14;748;2;746;77,8;60,9;78,2;100;78,2;387;8;379;1;378;75,1;66,7;75,3;100;75,3;375;6;369;1;368;80,8;54,5;81,5;100;81,4
43 Voss;43;Voss;430;8;422;1;421;74,3;66,7;74,4;100;74,4;211;4;207;1;206;69,4;66,7;69,5;100;69,4;219;4;215;.;215;79,6;66,7;79,9;.;79,9
44 Nordhordland;44;Nordhordland;872;7;865;4;861;68,5;30,4;69,2;100;69,1;422;3;419;1;418;63,7;20;64,7;100;64,6;450;4;446;3;443;73,8;50;74,1;100;74
45 Osterfjorden;45;Osterfjorden;373;5;368;1;367;72,3;50;72,7;100;72,7;186;3;183;.;183;72,4;42,9;73,2;.;73,2;187;2;185;1;184;72,2;66,7;72,3;100;72,2
