Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.0-4;botid_5.5-9;botid_5.10+
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0544 Øystre Slidre;544;Øystre Slidre;76;36;48;78,4;75;75
0545 Vang;545;Vang;57;22;19;51,4;75,9;79,2
0602 Drammen;602;Drammen;1911;1328;3468;59,2;68;60,8
0604 Kongsberg;604;Kongsberg;842;487;645;66,5;80,2;73,6
0605 Ringerike;605;Ringerike;501;406;681;58,7;71,5;69,9
0612 Hole;612;Hole;195;120;167;63,1;78,9;77,3
0615 Flå;615;Flå; : ; : ; : ; : ; : ; : 
0616 Nes (Busk.);616;Nes (Busk.);66;54;50;44,3;79,4;68,5
0617 Gol;617;Gol;184;107;103;73,9;82,9;75,2
0618 Hemsedal;618;Hemsedal;135;60;60;66,2;77,9;83,3
0619 Ål;619;Ål;88;85;57;63,8;83,3;86,4
0620 Hol;620;Hol;182;107;116;71,7;80,5;82,9
0621 Sigdal;621;Sigdal;57;32;14;72,2;78;66,7
0622 Krødsherad;622;Krødsherad;116;23;16;81,1;65,7;61,5
0623 Modum;623;Modum;165;177;197;55,4;69,4;68,2
0624 Øvre Eiker;624;Øvre Eiker;448;291;357;67,1;76,8;74,4
0625 Nedre Eiker;625;Nedre Eiker;477;467;960;65,2;77,2;69,8
0626 Lier;626;Lier;740;554;891;66,6;78,8;70
0627 Røyken;627;Røyken;461;399;587;65,2;79,2;78,5
0628 Hurum;628;Hurum;173;156;190;57,5;80,4;79,5
0631 Flesberg;631;Flesberg;45;24;37;52,3;92,3;88,1
0632 Rollag;632;Rollag; : ; : ; : ; : ; : ; : 
0633 Nore og Uvdal;633;Nore og Uvdal;67;23;21;70,5;76,7;84
0701 Horten;701;Horten;453;357;672;56,8;71,1;62
0702 Holmestrand;702;Holmestrand;131;126;204;57;78,3;70,6
0704 Tønsberg;704;Tønsberg;842;669;1003;61,6;74,3;70,4
0706 Sandefjord;706;Sandefjord;855;665;1284;63,5;68,6;62,5
