Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0621 Sigdal;621;Sigdal;103;72;24;2;5;73;86,7;57,1;25;62,5;55;49;2;1;3;79,7;84,5;100;20;75;48;23;22;1;2;66,7;92;55;33,3;50
0622 Krødsherad;622;Krødsherad;155;111;19;3;22;76;81,6;76;30;66,7;93;74;5;1;13;80,9;84,1;83,3;25;76,5;62;37;14;2;9;69,7;77,1;73,7;33,3;56,3
0623 Modum;623;Modum;539;213;111;124;91;64;78,6;63,1;48,2;65,9;313;182;16;74;41;71,5;81,3;80;55,6;67,2;226;31;95;50;50;55,9;66;60,9;40,3;64,9
0624 Øvre Eiker;624;Øvre Eiker;1096;507;178;197;214;71,8;80,6;60,3;62,3;74,6;681;423;39;105;114;79,9;83,6;75;69,1;80,3;415;84;139;92;100;61,5;68,3;57,2;56,1;69
0625 Nedre Eiker;625;Nedre Eiker;1904;581;373;550;400;70,2;83,2;64,4;64,3;69;1101;469;116;307;209;76,9;83,8;77,9;70,7;72,3;803;112;257;243;191;62,7;81,2;59,8;57,6;65,6
0626 Lier;626;Lier;2185;879;382;463;461;70,8;80,9;69,1;57;72,6;1285;688;106;278;213;75,7;81,6;78,5;62,3;78;900;191;276;185;248;64,7;78,3;66;50,5;68,5
0627 Røyken;627;Røyken;1447;577;258;187;425;73,9;79,8;67;60,9;78,1;826;435;80;96;215;79,5;80,4;80;67,1;84,3;621;142;178;91;210;67,5;78;62,5;55,5;72,7
0628 Hurum;628;Hurum;519;226;92;46;155;70,7;82,8;63,4;39,3;77,9;306;175;26;27;78;76,3;83,3;76,5;46,6;78,8;213;51;66;19;77;64;81;59,5;32,2;77
0631 Flesberg;631;Flesberg;106;54;22;8;22;68,8;85,7;73,3;23,5;81,5;58;42;2;5;9;72,5;87,5;66,7;29,4;75;48;12;20;3;13;64,9;80;74,1;17,6;86,7
0632 Rollag;632;Rollag;42; : ; : ; : ; : ;65,6; : ; : ; : ; : ;23; : ; : ; : ; : ;74,2; : ; : ; : ; : ;19; : ; : ; : ; : ;57,6; : ; : ; : ; : 
0633 Nore og Uvdal;633;Nore og Uvdal;111;63;18;14;16;74;88,7;64,3;43,8;84,2;69;52;1;8;8;78,4;92,9;25;42,1;88,9;42;11;17;6;8;67,7;73,3;70,8;46,2;80
0701 Horten;701;Horten;1482;466;277;405;334;62,2;78,6;60,2;51,6;61,3;779;333;70;235;141;65,9;78,9;70,7;56,1;58,3;703;133;207;170;193;58,5;77,8;57,3;46,4;63,7
0702 Holmestrand;702;Holmestrand;461;165;103;72;121;67,8;80,5;64,8;51,8;68,4;244;125;23;41;55;73,7;82,2;63,9;60,3;73,3;217;40;80;31;66;62,2;75,5;65;43,7;64,7
0704 Tønsberg;704;Tønsberg;2514;927;419;535;633;68,1;77,3;64,9;54,4;73,3;1422;689;110;297;326;72,1;78,3;67,1;57,8;78,7;1092;238;309;238;307;63,5;74,6;64,1;50,6;68,4
0706 Sandefjord;706;Sandefjord;2804;913;495;747;649;64,2;78,8;60,4;51;70,2;1532;661;120;422;329;69,5;80,7;70,6;54,5;74,6;1272;252;375;325;320;58,7;74,1;57,7;47;66,1
0709 Larvik;709;Larvik;2095;745;390;550;410;63,8;79,8;61,8;47,8;71,9;1160;521;98;340;201;70;81,5;70,5;55,4;76,1;935;224;292;210;209;57,4;75,9;59,3;39,2;68,3
0711 Svelvik;711;Svelvik;354;153;74;39;88;70,9;79,7;67,3;52,7;71,5;187;123;11;19;34;74,2;83,7;61,1;52,8;66,7;167;30;63;20;54;67,6;66,7;68,5;52,6;75
0713 Sande;713;Sande (Vestf.);458;215;79;58;106;70,9;82,4;57,7;50,9;79,1;283;171;20;36;56;78,4;83,8;66,7;62,1;81,2;175;44;59;22;50;61,4;77,2;55,1;39,3;76,9
0714 Hof;714;Hof;129;71;28;7;23;76,3;82,6;70;70;69,7;65;51;1;4;9;74,7;78,5;25;66,7;75;64;20;27;3;14;78;95,2;75;75;66,7
0716 Re;716;Re (f.o.m. 2002);421;185;69;72;95;70;80,8;60,5;51,4;80,5;239;145;9;39;46;74,9;81,5;56,3;55,7;83,6;182;40;60;33;49;64,5;78,4;61,2;47,1;77,8
0719 Andebu;719;Andebu;277;148;35;30;64;71,8;82,2;50,7;54,5;78;154;101;6;18;29;81,1;87,1;66,7;58,1;85,3;123;47;29;12;35;62,8;73,4;48,3;50;72,9
0720 Stokke;720;Stokke;675;344;86;119;126;65,5;82,5;55,5;43,1;68,9;386;247;14;70;55;71,6;87;58,3;47,6;65,5;289;97;72;49;71;58,7;72,9;55;38;71,7
0722 Nøtterøy;722;Nøtterøy;995;293;170;252;280;67,6;77,9;65,4;54,8;74,7;522;207;35;143;137;74;81,8;67,3;61,1;82,5;473;86;135;109;143;61,7;69,9;64,9;48,2;68,4
0723 Tjøme;723;Tjøme;239;115;51;22;51;70,1;82,7;64,6;44,9;68,9;120;82;8;12;18;73,6;82,8;72,7;48;64,3;119;33;43;10;33;66,9;82,5;63,2;41,7;71,7
0728 Lardal;728;Lardal;82;45;11;10;16;70,7;84,9;57,9;43,5;76,2;51;35;2;7;7;83,6;92,1;100;63,6;70;31;10;9;3;9;56,4;66,7;52,9;25;81,8
0805 Porsgrunn;805;Porsgrunn;1601;421;342;466;372;59,6;72,7;63,8;48;62,1;901;345;80;274;202;62,6;72,2;70,8;51,3;64,3;700;76;262;192;170;56,2;75,2;61,9;43,9;59,6
0806 Skien;806;Skien;2811;637;476;1141;557;58,8;76,3;60,5;48,2;70,5;1481;477;112;604;288;61,2;76,1;61,9;49,2;74,8;1330;160;364;537;269;56,4;76,9;60,1;47,1;66,4
0807 Notodden;807;Notodden;492;189;109;100;94;60,1;77,5;63;40;62,3;275;145;23;63;44;62,8;75,9;69,7;44,4;61,1;217;44;86;37;50;57,1;83;61,4;34,3;63,3
0811 Siljan;811;Siljan;51;10;18;13;10;57,3;76,9;78,3;39,4;50;17;6;1;5;5;56,7;75;50;41,7;62,5;34;4;17;8;5;57,6;80;81;38,1;41,7
0814 Bamble;814;Bamble;383;107;87;91;98;55,8;76,4;61,3;35,4;66,7;204;85;18;57;44;60,2;75,2;75;41,3;68,8;179;22;69;34;54;51,6;81,5;58,5;28,6;65,1
0815 Kragerø;815;Kragerø;408;133;88;98;89;61,1;80,6;65,7;39,7;73;217;105;20;51;41;64;82,7;76,9;39,8;70,7;191;28;68;47;48;58,1;73,7;63;39,5;75
0817 Drangedal;817;Drangedal;138;64;42;6;26;65,4;86,5;63,6;17,6;70,3;64;50;2;4;8;71,9;87,7;50;23,5;72,7;74;14;40;2;18;60,7;82,4;64,5;11,8;69,2
0819 Nome;819;Nome;277;97;64;67;49;61,3;87,4;70,3;36,4;74,2;129;64;9;34;22;63,9;86,5;64,3;39,1;81,5;148;33;55;33;27;59,2;89,2;71,4;34;69,2
0821 Bø;821;Bø (Telem.);237;74;32;73;58;47,4;72,5;48,5;49;31,7;108;47;8;32;21;44,3;71,2;47,1;40;25,9;129;27;24;41;37;50,4;75;49;59,4;36,3
0822 Sauherad;822;Sauherad;188;78;26;47;37;66,2;81,3;60,5;51,1;69,8;104;52;6;27;19;70,7;81,3;66,7;56,3;73,1;84;26;20;20;18;61,3;81,3;58,8;45,5;66,7
0826 Tinn;826;Tinn;302;76;52;70;104;65,8;85,4;66,7;47,6;71,7;156;57;15;43;41;66,4;89,1;75;46,7;69,5;146;19;37;27;63;65,2;76;63,8;49,1;73,3
0827 Hjartdal;827;Hjartdal;25; : ; : ; : ; : ;49; : ; : ; : ; : ;13; : ; : ; : ; : ;52; : ; : ; : ; : ;12; : ; : ; : ; : ;46,2; : ; : ; : ; : 
0828 Seljord;828;Seljord;119;52;19;16;32;70,8;89,7;65,5;42,1;74,4;66;32;4;6;24;76,7;91,4;66,7;35,3;85,7;53;20;15;10;8;64,6;87;65,2;47,6;53,3
0829 Kviteseid;829;Kviteseid;114;52;23;12;27;76,5;82,5;65,7;80;75;53;35;5;5;8;77,9;81,4;83,3;71,4;66,7;61;17;18;7;19;75,3;85;62,1;87,5;79,2
0830 Nissedal;830;Nissedal;62;36;14;2;10;75,6;85,7;63,6;66,7;66,7;33;27;1;1;4;78,6;81,8;50;50;80;29;9;13;1;6;72,5;100;65;100;60
0831 Fyresdal;831;Fyresdal;60;26;20;1;13;63,2;74,3;57,1;16,7;68,4;34;21;5;1;7;64,2;75;50;25;63,6;26;5;15;.;6;61,9;71,4;60;.;75
0833 Tokke;833;Tokke;72;28;14;18;12;80,9;90,3;77,8;81,8;66,7;36;21;3;8;4;83,7;95,5;100;80;50;36;7;11;10;8;78,3;77,8;73,3;83,3;80
0834 Vinje;834;Vinje;165;71;25;33;36;74,7;88,8;71,4;66;64,3;92;51;4;19;18;82,1;91,1;100;70,4;72;73;20;21;14;18;67;83,3;67,7;60,9;58,1
0901 Risør;901;Risør;239;85;49;49;56;56,6;81,7;48,5;36,3;68,3;137;75;8;25;29;63,7;81,5;61,5;36,2;70,7;102;10;41;24;27;49,3;83,3;46,6;36,4;65,9
0904 Grimstad;904;Grimstad;1134;421;218;211;284;63,9;77,1;59,9;48,6;65,9;616;296;51;123;146;66,2;76,5;60,7;51,9;65,8;518;125;167;88;138;61,3;78,6;59,6;44,7;66
0906 Arendal;906;Arendal;2249;765;425;578;481;62;75,7;57,6;48,8;69,2;1254;580;95;330;249;66,3;75,4;70,4;51,3;72,4;995;185;330;248;232;57,3;76,4;54,7;45,8;66,1
0911 Gjerstad;911;Gjerstad;61;24;13;14;10;46,6;92,3;54,2;22,6;52,6;36;21;3;10;2;51,4;91,3;60;27;40;25;3;10;4;8;41;100;52,6;16;57,1
0912 Vegårshei;912;Vegårshei;42; : ; : ; : ; : ;54,5; : ; : ; : ; : ;21; : ; : ; : ; : ;52,5; : ; : ; : ; : ;21; : ; : ; : ; : ;56,8; : ; : ; : ; : 
0914 Tvedestrand;914;Tvedestrand;242;109;40;54;39;60,5;79,6;51,9;45,4;58,2;151;91;7;32;21;72,6;82;63,6;57,1;70;91;18;33;22;18;47,4;69,2;50;34,9;48,6
0919 Froland;919;Froland;184;65;37;49;33;67,6;75,6;55,2;70;67,3;102;54;5;24;19;70,3;77,1;38,5;68,6;70,4;82;11;32;25;14;64,6;68,8;59,3;71,4;63,6
0926 Lillesand;926;Lillesand;419;107;76;111;125;68,5;82,3;66,7;59,7;68,7;207;78;14;65;50;74,5;85,7;77,8;68,4;67,6;212;29;62;46;75;63,5;74,4;64,6;50,5;69,4
0928 Birkenes;928;Birkenes;220;76;43;60;41;67,5;88,4;67,2;54,5;62,1;125;57;10;38;20;74;91,9;71,4;62,3;62,5;95;19;33;22;21;60,5;79,2;66;44,9;61,8
0929 Åmli;929;Åmli;96;35;17;30;14;70,1;81,4;68;61,2;70;53;22;5;19;7;75,7;84,6;83,3;65,5;77,8;43;13;12;11;7;64,2;76,5;63,2;55;63,6
0935 Iveland;935;Iveland;49; : ; : ; : ; : ;68,1; : ; : ; : ; : ;26; : ; : ; : ; : ;78,8; : ; : ; : ; : ;23; : ; : ; : ; : ;59; : ; : ; : ; : 
0937 Evje og Hornnes;937;Evje og Hornnes;165;44;27;68;26;61,8;73,3;61,4;55,3;65;90;34;5;38;13;63,8;69,4;71,4;57,6;68,4;75;10;22;30;13;59,5;90,9;59,5;52,6;61,9
0938 Bygland;938;Bygland;34; : ; : ; : ; : ;64,2; : ; : ; : ; : ;21; : ; : ; : ; : ;75; : ; : ; : ; : ;13; : ; : ; : ; : ;52; : ; : ; : ; : 
0940 Valle;940;Valle;49; : ; : ; : ; : ;68,1; : ; : ; : ; : ;23; : ; : ; : ; : ;65,7; : ; : ; : ; : ;26; : ; : ; : ; : ;70,3; : ; : ; : ; : 
0941 Bykle;941;Bykle;92;44;11;9;28;77,3;93,6;45,8;60;84,8;61;33;4;5;19;89,7;94,3;57,1;83,3;95;31;11;7;4;9;60,8;91,7;41,2;44,4;69,2
1001 Kristiansand;1001;Kristiansand;5722;1250;812;2358;1302;62,8;77,5;59,8;55,6;68,6;3304;964;258;1369;713;68,2;78,5;71,5;59,5;74,3;2418;286;554;989;589;56,8;74,5;55,6;51;62,7
1002 Mandal;1002;Mandal;624;210;145;141;128;56,9;75,8;55,1;39,3;65;343;175;22;74;72;63,9;82,9;61,1;39,2;71,3;281;35;123;67;56;50,3;53;54,2;39,4;58,3
1003 Farsund;1003;Farsund;311;94;64;73;80;63;82,5;53,8;51,4;67,2;173;73;16;43;41;73,9;85,9;76,2;62,3;69,5;138;21;48;30;39;53,1;72,4;49;41,1;65
1004 Flekkefjord;1004;Flekkefjord;462;141;119;114;88;69,2;79,7;68,8;59,7;69,3;234;103;21;62;48;69;77,4;56,8;59,6;73,8;228;38;98;52;40;69,3;86,4;72,1;59,8;64,5
1014 Vennesla;1014;Vennesla;555;187;131;133;104;65,8;79,2;69,7;49,8;68;305;154;24;67;60;70,1;79,4;77,4;50;78,9;250;33;107;66;44;61,1;78,6;68,2;49,6;57,1
1017 Songdalen;1017;Songdalen;374;107;75;141;51;66;79,9;65,2;59,7;62,2;209;82;18;78;31;71,6;78,8;85,7;63,9;68,9;165;25;57;63;20;60;83,3;60,6;55,3;54,1
1018 Søgne;1018;Søgne;412;132;77;117;86;63,5;72,1;57,5;56,5;68,8;223;102;19;60;42;66,2;71,3;70,4;58,3;65,6;189;30;58;57;44;60,6;75;54,2;54,8;72,1
1021 Marnardal;1021;Marnardal;87;45;19;14;9;63,5;81,8;59,4;36,8;75;53;40;3;6;4;70,7;83,3;60;35,3;80;34;5;16;8;5;54,8;71,4;59,3;38,1;71,4
1026 Åseral;1026;Åseral;43; : ; : ; : ; : ;62,3; : ; : ; : ; : ;25; : ; : ; : ; : ;64,1; : ; : ; : ; : ;18; : ; : ; : ; : ;60; : ; : ; : ; : 
1027 Audnedal;1027;Audnedal;58;24;20;2;12;69,9;70,6;83,3;22,2;75;27;20;2;1;4;65,9;74,1;50;25;66,7;31;4;18;1;8;73,8;57,1;90;20;80
1029 Lindesnes;1029;Lindesnes;242;98;43;57;44;68,4;80,3;61,4;57;71;135;72;7;31;25;77,6;81,8;70;67,4;83,3;107;26;36;26;19;59,4;76,5;60;48,1;59,4
1032 Lyngdal;1032;Lyngdal;400;122;90;122;66;68;85,9;60;59,5;72,5;205;95;11;69;30;76,8;93,1;64,7;63,3;76,9;195;27;79;53;36;60,7;67,5;59,4;55,2;69,2
1034 Hægebostad;1034;Hægebostad;50;32;7;5;6;62,5;80;38,9;50;50;32;27;0;3;2;71,1;79,4;.;60;66,7;18;5;7;2;4;51,4;83,3;46,7;40;44,4
1037 Kvinesdal;1037;Kvinesdal;216;76;50;59;31;65,7;83,5;68,5;48,4;72,1;108;55;5;33;15;66,7;84,6;50;48,5;78,9;108;21;45;26;16;64,7;80,8;71,4;48,1;66,7
1046 Sirdal;1046;Sirdal;117;67;23;6;21;76,5;88,2;74,2;35,3;72,4;65;49;3;3;10;78,3;90,7;75;25;76,9;52;18;20;3;11;74,3;81,8;74,1;60;68,8
1101 Eigersund;1101;Eigersund;873;438;140;162;133;71,5;81,6;59,1;61,1;73,1;553;357;22;98;76;79,3;82,4;66,7;71,5;80,9;320;81;118;64;57;61,1;77,9;57,8;50;64,8
1102 Sandnes;1102;Sandnes;7079;3053;1192;1557;1277;74;86,5;62;63,3;77,1;4257;2328;285;913;731;81,6;88,1;75,4;68,8;83,8;2822;725;907;644;546;64,8;81,6;58,7;56,8;69,6
1103 Stavanger;1103;Stavanger;14494;6244;2025;2551;3674;72,6;85,9;55,1;61,9;75;8831;4663;562;1524;2082;79,2;86,5;69,4;66,6;78,4;5663;1581;1463;1027;1592;64,2;84,1;51,1;55,9;70,9
1106 Haugesund;1106;Haugesund;2880;1299;433;591;557;68;79,8;53,7;56,4;73,8;1857;1071;104;362;320;75,1;81;67,5;63,2;75,7;1023;228;329;229;237;58;74,8;50,4;48,2;71,4
1111 Sokndal;1111;Sokndal;100;38;39;6;17;83,3;92,7;73,6;85,7;89,5;50;31;5;4;10;92,6;91,2;100;100;90,9;50;7;34;2;7;75,8;100;70,8;66,7;87,5
1112 Lund;1112;Lund;121;26;21;44;30;64;74,3;65,6;51,2;83,3;55;16;3;21;15;69,6;72,7;100;55,3;93,8;66;10;18;23;15;60;76,9;62,1;47,9;75
1114 Bjerkreim;1114;Bjerkreim;162;85;50;10;17;80,6;89,5;79,4;62,5;63;94;63;13;8;10;85,5;94;76,5;72,7;66,7;68;22;37;2;7;74,7;78,6;80,4;40;58,3
1119 Hå;1119;Hå;1383;888;209;164;122;73;82,3;63,3;51,9;71,8;852;662;38;95;57;78,3;84,8;74,5;53,1;74;531;226;171;69;65;65,8;75,8;61,3;50,4;69,9
1120 Klepp;1120;Klepp;1325;724;236;172;193;76,9;86,5;69,6;58,7;76,3;817;551;49;106;111;84,1;88,2;83,1;67,9;84,7;508;173;187;66;82;67,6;81,6;66,8;48,2;67,2
1121 Time;1121;Time;976;421;174;205;176;73,8;83,9;70,2;58,1;80;576;338;40;106;92;80,2;85,6;97,6;60,9;85,2;400;83;134;99;84;66,1;77,6;64,7;55,3;75
1122 Gjesdal;1122;Gjesdal;755;369;128;103;155;78,2;85;74,9;57,9;85,2;451;276;25;67;83;83,4;87,6;86,2;67;85,6;304;93;103;36;72;71,7;78,2;72,5;46,2;84,7
1124 Sola;1124;Sola;2273;1085;410;296;482;75,1;86,7;57,2;64,9;80,2;1360;830;77;173;280;84,9;88,8;74,8;72,7;86,2;913;255;333;123;202;64,1;80,7;54,2;56,4;73,2
1127 Randaberg;1127;Randaberg;619;259;110;110;140;74,8;85,5;66,3;59,5;80,9;373;205;22;64;82;81,8;88,7;73,3;65,3;84,5;246;54;88;46;58;66,3;75;64,7;52,9;76,3
1129 Forsand;1129;Forsand;60;34;13;3;10;84,5;94,4;65;100;83,3;39;31;3;2;3;92,9;93,9;75;100;100;21;3;10;1;7;72,4;100;62,5;100;77,8
1130 Strand;1130;Strand;578;226;140;104;108;69,8;85,3;65,4;51;74,5;306;179;18;58;51;76,1;88,6;66,7;52,3;82,3;272;47;122;46;57;63,8;74,6;65,2;49,5;68,7
1133 Hjelmeland;1133;Hjelmeland;257;160;35;33;29;78,1;87,4;64,8;57,9;82,9;152;102;10;26;14;84,4;89,5;62,5;76,5;87,5;105;58;25;7;15;70,5;84,1;65,8;30,4;78,9
1134 Suldal;1134;Suldal;191;92;34;30;35;75,8;93,9;72,3;51,7;71,4;93;59;8;12;14;80,2;95,2;88,9;48;70;98;33;26;18;21;72,1;91,7;68,4;54,5;72,4
1135 Sauda;1135;Sauda;168;79;41;19;29;71,5;85,9;70,7;38;82,9;94;55;12;14;13;74,6;85,9;92,3;43,8;76,5;74;24;29;5;16;67,9;85,7;64,4;27,8;88,9
1141 Finnøy;1141;Finnøy;272;204;35;2;31;87,2;89,5;79,5;66,7;83,8;170;152;3;2;13;89,5;89,4;100;66,7;92,9;102;52;32;.;18;83,6;89,7;78;.;78,3
1142 Rennesøy;1142;Rennesøy;294;163;45;22;64;74,2;83,6;56,3;56,4;78;174;123;6;11;34;82,9;86;60;61,1;87,2;120;40;39;11;30;64,5;76,9;55,7;52,4;69,8
1144 Kvitsøy;1144;Kvitsøy;23; : ; : ; : ; : ;79,3; : ; : ; : ; : ;10; : ; : ; : ; : ;83,3; : ; : ; : ; : ;13; : ; : ; : ; : ;76,5; : ; : ; : ; : 
1145 Bokn;1145;Bokn;49; : ; : ; : ; : ;79; : ; : ; : ; : ;28; : ; : ; : ; : ;87,5; : ; : ; : ; : ;21; : ; : ; : ; : ;70; : ; : ; : ; : 
1146 Tysvær;1146;Tysvær;395;223;79;44;49;67,6;87,1;61,7;36,7;61,3;238;178;12;26;22;76,8;87,7;66,7;44,1;73,3;157;45;67;18;27;57,3;84,9;60,9;29,5;54
1149 Karmøy;1149;Karmøy;1818;767;411;286;354;66,4;79,3;55,2;57;67,8;1056;626;72;159;199;73,7;80,1;67,9;61,2;69,8;762;141;339;127;155;58,5;76,2;53,1;52,5;65,4
1151 Utsira;1151;Utsira;11; : ; : ; : ; : ;84,6; : ; : ; : ; : ;3; : ; : ; : ; : ;75; : ; : ; : ; : ;8; : ; : ; : ; : ;88,9; : ; : ; : ; : 
1160 Vindafjord;1160;Vindafjord;571;402;86;26;57;71,2;78,5;57;39,4;78,1;360;303;9;15;33;78,1;80,4;47,4;55,6;86,8;211;99;77;11;24;61,9;73,3;58,3;28,2;68,6
1201 Bergen;1201;Bergen;20762;8475;3374;4351;4562;67,6;82;61,4;55,4;64,7;12407;6517;1041;2533;2316;72,8;82,6;72,3;59,1;67,4;8355;1958;2333;1818;2246;61,1;80,1;57,5;50,9;62,2
1211 Etne;1211;Etne;255;180;31;5;39;78,2;86,5;66;23,8;78;153;135;3;2;13;82,3;88,2;100;16,7;72,2;102;45;28;3;26;72,9;81,8;63,6;33,3;81,3
1216 Sveio;1216;Sveio;244;129;51;26;38;69,9;77,7;69,9;41,3;80,9;145;108;10;11;16;74;81,2;83,3;33,3;88,9;99;21;41;15;22;64,7;63,6;67,2;50;75,9
1219 Bømlo;1219;Bømlo;554;252;108;90;104;68,9;85,7;55,7;50;76,5;326;197;13;62;54;78,6;88,7;61,9;61,4;76,1;228;55;95;28;50;58,6;76,4;54,9;35,4;76,9
1221 Stord;1221;Stord;960;439;164;166;191;68;75,6;59,6;56,8;72,6;607;354;28;93;132;72,9;75,8;65,1;60,8;77,6;353;85;136;73;59;61,1;74,6;58,6;52,5;63,4
1222 Fitjar;1222;Fitjar;111;71;16;3;21;76,6;91;45,7;50;80,8;73;57;2;2;12;90,1;91,9;100;66,7;85,7;38;14;14;1;9;59,4;87,5;42,4;33,3;75
1223 Tysnes;1223;Tysnes;121;64;30;3;24;74,2;84,2;61,2;60;72,7;64;43;7;3;11;86,5;86;87,5;100;84,6;57;21;23;.;13;64;80,8;56,1;.;65
1224 Kvinnherad;1224;Kvinnherad;451;174;105;65;107;68,5;77,7;65,2;52;72,3;240;136;15;38;51;74,8;80;88,2;55,9;77,3;211;38;90;27;56;62,6;70,4;62,5;47,4;68,3
1227 Jondal;1227;Jondal;39; : ; : ; : ; : ;72,2; : ; : ; : ; : ;22; : ; : ; : ; : ;73,3; : ; : ; : ; : ;17; : ; : ; : ; : ;70,8; : ; : ; : ; : 
1228 Odda;1228;Odda;352;133;111;36;72;73,6;86,4;78,2;36,7;85,7;162;89;18;25;30;73;84;78,3;43,9;83,3;190;44;93;11;42;74,2;91,7;78,2;26,8;87,5
1231 Ullensvang;1231;Ullensvang;155;76;30;20;29;69,2;82,6;83,3;34,5;76,3;72;43;4;14;11;65,5;84,3;66,7;35,9;78,6;83;33;26;6;18;72,8;80,5;86,7;31,6;75
1232 Eidfjord;1232;Eidfjord;48; : ; : ; : ; : ;70,6; : ; : ; : ; : ;23; : ; : ; : ; : ;67,6; : ; : ; : ; : ;25; : ; : ; : ; : ;73,5; : ; : ; : ; : 
1233 Ulvik;1233;Ulvik;68;26;17;2;23;77,3;76,5;68;66,7;88,5;35;17;8;0;10;76,1;73,9;80;.;83,3;33;9;9;2;13;78,6;81,8;60;100;92,9
1234 Granvin;1234;Granvin;34; : ; : ; : ; : ;75,6; : ; : ; : ; : ;16; : ; : ; : ; : ;69,6; : ; : ; : ; : ;18; : ; : ; : ; : ;81,8; : ; : ; : ; : 
1235 Voss;1235;Voss;481;208;77;88;108;66,8;85,2;72;40;72,5;274;148;21;50;55;68,2;84,1;72,4;40;76,4;207;60;56;38;53;65,1;88,2;71,8;40;68,8
1238 Kvam;1238;Kvam;433;231;85;44;73;65,8;70;71,4;38,6;76,8;259;178;16;24;41;66,9;69;64;44,4;82;174;53;69;20;32;64,2;73,6;73,4;33,3;71,1
1241 Fusa;1241;Fusa;147;88;39;8;12;74,2;82,2;63,9;88,9;57,1;83;73;3;3;4;79,8;83,9;42,9;75;66,7;64;15;36;5;8;68,1;75;66,7;100;53,3
1242 Samnanger;1242;Samnanger;82;27;24;13;18;68,9;87,1;64,9;48,1;75;45;24;4;8;9;83,3;92,3;100;53,3;100;37;3;20;5;9;56,9;60;60,6;41,7;60
1243 Os;1243;Os (Hord.);1036;547;204;125;160;71,7;81,5;58;59,5;75,8;618;437;40;68;73;79,2;82,9;69;63,6;83;418;110;164;57;87;63;76,4;55,8;55,3;70,7
1244 Austevoll;1244;Austevoll;344;242;33;6;63;79,1;82;60;60;84;201;165;6;4;26;81;81,7;66,7;80;81,3;143;77;27;2;37;76,5;82,8;58,7;40;86
1245 Sund;1245;Sund;358;178;54;78;48;71,6;83,2;65,9;56,9;71,6;205;120;12;49;24;74,8;81,1;75;61,3;80;153;58;42;29;24;67,7;87,9;63,6;50,9;64,9
1246 Fjell;1246;Fjell;1127;533;220;188;186;72,9;85;59;63,9;73,5;661;431;45;102;83;79,7;85,2;71,4;66,2;78,3;466;102;175;86;103;64,9;84,3;56,5;61,4;70,1
1247 Askøy;1247;Askøy;1145;514;268;147;216;70,4;80,6;65,8;51,4;73,2;674;424;63;85;102;75,6;80,9;74,1;59;73,9;471;90;205;62;114;64,1;78,9;63,7;43,7;72,6
1251 Vaksdal;1251;Vaksdal;143;54;48;15;26;66,8;79,4;78,7;29,4;76,5;73;41;15;5;12;64,6;78,8;88,2;18,5;70,6;70;13;33;10;14;69,3;81,3;75;41,7;82,4
1252 Modalen;1252;Modalen;15; : ; : ; : ; : ;83,3; : ; : ; : ; : ;6; : ; : ; : ; : ;75; : ; : ; : ; : ;9; : ; : ; : ; : ;90; : ; : ; : ; : 
1253 Osterøy;1253;Osterøy;333;186;78;18;51;71,6;82,3;56,1;75;67,1;210;161;11;11;27;82,4;85,6;73,3;73,3;73;123;25;67;7;24;58,6;65,8;54;77,8;61,5
1256 Meland;1256;Meland;329;145;100;44;40;73,4;85,8;64,5;66,7;69;186;122;19;19;26;79,8;88,4;61,3;65,5;74,3;143;23;81;25;14;66,5;74,2;65,3;67,6;60,9
