Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0215 Frogn;215;Frogn;843;221;168;107;347;70,7;72,7;70,6;53,8;76,9;423;153;59;62;149;72,4;70,5;78,7;59,6;79,3;420;68;109;45;198;69,1;78,2;66,9;47,4;75,3
0216 Nesodden;216;Nesodden;1218;341;208;146;523;72,8;81,6;65,6;56,4;76,9;637;245;82;75;235;75,7;80,9;71,9;59,1;78,9;581;96;126;71;288;69,8;83,5;62,1;53,8;75,4
0217 Oppegård;217;Oppegård;1633;367;256;359;651;68,4;75,2;63,5;56,7;75,3;863;289;93;186;295;72,3;76,5;73,8;57,6;80,6;770;78;163;173;356;64,4;70,9;58,8;55,8;71,3
0219 Bærum;219;Bærum;10807;3696;1506;2159;3446;69,9;77,8;61,2;60,5;73,5;5992;2827;484;1171;1510;75,9;78,9;74,1;64,3;82;4815;869;1022;988;1936;63,6;74,5;56,6;56,5;68
0220 Asker;220;Asker;5118;1750;762;1021;1585;70,7;78,8;61,5;61,3;75,1;2866;1328;232;561;745;75,7;78,3;74,8;64,8;81,7;2252;422;530;460;840;65,3;80,4;57,1;57,6;70,1
0221 Aurskog-Høland;221;Aurskog-Høland;792;408;147;77;160;69,3;78;59,8;50;72,7;476;323;28;46;79;73,6;76,9;65,1;59,7;73,8;316;85;119;31;81;63,7;82,5;58,6;40,3;71,7
0226 Sørum;226;Sørum;1317;535;210;227;345;72,4;76,2;64,6;65,8;77;783;411;58;132;182;75,9;75,8;75,3;70,6;80,9;534;124;152;95;163;67,7;77,5;61,3;60,1;73,1
0227 Fet;227;Fet;784;336;120;143;185;71,3;74,2;63,5;65,6;77,4;465;258;29;83;95;74,2;73,3;65,9;72,8;81,2;319;78;91;60;90;67,6;77,2;62,8;57,7;73,8
0228 Rælingen;228;Rælingen;1575;366;274;533;402;71;80,3;65,7;64,8;76,7;885;279;97;288;221;77,6;80,9;82,9;71,8;79,8;690;87;177;245;181;63,9;78,4;59;58,2;73,3
0229 Enebakk;229;Enebakk;681;236;129;130;186;70,6;74,4;65,5;66;73,2;382;171;40;76;95;73,7;73,1;80;73,8;72,5;299;65;89;54;91;66,9;78,3;60,5;57,4;74
