Nr & navn;naringsregion_nr;Næringsregion-navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
21 Hallingdal;21;Hallingdal;492;151;341;6;335;19,4;44,4;15,5;27,3;15,4;283;74;209;3;206;21,7;46,3;18,3;23,1;18,2;209;77;132;3;129;17;42,8;12,6;33,3;12,4
22 Kongsberg/Numedal;22;Kongsberg/Numedal;733;190;543;10;533;18,3;37,8;15,5;15,4;15,5;422;103;319;4;315;19,8;39,2;17,1;11,8;17,2;311;87;224;6;218;16,6;36,4;13,7;19,4;13,6
23 Midt-Buskerud;23;Midt-Buskerud;482;80;402;6;396;22,2;47,3;20;35,3;19,9;267;35;232;3;229;23,8;38,9;22,4;27,3;22,4;215;45;170;3;167;20,5;57;17,5;50;17,3
24 Ringerike/Hole;24;Ringerike/Hole;955;211;744;17;727;21,1;42,6;18,5;24,3;18,4;517;109;408;10;398;22,1;44,3;19,5;23,8;19,4;438;102;336;7;329;20,1;41;17,4;25;17,3
25 Tønsbergregionen;25;Tønsbergregionen;3705;851;2854;49;2805;21,2;44,8;18,3;17,3;18,4;2071;446;1625;26;1599;23,2;45,9;20,5;17,4;20,5;1634;405;1229;23;1206;19,1;43,6;16,1;17,2;16,1
26 Sandefjord/Larvik;26;Sandefjord/Larvik;2533;539;1994;91;1903;22,5;43,6;19,9;25,7;19,7;1502;320;1182;52;1130;25;48;22,1;26;22;1031;219;812;39;773;19,6;38,4;17,3;25,3;17
27 Grenland;27;Grenland;3260;725;2535;90;2445;20,6;40,5;18;22,2;17,9;1842;404;1438;53;1385;22,5;41,9;19,9;24,9;19,8;1418;321;1097;37;1060;18,5;38,9;16;19,2;15,9
28 Midt-Telemark;28;Midt-Telemark;416;128;288;3;285;18,1;36,6;14,8;13;14,8;248;73;175;1;174;20,2;37,6;16,9;7,7;17,1;168;55;113;2;111;15,7;35,3;12,4;20;12,3
29 Øst-Telemark;29;Øst-Telemark;474;88;386;5;381;19,2;34,5;17,5;21,7;17,4;265;42;223;2;221;20,8;32,6;19,5;15,4;19,5;209;46;163;3;160;17,5;36,5;15,3;30;15,2
30 Vest-Telemark;30;Vest-Telemark;271;44;227;.;227;15,5;37;13,9;.;14;174;27;147;.;147;18,6;43,5;16,8;.;16,9;97;17;80;.;80;11,9;29,8;10,6;.;10,7
31 Setesdal;31;Setesdal;140;31;109;1;108;15,8;30,4;13,9;10;13,9;75;18;57;1;56;16,4;37,5;14;25;13,9;65;13;52;.;52;15,1;24,1;13,8;.;14
32 Arendalregionen;32;Arendalregionen;2356;502;1854;40;1814;19,6;40,4;17,2;22,3;17,1;1273;278;995;21;974;20,5;42,4;17,9;21;17,8;1083;224;859;19;840;18,7;38,2;16,5;24,1;16,4
33 Lister;33;Lister;818;173;645;4;641;17,1;41,5;14,8;11,1;14,8;470;93;377;3;374;18,4;43,3;16,1;13;16,1;348;80;268;1;267;15,7;39,6;13,3;7,7;13,3
