"Næringsregion 
nr & navn";næringsregion_nr;"Næringsregion
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
50 Sogn;50;Sogn;2125;882;614;612;17;1173;646;315;203;9;952;236;299;409;8
51 Sunnfjord;51;Sunnfjord;2468;851;880;707;30;1352;633;500;203;16;1116;218;380;504;14
52 Nordmøre;52;Nordmøre;4267;1571;1121;1520;55;2276;1223;624;408;21;1991;348;497;1112;34
53 Romsdal;53;Romsdal;4142;1724;801;1556;61;2220;1329;425;442;24;1922;395;376;1114;37
54 Storfjord;54;Storfjord;1779;842;287;622;28;944;587;148;194;15;835;255;139;428;13
55 Søre Sunnmøre;55;Søre Sunnmøre;4075;1712;1019;1228;116;2318;1358;544;324;92;1757;354;475;904;24
56 Ålesundregionen;56;Ålesundregionen;6765;3099;1242;2330;94;3752;2357;662;689;44;3013;742;580;1641;50
57 Fosen;57;Fosen;1159;562;72;512;13;631;455;41;131;4;528;107;31;381;9
58 Hitra/Frøya;58;Hitra/Frøya;1388;908;81;381;18;809;623;56;118;12;579;285;25;263;6
59 Oppdal/Rennebu;59;Oppdal/Rennebu;478;200;154;124;0;255;149;72;34;0;223;51;82;90;0
60 Orkdalregionen;60;Orkdalregionen;1121;314;344;454;9;575;256;189;125;5;546;58;155;329;4
61 Trondheimsregionen;61;Trondheimsregionen;17666;6064;6324;5099;179;9610;4520;3386;1621;83;8056;1544;2938;3478;96
62 Rørosregionen;62;Rørosregionen;327;123;109;95;0;158;72;55;31;0;169;51;54;64;0
63 Stjørdalsregionen;63;Stjørdalsregionen;1476;327;628;509;12;720;249;332;133;6;756;78;296;376;6
64 Innherred;64;Innherred;3373;1176;1312;846;39;1916;960;720;212;24;1457;216;592;634;15
65 Indre Namdal;65;Indre Namdal;355;93;173;80;9;202;62;116;20;4;153;31;57;60;5
66 Kystgruppen;66;Kystgruppen;560;176;152;222;10;279;129;87;57;6;281;47;65;165;4
67 Midtre Namdal;67;Midtre Namdal;1079;268;471;322;18;524;176;246;90;12;555;92;225;232;6
68 Sør-Helgeland;68;Sør-Helgeland;580;155;190;235;0;264;100;103;61;0;316;55;87;174;0
69 HALD;69;HALD;948;291;408;246;3;522;212;235;72;3;426;79;173;174;0
70 Ytre Helgeland;70;Ytre Helgeland;183;103;6;71;3;85;59;3;23;0;98;44;3;48;3
71 Mosjøregionen;71;Mosjøregionen;746;176;313;257;0;410;127;206;77;0;336;49;107;180;0
72 Ranaregionen;72;Ranaregionen;1536;400;679;451;6;844;302;404;135;3;692;98;275;316;3
73 Salten;73;Salten;4364;1289;1720;1316;39;2355;964;993;378;20;2009;325;727;938;19
74 Ofoten;74;Ofoten;1590;471;587;516;16;848;366;333;143;6;742;105;254;373;10
75 Lofoten;75;Lofoten;1849;674;683;468;24;984;443;408;121;12;865;231;275;347;12
76 Vesterålen;76;Vesterålen;2299;655;986;643;15;1151;424;550;168;9;1148;231;436;475;6
77 Sør-Troms;77;Sør-Troms;2344;574;1115;636;19;1248;420;636;178;14;1096;154;479;458;5
78 Midt-Troms;78;Midt-Troms;1631;470;683;454;24;816;317;368;119;12;815;153;315;335;12
79 Tromsøregionen;79;Tromsøregionen;5321;2044;1366;1833;78;2865;1414;797;616;38;2456;630;569;1217;40
80 Nord-Troms;80;Nord-Troms;684;248;213;214;9;361;165;130;62;4;323;83;83;152;5
81 Vest-Finnmark;81;Vest-Finnmark;3021;1245;822;931;23;1615;869;483;256;7;1406;376;339;675;16
82 Midt-Finnmark;82;Midt-Finnmark;522;184;70;268;0;212;114;39;59;0;310;70;31;209;0
83 Øst-Finnmark;83;Øst-Finnmark;2667;931;880;824;32;1385;618;502;247;18;1282;313;378;577;14
