Næringsregion nr & navn;naringsregion_nr;Næringsregion navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
09 Oslo;9;Oslo;3707;260;3447;529;2918;74,9;58,2;76,6;65,9;78,9;1728;100;1628;245;1383;68,8;46,1;70,9;56,8;74,2;1979;160;1819;284;1535;81,3;69,6;82,5;76,3;83,7
10 Fjellregionen;10;Fjellregionen;161;1;160;.;160;73,2;33,3;73,7;.;73,7;83;.;83;.;83;67,5;.;68;.;68;78;1;77;.;77;80,4;50;81,1;.;81,1
11 Glåmdal;11;Glåmdal;422;12;410;5;405;65;48;65,7;83,3;65,5;218;7;211;3;208;60,1;53,8;60,3;100;59,9;204;5;199;2;197;71,3;41,7;72,6;66,7;72,7
12 Hamarregionen;12;Hamarregionen;803;22;781;9;772;68,9;57,9;69,3;81,8;69,2;366;13;353;5;348;61,8;52;62,3;71,4;62,1;437;9;428;4;424;76,3;69,2;76,4;100;76,3
13 Sør Østerdal;13;Sør Østerdal;293;11;282;2;280;68,3;52,4;69,1;100;69;129;2;127;.;127;60,3;20;62,3;.;62,3;164;9;155;2;153;76,3;81,8;76;100;75,7
14 Gjøvikregionen;14;Gjøvikregionen;582;14;568;5;563;68;53,8;68,4;62,5;68,5;271;5;266;2;264;61,3;41,7;61,9;50;62;311;9;302;3;299;75,1;64,3;75,5;75;75,5
15 Hadeland;15;Hadeland;289;5;284;3;281;71;55,6;71,4;75;71,3;126;.;126;1;125;62,7;.;63,3;100;63,1;163;5;158;2;156;79,1;71,4;79,4;66,7;79,6
16 Lillehammerregionen;16;Lillehammerregionen;338;3;335;9;326;73,3;27,3;74,4;100;73,9;171;2;169;5;164;70,4;25;71,9;100;71,3;167;1;166;4;162;76,6;33,3;77,2;100;76,8
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;115;4;111;.;111;60,8;44,4;61,7;.;62;60;2;58;.;58;55,6;40;56,3;.;56,3;55;2;53;.;53;67,9;50;68,8;.;69,7
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;176;2;174;1;173;69;100;68,8;100;68,7;86;1;85;.;85;66,7;100;66,4;.;66,4;90;1;89;1;88;71,4;100;71,2;100;71
19 Valdres;19;Valdres;174;4;170;2;168;68,5;33,3;70,2;100;70;81;2;79;1;78;63,3;33,3;64,8;100;64,5;93;2;91;1;90;73,8;33,3;75,8;100;75,6
20 Drammensregionen;20;Drammensregionen;1423;57;1366;69;1297;67,3;46,3;68,6;58;69,3;672;24;648;29;619;61,3;36,9;62,8;50;63,6;751;33;718;40;678;73,9;56,9;74,9;65,6;75,6
21 Hallingdal;21;Hallingdal;202;7;195;2;193;75,9;53,8;77,1;100;76,9;112;5;107;1;106;72,7;71,4;72,8;100;72,6;90;2;88;1;87;80,4;33,3;83;100;82,9
22 Kongsberg/Numedal;22;Kongsberg/Numedal;261;9;252;4;248;70,5;36;73;80;72,9;122;6;116;1;115;65,9;46,2;67,4;50;67,6;139;3;136;3;133;75,1;25;78,6;100;78,2
23 Midt-Buskerud;23;Midt-Buskerud;168;3;165;1;164;66,9;75;66,8;50;66,9;75;2;73;1;72;58,1;66,7;57,9;50;58,1;93;1;92;.;92;76,2;100;76;.;76
24 Ringerike/Hole;24;Ringerike/Hole;293;11;282;4;278;67,7;61,1;68;57,1;68,1;143;5;138;1;137;61,6;55,6;61,9;25;62,6;150;6;144;3;141;74,6;66,7;75;100;74,6
25 Tønsbergregionen;25;Tønsbergregionen;1113;27;1086;11;1075;67,3;44,3;68,2;68,8;68,2;529;7;522;3;519;61,9;23,3;63,3;42,9;63,5;584;20;564;8;556;73;64,5;73,3;88,9;73,2
26 Sandefjord/Larvik;26;Sandefjord/Larvik;759;35;724;16;708;69,4;56,5;70,2;69,6;70,2;371;18;353;10;343;64,2;42,9;65,9;66,7;65,8;388;17;371;6;365;75,3;85;74,9;75;74,9
27 Grenland;27;Grenland;1056;50;1006;14;992;67,8;56,8;68,4;50;68,8;516;22;494;9;485;63,7;51,2;64,4;40,9;65,1;540;28;512;5;507;72,2;62,2;72,8;83,3;72,7
28 Midt-Telemark;28;Midt-Telemark;144;9;135;.;135;69,2;64,3;69,6;.;69,6;79;4;75;.;75;75,2;66,7;75,8;.;75,8;65;5;60;.;60;63,1;62,5;63,2;.;63,2
29 Øst-Telemark;29;Øst-Telemark;161;5;156;1;155;67,6;62,5;67,8;50;68;71;3;68;.;68;57,7;60;57,6;.;57,6;90;2;88;1;87;78,3;66,7;78,6;50;79,1
30 Vest-Telemark;30;Vest-Telemark;154;6;148;1;147;71,6;66,7;71,8;100;71,7;70;5;65;1;64;67,3;83,3;66,3;100;66;84;1;83;.;83;75,7;33,3;76,9;.;76,9
31 Setesdal;31;Setesdal;66;7;59;1;58;81,5;77,8;81,9;100;81,7;35;4;31;.;31;79,5;80;79,5;.;79,5;31;3;28;1;27;83,8;75;84,8;100;84,4
32 Arendalregionen;32;Arendalregionen;766;22;744;9;735;66,4;38,6;67,9;75;67,8;370;13;357;5;352;63,2;41,9;64,4;100;64,1;396;9;387;4;383;69,7;34,6;71,4;57,1;71,6
33 Lister;33;Lister;367;7;360;1;359;70,7;30,4;72,6;100;72,5;181;4;177;.;177;68;40;69,1;.;69,1;186;3;183;1;182;73,5;23,1;76,3;100;76,2
34 Mandalsregionen;34;Mandalsregionen;259;13;246;2;244;74,2;68,4;74,5;40;75,1;122;4;118;.;118;68,2;57,1;68,6;.;69,4;137;9;128;2;126;80,6;75;81;66,7;81,3
35 Kristiansandregionen;35;Kristiansandregionen;1214;42;1172;24;1148;70,6;41,6;72,4;66,7;72,6;579;18;561;8;553;67,5;34,6;69,6;57,1;69,8;635;24;611;16;595;73,8;49;75,2;72,7;75,3
36 Dalane;36;Dalane;281;6;275;.;275;78,3;75;78,3;.;78,6;141;1;140;.;140;77;50;77,3;.;77,3;140;5;135;.;135;79,5;83,3;79,4;.;79,9
37 Haugesundregionen;37;Haugesundregionen;1024;20;1004;6;998;74,4;62,5;74,7;60;74,8;525;9;516;4;512;72,6;56,3;73;80;72,9;499;11;488;2;486;76,4;68,8;76,6;40;76,9
38 Ryfylke;38;Ryfylke;245;6;239;.;239;73,1;60;73,5;.;73,5;130;4;126;.;126;70,7;57,1;71,2;.;71,2;115;2;113;.;113;76,2;66,7;76,4;.;76,4
39 Stavangerregionen;39;Stavangerregionen;2671;53;2618;63;2555;72,1;50;72,7;64,3;72,9;1287;26;1261;24;1237;67,1;43,3;67,9;46,2;68,5;1384;27;1357;39;1318;77,3;58,7;77,8;84,8;77,6
40 Bergen;40;Bergen;2231;61;2170;46;2124;71,9;54;72,5;66,7;72,7;1064;30;1034;22;1012;67,5;54,5;67,9;64,7;68;1167;31;1136;24;1112;76,4;53,4;77,3;68,6;77,5
41 Bjørnefjorden;41;Bjørnefjorden;250;2;248;4;244;74,6;50;74,9;57,1;75,3;113;1;112;.;112;70,2;50;70,4;.;71,8;137;1;136;4;132;78,7;50;79,1;100;78,6
42 Hardanger;42;Hardanger;275;4;271;2;269;80,2;80;80,2;100;80,1;128;2;126;1;125;77,6;66,7;77,8;100;77,6;147;2;145;1;144;82,6;100;82,4;100;82,3
43 Voss;43;Voss;158;3;155;.;155;74,2;60;74,5;.;74,5;72;1;71;.;71;67,3;100;67;.;67;86;2;84;.;84;81,1;50;82,4;.;82,4
44 Nordhordland;44;Nordhordland;295;2;293;1;292;67,5;28,6;68,1;100;68,1;146;1;145;.;145;62,1;20;63;.;63;149;1;148;1;147;73,8;50;74;100;73,9
45 Osterfjorden;45;Osterfjorden;138;1;137;.;137;73,4;33,3;74,1;.;74,1;68;1;67;.;67;74,7;50;75,3;.;75,3;70;.;70;.;70;72,2;.;72,9;.;72,9
46 Sunnhordland;46;Sunnhordland;685;7;678;1;677;74,4;38,9;75,1;50;75,1;316;2;314;1;313;71,2;22,2;72,2;50;72,3;369;5;364;.;364;77,4;55,6;77,8;.;77,8
47 Hordaland Vest;47;Hordaland Vest;468;10;458;2;456;65,9;52,6;66,3;50;66,4;217;6;211;.;211;62,2;75;61,9;.;62,2;251;4;247;2;245;69,5;36,4;70,6;100;70,4
48 HAFS;48;HAFS;112;1;111;.;111;75,7;50;76;.;76;50;.;50;.;50;73,5;.;73,5;.;73,5;62;1;61;.;61;77,5;50;78,2;.;78,2
49 Nordfjord;49;Nordfjord;347;13;334;3;331;76,4;65;77;75;77;170;7;163;1;162;73,6;63,6;74,1;100;74;177;6;171;2;169;79,4;66,7;79,9;66,7;80,1
50 Sogn;50;Sogn;342;3;339;.;339;76,9;30;77,9;.;77,9;177;1;176;.;176;72,8;14,3;74,6;.;74,6;165;2;163;.;163;81,7;66,7;81,9;.;81,9
51 Sunnfjord;51;Sunnfjord;365;10;355;2;353;75,7;66,7;76;50;76,2;184;5;179;2;177;72,2;55,6;72,8;100;72,5;181;5;176;.;176;79,7;83,3;79,6;.;80,4
52 Nordmøre;52;Nordmøre;355;9;346;.;346;70;64,3;70,2;.;70,2;184;5;179;.;179;65,9;50;66,5;.;66,5;171;4;167;.;167;75;100;74,6;.;74,6
53 Romsdal;53;Romsdal;590;4;586;.;586;73,3;23,5;74,4;.;74,5;295;1;294;.;294;70,1;11,1;71,4;.;71,4;295;3;292;.;292;76,8;37,5;77,7;.;77,9
54 Storfjord;54;Storfjord;182;5;177;2;175;74,3;41,7;76;100;75,8;89;3;86;.;86;70,1;37,5;72,3;.;72,3;93;2;91;2;89;78,8;50;79,8;100;79,5
55 Søre Sunnmøre;55;Søre Sunnmøre;471;15;456;4;452;72,2;71,4;72,3;80;72,2;219;7;212;1;211;67,8;77,8;67,5;50;67,6;252;8;244;3;241;76,6;66,7;77;100;76,8
56 Ålesundregionen;56;Ålesundregionen;690;11;679;6;673;71,4;50;71,9;85,7;71,8;326;6;320;2;318;67,1;66,7;67,1;66,7;67,1;364;5;359;4;355;75,8;38,5;76,9;100;76,7
57 Fosen;57;Fosen;270;5;265;1;264;68,7;50;69,2;100;69,1;131;3;128;1;127;67,9;50;68,4;100;68,3;139;2;137;.;137;69,5;50;69,9;.;69,9
58 Hitra/Frøya;58;Hitra/Frøya;64;.;64;.;64;59,8;.;60,4;.;60,4;30;.;30;.;30;57,7;.;57,7;.;57,7;34;.;34;.;34;61,8;.;63;.;63
59 Oppdal/Rennebu;59;Oppdal/Rennebu;105;.;105;.;105;73,4;.;73,9;.;73,9;50;.;50;.;50;73,5;.;73,5;.;73,5;55;.;55;.;55;73,3;.;74,3;.;74,3
60 Orkdalregionen;60;Orkdalregionen;178;6;172;.;172;66,4;31,6;69,1;.;69,1;84;4;80;.;80;60;36,4;62;.;62;94;2;92;.;92;73,4;25;76,7;.;76,7
61 Trondheimsregionen;61;Trondheimsregionen;1918;58;1860;32;1828;70,7;60,4;71,1;69,6;71,2;925;22;903;16;887;66;46,8;66,7;61,5;66,8;993;36;957;16;941;75,8;73,5;75,9;80;75,8
62 Rørosregionen;62;Rørosregionen;91;1;90;.;90;80,5;100;80,4;.;80,4;50;1;49;.;49;80,6;100;80,3;.;80,3;41;.;41;.;41;80,4;.;80,4;.;80,4
63 Stjørdalsregionen;63;Stjørdalsregionen;255;5;250;2;248;71,6;45,5;72,5;66,7;72,5;120;2;118;1;117;67,8;40;68,6;50;68,8;135;3;132;1;131;75,4;50;76,3;100;76,2
64 Innherred;64;Innherred;538;5;533;.;533;66,3;21,7;67,6;.;67,7;257;2;255;.;255;60,9;16,7;62,2;.;62,3;281;3;278;.;278;72,2;27,3;73,5;.;73,5
65 Indre Namdal;65;Indre Namdal;77;1;76;.;76;67,5;100;67,3;.;67,3;42;1;41;.;41;61,8;100;61,2;.;61,2;35;.;35;.;35;76,1;.;76,1;.;76,1
66 Kystgruppen;66;Kystgruppen;87;2;85;.;85;61,7;100;61,2;.;61,2;46;.;46;.;46;62,2;.;62,2;.;62,2;41;2;39;.;39;61,2;100;60;.;60
67 Midtre Namdal;67;Midtre Namdal;206;.;206;.;206;68,9;.;69,6;.;69,6;99;.;99;.;99;64,3;.;65,1;.;65,1;107;.;107;.;107;73,8;.;74,3;.;74,3
68 Sør-Helgeland;68;Sør-Helgeland;137;1;136;.;136;67,2;50;67,3;.;67,7;63;.;63;.;63;65,6;.;65,6;.;65,6;74;1;73;.;73;68,5;50;68,9;.;69,5
69 HALD;69;HALD;122;5;117;1;116;59,5;55,6;59,7;100;59,5;52;2;50;.;50;52;50;52,1;.;52,1;70;3;67;1;66;66,7;60;67;100;66,7
70 Ytre Helgeland;70;Ytre Helgeland;33;1;32;1;31;57,9;100;57,1;100;56,4;18;1;17;.;17;51,4;100;50;.;50;15;.;15;1;14;68,2;.;68,2;100;66,7
71 Mosjøregionen;71;Mosjøregionen;114;2;112;.;112;63;40;63,6;.;64;46;.;46;.;46;51,1;.;52,9;.;52,9;68;2;66;.;66;74,7;100;74,2;.;75
72 Ranaregionen;72;Ranaregionen;282;4;278;.;278;63,1;44,4;63,5;.;63,5;144;1;143;.;143;61;20;61,9;.;61,9;138;3;135;.;135;65,4;75;65,2;.;65,2
73 Salten;73;Salten;669;14;655;1;654;62,6;51,9;62,9;50;62,9;299;3;296;1;295;56;30;56,5;50;56,5;370;11;359;.;359;69,2;64,7;69,3;.;69,3
74 Ofoten;74;Ofoten;240;4;236;1;235;68;66,7;68;50;68,1;117;.;117;.;117;61,6;.;62,2;.;62,2;123;4;119;1;118;75,5;100;74,8;50;75,2
75 Lofoten;75;Lofoten;208;8;200;.;200;59,8;57,1;59,9;.;59,9;100;4;96;.;96;52,1;57,1;51,9;.;51,9;108;4;104;.;104;69,2;57,1;69,8;.;69,8
76 Vesterålen;76;Vesterålen;269;5;264;.;264;57,2;41,7;57,6;.;57,8;139;1;138;.;138;56,7;20;57,5;.;57,7;130;4;126;.;126;57,8;57,1;57,8;.;57,8
77 Sør-Troms;77;Sør-Troms;99;5;94;.;94;61,1;55,6;61,4;.;61,4;39;2;37;.;37;56,5;33,3;58,7;.;58,7;60;3;57;.;57;64,5;100;63,3;.;63,3
78 Midt-Troms;78;Midt-Troms;257;4;253;1;252;65,2;40;65,9;100;65,8;129;.;129;1;128;62,3;.;63,2;100;63,1;128;4;124;.;124;68,4;57,1;68,9;.;68,9
79 Tromsøregionen;79;Tromsøregionen;590;12;578;5;573;61,3;50;61,6;83,3;61,4;309;2;307;2;305;58,7;22,2;59,4;66,7;59,3;281;10;271;3;268;64,3;66,7;64,2;100;64
80 Nord-Troms;80;Nord-Troms;112;4;108;1;107;53,1;57,1;52,9;100;52,7;42;1;41;.;41;40,4;33,3;40,6;.;40,6;70;3;67;1;66;65,4;75;65;100;64,7
81 Vest-Finnmark;81;Vest-Finnmark;253;5;248;1;247;49,6;33,3;50,1;50;50,1;100;2;98;1;97;40;33,3;40,2;100;39,9;153;3;150;.;150;58,8;33,3;59,8;.;60
82 Midt-Finnmark;82;Midt-Finnmark;93;.;93;.;93;48,9;.;49,2;.;49,2;30;.;30;.;30;35,3;.;35,3;.;35,3;63;.;63;.;63;60;.;60,6;.;60,6
83 Øst-Finnmark;83;Øst-Finnmark;153;8;145;.;145;50,7;38,1;51,6;.;51,6;66;4;62;.;62;40,7;25;42,5;.;42,5;87;4;83;.;83;62,1;80;61,5;.;61,5
99 Uoppgitt;99;Uoppgitt;823;281;542;9;533;52,1;40,1;61,7;69,2;61,6;342;114;228;3;225;44,5;31,2;56,4;50;56,5;481;167;314;6;308;59,4;49,7;66,2;85,7;66
