kommune;kommune_nr;kommune_navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0619 Ål;619;Ål;127;33;94;:;94;100;26;74;       :;74;84;26;58;:;58;100;31;69;       :;69;43;7;36;:;36;100;16,3;83,7;       :;83,7
0620 Hol;620;Hol;37;10;27;:;27;100;27;73;       :;73;16;5;11;:;11;100;31,3;68,8;       :;68,8;21;5;16;:;16;100;23,8;76,2;       :;76,2
0621 Sigdal;621;Sigdal;61;13;48;:;48;100;21,3;78,7;       :;78,7;32;5;27;:;27;100;15,6;84,4;       :;84,4;29;8;21;:;21;100;27,6;72,4;       :;72,4
0622 Krødsherad;622;Krødsherad;74;6;68;:;68;100;8,1;91,9;       :;91,9;35;4;31;:;31;100;11,4;88,6;       :;88,6;39;       :;37;:;37;100;       :;94,9;       :;94,9
0623 Modum;623;Modum;456;86;370;       :;367;100;18,9;81,1;       :;80,5;243;41;202;       :;201;100;16,9;83,1;       :;82,7;213;45;168;       :;166;100;21,1;78,9;       :;77,9
0624 Øvre Eiker;624;Øvre Eiker;446;106;340;       :;339;100;23,8;76,2;       :;76;239;59;180;:;180;100;24,7;75,3;       :;75,3;207;47;160;       :;159;100;22,7;77,3;       :;76,8
0625 Nedre Eiker;625;Nedre Eiker;556;160;396;11;385;100;28,8;71,2;2;69,2;273;74;199;7;192;100;27,1;72,9;2,6;70,3;283;86;197;4;193;100;30,4;69,6;1,4;68,2
0626 Lier;626;Lier;502;231;271;7;264;100;46;54;1,4;52,6;292;131;161;4;157;100;44,9;55,1;1,4;53,8;210;100;110;       :;107;100;47,6;52,4;       :;51
0627 Røyken;627;Røyken;247;82;165;       :;162;100;33,2;66,8;       :;65,6;127;43;84;:;84;100;33,9;66,1;       :;66,1;120;39;81;       :;78;100;32,5;67,5;       :;65
0628 Hurum;628;Hurum;268;62;206;5;201;100;23,1;76,9;1,9;75;143;36;107;       :;104;100;25,2;74,8;       :;72,7;125;26;99;       :;97;100;20,8;79,2;       :;77,6
0631 Flesberg;631;Flesberg;60;31;29;:;29;100;51,7;48,3;       :;48,3;39;19;20;:;20;100;48,7;51,3;       :;51,3;21;12;9;:;9;100;57,1;42,9;       :;42,9
0632 Rollag;632;Rollag;34;17;17;:;17;100;50;50;       :;50;16;6;10;:;10;100;37,5;62,5;       :;62,5;18;11;7;:;7;100;61,1;38,9;       :;38,9
0633 Nore og Uvdal;633;Nore og Uvdal;62;26;36;:;36;100;41,9;58,1;       :;58,1;37;16;21;:;21;100;43,2;56,8;       :;56,8;25;10;15;:;15;100;40;60;       :;60
0701 Horten;701;Horten;806;263;543;6;537;100;32,6;67,4;0,7;66,6;460;151;309;4;305;100;32,8;67,2;0,9;66,3;346;112;234;       :;232;100;32,4;67,6;       :;67,1
0702 Holmestrand;702;Holmestrand;241;51;190;:;190;100;21,2;78,8;       :;78,8;132;26;106;:;106;100;19,7;80,3;       :;80,3;109;25;84;:;84;100;22,9;77,1;       :;77,1
0704 Tønsberg;704;Tønsberg;1084;316;768;5;763;100;29,2;70,8;0,5;70,4;592;180;412;       :;411;100;30,4;69,6;       :;69,4;492;136;356;4;352;100;27,6;72,4;0,8;71,5
0706 Sandefjord;706;Sandefjord;1232;348;884;15;869;100;28,2;71,8;1,2;70,5;691;205;486;7;479;100;29,7;70,3;1;69,3;541;143;398;8;390;100;26,4;73,6;1,5;72,1
0709 Larvik;709;Larvik;931;323;608;11;597;100;34,7;65,3;1,2;64,1;551;177;374;5;369;100;32,1;67,9;0,9;67;380;146;234;6;228;100;38,4;61,6;1,6;60
0711 Svelvik;711;Svelvik;172;31;141;       :;140;100;18;82;       :;81,4;99;20;79;       :;78;100;20,2;79,8;       :;78,8;73;11;62;:;62;100;15,1;84,9;       :;84,9
0713 Sande (Vestf.);713;Sande (Vestf.);190;60;130;:;130;100;31,6;68,4;       :;68,4;100;33;67;:;67;100;33;67;       :;67;90;27;63;:;63;100;30;70;       :;70
0714 Hof;714;Hof;42;6;36;:;36;100;14,3;85,7;       :;85,7;25;4;21;:;21;100;16;84;       :;84;17;       :;15;:;15;100;       :;88,2;       :;88,2
0716 Re;716;Re (f.o.m. 2002);200;46;154;       :;153;100;23;77;       :;76,5;93;20;73;:;73;100;21,5;78,5;       :;78,5;107;26;81;       :;80;100;24,3;75,7;       :;74,8
0719 Andebu;719;Andebu;94;16;78;       :;77;100;17;83;       :;81,9;47;8;39;:;39;100;17;83;       :;83;47;8;39;       :;38;100;17;83;       :;80,9
0720 Stokke;720;Stokke;246;74;172;       :;171;100;30,1;69,9;       :;69,5;148;42;106;:;106;100;28,4;71,6;       :;71,6;98;32;66;       :;65;100;32,7;67,3;       :;66,3
0722 Nøtterøy;722;Nøtterøy;493;135;358;5;353;100;27,4;72,6;1;71,6;254;65;189;       :;187;100;25,6;74,4;       :;73,6;239;70;169;       :;166;100;29,3;70,7;       :;69,5
0723 Tjøme;723;Tjøme;124;30;94;       :;93;100;24,2;75,8;       :;75;70;13;57;       :;56;100;18,6;81,4;       :;80;54;17;37;:;37;100;31,5;68,5;       :;68,5
0728 Lardal;728;Lardal;72;14;58;:;58;100;19,4;80,6;       :;80,6;34;5;29;:;29;100;14,7;85,3;       :;85,3;38;9;29;:;29;100;23,7;76,3;       :;76,3
0805 Porsgrunn;805;Porsgrunn;956;276;680;10;670;100;28,9;71,1;1;70,1;602;185;417;6;411;100;30,7;69,3;1;68,3;354;91;263;4;259;100;25,7;74,3;1,1;73,2
0806 Skien;806;Skien;1602;630;972;17;955;100;39,3;60,7;1,1;59,6;947;392;555;14;541;100;41,4;58,6;1,5;57,1;655;238;417;       :;414;100;36,3;63,7;       :;63,2
0807 Notodden;807;Notodden;417;133;284;:;284;100;31,9;68,1;       :;68,1;240;74;166;:;166;100;30,8;69,2;       :;69,2;177;59;118;:;118;100;33,3;66,7;       :;66,7
0811 Siljan;811;Siljan;40;22;18;       :;17;100;55;45;       :;42,5;16;5;11;:;11;100;31,3;68,8;       :;68,8;24;17;7;       :;6;100;70,8;29,2;       :;25
0814 Bamble;814;Bamble;392;130;262;:;262;100;33,2;66,8;       :;66,8;239;83;156;:;156;100;34,7;65,3;       :;65,3;153;47;106;:;106;100;30,7;69,3;       :;69,3
0815 Kragerø;815;Kragerø;462;143;319;:;319;100;31;69;       :;69;254;78;176;:;176;100;30,7;69,3;       :;69,3;208;65;143;:;143;100;31,3;68,8;       :;68,8
0817 Drangedal;817;Drangedal;126;30;96;:;96;100;23,8;76,2;       :;76,2;73;18;55;:;55;100;24,7;75,3;       :;75,3;53;12;41;:;41;100;22,6;77,4;       :;77,4
0819 Nome;819;Nome;257;73;184;       :;182;100;28,4;71,6;       :;70,8;143;36;107;       :;106;100;25,2;74,8;       :;74,1;114;37;77;       :;76;100;32,5;67,5;       :;66,7
0821 Bø (Telemark);821;Bø (Telem.);183;62;121;       :;120;100;33,9;66,1;       :;65,6;107;44;63;       :;62;100;41,1;58,9;       :;57,9;76;18;58;:;58;100;23,7;76,3;       :;76,3
0822 Sauherad;822;Sauherad;134;69;65;:;65;100;51,5;48,5;       :;48,5;69;40;29;:;29;100;58;42;       :;42;65;29;36;:;36;100;44,6;55,4;       :;55,4
0826 Tinn;826;Tinn;151;47;104;       :;102;100;31,1;68,9;       :;67,5;85;23;62;       :;61;100;27,1;72,9;       :;71,8;66;24;42;       :;41;100;36,4;63,6;       :;62,1
0827 Hjartdal;827;Hjartdal;31;       :;28;:;28;100;       :;90,3;       :;90,3;19;       :;17;:;17;100;       :;89,5;       :;89,5;12;       :;11;:;11;100;       :;91,7;       :;91,7
0828 Seljord;828;Seljord;71;17;54;:;54;100;23,9;76,1;       :;76,1;37;10;27;:;27;100;27;73;       :;73;34;7;27;:;27;100;20,6;79,4;       :;79,4
0829 Kviteseid;829;Kviteseid;72;7;65;:;65;100;9,7;90,3;       :;90,3;43;6;37;:;37;100;14;86;       :;86;29;       :;28;:;28;100;       :;96,6;       :;96,6
0830 Nissedal;830;Nissedal;32;       :;31;:;31;100;       :;96,9;       :;96,9;17;       :;16;:;16;100;5,9;       :;       :;94,1;15;:;15;:;15;100;       :;100;       :;100
0831 Fyresdal;831;Fyresdal;25;4;21;:;21;100;16;84;       :;84;11;       :;9;:;9;100;18,2;       :;       :;81,8;14;       :;12;:;12;100;       :;85,7;       :;85,7
0833 Tokke;833;Tokke;38;10;28;:;28;100;26,3;73,7;       :;73,7;22;6;16;:;16;100;27,3;72,7;       :;72,7;16;4;12;:;12;100;25;75;       :;75
0834 Vinje;834;Vinje;55;17;38;:;38;100;30,9;69,1;       :;69,1;29;9;20;:;20;100;31;69;       :;69;26;8;18;:;18;100;30,8;69,2;       :;69,2
0901 Risør;901;Risør;217;84;133;       :;132;100;38,7;61,3;       :;60,8;126;42;84;:;84;100;33,3;66,7;       :;66,7;91;42;49;       :;48;100;46,2;53,8;       :;52,7
0904 Grimstad;904;Grimstad;488;173;315;6;309;100;35,5;64,5;1,2;63,3;278;100;178;       :;175;100;36;64;       :;62,9;210;73;137;       :;134;100;34,8;65,2;       :;63,8
0906 Arendal;906;Arendal;1343;362;981;14;967;100;27;73;1;72;774;209;565;9;556;100;27;73;1,2;71,8;569;153;416;5;411;100;26,9;73,1;0,9;72,2
0911 Gjerstad;911;Gjerstad;135;48;87;:;87;100;35,6;64,4;       :;64,4;70;28;42;:;42;100;40;60;       :;60;65;20;45;:;45;100;30,8;69,2;       :;69,2
0912 Vegårshei;912;Vegårshei;45;5;40;:;40;100;11,1;88,9;       :;88,9;27;       :;24;:;24;100;       :;88,9;       :;88,9;18;       :;16;:;16;100;       :;88,9;       :;88,9
0914 Tvedestrand;914;Tvedestrand;259;71;188;:;188;100;27,4;72,6;       :;72,6;121;31;90;:;90;100;25,6;74,4;       :;74,4;138;40;98;:;98;100;29;71;       :;71
0919 Froland;919;Froland;197;25;172;:;172;100;12,7;87,3;       :;87,3;94;11;83;:;83;100;11,7;88,3;       :;88,3;103;14;89;:;89;100;13,6;86,4;       :;86,4
0926 Lillesand;926;Lillesand;194;55;139;       :;137;100;28,4;71,6;       :;70,6;113;32;81;:;81;100;28,3;71,7;       :;71,7;81;23;58;       :;56;100;28,4;71,6;       :;69,1
0928 Birkenes;928;Birkenes;53;5;48;:;48;100;9,4;90,6;       :;90,6;27;       :;26;:;26;100;3,7;       :;       :;96,3;26;4;22;:;22;100;15,4;84,6;       :;84,6
0929 Åmli;929;Åmli;38;       :;35;:;35;100;       :;92,1;       :;92,1;15;       :;14;:;14;100;6,7;       :;       :;93,3;23;       :;21;:;21;100;       :;91,3;       :;91,3
0935 Iveland;935;Iveland;38;14;24;:;24;100;36,8;63,2;       :;63,2;20;7;13;:;13;100;35;65;       :;65;18;7;11;:;11;100;38,9;61,1;       :;61,1
0937 Evje og Hornnes;937;Evje og Hornnes;121;46;75;:;75;100;38;62;       :;62;66;23;43;:;43;100;34,8;65,2;       :;65,2;55;23;32;:;32;100;41,8;58,2;       :;58,2
0938 Bygland;938;Bygland;21;       :;20;:;20;100;       :;95,2;       :;95,2;10;:;10;:;10;100;       :;100;       :;100;11;       :;10;:;10;100;       :;90,9;       :;90,9
0940 Valle;940;Valle;34;12;22;:;22;100;35,3;64,7;       :;64,7;19;7;12;:;12;100;36,8;63,2;       :;63,2;15;5;10;:;10;100;33,3;66,7;       :;66,7
0941 Bykle;941;Bykle;20;7;13;:;13;100;35;65;       :;65;13;       :;11;:;11;100;15,4;       :;       :;84,6;7;5;       :;:;       :;100;71,4;       :;       :;       :
1001 Kristiansand;1001;Kristiansand;2032;969;1063;35;1028;100;47,7;52,3;1,7;50,6;1202;586;616;22;594;100;48,8;51,2;1,8;49,4;830;383;447;13;434;100;46,1;53,9;1,6;52,3
1002 Mandal;1002;Mandal;331;118;213;:;213;100;35,6;64,4;       :;64,4;160;50;110;:;110;100;31,3;68,8;       :;68,8;171;68;103;:;103;100;39,8;60,2;       :;60,2
1003 Farsund;1003;Farsund;156;49;107;:;107;100;31,4;68,6;       :;68,6;78;17;61;:;61;100;21,8;78,2;       :;78,2;78;32;46;:;46;100;41;59;       :;59
1004 Flekkefjord;1004;Flekkefjord;127;48;79;       :;78;100;37,8;62,2;       :;61,4;72;26;46;       :;45;100;36,1;63,9;       :;62,5;55;22;33;:;33;100;40;60;       :;60
1014 Vennesla;1014;Vennesla;378;88;290;4;286;100;23,3;76,7;1,1;75,7;197;46;151;       :;148;100;23,4;76,6;       :;75,1;181;42;139;       :;138;100;23,2;76,8;       :;76,2
1017 Songdalen;1017;Songdalen;119;51;68;       :;66;100;42,9;57,1;       :;55,5;67;33;34;       :;33;100;49,3;50,7;       :;49,3;52;18;34;       :;33;100;34,6;65,4;       :;63,5
1018 Søgne;1018;Søgne;276;71;205;5;200;100;25,7;74,3;1,8;72,5;135;36;99;4;95;100;26,7;73,3;3;70,4;141;35;106;       :;105;100;24,8;75,2;       :;74,5
1021 Marnardal;1021;Marnardal;38;13;25;:;25;100;34,2;65,8;       :;65,8;16;5;11;:;11;100;31,3;68,8;       :;68,8;22;8;14;:;14;100;36,4;63,6;       :;63,6
1026 Åseral;1026;Åseral;14;       :;11;:;11;100;       :;78,6;       :;78,6;9;       :;8;:;8;100;11,1;       :;       :;88,9;5;       :;       :;:;       :;100;       :;       :;       :;       :
1027 Audnedal;1027;Audnedal;18;9;9;:;9;100;50;50;       :;50;9;5;4;:;4;100;55,6;44,4;       :;44,4;9;4;5;:;5;100;44,4;55,6;       :;55,6
1029 Lindesnes;1029;Lindesnes;105;20;85;:;85;100;19;81;       :;81;53;9;44;:;44;100;17;83;       :;83;52;11;41;:;41;100;21,2;78,8;       :;78,8
1032 Lyngdal;1032;Lyngdal;211;62;149;:;149;100;29,4;70,6;       :;70,6;113;38;75;:;75;100;33,6;66,4;       :;66,4;98;24;74;:;74;100;24,5;75,5;       :;75,5
1034 Hægebostad;1034;Hægebostad;30;6;24;:;24;100;20;80;       :;80;15;       :;13;:;13;100;13,3;       :;       :;86,7;15;4;11;:;11;100;26,7;73,3;       :;73,3
1037 Kvinesdal;1037;Kvinesdal;132;60;72;:;72;100;45,5;54,5;       :;54,5;74;31;43;:;43;100;41,9;58,1;       :;58,1;58;29;29;:;29;100;50;50;       :;50
1046 Sirdal;1046;Sirdal;20;       :;19;:;19;100;       :;95;       :;95;11;       :;10;:;10;100;9,1;       :;       :;90,9;9;:;9;:;9;100;       :;100;       :;100
1101 Eigersund;1101;Eigersund;288;107;181;:;181;100;37,2;62,8;       :;62,8;146;53;93;:;93;100;36,3;63,7;       :;63,7;142;54;88;:;88;100;38;62;       :;62
1102 Sandnes;1102;Sandnes;1217;491;726;9;717;100;40,3;59,7;0,7;58,9;683;280;403;5;398;100;41;59;0,7;58,3;534;211;323;4;319;100;39,5;60,5;0,7;59,7
1103 Stavanger;1103;Stavanger;3011;1213;1798;47;1751;100;40,3;59,7;1,6;58,2;1729;710;1019;27;992;100;41,1;58,9;1,6;57,4;1282;503;779;20;759;100;39,2;60,8;1,6;59,2
1106 Haugesund;1106;Haugesund;971;293;678;6;672;100;30,2;69,8;0,6;69,2;575;175;400;5;395;100;30,4;69,6;0,9;68,7;396;118;278;       :;277;100;29,8;70,2;       :;69,9
1111 Sokndal;1111;Sokndal;46;       :;44;:;44;100;       :;95,7;       :;95,7;18;       :;17;:;17;100;5,6;       :;       :;94,4;28;       :;27;:;27;100;       :;96,4;       :;96,4
1112 Lund;1112;Lund;78;25;53;:;53;100;32,1;67,9;       :;67,9;45;12;33;:;33;100;26,7;73,3;       :;73,3;33;13;20;:;20;100;39,4;60,6;       :;60,6
1114 Bjerkreim;1114;Bjerkreim;41;5;36;:;36;100;12,2;87,8;       :;87,8;18;       :;15;:;15;100;16,7;       :;       :;83,3;23;       :;21;:;21;100;       :;91,3;       :;91,3
1119 Hå;1119;Hå;241;95;146;:;146;100;39,4;60,6;       :;60,6;134;54;80;:;80;100;40,3;59,7;       :;59,7;107;41;66;:;66;100;38,3;61,7;       :;61,7
1120 Klepp;1120;Klepp;328;110;218;       :;217;100;33,5;66,5;       :;66,2;156;55;101;:;101;100;35,3;64,7;       :;64,7;172;55;117;       :;116;100;32;68;       :;67,4
1121 Time;1121;Time;338;130;208;       :;205;100;38,5;61,5;       :;60,7;171;67;104;       :;102;100;39,2;60,8;       :;59,6;167;63;104;       :;103;100;37,7;62,3;       :;61,7
1122 Gjesdal;1122;Gjesdal;214;67;147;:;147;100;31,3;68,7;       :;68,7;118;41;77;:;77;100;34,7;65,3;       :;65,3;96;26;70;:;70;100;27,1;72,9;       :;72,9
1124 Sola;1124;Sola;358;126;232;       :;230;100;35,2;64,8;       :;64,2;191;69;122;:;122;100;36,1;63,9;       :;63,9;167;57;110;       :;108;100;34,1;65,9;       :;64,7
1127 Randaberg;1127;Randaberg;250;103;147;       :;145;100;41,2;58,8;       :;58;125;57;68;       :;66;100;45,6;54,4;       :;52,8;125;46;79;:;79;100;36,8;63,2;       :;63,2
1129 Forsand;1129;Forsand;22;       :;21;:;21;100;       :;95,5;       :;95,5;11;       :;10;:;10;100;9,1;       :;       :;90,9;11;:;11;:;11;100;       :;100;       :;100
1130 Strand;1130;Strand;228;42;186;:;186;100;18,4;81,6;       :;81,6;113;23;90;:;90;100;20,4;79,6;       :;79,6;115;19;96;:;96;100;16,5;83,5;       :;83,5
1133 Hjelmeland;1133;Hjelmeland;51;31;20;:;20;100;60,8;39,2;       :;39,2;25;15;10;:;10;100;60;40;       :;40;26;16;10;:;10;100;61,5;38,5;       :;38,5
1134 Suldal;1134;Suldal;86;43;43;:;43;100;50;50;       :;50;45;19;26;:;26;100;42,2;57,8;       :;57,8;41;24;17;:;17;100;58,5;41,5;       :;41,5
1135 Sauda;1135;Sauda;108;9;99;:;99;100;8,3;91,7;       :;91,7;55;       :;52;:;52;100;5,5;       :;       :;94,5;53;6;47;:;47;100;11,3;88,7;       :;88,7
1141 Finnøy;1141;Finnøy;25;4;21;:;21;100;16;84;       :;84;12;4;8;:;8;100;33,3;66,7;       :;66,7;13;:;13;:;13;100;       :;100;       :;100
1142 Rennesøy;1142;Rennesøy;61;19;42;:;42;100;31,1;68,9;       :;68,9;31;7;24;:;24;100;22,6;77,4;       :;77,4;30;12;18;:;18;100;40;60;       :;60
1144 Kvitsøy;1144;Kvitsøy;       :;:;       :;:;       :;       :;       :;       :;       :;       :;       :;:;       :;:;       :;100;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :
1145 Bokn;1145;Bokn;12;       :;11;       :;10;100;       :;91,7;       :;83,3;6;       :;5;       :;4;100;       :;83,3;       :;66,7;6;:;6;:;6;100;       :;100;       :;100
1146 Tysvær;1146;Tysvær;222;73;149;:;149;100;32,9;67,1;       :;67,1;114;36;78;:;78;100;31,6;68,4;       :;68,4;108;37;71;:;71;100;34,3;65,7;       :;65,7
1149 Karmøy;1149;Karmøy;602;161;441;       :;440;100;26,7;73,3;       :;73,1;361;90;271;:;271;100;24,9;75,1;       :;75,1;241;71;170;       :;169;100;29,5;70,5;       :;70,1
1151 Utsira;1151;Utsira;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :
1160 Vindafjord;1160;Vindafjord;116;36;80;:;80;100;31;69;       :;69;60;14;46;:;46;100;23,3;76,7;       :;76,7;56;22;34;:;34;100;39,3;60,7;       :;60,7
1201 Bergen;1201;Bergen;6270;2157;4113;65;4048;100;34,4;65,6;1;64,6;3628;1172;2456;34;2422;100;32,3;67,7;0,9;66,8;2642;985;1657;31;1626;100;37,3;62,7;1,2;61,5
1211 Etne;1211;Etne;53;15;38;:;38;100;28,3;71,7;       :;71,7;37;9;28;:;28;100;24,3;75,7;       :;75,7;16;6;10;:;10;100;37,5;62,5;       :;62,5
1216 Sveio;1216;Sveio;91;25;66;:;66;100;27,5;72,5;       :;72,5;60;18;42;:;42;100;30;70;       :;70;31;7;24;:;24;100;22,6;77,4;       :;77,4
1219 Bømlo;1219;Bømlo;188;66;122;:;122;100;35,1;64,9;       :;64,9;107;41;66;:;66;100;38,3;61,7;       :;61,7;81;25;56;:;56;100;30,9;69,1;       :;69,1
1221 Stord;1221;Stord;421;92;329;4;325;100;21,9;78,1;1;77,2;252;57;195;       :;192;100;22,6;77,4;       :;76,2;169;35;134;       :;133;100;20,7;79,3;       :;78,7
1222 Fitjar;1222;Fitjar;48;7;41;:;41;100;14,6;85,4;       :;85,4;24;5;19;:;19;100;20,8;79,2;       :;79,2;24;       :;22;:;22;100;       :;91,7;       :;91,7
1223 Tysnes;1223;Tysnes;35;       :;34;:;34;100;       :;97,1;       :;97,1;20;:;20;:;20;100;       :;100;       :;100;15;       :;14;:;14;100;       :;93,3;       :;93,3
1224 Kvinnherad;1224;Kvinnherad;272;73;199;       :;198;100;26,8;73,2;       :;72,8;143;40;103;       :;102;100;28;72;       :;71,3;129;33;96;:;96;100;25,6;74,4;       :;74,4
1227 Jondal;1227;Jondal;14;       :;13;:;13;100;       :;92,9;       :;92,9;7;       :;6;:;6;100;       :;85,7;       :;85,7;7;:;7;:;7;100;       :;100;       :;100
1228 Odda;1228;Odda;225;41;184;:;184;100;18,2;81,8;       :;81,8;134;23;111;:;111;100;17,2;82,8;       :;82,8;91;18;73;:;73;100;19,8;80,2;       :;80,2
1231 Ullensvang;1231;Ullensvang;39;16;23;:;23;100;41;59;       :;59;25;11;14;:;14;100;44;56;       :;56;14;5;9;:;9;100;35,7;64,3;       :;64,3
1232 Eidfjord;1232;Eidfjord;15;8;7;:;7;100;53,3;46,7;       :;46,7;5;       :;       :;:;       :;100;       :;       :;       :;       :;10;6;4;:;4;100;60;40;       :;40
1233 Ulvik;1233;Ulvik;28;6;22;:;22;100;21,4;78,6;       :;78,6;14;       :;12;:;12;100;       :;85,7;       :;85,7;14;4;10;:;10;100;28,6;71,4;       :;71,4
1234 Granvin;1234;Granvin;21;       :;18;:;18;100;       :;85,7;       :;85,7;9;       :;8;:;8;100;       :;88,9;       :;88,9;12;       :;10;:;10;100;       :;83,3;       :;83,3
1235 Voss;1235;Voss;349;125;224;       :;223;100;35,8;64,2;       :;63,9;186;73;113;       :;112;100;39,2;60,8;       :;60,2;163;52;111;:;111;100;31,9;68,1;       :;68,1
1238 Kvam;1238;Kvam;204;91;113;:;113;100;44,6;55,4;       :;55,4;107;44;63;:;63;100;41,1;58,9;       :;58,9;97;47;50;:;50;100;48,5;51,5;       :;51,5
1241 Fusa;1241;Fusa;23;4;19;:;19;100;17,4;82,6;       :;82,6;11;       :;8;:;8;100;       :;72,7;       :;72,7;12;       :;11;:;11;100;       :;91,7;       :;91,7
1242 Samnanger;1242;Samnanger;42;12;30;:;30;100;28,6;71,4;       :;71,4;23;8;15;:;15;100;34,8;65,2;       :;65,2;19;4;15;:;15;100;21,1;78,9;       :;78,9
1243 Os (Hord.);1243;Os (Hord.);309;52;257;:;257;100;16,8;83,2;       :;83,2;153;18;135;:;135;100;11,8;88,2;       :;88,2;156;34;122;:;122;100;21,8;78,2;       :;78,2
1244 Austevoll;1244;Austevoll;40;7;33;:;33;100;17,5;82,5;       :;82,5;25;6;19;:;19;100;24;76;       :;76;15;       :;14;:;14;100;       :;93,3;       :;93,3
1245 Sund;1245;Sund;167;35;132;:;132;100;21;79;       :;79;103;24;79;:;79;100;23,3;76,7;       :;76,7;64;11;53;:;53;100;17,2;82,8;       :;82,8
1246 Fjell;1246;Fjell;425;93;332;       :;330;100;21,9;78,1;       :;77,6;239;52;187;       :;186;100;21,8;78,2;       :;77,8;186;41;145;       :;144;100;22;78;       :;77,4
1247 Askøy;1247;Askøy;358;97;261;       :;259;100;27,1;72,9;       :;72,3;207;53;154;       :;153;100;25,6;74,4;       :;73,9;151;44;107;       :;106;100;29,1;70,9;       :;70,2
1251 Vaksdal;1251;Vaksdal;97;29;68;:;68;100;29,9;70,1;       :;70,1;50;14;36;:;36;100;28;72;       :;72;47;15;32;:;32;100;31,9;68,1;       :;68,1
1252 Modalen;1252;Modalen;14;:;14;:;14;100;       :;100;       :;100;9;:;9;:;9;100;       :;100;       :;100;5;:;5;:;5;100;       :;100;       :;100
1253 Osterøy;1253;Osterøy;159;16;143;:;143;100;10,1;89,9;       :;89,9;79;5;74;:;74;100;6,3;93,7;       :;93,7;80;11;69;:;69;100;13,8;86,3;       :;86,3
1256 Meland;1256;Meland;174;33;141;       :;139;100;19;81;       :;79,9;98;16;82;       :;80;100;16,3;83,7;       :;81,6;76;17;59;:;59;100;22,4;77,6;       :;77,6
1259 Øygarden;1259;Øygarden;153;56;97;:;97;100;36,6;63,4;       :;63,4;89;32;57;:;57;100;36;64;       :;64;64;24;40;:;40;100;37,5;62,5;       :;62,5
1260 Radøy;1260;Radøy;151;28;123;:;123;100;18,5;81,5;       :;81,5;83;15;68;:;68;100;18,1;81,9;       :;81,9;68;13;55;:;55;100;19,1;80,9;       :;80,9
1263 Lindås;1263;Lindås;311;49;262;       :;261;100;15,8;84,2;       :;83,9;168;24;144;       :;143;100;14,3;85,7;       :;85,1;143;25;118;:;118;100;17,5;82,5;       :;82,5
1264 Austrheim;1264;Austrheim;48;8;40;:;40;100;16,7;83,3;       :;83,3;29;5;24;:;24;100;17,2;82,8;       :;82,8;19;       :;16;:;16;100;       :;84,2;       :;84,2
1265 Fedje;1265;Fedje;5;:;5;:;5;100;       :;100;       :;100;       :;:;       :;:;       :;100;       :;100;       :;       :;4;:;4;:;4;100;       :;100;       :;100
1266 Masfjorden;1266;Masfjorden;20;       :;19;:;19;100;       :;95;       :;95;12;:;12;:;12;100;       :;100;       :;100;8;       :;7;:;7;100;       :;87,5;       :;87,5
1401 Flora;1401;Flora;279;107;172;       :;171;100;38,4;61,6;       :;61,3;149;60;89;:;89;100;40,3;59,7;       :;59,7;130;47;83;       :;82;100;36,2;63,8;       :;63,1
