Kommune nr & navn;kommune_nr;"Kommune
navn";flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting
Nedbrytninger;;;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Innvkat og v-reg;;;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0415 Løten;415;Løten;55;40;21;19;15;15;10;7;3;5;40;30;14;16;10;359;47;27;20;312;323;37;22;15;286;36;10;5;5;26;414;87;48;39;327;338;47;29;18;291;76;40;19;21;36
0417 Stange;417;Stange;174;155;88;67;19;82;48;33;15;34;92;107;55;52;-15;1056;172;79;93;884;837;112;50;62;725;219;60;29;31;159;1230;327;167;160;903;919;160;83;77;759;311;167;84;83;144
0418 Nord-Odal;418;Nord-Odal;23;18;11;7;5;18;10;5;5;8;5;8;6;2;-3;167;13;9;4;154;196;12;9;3;184;-29;1;0;1;-30;190;31;20;11;159;214;22;14;8;192;-24;9;6;3;-33
0419 Sør-Odal;419;Sør-Odal;50;46;37;9;4;18;7;7;0;11;32;39;30;9;-7;384;51;21;30;333;361;41;20;21;320;23;10;1;9;13;434;97;58;39;337;379;48;27;21;331;55;49;31;18;6
0420 Eidskog;420;Eidskog;37;20;11;9;17;25;11;8;3;14;12;9;3;6;3;267;31;25;6;236;264;40;20;20;224;3;-9;5;-14;12;304;51;36;15;253;289;51;28;23;238;15;0;8;-8;15
0423 Grue;423;Grue;45;36;13;23;9;21;10;4;6;11;24;26;9;17;-2;207;16;9;7;191;229;37;13;24;192;-22;-21;-4;-17;-1;252;52;22;30;200;250;47;17;30;203;2;5;5;0;-3
0425 Åsnes;425;Åsnes;109;100;32;68;9;18;10;6;4;8;91;90;26;64;1;275;34;11;23;241;350;90;18;72;260;-75;-56;-7;-49;-19;384;134;43;91;250;368;100;24;76;268;16;34;19;15;-18
0426 Våler (Hedm.);426;Våler (Hedm.);47;36;28;8;11;18;8;8;0;10;29;28;20;8;1;158;14;11;3;144;181;22;16;6;159;-23;-8;-5;-3;-15;205;50;39;11;155;199;30;24;6;169;6;20;15;5;-14
0427 Elverum;427;Elverum;180;141;89;52;39;93;48;33;15;45;87;93;56;37;-6;874;114;40;74;760;756;94;36;58;662;118;20;4;16;98;1054;255;129;126;799;849;142;69;73;707;205;113;60;53;92
0428 Trysil;428;Trysil;65;58;44;14;7;39;32;29;3;7;26;26;15;11;0;215;26;11;15;189;254;43;26;17;211;-39;-17;-15;-2;-22;280;84;55;29;196;293;75;55;20;218;-13;9;0;9;-22
0429 Åmot;429;Åmot;38;30;21;9;8;15;9;5;4;6;23;21;16;5;2;316;29;20;9;287;263;24;10;14;239;53;5;10;-5;48;354;59;41;18;295;278;33;15;18;245;76;26;26;0;50
0430 Stor-Elvdal;430;Stor-Elvdal;205;201;16;185;4;19;16;13;3;3;186;185;3;182;1;86;20;6;14;66;204;74;8;66;130;-118;-54;-2;-52;-64;291;221;22;199;70;223;90;21;69;133;68;131;1;130;-63
0432 Rendalen;432;Rendalen;21;16;7;9;5;10;10;7;3;0;11;6;0;6;5;70;3;3;0;67;93;7;7;0;86;-23;-4;-4;0;-19;91;19;10;9;72;103;17;14;3;86;-12;2;-4;6;-14
0434 Engerdal;434;Engerdal;45;42;8;34;3;5;0;0;0;5;40;42;8;34;-2;41;6;3;3;35;90;40;6;34;50;-49;-34;-3;-31;-15;86;48;11;37;38;95;40;6;34;55;-9;8;5;3;-17
0436 Tolga;436;Tolga;10;10;3;7;0;7;7;4;3;0;3;3;-1;4;0;41;4;0;4;37;71;15;12;3;56;-30;-11;-12;1;-19;51;14;3;11;37;78;22;16;6;56;-27;-8;-13;5;-19
0437 Tynset;437;Tynset;41;41;38;3;0;26;20;15;5;6;15;21;23;-2;-6;192;43;16;27;149;216;44;14;30;172;-24;-1;2;-3;-23;233;84;54;30;149;242;64;29;35;178;-9;20;25;-5;-29
0438 Alvdal;438;Alvdal;6;6;3;3;0;10;7;3;4;3;-4;-1;0;-1;-3;63;15;6;9;48;81;15;7;8;66;-18;0;-1;1;-18;69;21;9;12;48;91;22;10;12;69;-22;-1;-1;0;-21
0439 Folldal;439;Folldal;3;3;3;0;0;3;3;0;3;0;0;0;3;-3;0;53;7;4;3;46;71;12;6;6;59;-18;-5;-2;-3;-13;56;10;7;3;46;74;15;6;9;59;-18;-5;1;-6;-13
0441 Os (Hedm.);441;Os (Hedm.);11;11;8;3;0;7;4;4;0;3;4;7;4;3;-3;68;13;7;6;55;94;17;9;8;77;-26;-4;-2;-2;-22;79;24;15;9;55;101;21;13;8;80;-22;3;2;1;-25
0501 Lillehammer;501;Lillehammer;219;179;115;64;40;113;68;34;34;45;106;111;81;30;-5;1556;226;91;135;1330;1468;162;67;95;1306;88;64;24;40;24;1775;405;206;199;1370;1581;230;101;129;1351;194;175;105;70;19
0502 Gjøvik;502;Gjøvik;315;283;143;140;32;112;76;39;37;36;203;207;104;103;-4;1547;253;104;149;1294;1498;255;111;144;1243;49;-2;-7;5;51;1862;536;247;289;1326;1610;331;150;181;1279;252;205;97;108;47
0511 Dovre;511;Dovre;52;47;15;32;5;9;4;4;0;5;43;43;11;32;0;95;20;14;6;75;146;58;14;44;88;-51;-38;0;-38;-13;147;67;29;38;80;155;62;18;44;93;-8;5;11;-6;-13
0512 Lesja;512;Lesja;3;3;3;0;0;3;3;3;0;0;0;0;0;0;0;26;0;0;0;26;75;17;17;0;58;-49;-17;-17;0;-32;29;3;3;0;26;78;20;20;0;58;-49;-17;-17;0;-32
0513 Skjåk;513;Skjåk;13;10;6;4;3;0;0;0;0;0;13;10;6;4;3;52;4;0;4;48;61;8;5;3;53;-9;-4;-5;1;-5;65;14;6;8;51;61;8;5;3;53;4;6;1;5;-2
0514 Lom;514;Lom;23;20;7;13;3;6;3;3;0;3;17;17;4;13;0;55;7;4;3;48;76;20;5;15;56;-21;-13;-1;-12;-8;78;27;11;16;51;82;23;8;15;59;-4;4;3;1;-8
0515 Vågå;515;Vågå;21;17;4;13;4;3;3;3;0;0;18;14;1;13;4;81;10;0;10;71;118;17;4;13;101;-37;-7;-4;-3;-30;102;27;4;23;75;121;20;7;13;101;-19;7;-3;10;-26
0516 Nord-Fron;516;Nord-Fron;30;30;24;6;0;10;10;7;3;0;20;20;17;3;0;168;21;10;11;147;235;48;27;21;187;-67;-27;-17;-10;-40;198;51;34;17;147;245;58;34;24;187;-47;-7;0;-7;-40
0517 Sel;517;Sel;122;111;23;88;11;14;7;4;3;7;108;104;19;85;4;181;32;12;20;149;236;80;12;68;156;-55;-48;0;-48;-7;303;143;35;108;160;250;87;16;71;163;53;56;19;37;-3
0519 Sør-Fron;519;Sør-Fron;12;9;9;0;3;3;3;3;0;0;9;6;6;0;3;140;29;25;4;111;140;17;11;6;123;0;12;14;-2;-12;152;38;34;4;114;143;20;14;6;123;9;18;20;-2;-9
0520 Ringebu;520;Ringebu;90;84;24;60;6;6;6;3;3;0;84;78;21;57;6;129;37;13;24;92;206;75;32;43;131;-77;-38;-19;-19;-39;219;121;37;84;98;212;81;35;46;131;7;40;2;38;-33
0521 Øyer;521;Øyer;85;76;67;9;9;13;13;10;3;0;72;63;57;6;9;202;36;20;16;166;287;87;48;39;200;-85;-51;-28;-23;-34;287;112;87;25;175;300;100;58;42;200;-13;12;29;-17;-25
0522 Gausdal;522;Gausdal;33;33;30;3;0;12;8;5;3;4;21;25;25;0;-4;283;36;28;8;247;192;23;12;11;169;91;13;16;-3;78;316;69;58;11;247;204;31;17;14;173;112;38;41;-3;74
0528 Østre Toten;528;Østre Toten;135;125;58;67;10;32;21;18;3;11;103;104;40;64;-1;553;53;25;28;500;612;100;52;48;512;-59;-47;-27;-20;-12;688;178;83;95;510;644;121;70;51;523;44;57;13;44;-13
0529 Vestre Toten;529;Vestre Toten;112;99;29;70;13;25;12;6;6;13;87;87;23;64;0;611;92;42;50;519;616;86;21;65;530;-5;6;21;-15;-11;723;191;71;120;532;641;98;27;71;543;82;93;44;49;-11
0532 Jevnaker;532;Jevnaker;42;35;27;8;7;21;16;13;3;5;21;19;14;5;2;355;44;31;13;311;319;40;26;14;279;36;4;5;-1;32;397;79;58;21;318;340;56;39;17;284;57;23;19;4;34
0533 Lunner;533;Lunner;84;71;32;39;13;29;23;16;7;6;55;48;16;32;7;455;85;45;40;370;459;65;37;28;394;-4;20;8;12;-24;539;156;77;79;383;488;88;53;35;400;51;68;24;44;-17
0534 Gran;534;Gran;121;109;74;35;12;42;33;24;9;9;79;76;50;26;3;551;105;45;60;446;534;93;56;37;441;17;12;-11;23;5;672;214;119;95;458;576;126;80;46;450;96;88;39;49;8
0536 Søndre Land;536;Søndre Land;99;91;21;70;8;16;13;13;0;3;83;78;8;70;5;277;29;10;19;248;332;74;13;61;258;-55;-45;-3;-42;-10;376;120;31;89;256;348;87;26;61;261;28;33;5;28;-5
0538 Nordre Land;538;Nordre Land;30;30;14;16;0;24;21;11;10;3;6;9;3;6;-3;198;16;5;11;182;203;35;11;24;168;-5;-19;-6;-13;14;228;46;19;27;182;227;56;22;34;171;1;-10;-3;-7;11
0540 Sør-Aurdal;540;Sør-Aurdal;17;14;10;4;3;7;7;3;4;0;10;7;7;0;3;116;15;6;9;101;125;13;8;5;112;-9;2;-2;4;-11;133;29;16;13;104;132;20;11;9;112;1;9;5;4;-8
0541 Etnedal;541;Etnedal;91;91;3;88;0;3;3;3;0;0;88;88;0;88;0;54;8;0;8;46;121;79;10;69;42;-67;-71;-10;-61;4;145;99;3;96;46;124;82;13;69;42;21;17;-10;27;4
0542 Nord-Aurdal;542;Nord-Aurdal;61;58;48;10;3;16;13;7;6;3;45;45;41;4;0;293;39;11;28;254;272;47;25;22;225;21;-8;-14;6;29;354;97;59;38;257;288;60;32;28;228;66;37;27;10;29
0543 Vestre Slidre;543;Vestre Slidre;20;20;3;17;0;3;3;3;0;0;17;17;0;17;0;86;3;0;3;83;129;41;12;29;88;-43;-38;-12;-26;-5;106;23;3;20;83;132;44;15;29;88;-26;-21;-12;-9;-5
0544 Øystre Slidre;544;Øystre Slidre;31;27;24;3;4;11;11;8;3;0;20;16;16;0;4;103;13;9;4;90;103;18;11;7;85;0;-5;-2;-3;5;134;40;33;7;94;114;29;19;10;85;20;11;14;-3;9
0545 Vang;545;Vang;52;49;16;33;3;10;10;7;3;0;42;39;9;30;3;70;17;7;10;53;102;36;9;27;66;-32;-19;-2;-17;-13;122;66;23;43;56;112;46;16;30;66;10;20;7;13;-10
0602 Drammen;602;Drammen;1097;971;606;365;126;407;272;159;113;135;690;699;447;252;-9;3665;1095;432;663;2570;3816;921;440;481;2895;-151;174;-8;182;-325;4762;2066;1038;1028;2696;4223;1193;599;594;3030;539;873;439;434;-334
0604 Kongsberg;604;Kongsberg;504;459;239;220;45;167;129;68;61;38;337;330;171;159;7;1121;239;104;135;882;993;263;92;171;730;128;-24;12;-36;152;1625;698;343;355;927;1160;392;160;232;768;465;306;183;123;159
0605 Ringerike;605;Ringerike;307;276;170;106;31;109;85;72;13;24;198;191;98;93;7;1240;243;133;110;997;1213;211;90;121;1002;27;32;43;-11;-5;1547;519;303;216;1028;1322;296;162;134;1026;225;223;141;82;2
0612 Hole;612;Hole;96;83;75;8;13;69;66;61;5;3;27;17;14;3;10;471;123;78;45;348;376;119;99;20;257;95;4;-21;25;91;567;206;153;53;361;445;185;160;25;260;122;21;-7;28;101
0615 Flå;615;Flå;13;10;10;0;3;3;3;3;0;0;10;7;7;0;3;43;3;3;0;40;62;24;9;15;38;-19;-21;-6;-15;2;56;13;13;0;43;65;27;12;15;38;-9;-14;1;-15;5
0616 Nes (Busk.);616;Nes (Busk.);105;101;13;88;4;8;8;5;3;0;97;93;8;85;4;110;22;7;15;88;182;69;15;54;113;-72;-47;-8;-39;-25;215;123;20;103;92;190;77;20;57;113;25;46;0;46;-21
0617 Gol;617;Gol;46;43;31;12;3;34;28;24;4;6;12;15;7;8;-3;174;44;24;20;130;220;53;22;31;167;-46;-9;2;-11;-37;220;87;55;32;133;254;81;46;35;173;-34;6;9;-3;-40
0618 Hemsedal;618;Hemsedal;108;103;44;59;5;14;10;10;0;4;94;93;34;59;1;121;28;16;12;93;148;67;11;56;81;-27;-39;5;-44;12;229;131;60;71;98;162;77;21;56;85;67;54;39;15;13
0619 Ål;619;Ål;91;84;24;60;7;34;31;23;8;3;57;53;1;52;4;143;30;16;14;113;244;98;18;80;146;-101;-68;-2;-66;-33;234;114;40;74;120;278;129;41;88;149;-44;-15;-1;-14;-29
0620 Hol;620;Hol;92;89;75;14;3;62;55;51;4;7;30;34;24;10;-4;184;45;38;7;139;195;64;50;14;131;-11;-19;-12;-7;8;276;134;113;21;142;257;119;101;18;138;19;15;12;3;4
0621 Sigdal;621;Sigdal;23;23;20;3;0;3;3;3;0;0;20;20;17;3;0;122;18;15;3;104;130;17;12;5;113;-8;1;3;-2;-9;145;41;35;6;104;133;20;15;5;113;12;21;20;1;-9
0622 Krødsherad;622;Krødsherad;52;48;43;5;4;4;4;4;0;0;48;44;39;5;4;99;10;6;4;89;102;21;16;5;81;-3;-11;-10;-1;8;151;58;49;9;93;106;25;20;5;81;45;33;29;4;12
0623 Modum;623;Modum;106;96;72;24;10;41;31;23;8;10;65;65;49;16;0;689;120;65;55;569;535;72;43;29;463;154;48;22;26;106;795;216;137;79;579;576;103;66;37;473;219;113;71;42;106
0624 Øvre Eiker;624;Øvre Eiker;172;159;126;33;13;78;47;34;13;31;94;112;92;20;-18;961;231;138;93;730;926;147;94;53;779;35;84;44;40;-49;1133;390;264;126;743;1004;194;128;66;810;129;196;136;60;-67
0625 Nedre Eiker;625;Nedre Eiker;256;224;147;77;32;89;64;51;13;25;167;160;96;64;7;1364;359;200;159;1005;1407;312;172;140;1095;-43;47;28;19;-90;1620;583;347;236;1037;1496;376;223;153;1120;124;207;124;83;-83
0626 Lier;626;Lier;380;332;251;81;48;146;84;62;22;62;234;248;189;59;-14;1522;393;221;172;1129;1455;378;229;149;1077;67;15;-8;23;52;1902;725;472;253;1177;1601;462;291;171;1139;301;263;181;82;38
0627 Røyken;627;Røyken;235;192;157;35;43;114;80;65;15;34;121;112;92;20;9;1397;335;247;88;1062;1077;191;135;56;886;320;144;112;32;176;1632;527;404;123;1105;1191;271;200;71;920;441;256;204;52;185
0628 Hurum;628;Hurum;88;74;58;16;14;41;25;22;3;16;47;49;36;13;-2;491;95;52;43;396;525;68;48;20;457;-34;27;4;23;-61;579;169;110;59;410;566;93;70;23;473;13;76;40;36;-63
0631 Flesberg;631;Flesberg;36;33;13;20;3;9;5;5;0;4;27;28;8;20;-1;124;23;15;8;101;127;19;10;9;108;-3;4;5;-1;-7;160;56;28;28;104;136;24;15;9;112;24;32;13;19;-8
0632 Rollag;632;Rollag;10;10;3;7;0;0;0;0;0;0;10;10;3;7;0;58;11;3;8;47;50;3;3;0;47;8;8;0;8;0;68;21;6;15;47;50;3;3;0;47;18;18;3;15;0
0633 Nore og Uvdal;633;Nore og Uvdal;28;28;25;3;0;10;10;7;3;0;18;18;18;0;0;87;17;5;12;70;75;11;8;3;64;12;6;-3;9;6;115;45;30;15;70;85;21;15;6;64;30;24;15;9;6
0701 Horten;701;Horten;292;253;150;103;39;126;83;45;38;43;166;170;105;65;-4;1267;253;137;116;1014;1292;235;127;108;1057;-25;18;10;8;-43;1559;506;287;219;1053;1418;318;172;146;1100;141;188;115;73;-47
0702 Holmestrand;702;Holmestrand;61;53;38;15;8;36;23;19;4;13;25;30;19;11;-5;614;90;48;42;524;525;91;51;40;434;89;-1;-3;2;90;675;143;86;57;532;561;114;70;44;447;114;29;16;13;85
0704 Tønsberg;704;Tønsberg;518;453;257;196;65;238;166;117;49;72;280;287;140;147;-7;2635;435;218;217;2200;2726;534;296;238;2192;-91;-99;-78;-21;8;3153;888;475;413;2265;2964;700;413;287;2264;189;188;62;126;1
0706 Sandefjord;706;Sandefjord;497;408;280;128;89;279;177;135;42;102;218;231;145;86;-13;1774;350;156;194;1424;1637;279;148;131;1358;137;71;8;63;66;2271;758;436;322;1513;1916;456;283;173;1460;355;302;153;149;53
0709 Larvik;709;Larvik;396;323;188;135;73;203;105;72;33;98;193;218;116;102;-25;1382;260;134;126;1122;1417;238;98;140;1179;-35;22;36;-14;-57;1778;583;322;261;1195;1620;343;170;173;1277;158;240;152;88;-82
0711 Svelvik;711;Svelvik;61;53;47;6;8;42;30;21;9;12;19;23;26;-3;-4;390;62;47;15;328;404;72;53;19;332;-14;-10;-6;-4;-4;451;115;94;21;336;446;102;74;28;344;5;13;20;-7;-8
0713 Sande (Vestf.);713;Sande (Vestf.);78;70;48;22;8;35;18;14;4;17;43;52;34;18;-9;580;64;34;30;516;465;65;49;16;400;115;-1;-15;14;116;658;134;82;52;524;500;83;63;20;417;158;51;19;32;107
0714 Hof;714;Hof;20;20;17;3;0;8;4;4;0;4;12;16;13;3;-4;202;36;25;11;166;179;33;27;6;146;23;3;-2;5;20;222;56;42;14;166;187;37;31;6;150;35;19;11;8;16
0716 Re;716;Re (f.o.m. 2002);72;67;51;16;5;33;22;17;5;11;39;45;34;11;-6;628;82;55;27;546;563;58;36;22;505;65;24;19;5;41;700;149;106;43;551;596;80;53;27;516;104;69;53;16;35
0719 Andebu;719;Andebu;61;53;38;15;8;24;14;14;0;10;37;39;24;15;-2;448;79;60;19;369;340;40;26;14;300;108;39;34;5;69;509;132;98;34;377;364;54;40;14;310;145;78;58;20;67
0720 Stokke;720;Stokke;271;249;142;107;22;193;163;125;38;30;78;86;17;69;-8;806;147;97;50;659;816;201;88;113;615;-10;-54;9;-63;44;1077;396;239;157;681;1009;364;213;151;645;68;32;26;6;36
0722 Nøtterøy;722;Nøtterøy;167;119;78;41;48;89;38;23;15;51;78;81;55;26;-3;1447;217;126;91;1230;1218;207;109;98;1011;229;10;17;-7;219;1614;336;204;132;1278;1307;245;132;113;1062;307;91;72;19;216
0723 Tjøme;723;Tjøme;45;38;28;10;7;22;14;11;3;8;23;24;17;7;-1;356;51;32;19;305;306;39;28;11;267;50;12;4;8;38;401;89;60;29;312;328;53;39;14;275;73;36;21;15;37
0728 Lardal;728;Lardal;26;23;16;7;3;3;0;0;0;3;23;23;16;7;0;124;15;10;5;109;124;22;19;3;102;0;-7;-9;2;7;150;38;26;12;112;127;22;19;3;105;23;16;7;9;7
0805 Porsgrunn;805;Porsgrunn;341;293;135;158;48;191;142;89;53;49;150;151;46;105;-1;1772;302;134;168;1470;1778;323;125;198;1455;-6;-21;9;-30;15;2113;595;269;326;1518;1969;465;214;251;1504;144;130;55;75;14
0806 Skien;806;Skien;469;392;178;214;77;199;130;84;46;69;270;262;94;168;8;2151;421;149;272;1730;2070;346;139;207;1724;81;75;10;65;6;2620;813;327;486;1807;2269;476;223;253;1793;351;337;104;233;14
0807 Notodden;807;Notodden;101;90;51;39;11;55;48;44;4;7;46;42;7;35;4;523;107;52;55;416;445;67;25;42;378;78;40;27;13;38;624;197;103;94;427;500;115;69;46;385;124;82;34;48;42
0811 Siljan;811;Siljan;6;3;3;0;3;3;3;0;3;0;3;0;3;-3;3;115;19;0;19;96;145;22;3;19;123;-30;-3;-3;0;-27;121;22;3;19;99;148;25;3;22;123;-27;-3;0;-3;-24
0814 Bamble;814;Bamble;71;64;37;27;7;30;13;8;5;17;41;51;29;22;-10;611;83;32;51;528;605;48;25;23;557;6;35;7;28;-29;682;147;69;78;535;635;61;33;28;574;47;86;36;50;-39
0815 Kragerø;815;Kragerø;82;74;46;28;8;26;18;18;0;8;56;56;28;28;0;354;65;26;39;289;453;64;22;42;389;-99;1;4;-3;-100;436;139;72;67;297;479;82;40;42;397;-43;57;32;25;-100
0817 Drangedal;817;Drangedal;28;22;7;15;6;11;8;8;0;3;17;14;-1;15;3;144;19;14;5;125;154;17;10;7;137;-10;2;4;-2;-12;172;41;21;20;131;165;25;18;7;140;7;16;3;13;-9
0819 Nome;819;Nome;109;104;37;67;5;12;8;4;4;4;97;96;33;63;1;244;40;22;18;204;309;88;15;73;221;-65;-48;7;-55;-17;353;144;59;85;209;321;96;19;77;225;32;48;40;8;-16
0821 Bø (Telemark);821;Bø (Telem.);93;89;45;44;4;54;50;35;15;4;39;39;10;29;0;377;55;29;26;322;388;83;48;35;305;-11;-28;-19;-9;17;470;144;74;70;326;442;133;83;50;309;28;11;-9;20;17
0822 Sauherad;822;Sauherad;55;52;45;7;3;9;9;6;3;0;46;43;39;4;3;171;32;12;20;139;253;51;17;34;202;-82;-19;-5;-14;-63;226;84;57;27;142;262;60;23;37;202;-36;24;34;-10;-60
0826 Tinn;826;Tinn;104;99;17;82;5;36;29;26;3;7;68;70;-9;79;-2;187;32;14;18;155;237;87;24;63;150;-50;-55;-10;-45;5;291;131;31;100;160;273;116;50;66;157;18;15;-19;34;3
0827 Hjartdal;827;Hjartdal;13;10;5;5;3;3;3;3;0;0;10;7;2;5;3;42;3;3;0;39;54;3;3;0;51;-12;0;0;0;-12;55;13;8;5;42;57;6;6;0;51;-2;7;2;5;-9
0828 Seljord;828;Seljord;32;26;15;11;6;9;9;3;6;0;23;17;12;5;6;137;18;10;8;119;113;19;8;11;94;24;-1;2;-3;25;169;44;25;19;125;122;28;11;17;94;47;16;14;2;31
0829 Kviteseid;829;Kviteseid;25;18;15;3;7;7;4;4;0;3;18;14;11;3;4;109;10;7;3;99;151;12;7;5;139;-42;-2;0;-2;-40;134;28;22;6;106;158;16;11;5;142;-24;12;11;1;-36
0830 Nissedal;830;Nissedal;11;11;8;3;0;0;0;0;0;0;11;11;8;3;0;64;3;3;0;61;58;3;0;3;55;6;0;3;-3;6;75;14;11;3;61;58;3;0;3;55;17;11;11;0;6
0831 Fyresdal;831;Fyresdal;13;13;5;8;0;6;3;3;0;3;7;10;2;8;-3;29;3;0;3;26;78;30;10;20;48;-49;-27;-10;-17;-22;42;16;5;11;26;84;33;13;20;51;-42;-17;-8;-9;-25
0833 Tokke;833;Tokke;16;9;9;0;7;3;0;0;0;3;13;9;9;0;4;67;8;8;0;59;85;14;14;0;71;-18;-6;-6;0;-12;83;17;17;0;66;88;14;14;0;74;-5;3;3;0;-8
0834 Vinje;834;Vinje;32;29;23;6;3;19;13;6;7;6;13;16;17;-1;-3;124;13;10;3;111;135;18;11;7;117;-11;-5;-1;-4;-6;156;42;33;9;114;154;31;17;14;123;2;11;16;-5;-9
0901 Risør;901;Risør;74;57;32;25;17;10;6;6;0;4;64;51;26;25;13;257;39;15;24;218;264;31;17;14;233;-7;8;-2;10;-15;331;96;47;49;235;274;37;23;14;237;57;59;24;35;-2
0904 Grimstad;904;Grimstad;240;214;115;99;26;96;74;37;37;22;144;140;78;62;4;1137;182;75;107;955;1175;219;108;111;956;-38;-37;-33;-4;-1;1377;396;190;206;981;1271;293;145;148;978;106;103;45;58;3
0906 Arendal;906;Arendal;449;388;269;119;61;206;137;96;41;69;243;251;173;78;-8;1644;328;183;145;1316;1457;221;118;103;1236;187;107;65;42;80;2093;716;452;264;1377;1663;358;214;144;1305;430;358;238;120;72
0911 Gjerstad;911;Gjerstad;10;10;7;3;0;6;6;3;3;0;4;4;4;0;0;92;18;7;11;74;98;23;8;15;75;-6;-5;-1;-4;-1;102;28;14;14;74;104;29;11;18;75;-2;-1;3;-4;-1
0912 Vegårshei;912;Vegårshei;12;9;4;5;3;3;3;3;0;0;9;6;1;5;3;91;9;9;0;82;76;5;0;5;71;15;4;9;-5;11;103;18;13;5;85;79;8;3;5;71;24;10;10;0;14
0914 Tvedestrand;914;Tvedestrand;53;37;23;14;16;9;3;3;0;6;44;34;20;14;10;273;33;22;11;240;322;44;24;20;278;-49;-11;-2;-9;-38;326;70;45;25;256;331;47;27;20;284;-5;23;18;5;-28
0919 Froland;919;Froland;35;22;9;13;13;14;9;6;3;5;21;13;3;10;8;312;30;15;15;282;314;36;27;9;278;-2;-6;-12;6;4;347;52;24;28;295;328;45;33;12;283;19;7;-9;16;12
0926 Lillesand;926;Lillesand;99;86;33;53;13;36;16;13;3;20;63;70;20;50;-7;438;49;31;18;389;478;93;42;51;385;-40;-44;-11;-33;4;537;135;64;71;402;514;109;55;54;405;23;26;9;17;-3
