 Fylkenr-fylkenavn ;fylke_nr;"Fylke
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1_5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2_5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk_samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
00 Hele landet;0;Hele landet;4590850777;4233080288;1215731025;2692519913;234664514,6;0;344014124;21092000;12636900;70192300
01 Østfold;1;Østfold;178685268;153009200;38765500;114243700;7893366;0;13705902;661500;849700;2565600
02 Akershus;2;Akershus;387173004,6;330167925;90851500;239316425;20020219,61;0;29015560;1515000;567700;5886600
03 Oslo;3;Oslo;171372286;452681750;127852400;0;4996597;0;29245289;1582400;1976500;5719100
04 Hedmark;4;Hedmark;191527821;162226500;30729500;131497000;11273257;0;13907964;864300;286000;2969800
05 Oppland;5;Oppland;272466747;218771400;69818000;148953400;34728219;0;13115928;1013600;1135400;3702200
06 Buskerud;6;Buskerud;258413689;226108650;64653000;161455650;8115385;0;18123854;1400500;858000;3807300
07 Vestfold;7;Vestfold;164134763;136200900;38273000;97927900;7009531;0;17214932;735700;567700;2406000
08 Telemark;8;Telemark;260606338;217253888;58776000;158477888;15109825;0;23883425;846900;286000;3226300
09 Aust-Agder;9;Aust-Agder;154985688;128404000;36143000;92261000;9676068;0;12853120;718300;996700;2337500
10 Vest-Agder;10;Vest-Agder;242266068;203626900;52100500;151526400;15540300;0;17642968;888300;698400;3869200
11 Rogaland;11;Rogaland;354723240;311015150;94728000;216287150;18389560;0;17758930;1938900;715000;4905700
12 Hordaland;12;Hordaland;378843024;343436150;98805875;244630275;5700762;0;21477012;1474700;714000;6040400
14 Sogn og Fjordane;14;Sogn og Fjordane;112760816;102392875;30522500;71870375;1312581;0;6504960;622700;281700;1646000
15 Møre og Romsdal;15;Møte og Romsdal;226224045;197494150;61975500;135518650;7194157;0;16663038;1007000;281700;3584000
16 Sør-Trøndelag;16;Sør-Trøndelag;274081725;226848800;70947000;155901800;26849847;0;15157478;1207600;706400;3311600
17 Nord-Trøndelag;17;Nord-Trøndelag;192726722;167855500;50967000;116888500;5570494;0;15155728;951500;429000;2764500
18 Nordland;18;Nordland;404451972;344730500;96445250;248285250;23016328;0;28039844;1943300;286000;6436000
19 Troms Romsa;19;Troms Romsa;225716749;198417150;69227000;129190150;6380689;0;16254910;1140000;429000;3095000
20 Finnmark ;20;Finnmark ;139690811;112438900;34150500;78288400;5887329;0;18293282;579800;572000;1919500
99 Uoppgitt fylke;99;Uoppgitt fylke;0;0;0;0;0;0;0;0;0;0
