kommune;kommune_nr;kommune_navn;bosetting.bosatt_per_1000
Nedbrytninger;;;enhet.promille
0101 Halden;101;Halden;0,73
0104 Moss;104;Moss;0,63
0105 Sarpsborg;105;Sarpsborg;1,09
0106 Fredrikstad;106;Fredrikstad;0,75
0111 Hvaler;111;Hvaler;2,68
0118 Aremark;118;Aremark;0
0119 Marker;119;Marker;1,38
0121 Rømskog;121;Rømskog;0
0122 Trøgstad;122;Trøgstad;0
0123 Spydeberg;123;Spydeberg;1,41
0124 Askim;124;Askim;0,64
0125 Eidsberg;125;Eidsberg;0,53
0127 Skiptvet;127;Skiptvet;0,54
0128 Rakkestad;128;Rakkestad;0,5
0135 Råde;135;Råde;0,83
0136 Rygge;136;Rygge;0,72
0137 Våler (Østfold);137;Våler (Østf.);0,98
0138 Hobøl;138;Hobøl;0
0211 Vestby;211;Vestby;1,1
0213 Ski;213;Ski;1,81
0214 Ås;214;Ås;0,97
0215 Frogn;215;Frogn;1,09
0216 Nesodden;216;Nesodden;1,31
0217 Oppegård;217;Oppegård;1,62
0219 Bærum;219;Bærum;0,82
0220 Asker;220;Asker;1,09
0221 Aurskog Høland;221;Aurskog-Høland;0,64
0226 Sørum;226;Sørum;0,64
0227 Fet;227;Fet;0,18
0228 Rælingen;228;Rælingen;1,16
0229 Enebakk;229;Enebakk;0,65
0230 Lørenskog;230;Lørenskog;0,83
0231 Skedsmo;231;Skedsmo;1,31
0233 Nittedal;233;Nittedal;0,57
0234 Gjerdrum;234;Gjerdrum;1,11
0235 Ullensaker;235;Ullensaker;0,66
0236 Nes (Akershus);236;Nes (Ak.);1,22
0237 Eidsvoll;237;Eidsvoll;0,82
0238 Nannestad;238;Nannestad;1,26
0239 Hurdal;239;Hurdal;1,45
0301 Oslo;301;Oslo kommune;0,76
0402 Kongsvinger;402;Kongsvinger;1,85
0403 Hamar;403;Hamar;1,37
0412 Ringsaker;412;Ringsaker;1,01
0415 Løten;415;Løten;1,19
0417 Stange;417;Stange;1,95
0418 Nord-Odal;418;Nord-Odal;1,17
0419 Sør-Odal;419;Sør-Odal;0,77
0420 Eidskog;420;Eidskog;0,96
0423 Grue;423;Grue;0,41
0425 Åsnes;425;Åsnes;0,26
0426 Våler (Hedm.);426;Våler (Hedm.);0
0427 Elverum;427;Elverum;1,64
0428 Trysil;428;Trysil;1,52
0429 Åmot;429;Åmot;1,57
0430 Stor-Elvdal;430;Stor-Elvdal;0,76
0432 Rendalen;432;Rendalen;5,84
0434 Engerdal;434;Engerdal;5,15
0436 Tolga;436;Tolga;3,02
0437 Tynset;437;Tynset;2,88
0438 Alvdal;438;Alvdal;1,65
0439 Folldal;439;Folldal;3,76
0441 Os (Hedm.);441;Os (Hedm.);4,52
0501 Lillehammer;501;Lillehammer;1,72
0502 Gjøvik;502;Gjøvik;1,73
0511 Dovre;511;Dovre;2,19
0512 Lesja;512;Lesja;2,43
0513 Skjåk;513;Skjåk;2,23
0514 Lom;514;Lom;5,09
0515 Vågå;515;Vågå;2,99
0516 Nord-Fron;516;Nord-Fron;3,13
0517 Sel;517;Sel;3,35
0519 Sør-Fron;519;Sør-Fron;0,62
0520 Ringebu;520;Ringebu;2,24
0521 Øyer;521;Øyer;2,17
0522 Gausdal;522;Gausdal;0,81
0528 Østre Toten;528;Østre Toten;1,08
0529 Vestre Toten;529;Vestre Toten;1,14
0532 Jevnaker;532;Jevnaker;2,58
0533 Lunner;533;Lunner;3,11
0534 Gran;534;Gran;2,78
0536 Søndre Land;536;Søndre Land;1,39
0538 Nordre Land;538;Nordre Land;2,97
0540 Sør-Aurdal;540;Sør-Aurdal;0,32
0541 Etnedal;541;Etnedal;2,14
0542 Nord-Aurdal;542;Nord-Aurdal;1,55
0543 Vestre Slidre;543;Vestre Slidre;2,29
0544 Øystre Slidre;544;Øystre Slidre;2,19
0545 Vang;545;Vang;3,09
0602 Drammen;602;Drammen;1,85
0604 Kongsberg;604;Kongsberg;1,05
0605 Ringerike;605;Ringerike;1,11
0612 Hole;612;Hole;0,15
0615 Flå;615;Flå;9,68
0616 Nes (Busk.);616;Nes (Busk.);0,88
0617 Gol;617;Gol;3,49
0618 Hemsedal;618;Hemsedal;2,99
0619 Ål;619;Ål;3,18
0620 Hol;620;Hol;1,12
0621 Sigdal;621;Sigdal;0,57
0622 Krødsherad;622;Krødsherad;0
0623 Modum;623;Modum;1,61
0624 Øvre Eiker;624;Øvre Eiker;1,11
0625 Nedre Eiker;625;Nedre Eiker;0,91
0626 Lier;626;Lier;1,14
0627 Røyken;627;Røyken;1,47
0628 Hurum;628;Hurum;2,03
0631 Flesberg;631;Flesberg;3,74
0632 Rollag;632;Rollag;5,09
0633 Nore og Uvdal;633;Nore og Uvdal;3,15
0701 Horten;701;Horten;1,08
0702 Holmestrand;702;Holmestrand;1,22
0704 Tønsberg;704;Tønsberg;1,1
0706 Sandefjord;706;Sandefjord;0,84
0709 Larvik;709;Larvik;1,22
0711 Svelvik;711;Svelvik;0,91
0713 Sande (Vestf.);713;Sande (Vestf.);1,09
0714 Hof;714;Hof;0
0716 Re;716;Re (f.o.m. 2002);1,19
0719 Andebu;719;Andebu;1,37
0720 Stokke;720;Stokke;2,09
0722 Nøtterøy;722;Nøtterøy;1,4
0723 Tjøme;723;Tjøme;1,21
0728 Lardal;728;Lardal;3,25
0805 Porsgrunn;805;Porsgrunn;1,51
0806 Skien;806;Skien;1,64
0807 Notodden;807;Notodden;4,13
0811 Siljan;811;Siljan;4,66
0814 Bamble;814;Bamble;2,83
0815 Kragerø;815;Kragerø;3,48
0817 Drangedal;817;Drangedal;2,43
0819 Nome;819;Nome;1,66
0821 Bø (Telemark);821;Bø (Telem.);2,84
0822 Sauherad;822;Sauherad;4,37
0826 Tinn;826;Tinn;2,71
0827 Hjartdal;827;Hjartdal;5,65
0828 Seljord;828;Seljord;3,66
0829 Kviteseid;829;Kviteseid;0
0830 Nissedal;830;Nissedal;0
0831 Fyresdal;831;Fyresdal;5,39
0833 Tokke;833;Tokke;0
0834 Vinje;834;Vinje;1,63
0901 Risør;901;Risør;2,46
0904 Grimstad;904;Grimstad;2,58
0906 Arendal;906;Arendal;1,92
0911 Gjerstad;911;Gjerstad;6,85
0912 Vegårshei;912;Vegårshei;5,95
0914 Tvedestrand;914;Tvedestrand;0,83
0919 Froland;919;Froland;0,18
0926 Lillesand;926;Lillesand;2,61
0928 Birkenes;928;Birkenes;1,79
0929 Åmli;929;Åmli;3,28
0935 Iveland;935;Iveland;7,6
0937 Evje og Hornnes;937;Evje og Hornnes;3,92
0938 Bygland;938;Bygland;0,84
0940 Valle;940;Valle;9,59
0941 Bykle;941;Bykle;3,22
1001 Kristiansand;1001;Kristiansand;2,44
1002 Mandal;1002;Mandal;2,92
1003 Farsund;1003;Farsund;2,29
1004 Flekkefjord;1004;Flekkefjord;2,32
1014 Vennesla;1014;Vennesla;2,55
1017 Songdalen;1017;Songdalen;2,2
1018 Søgne;1018;Søgne;2,05
1021 Marnardal;1021;Marnardal;4,8
1026 Åseral;1026;Åseral;4,32
1027 Audnedal;1027;Audnedal;1,71
1029 Lindesnes;1029;Lindesnes;2,05
1032 Lyngdal;1032;Lyngdal;2,16
1034 Hægebostad;1034;Hægebostad;2,95
1037 Kvinesdal;1037;Kvinesdal;4,54
1046 Sirdal;1046;Sirdal;2,18
1101 Eigersund;1101;Eigersund;2,15
1102 Sandnes;1102;Sandnes;1,02
1103 Stavanger;1103;Stavanger;0,85
1106 Haugesund;1106;Haugesund;1,37
1111 Sokndal;1111;Sokndal;0
1112 Lund;1112;Lund;3,08
1114 Bjerkreim;1114;Bjerkreim;3,15
1119 Hå;1119;Hå;1,24
1120 Klepp;1120;Klepp;1,33
1121 Time;1121;Time;1,58
1122 Gjesdal;1122;Gjesdal;1,47
1124 Sola;1124;Sola;0,7
1127 Randaberg;1127;Randaberg;2,56
1129 Forsand;1129;Forsand;0
1130 Strand;1130;Strand;1,77
1133 Hjelmeland;1133;Hjelmeland;2,87
1134 Suldal;1134;Suldal;4,37
1135 Sauda;1135;Sauda;2,1
1141 Finnøy;1141;Finnøy;0
1142 Rennesøy;1142;Rennesøy;2,5
1144 Kvitsøy;1144;Kvitsøy;5,62
1145 Bokn;1145;Bokn;0
1146 Tysvær;1146;Tysvær;1,47
1149 Karmøy;1149;Karmøy;1
1151 Utsira;1151;Utsira;0
1160 Vindafjord;1160;Vindafjord;0,8
1201 Bergen;1201;Bergen;1,17
1211 Etne;1211;Etne;1,22
1216 Sveio;1216;Sveio;0,73
1219 Bømlo;1219;Bømlo;2,38
1221 Stord;1221;Stord;1,18
1222 Fitjar;1222;Fitjar;0
1223 Tysnes;1223;Tysnes;2,52
1224 Kvinnherad;1224;Kvinnherad;1,13
1227 Jondal;1227;Jondal;0
1228 Odda;1228;Odda;1,87
1231 Ullensvang;1231;Ullensvang;4,69
1232 Eidfjord;1232;Eidfjord;0
1233 Ulvik;1233;Ulvik;10,84
1234 Granvin;1234;Granvin;0
1235 Voss;1235;Voss;2,37
1238 Kvam;1238;Kvam;0,82
1241 Fusa;1241;Fusa;1,04
1242 Samnanger;1242;Samnanger;0
1243 Os (Hord.);1243;Os (Hord.);0,68
1244 Austevoll;1244;Austevoll;1
1245 Sund;1245;Sund;1,48
1246 Fjell;1246;Fjell;0,82
1247 Askøy;1247;Askøy;0,86
1251 Vaksdal;1251;Vaksdal;1,22
1252 Modalen;1252;Modalen;0
1253 Osterøy;1253;Osterøy;0,89
1256 Meland;1256;Meland;1,29
1259 Øygarden;1259;Øygarden;4,01
1260 Radøy;1260;Radøy;1,79
1263 Lindås;1263;Lindås;1,1
1264 Austrheim;1264;Austrheim;7,7
1265 Fedje;1265;Fedje;1,78
1266 Masfjorden;1266;Masfjorden;0
1401 Flora;1401;Flora;3,79
1411 Gulen;1411;Gulen;3,43
1412 Solund;1412;Solund;0
1413 Hyllestad;1413;Hyllestad;6,41
1416 Høyanger;1416;Høyanger;2,64
1417 Vik;1417;Vik;1,12
1418 Balestrand;1418;Balestrand;0
1419 Leikanger;1419;Leikanger;0,44
1420 Sogndal;1420;Sogndal;4,3
1421 Aurland;1421;Aurland;0
1422 Lærdal;1422;Lærdal;2,8
1424 Årdal;1424;Årdal;1,47
1426 Luster;1426;Luster;2,15
1428 Askvoll;1428;Askvoll;0
1429 Fjaler;1429;Fjaler;0
1430 Gaular;1430;Gaular;0
1431 Jølster;1431;Jølster;2,64
1432 Førde;1432;Førde;1,02
1433 Naustdal;1433;Naustdal;0
1438 Bremanger;1438;Bremanger;3,86
1439 Vågsøy;1439;Vågsøy;0,99
1441 Selje;1441;Selje;0
1443 Eid;1443;Eid;3,34
1444 Hornindal;1444;Hornindal;0
1445 Gloppen;1445;Gloppen;0,87
1449 Stryn;1449;Stryn;3,77
1502 Molde;1502;Molde;3,98
1504 Ålesund;1504;Ålesund;1,04
1505 Kristiansund;1505;Kristiansund;1,92
1511 Vanylven;1511;Vanylven;2,76
1514 Sande (M. og R.);1514;Sande (M. og R.);0
1515 Herøy (M. og R.);1515;Herøy (M. og R.);1,01
1516 Ulstein;1516;Ulstein;1,81
1517 Hareid;1517;Hareid;0,79
1519 Volda;1519;Volda;3,45
1520 Ørsta;1520;Ørsta;1,79
1523 Ørskog;1523;Ørskog;3,05
1524 Norddal;1524;Norddal;0
1525 Stranda;1525;Stranda;0
1526 Stordal;1526;Stordal;0
1528 Sykkylven;1528;Sykkylven;0,26
1529 Skodje;1529;Skodje;1,34
1531 Sula;1531;Sula;0,79
1532 Giske;1532;Giske;1,26
1534 Haram;1534;Haram;2,63
1535 Vestnes;1535;Vestnes;1,04
1539 Rauma;1539;Rauma;0
1543 Nesset;1543;Nesset;3,36
1545 Midsund;1545;Midsund;0
1546 Sandøy;1546;Sandøy;0
1547 Aukra;1547;Aukra;0,58
1548 Fræna;1548;Fræna;0,61
1551 Eide;1551;Eide;0
1554 Averøy;1554;Averøy;1,04
1557 Gjemnes;1557;Gjemnes;0
1560 Tingvoll;1560;Tingvoll;3,88
1563 Sunndal;1563;Sunndal;3,35
1566 Surnadal;1566;Surnadal;4,18
1567 Rindal;1567;Rindal;0
1571 Halsa;1571;Halsa;3,2
1573 Smøla;1573;Smøla;0
1576 Aure;1576;Aure;3,1
1601 Trondheim;1601;Trondheim;1,7
1612 Hemne;1612;Hemne;1,65
1613 Snillfjord;1613;Snillfjord;0
1617 Hitra;1617;Hitra;2,19
1620 Frøya;1620;Frøya;0
1621 Ørland;1621;Ørland;1,93
1622 Agdenes;1622;Agdenes;0
1624 Rissa;1624;Rissa;2,4
1627 Bjugn;1627;Bjugn;1,48
1630 Åfjord;1630;Åfjord;2,16
1632 Roan;1632;Roan;0
1633 Osen;1633;Osen;0
1634 Oppdal;1634;Oppdal;2,63
1635 Rennebu;1635;Rennebu;1,17
1636 Meldal;1636;Meldal;2,77
1638 Orkdal;1638;Orkdal;1,71
1640 Røros;1640;Røros;2,86
1644 Holtålen;1644;Holtålen;0
1648 Midtre Gauldal;1648;Midtre Gauldal;1,26
1653 Melhus;1653;Melhus;0,44
1657 Skaun;1657;Skaun;0,91
1662 Klæbu;1662;Klæbu;1,5
1663 Malvik;1663;Malvik;0,52
1664 Selbu;1664;Selbu;2,45
1665 Tydal;1665;Tydal;10,43
1702 Steinkjer;1702;Steinkjer;1,57
1703 Namsos;1703;Namsos;3,15
1711 Meråker;1711;Meråker;5,08
1714 Stjørdal;1714;Stjørdal;2,18
1717 Frosta;1717;Frosta;3,81
1718 Leksvik;1718;Leksvik;1,71
1719 Levanger;1719;Levanger;2,46
1721 Verdal;1721;Verdal;2,36
1724 Verran;1724;Verran;3,93
1725 Namdalseid;1725;Namdalseid;0
1736 Snåsa;1736;Snåsa;5,11
1738 Lierne;1738;Lierne;10,04
1739 Røyrvik;1739;Røyrvik;0
1740 Namsskogan;1740;Namsskogan;0
1742 Grong;1742;Grong;6,03
1743 Høylandet;1743;Høylandet;0
1744 Overhalla;1744;Overhalla;2,4
1748 Fosnes;1748;Fosnes;0
1749 Flatanger;1749;Flatanger;0
1750 Vikna;1750;Vikna;3,67
1751 Nærøy;1751;Nærøy;3,54
1755 Leka;1755;Leka;0
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);1,92
1804 Bodø;1804;Bodø;1,55
1805 Narvik;1805;Narvik;1,91
1811 Bindal;1811;Bindal;0
1812 Sømna;1812;Sømna;3,88
1813 Brønnøy;1813;Brønnøy;3,15
1815 Vega;1815;Vega;0
1816 Vevelstad;1816;Vevelstad;19,61
1818 Herøy (Nordl.);1818;Herøy (Nordl.);0
1820 Alstahaug;1820;Alstahaug;3,89
1822 Leirfjord;1822;Leirfjord;9,14
1824 Vefsn;1824;Vefsn;1,95
1825 Grane;1825;Grane;0
1826 Hattfjelldal;1826;Hattfjelldal;5,22
1827 Dønna;1827;Dønna;0
1828 Nesna;1828;Nesna;10,69
1832 Hemnes;1832;Hemnes;0
1833 Rana;1833;Rana;1,27
1834 Lurøy;1834;Lurøy;0
1835 Træna;1835;Træna;0
1836 Rødøy;1836;Rødøy;0
1837 Meløy;1837;Meløy;2,63
1838 Gildeskål;1838;Gildeskål;3,48
1839 Beiarn;1839;Beiarn;5,67
1840 Saltdal;1840;Saltdal;2,96
1841 Fauske;1841;Fauske;2,39
1845 Sørfold;1845;Sørfold;0
