Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2
Todelt verdensregion;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1429 Fjaler;1429;Fjaler;337;236;42;59;0;182;117;24;41;0;155;119;18;18;0
1430 Gaular;1430;Gaular;190;116;45;29;0;172;112;42;18;0;18;4;3;11;0
1431 Jølster;1431;Jølster;228;166;32;30;0;116;81;19;16;0;112;85;13;14;0
1432 Førde;1432;Førde;1045;575;209;261;0;551;349;82;120;0;494;226;127;141;0
1433 Naustdal;1433;Naustdal;142;79;24;39;0;106;66;17;23;0;36;13;7;16;0
1438 Bremanger;1438;Bremanger;527;310;111;106;0;315;165;84;66;0;212;145;27;40;0
1439 Vågsøy;1439;Vågsøy;596;343;80;173;0;442;311;53;78;0;154;32;27;95;0
1441 Selje;1441;Selje;160;68;39;53;0;102;44;27;31;0;58;24;12;22;0
1443 Eid;1443;Eid;402;203;80;119;0;250;138;44;68;0;152;65;36;51;0
1444 Hornindal;1444;Hornindal;71;38;15;18;0;59;35;12;12;0;12;3;3;6;0
1445 Gloppen;1445;Gloppen;352;190;101;61;0;189;90;63;36;0;163;100;38;25;0
1449 Stryn;1449;Stryn;1010;565;266;179;0;790;449;230;111;0;220;116;36;68;0
1502 Molde;1502;Molde;2391;1340;486;565;0;1289;752;276;261;0;1102;588;210;304;0
1504 Ålesund;1504;Ålesund;4998;2728;1058;1212;0;3057;1922;616;519;0;1941;806;442;693;0
1505 Kristiansund;1505;Kristiansund;2458;1293;576;589;0;1354;804;323;227;0;1104;489;253;362;0
1511 Vanylven;1511;Vanylven;171;97;37;37;0;124;80;24;20;0;47;17;13;17;0
1514 Sande (M. og R.);1514;Sande (M. og R.);407;272;90;45;0;364;261;76;27;0;43;11;14;18;0
1515 Herøy (M. og R.);1515;Herøy (M. og R.);879;568;147;164;0;605;476;64;65;0;274;92;83;99;0
1516 Ulstein;1516;Ulstein;1164;794;161;209;0;742;588;89;65;0;422;206;72;144;0
1517 Hareid;1517;Hareid;685;336;184;165;0;431;265;128;38;0;254;71;56;127;0
1519 Volda;1519;Volda;730;428;126;176;0;300;151;53;96;0;430;277;73;80;0
1520 Ørsta;1520;Ørsta;692;354;171;167;0;373;215;94;64;0;319;139;77;103;0
1523 Ørskog;1523;Ørskog;307;132;90;85;0;220;114;74;32;0;87;18;16;53;0
1524 Norddal;1524;Norddal;143;46;59;38;0;125;41;53;31;0;18;5;6;7;0
1525 Stranda;1525;Stranda;616;354;154;108;0;520;327;128;65;0;96;27;26;43;0
1526 Stordal;1526;Stordal;148;68;65;15;0;129;64;56;9;0;19;4;9;6;0
1528 Sykkylven;1528;Sykkylven;824;369;253;202;0;489;240;173;76;0;335;129;80;126;0
1529 Skodje;1529;Skodje;346;166;84;96;0;264;143;67;54;0;82;23;17;42;0
1531 Sula;1531;Sula;790;463;144;183;0;564;379;98;87;0;226;84;46;96;0
1532 Giske;1532;Giske;699;432;124;143;0;495;331;88;76;0;204;101;36;67;0
1534 Haram;1534;Haram;1158;572;303;283;0;727;411;211;105;0;431;161;92;178;0
1535 Vestnes;1535;Vestnes;663;366;157;140;0;446;253;122;71;0;217;113;35;69;0
1539 Rauma;1539;Rauma;508;231;162;115;0;384;183;128;73;0;124;48;34;42;0
1543 Nesset;1543;Nesset;141;48;45;48;0;98;41;35;22;0;43;7;10;26;0
1545 Midsund;1545;Midsund;233;125;68;40;0;169;104;52;13;0;64;21;16;27;0
1546 Sandøy;1546;Sandøy;166;72;69;25;0;138;65;59;14;0;28;7;10;11;0
1547 Aukra;1547;Aukra;324;172;79;73;0;233;137;59;37;0;91;35;20;36;0
1548 Fræna;1548;Fræna;749;407;168;174;0;531;325;124;82;0;218;82;44;92;0
1551 Eide;1551;Eide;237;145;54;38;0;148;102;32;14;0;89;43;22;24;0
1554 Averøy;1554;Averøy;429;222;119;88;0;316;167;99;50;0;113;55;20;38;0
1557 Gjemnes;1557;Gjemnes;169;74;48;47;0;106;47;40;19;0;63;27;8;28;0
1560 Tingvoll;1560;Tingvoll;237;107;69;61;0;138;51;46;41;0;99;56;23;20;0
1563 Sunndal;1563;Sunndal;569;322;139;108;0;129;46;47;36;0;440;276;92;72;0
1566 Surnadal;1566;Surnadal;234;119;45;70;0;148;84;23;41;0;86;35;22;29;0
1567 Rindal;1567;Rindal;28;20;3;5;0;25;17;3;5;0;3;3;0;0;0
1571 Halsa;1571;Halsa;67;32;15;20;0;46;23;10;13;0;21;9;5;7;0
1573 Smøla;1573;Smøla;170;101;43;26;0;147;95;34;18;0;23;6;9;8;0
1576 Aure;1576;Aure;318;210;63;45;0;205;132;46;27;0;113;78;17;18;0
1601 Trondheim;1601;Trondheim;20046;8909;4215;6922;0;8659;4665;1723;2271;0;11387;4244;2492;4651;0
1612 Hemne;1612;Hemne;224;127;55;42;0;86;42;26;18;0;138;85;29;24;0
1613 Snillfjord;1613;Snillfjord;42;14;17;11;0;35;10;14;11;0;7;4;3;0;0
1617 Hitra;1617;Hitra;754;488;183;83;0;571;371;150;50;0;183;117;33;33;0
1620 Frøya;1620;Frøya;764;473;225;66;0;656;427;187;42;0;108;46;38;24;0
1621 Ørland;1621;Ørland;243;108;80;55;0;148;74;53;21;0;95;34;27;34;0
1622 Agdenes;1622;Agdenes;127;71;19;37;0;82;56;6;20;0;45;15;13;17;0
1624 Rissa;1624;Rissa;497;286;130;81;0;388;221;105;62;0;109;65;25;19;0
1627 Bjugn;1627;Bjugn;232;132;38;62;0;158;97;24;37;0;74;35;14;25;0
1630 Åfjord;1630;Åfjord;95;64;13;18;0;64;47;6;11;0;31;17;7;7;0
1632 Roan;1632;Roan;69;53;7;9;0;59;48;7;4;0;10;5;0;5;0
1633 Osen;1633;Osen;27;18;6;3;0;24;18;3;3;0;3;0;3;0;0
1634 Oppdal;1634;Oppdal;485;254;126;105;0;293;178;71;44;0;192;76;55;61;0
1635 Rennebu;1635;Rennebu;86;44;25;17;0;67;39;17;11;0;19;5;8;6;0
1636 Meldal;1636;Meldal;191;93;65;33;0;148;72;55;21;0;43;21;10;12;0
1638 Orkdal;1638;Orkdal;716;272;208;236;0;288;95;80;113;0;428;177;128;123;0
1640 Røros;1640;Røros;344;142;57;145;0;215;88;43;84;0;129;54;14;61;0
1644 Holtålen;1644;Holtålen;87;44;19;24;0;66;38;15;13;0;21;6;4;11;0
1648 Midtre Gauldal;1648;Midtre Gauldal;715;480;175;60;0;605;423;150;32;0;110;57;25;28;0
1653 Melhus;1653;Melhus;902;433;242;227;0;517;305;134;78;0;385;128;108;149;0
1657 Skaun;1657;Skaun;301;151;72;78;0;176;94;45;37;0;125;57;27;41;0
1662 Klæbu;1662;Klæbu;375;168;110;97;0;259;129;79;51;0;116;39;31;46;0
1663 Malvik;1663;Malvik;964;388;264;312;0;640;283;189;168;0;324;105;75;144;0
1664 Selbu;1664;Selbu;175;75;52;48;0;129;67;31;31;0;46;8;21;17;0
1665 Tydal;1665;Tydal;36;15;9;12;0;29;11;9;9;0;7;4;0;3;0
1702 Steinkjer;1702;Steinkjer;1266;650;297;319;0;548;274;152;122;0;718;376;145;197;0
1703 Namsos;1703;Namsos;872;450;170;252;0;293;116;62;115;0;579;334;108;137;0
1711 Meråker;1711;Meråker;236;141;41;54;0;92;37;18;37;0;144;104;23;17;0
1714 Stjørdal;1714;Stjørdal;1382;627;338;417;0;509;243;95;171;0;873;384;243;246;0
1717 Frosta;1717;Frosta;175;120;21;34;0;141;108;13;20;0;34;12;8;14;0
1718 Leksvik;1718;Leksvik;200;116;42;42;0;97;45;27;25;0;103;71;15;17;0
1719 Levanger;1719;Levanger;1275;632;298;345;0;606;309;133;164;0;669;323;165;181;0
1721 Verdal;1721;Verdal;908;451;250;207;0;474;266;113;95;0;434;185;137;112;0
1724 Verran;1724;Verran;245;150;71;24;0;178;99;67;12;0;67;51;4;12;0
1725 Namdalseid;1725;Namdalseid;65;26;18;21;0;42;22;12;8;0;23;4;6;13;0
1736 Snåsa;1736;Snåsa;74;36;8;30;0;58;24;8;26;0;16;12;0;4;0
1738 Lierne;1738;Lierne;79;30;9;40;0;76;27;9;40;0;3;3;0;0;0
1739 Røyrvik;1739;Røyrvik;34;15;6;13;0;28;15;0;13;0;6;0;6;0;0
1740 Namsskogan;1740;Namsskogan;37;21;4;12;0;28;17;4;7;0;9;4;0;5;0
1742 Grong;1742;Grong;241;172;28;41;0;67;31;16;20;0;174;141;12;21;0
1743 Høylandet;1743;Høylandet;42;25;6;11;0;36;22;6;8;0;6;3;0;3;0
1744 Overhalla;1744;Overhalla;191;125;43;23;0;121;75;30;16;0;70;50;13;7;0
1748 Fosnes;1748;Fosnes;46;22;20;4;0;39;15;20;4;0;7;7;0;0;0
1749 Flatanger;1749;Flatanger;89;64;11;14;0;74;54;11;9;0;15;10;0;5;0
1750 Vikna;1750;Vikna;330;215;75;40;0;194;120;48;26;0;136;95;27;14;0
1751 Nærøy;1751;Nærøy;297;180;62;55;0;155;72;51;32;0;142;108;11;23;0
1755 Leka;1755;Leka;30;13;10;7;0;20;9;7;4;0;10;4;3;3;0
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);295;155;63;77;0;173;81;40;52;0;122;74;23;25;0
1804 Bodø;1804;Bodø;3722;1905;771;1046;0;1635;926;267;442;0;2087;979;504;604;0
1805 Narvik;1805;Narvik;1815;997;369;449;0;856;446;164;246;0;959;551;205;203;0
1811 Bindal;1811;Bindal;42;28;3;11;0;34;23;3;8;0;8;5;0;3;0
1812 Sømna;1812;Sømna;114;58;29;27;0;45;15;12;18;0;69;43;17;9;0
1813 Brønnøy;1813;Brønnøy;483;258;117;108;0;196;102;47;47;0;287;156;70;61;0
1815 Vega;1815;Vega;45;24;8;13;0;26;11;5;10;0;19;13;3;3;0
1816 Vevelstad;1816;Vevelstad;32;15;7;10;0;23;9;7;7;0;9;6;0;3;0
1818 Herøy (Nordl.);1818;Herøy (Nordl.);207;166;21;20;0;153;127;16;10;0;54;39;5;10;0
1820 Alstahaug;1820;Alstahaug;652;404;99;149;0;256;156;36;64;0;396;248;63;85;0
1822 Leirfjord;1822;Leirfjord;187;116;33;38;0;51;27;10;14;0;136;89;23;24;0
1824 Vefsn;1824;Vefsn;690;323;167;200;0;274;128;69;77;0;416;195;98;123;0
1825 Grane;1825;Grane;82;50;12;20;0;61;43;4;14;0;21;7;8;6;0
1826 Hattfjelldal;1826;Hattfjelldal;141;92;20;29;0;48;13;13;22;0;93;79;7;7;0
1827 Dønna;1827;Dønna;72;41;10;21;0;48;32;6;10;0;24;9;4;11;0
1828 Nesna;1828;Nesna;287;200;54;33;0;96;56;23;17;0;191;144;31;16;0
1832 Hemnes;1832;Hemnes;223;98;56;69;0;116;43;37;36;0;107;55;19;33;0
1833 Rana;1833;Rana;1410;729;301;380;0;661;329;111;221;0;749;400;190;159;0
1834 Lurøy;1834;Lurøy;101;69;16;16;0;81;56;13;12;0;20;13;3;4;0
1835 Træna;1835;Træna;89;57;25;7;0;70;50;17;3;0;19;7;8;4;0
1836 Rødøy;1836;Rødøy;63;45;7;11;0;38;27;4;7;0;25;18;3;4;0
1837 Meløy;1837;Meløy;380;229;70;81;0;207;135;33;39;0;173;94;37;42;0
1838 Gildeskål;1838;Gildeskål;198;134;41;23;0;106;66;27;13;0;92;68;14;10;0
1839 Beiarn;1839;Beiarn;42;27;5;10;0;21;14;0;7;0;21;13;5;3;0
1840 Saltdal;1840;Saltdal;315;180;39;96;0;115;48;16;51;0;200;132;23;45;0
1841 Fauske;1841;Fauske;504;231;107;166;0;230;95;35;100;0;274;136;72;66;0
1845 Sørfold;1845;Sørfold;96;66;16;14;0;67;47;12;8;0;29;19;4;6;0
1848 Steigen;1848;Steigen;195;101;47;47;0;123;58;29;36;0;72;43;18;11;0
1849 Hamarøy;1849;Hamarøy;208;122;37;49;0;105;50;23;32;0;103;72;14;17;0
1850 Tysfjord;1850;Tysfjord;127;91;13;23;0;82;60;6;16;0;45;31;7;7;0
1851 Lødingen;1851;Lødingen;286;205;43;38;0;85;46;16;23;0;201;159;27;15;0
1852 Tjeldsund;1852;Tjeldsund;44;25;3;16;0;18;11;0;7;0;26;14;3;9;0
1853 Evenes;1853;Evenes;101;67;7;27;0;51;29;4;18;0;50;38;3;9;0
1854 Ballangen;1854;Ballangen;156;75;35;46;0;62;25;16;21;0;94;50;19;25;0
1856 Røst;1856;Røst;39;25;7;7;0;22;16;3;3;0;17;9;4;4;0
1857 Værøy;1857;Værøy;102;57;35;10;0;88;54;28;6;0;14;3;7;4;0
1859 Flakstad;1859;Flakstad;83;37;18;28;0;64;30;14;20;0;19;7;4;8;0
1860 Vestvågøy;1860;Vestvågøy;825;482;192;151;0;332;174;71;87;0;493;308;121;64;0
1865 Vågan;1865;Vågan;986;574;187;225;0;532;311;90;131;0;454;263;97;94;0
1866 Hadsel;1866;Hadsel;741;398;180;163;0;254;144;36;74;0;487;254;144;89;0
1867 Bø (Nordl.);1867;Bø (Nordl.);177;108;29;40;0;84;55;12;17;0;93;53;17;23;0
1868 Øksnes;1868;Øksnes;420;271;72;77;0;310;226;38;46;0;110;45;34;31;0
1870 Sortland;1870;Sortland;675;381;130;164;0;261;173;35;53;0;414;208;95;111;0
1871 Andøy;1871;Andøy;382;227;56;99;0;183;91;39;53;0;199;136;17;46;0
1874 Moskenes;1874;Moskenes;148;101;36;11;0;137;95;31;11;0;11;6;5;0;0
1902 Tromsø;1902;Tromsø;7479;3688;1592;2199;0;4056;2132;801;1123;0;3423;1556;791;1076;0
1903 Harstad;1901;Harstad;1874;937;462;475;0;684;301;170;213;0;1190;636;292;262;0
1911 Kvæfjord;1911;Kvæfjord;288;158;91;39;0;83;34;27;22;0;205;124;64;17;0
1913 Skånland;1913;Skånland;201;105;51;45;0;114;56;32;26;0;87;49;19;19;0
1917 Ibestad;1917;Ibestad;102;53;16;33;0;61;30;13;18;0;41;23;3;15;0
1919 Gratangen;1919;Gratangen;132;80;23;29;0;101;55;23;23;0;31;25;0;6;0
1920 Lavangen;1920;Lavangen;35;18;8;9;0;24;14;4;6;0;11;4;4;3;0
1922 Bardu;1922;Bardu;259;136;65;58;0;97;37;29;31;0;162;99;36;27;0
1923 Salangen;1923;Salangen;203;146;20;37;0;50;33;3;14;0;153;113;17;23;0
1924 Målselv;1924;Målselv;361;244;43;74;0;186;119;19;48;0;175;125;24;26;0
1925 Sørreisa;1925;Sørreisa;212;95;62;55;0;128;64;37;27;0;84;31;25;28;0
1926 Dyrøy;1926;Dyrøy;42;14;10;18;0;25;7;5;13;0;17;7;5;5;0
1927 Tranøy;1927;Tranøy;120;74;10;36;0;50;20;5;25;0;70;54;5;11;0
1928 Torsken;1928;Torsken;87;58;11;18;0;76;55;8;13;0;11;3;3;5;0
1929 Berg;1929;Berg;130;112;6;12;0;71;61;3;7;0;59;51;3;5;0
1931 Lenvik;1931;Lenvik;811;501;149;161;0;327;190;48;89;0;484;311;101;72;0
1933 Balsfjord;1933;Balsfjord;280;123;66;91;0;206;98;45;63;0;74;25;21;28;0
1936 Karlsøy;1936;Karlsøy;212;111;57;44;0;159;94;43;22;0;53;17;14;22;0
1938 Lyngen;1938;Lyngen;134;61;36;37;0;86;54;9;23;0;48;7;27;14;0
1939 Storfjord;1939;Storfjord;140;65;24;51;0;77;15;16;46;0;63;50;8;5;0
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;124;76;11;37;0;57;29;5;23;0;67;47;6;14;0
1941 Skjervøy;1941;Skjervøy;227;134;55;38;0;158;106;32;20;0;69;28;23;18;0
1942 Nordreisa;1942;Nordreisa;231;154;25;52;0;99;59;10;30;0;132;95;15;22;0
1943 Kvænangen;1943;Kvænangen;50;24;10;16;0;35;18;5;12;0;15;6;5;4;0
2002 Vardø;2002;Vardø;241;119;26;96;0;174;100;14;60;0;67;19;12;36;0
2003 Vadsø;2003;Vadsø;1020;598;199;223;0;202;65;27;110;0;818;533;172;113;0
2004 Hammerfest;2004;Hammerfest;1504;846;354;304;0;769;493;141;135;0;735;353;213;169;0
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;157;56;29;72;0;126;34;25;67;0;31;22;4;5;0
2012 Alta;2012;Alta;1573;833;372;368;0;741;391;169;181;0;832;442;203;187;0
2014 Loppa;2014;Loppa;95;66;15;14;0;69;50;10;9;0;26;16;5;5;0
2015 Hasvik;2015;Hasvik;184;123;24;37;0;155;108;21;26;0;29;15;3;11;0
2017 Kvalsund;2017;Kvalsund;68;38;6;24;0;54;35;3;16;0;14;3;3;8;0
2018 Måsøy;2018;Måsøy;171;92;44;35;0;130;77;34;19;0;41;15;10;16;0
2019 Nordkapp;2019;Nordkapp;355;217;54;84;0;224;150;25;49;0;131;67;29;35;0
2020 Porsanger;2020;Porsanger Porsángu Porsanki;280;131;46;103;0;133;59;18;56;0;147;72;28;47;0
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;147;35;31;81;0;101;20;14;67;0;46;15;17;14;0
2022 Lebesby;2022;Lebesby;138;64;16;58;0;94;48;9;37;0;44;16;7;21;0
2023 Gamvik;2023;Gamvik;226;175;15;36;0;179;143;6;30;0;47;32;9;6;0
2024 Berlevåg;2024;Berlevåg;115;78;10;27;0;93;69;7;17;0;22;9;3;10;0
2025 Deatnu Tana;2025;Deatnu Tana;272;102;36;134;0;183;72;16;95;0;89;30;20;39;0
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;81;37;14;30;0;40;19;9;12;0;41;18;5;18;0
2028 Båtsfjord;2028;Båtsfjord;475;265;63;147;0;351;233;42;76;0;124;32;21;71;0
2030 Sør-Varanger;2030;Sør-Varanger;1305;652;171;482;0;604;360;52;192;0;701;292;119;290;0
