Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2
Todelt verdensregion;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0430 Stor-Elvdal;430;Stor-Elvdal;359;263;47;49;0;130;66;36;28;0;229;197;11;21;0
0432 Rendalen;432;Rendalen;79;44;13;22;0;54;27;9;18;0;25;17;4;4;0
0434 Engerdal;434;Engerdal;109;60;7;42;0;55;12;4;39;0;54;48;3;3;0
0436 Tolga;436;Tolga;167;90;28;49;0;92;57;10;25;0;75;33;18;24;0
0437 Tynset;437;Tynset;486;277;101;108;0;298;184;62;52;0;188;93;39;56;0
0438 Alvdal;438;Alvdal;126;56;30;40;0;62;17;21;24;0;64;39;9;16;0
0439 Folldal;439;Folldal;72;37;16;19;0;43;23;9;11;0;29;14;7;8;0
0441 Os (Hedm.);441;Os (Hedm.);161;74;25;62;0;110;42;25;43;0;51;32;0;19;0
0501 Lillehammer;501;Lillehammer;2456;858;576;1022;0;1096;425;224;447;0;1360;433;352;575;0
0502 Gjøvik;502;Gjøvik;2963;1124;601;1238;0;1158;566;219;373;0;1805;558;382;865;0
0511 Dovre;511;Dovre;211;128;53;30;0;125;71;34;20;0;86;57;19;10;0
0512 Lesja;512;Lesja;125;57;43;25;0;108;52;38;18;0;17;5;5;7;0
0513 Skjåk;513;Skjåk;136;90;20;26;0;82;49;17;16;0;54;41;3;10;0
0514 Lom;514;Lom;103;51;22;30;0;53;16;12;25;0;50;35;10;5;0
0515 Vågå;515;Vågå;149;79;33;37;0;61;24;14;23;0;88;55;19;14;0
0516 Nord-Fron;516;Nord-Fron;308;153;84;71;0;175;95;49;31;0;133;58;35;40;0
0517 Sel;517;Sel;328;210;63;55;0;123;75;27;21;0;205;135;36;34;0
0519 Sør-Fron;519;Sør-Fron;206;99;45;62;0;161;88;37;36;0;45;11;8;26;0
0520 Ringebu;520;Ringebu;386;179;149;58;0;264;109;119;36;0;122;70;30;22;0
0521 Øyer;521;Øyer;522;289;119;114;0;311;190;67;54;0;211;99;52;60;0
0522 Gausdal;522;Gausdal;325;142;92;91;0;218;107;58;53;0;107;35;34;38;0
0528 Østre Toten;528;Østre Toten;1025;507;221;297;0;619;334;149;136;0;406;173;72;161;0
0529 Vestre Toten;529;Vestre Toten;826;379;183;264;0;351;174;70;107;0;475;205;113;157;0
0532 Jevnaker;532;Jevnaker;465;151;127;187;0;290;97;89;104;0;175;54;38;83;0
0533 Lunner;533;Lunner;717;333;137;247;0;336;143;65;128;0;381;190;72;119;0
0534 Gran;534;Gran;1000;517;200;283;0;462;262;94;106;0;538;255;106;177;0
0536 Søndre Land;536;Søndre Land;364;159;88;117;0;184;71;49;64;0;180;88;39;53;0
0538 Nordre Land;538;Nordre Land;346;194;83;69;0;196;108;43;45;0;150;86;40;24;0
0540 Sør-Aurdal;540;Sør-Aurdal;183;88;52;43;0;113;47;35;31;0;70;41;17;12;0
0541 Etnedal;541;Etnedal;163;128;15;20;0;54;29;9;16;0;109;99;6;4;0
0542 Nord-Aurdal;542;Nord-Aurdal;545;252;148;145;0;367;185;105;77;0;178;67;43;68;0
0543 Vestre Slidre;543;Vestre Slidre;147;82;40;25;0;86;35;31;20;0;61;47;9;5;0
0544 Øystre Slidre;544;Øystre Slidre;240;107;56;77;0;179;88;49;42;0;61;19;7;35;0
0545 Vang;545;Vang;211;137;40;34;0;143;83;35;25;0;68;54;5;9;0
0602 Drammen;602;Drammen;13146;4035;2399;6712;0;4671;2378;908;1385;0;8475;1657;1491;5327;0
0604 Kongsberg;604;Kongsberg;3457;1614;754;1089;0;1751;909;336;506;0;1706;705;418;583;0
0605 Ringerike;605;Ringerike;3007;1115;714;1178;0;1537;697;376;464;0;1470;418;338;714;0
0612 Hole;612;Hole;834;378;194;262;0;596;294;141;161;0;238;84;53;101;0
0615 Flå;615;Flå;86;54;14;18;0;73;50;11;12;0;13;4;3;6;0
0616 Nes (Busk.);616;Nes (Busk.);370;196;92;82;0;200;79;76;45;0;170;117;16;37;0
0617 Gol;617;Gol;647;321;165;161;0;383;226;85;72;0;264;95;80;89;0
0618 Hemsedal;618;Hemsedal;420;248;89;83;0;327;174;83;70;0;93;74;6;13;0
0619 Ål;619;Ål;424;189;144;91;0;265;115;92;58;0;159;74;52;33;0
0620 Hol;620;Hol;640;304;161;175;0;502;246;123;133;0;138;58;38;42;0
0621 Sigdal;621;Sigdal;187;100;60;27;0;146;75;56;15;0;41;25;4;12;0
