Kommune nr & navn;kommune_nr;"Kmmune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0540 Sør-Aurdal;540;Sør-Aurdal;90;2;88;1;87;67,7;28,6;69,8;100;69,6;44;2;42;1;41;62,9;33,3;65,6;100;65,1;46;.;46;.;46;73;.;74,2;.;74,2
0541 Etnedal;541;Etnedal;34;.;34;.;34;68;.;68;.;68;20;.;20;.;20;62,5;.;62,5;.;62,5;14;.;14;.;14;77,8;.;77,8;.;77,8
0542 Nord-Aurdal;542;Nord-Aurdal;171;11;160;.;160;69,8;78,6;69,3;.;69,3;81;6;75;.;75;64,3;75;63,6;.;63,6;90;5;85;.;85;75,6;83,3;75,2;.;75,2
0543 Vestre Slidre;543;Vestre Slidre;55;3;52;.;52;61,8;33,3;65;.;65;29;2;27;.;27;55,8;40;57,4;.;57,4;26;1;25;.;25;70,3;25;75,8;.;75,8
0544 Øystre Slidre;544;Øystre Slidre;91;.;91;3;88;64,5;.;65,9;75;65,7;39;.;39;2;37;56,5;.;57,4;66,7;56,9;52;.;52;1;51;72,2;.;74,3;100;73,9
0545 Vang;545;Vang;50;2;48;1;47;68,5;40;70,6;100;70,1;26;.;26;1;25;63,4;.;65;100;64,1;24;2;22;.;22;75;50;78,6;.;78,6
0602 Drammen;602;Drammen;1383;103;1280;143;1137;68,1;49,5;70,2;60,9;71,6;641;36;605;63;542;61,4;36,7;64;50,4;66;742;67;675;80;595;75,2;60,9;77;72,7;77,6
0604 Kongsberg;604;Kongsberg;625;33;592;7;585;71,9;55,9;73,1;63,6;73,2;287;18;269;2;267;66;62,1;66,3;40;66,6;338;15;323;5;318;77,9;50;80;83,3;79,9
0605 Ringerike;605;Ringerike;787;31;756;8;748;68,9;66;69;44,4;69,4;385;12;373;3;370;63,1;54,5;63,4;27,3;64,1;402;19;383;5;378;75,4;76;75,4;71,4;75,4
0612 Hole;612;Hole;171;5;166;.;166;79,5;71,4;79,8;.;80,2;88;3;85;.;85;73,3;75;73,3;.;73,9;83;2;81;.;81;87,4;66,7;88;.;88
0615 Flå;615;Flå;10;1;9;.;9;47,6;100;45;.;45;3;.;3;.;3;23,1;.;23,1;.;23,1;7;1;6;.;6;87,5;100;85,7;.;85,7
0616 Nes;616;Nes;91;7;84;1;83;65,5;63,6;65,6;50;65,9;40;1;39;.;39;58,8;50;59,1;.;60;51;6;45;1;44;71,8;66,7;72,6;100;72,1
0617 Gol;617;Gol;118;6;112;.;112;74,2;40;77,8;.;78,3;56;4;52;.;52;69,1;44,4;72,2;.;73,2;62;2;60;.;60;79,5;33,3;83,3;.;83,3
0618 Hemsedal;618;Hemsedal;49;4;45;.;45;73,1;66,7;73,8;.;73,8;25;4;21;.;21;65,8;66,7;65,6;.;65,6;24;.;24;.;24;82,8;.;82,8;.;82,8
0619 Ål;619;Ål;157;6;151;.;151;77;85,7;76,6;.;76,6;74;6;68;.;68;73,3;85,7;72,3;.;72,3;83;.;83;.;83;80,6;.;80,6;.;80,6
0620 Hol;620;Hol;129;3;126;4;122;70,1;33,3;72;100;71,3;75;3;72;2;70;68,2;42,9;69,9;100;69,3;54;.;54;2;52;73;.;75;100;74,3
0621 Sigdal;621;Sigdal;98;.;98;.;98;71;.;71,5;.;71,5;45;.;45;.;45;63,4;.;64,3;.;64,3;53;.;53;.;53;79,1;.;79,1;.;79,1
0622 Krødsherad;622;Krødsherad;65;.;65;.;65;69,9;.;69,9;.;69,9;29;.;29;.;29;64,4;.;64,4;.;64,4;36;.;36;.;36;75;.;75;.;75
0623 Modum;623;Modum;301;11;290;5;285;66,7;55;67,3;71,4;67,2;137;5;132;2;130;58,5;50;58,9;66,7;58,8;164;6;158;3;155;75,6;60;76,3;75;76,4
0624 Øvre Eiker;624;Øvre Eiker;398;11;387;2;385;64,6;50;65,2;40;65,4;181;4;177;.;177;60,7;44,4;61,2;.;61,5;217;7;210;2;208;68,2;53,8;68,9;50;69,1
0625 Nedre Eiker;625;Nedre Eiker;602;22;580;33;547;64,7;47,8;65,5;60;65,9;274;9;265;16;249;58,8;40,9;59,7;55,2;60;328;13;315;17;298;70,5;54,2;71,4;65,4;71,8
0626 Lier;626;Lier;772;24;748;32;716;76,6;58,5;77,4;72,7;77,6;355;11;344;13;331;68,9;50;69,8;59,1;70,3;417;13;404;19;385;84,6;68,4;85,2;86,4;85,2
0627 Røyken;627;Røyken;534;13;521;9;512;73,2;59,1;73,6;69,2;73,7;256;4;252;6;246;67,4;44,4;67,9;75;67,8;278;9;269;3;266;79,4;69,2;79,8;60;80,1
0628 Hurum;628;Hurum;237;9;228;1;227;69,1;60;69,5;100;69,4;116;2;114;.;114;67,1;40;67,9;.;67,9;121;7;114;1;113;71,2;70;71,3;100;71,1
0631 Flesberg;631;Flesberg;76;.;76;1;75;74,5;.;76;100;75,8;36;.;36;.;36;69,2;.;70,6;.;70,6;40;.;40;1;39;80;.;81,6;100;81,3
0632 Rollag;632;Rollag;37;1;36;1;35;68,5;50;69,2;100;68,6;19;1;18;.;18;65,5;50;66,7;.;66,7;18;.;18;1;17;72;.;72;100;70,8
0633 Nore og Uvdal;633;Nore og Uvdal;72;.;72;1;71;75,8;.;75,8;100;75,5;40;.;40;.;40;74,1;.;74,1;.;74,1;32;.;32;1;31;78;.;78;100;77,5
0701 Horten;701;Horten;695;24;671;10;661;66,1;54,5;66,6;76,9;66,5;336;11;325;6;319;61,5;40,7;62,6;75;62,4;359;13;346;4;342;71,1;76,5;70,9;80;70,8
0702 Holmestrand;702;Holmestrand;240;13;227;4;223;67,4;81,3;66,8;66,7;66,8;107;5;102;2;100;60,1;83,3;59,3;66,7;59,2;133;8;125;2;123;74,7;80;74,4;66,7;74,5
0704 Tønsberg;704;Tønsberg;956;29;927;16;911;70,7;47,5;71,8;59,3;72,1;430;11;419;4;415;64,8;50;65,3;40;65,7;526;18;508;12;496;76,5;46,2;78,3;70,6;78,5
0706 Sandefjord;706;Sandefjord;1096;54;1042;29;1013;67,7;48,6;69,1;61,7;69,3;527;29;498;14;484;62,8;41,4;64,8;51,9;65,2;569;25;544;15;529;72,9;61;73,6;75;73,6
0709 Larvik;709;Larvik;1125;45;1080;24;1056;68,9;50;70;60;70,3;548;20;528;14;514;64,5;43,5;65,8;60,9;65,9;577;25;552;10;542;73,7;56,8;74,7;58,8;75,1
0711 Svelvik;711;Svelvik;183;5;178;2;176;62,7;45,5;63,3;66,7;63,3;83;2;81;1;80;54,2;33,3;55,1;50;55,2;100;3;97;1;96;71,9;60;72,4;100;72,2
0713 Sande;713;Sande;240;7;233;3;230;66,5;58,3;66,8;60;66,9;118;4;114;1;113;62,8;66,7;62,6;100;62,4;122;3;119;2;117;70,5;50;71,3;50;71,8
0714 Hof;714;Hof;80;1;79;2;77;65;25;66,4;100;65,8;45;.;45;.;45;62,5;.;65,2;.;65,2;35;1;34;2;32;68,6;100;68;100;66,7
0716 Re;716;Re;230;10;220;.;220;65,5;76,9;65,1;.;65,1;112;3;109;.;109;59,6;75;59,2;.;59,2;118;7;111;.;111;72,4;77,8;72,1;.;72,1
0719 Andebu;719;Andebu;141;1;140;1;139;66,2;20;67,3;100;67,1;62;1;61;.;61;59;50;59,2;.;59,2;79;.;79;1;78;73,1;.;75,2;100;75
0720 Stokke;720;Stokke;327;14;313;3;310;69,1;53,8;70;100;69,8;168;11;157;1;156;66,4;55;67,4;100;67,2;159;3;156;2;154;72,3;50;72,9;100;72,6
0722 Nøtterøy;722;Nøtterøy;686;20;666;10;656;72,7;44,4;74,1;62,5;74,3;344;9;335;7;328;69,2;34,6;71,1;63,6;71,3;342;11;331;3;328;76,5;57,9;77,3;60;77,5
0723 Tjøme;723;Tjøme;126;1;125;.;125;63,3;14,3;65,1;.;65,1;56;.;56;.;56;53,3;.;54,9;.;54,9;70;1;69;.;69;74,5;25;76,7;.;76,7
0728 Lardal;728;Lardal;66;.;66;.;66;72,5;.;73,3;.;73,3;29;.;29;.;29;67,4;.;69;.;69;37;.;37;.;37;77,1;.;77,1;.;77,1
0805 Porsgrunn;805;Porsgrunn;960;47;913;27;886;69,5;59,5;70,1;64,3;70,3;482;22;460;12;448;65,9;53,7;66,7;60;66,9;478;25;453;15;438;73,5;65,8;74;68,2;74,2
0806 Skien;806;Skien;1419;90;1329;31;1298;69,5;60;70,2;55,4;70,7;659;33;626;19;607;63,4;47,1;64,5;50;65,1;760;57;703;12;691;75,8;71,3;76,2;66,7;76,4
0807 Notodden;807;Notodden;296;9;287;.;287;69,3;64,3;69,5;.;69,5;134;4;130;.;130;61,2;66,7;61;.;61;162;5;157;.;157;77,9;62,5;78,5;.;78,5
0811 Siljan;811;Siljan;92;2;90;1;89;80,7;66,7;81,1;100;80,9;47;2;45;1;44;77;66,7;77,6;100;77,2;45;.;45;.;45;84,9;.;84,9;.;84,9
0814 Bamble;814;Bamble;442;15;427;.;427;65,9;44,1;67;.;67;232;8;224;.;224;63,6;40;64,9;.;64,9;210;7;203;.;203;68,6;50;69,5;.;69,5
0815 Kragerø;815;Kragerø;279;8;271;2;269;67,7;40;69,1;100;69;132;3;129;.;129;60,6;25;62,6;.;62,6;147;5;142;2;140;75,8;62,5;76,3;100;76,1
0817 Drangedal;817;Drangedal;108;1;107;.;107;66,3;25;67,3;.;67,3;46;.;46;.;46;59;.;61,3;.;61,3;62;1;61;.;61;72,9;100;72,6;.;72,6
0819 Nome;819;Nome;188;13;175;1;174;68,1;61,9;68,6;100;68,5;101;6;95;1;94;67,8;50;69,3;100;69,1;87;7;80;.;80;68,5;77,8;67,8;.;67,8
0821 Bø;821;Bø;143;5;138;.;138;73,7;55,6;74,6;.;74,6;71;1;70;.;70;72,4;50;72,9;.;72,9;72;4;68;.;68;75;57,1;76,4;.;76,4
0822 Sauherad;822;Sauherad;119;8;111;.;111;60,7;66,7;60,3;.;60,7;70;5;65;.;65;66;71,4;65,7;.;65,7;49;3;46;.;46;54,4;60;54,1;.;54,8
0826 Tinn;826;Tinn;147;5;142;4;138;68,1;62,5;68,3;57,1;68,7;67;2;65;2;63;63,2;66,7;63,1;100;62,4;80;3;77;2;75;72,7;60;73,3;40;75
0827 Hjartdal;827;Hjartdal;34;1;33;.;33;70,8;50;71,7;.;71,7;15;.;15;.;15;65,2;.;68,2;.;68,2;19;1;18;.;18;76;100;75;.;75
0828 Seljord;828;Seljord;70;2;68;.;68;69,3;50;70,1;.;70,1;31;2;29;.;29;62;66,7;61,7;.;61,7;39;.;39;.;39;76,5;.;78;.;78
0829 Kviteseid;829;Kviteseid;78;2;76;.;76;70,9;66,7;71;.;71;35;1;34;.;34;64,8;100;64,2;.;64,2;43;1;42;.;42;76,8;50;77,8;.;77,8
0830 Nissedal;830;Nissedal;57;.;57;1;56;80,3;.;80,3;100;80;34;.;34;1;33;87,2;.;87,2;100;86,8;23;.;23;.;23;71,9;.;71,9;.;71,9
0831 Fyresdal;831;Fyresdal;50;6;44;.;44;76,9;85,7;75,9;.;75,9;19;2;17;.;17;61,3;66,7;60,7;.;60,7;31;4;27;.;27;91,2;100;90;.;90
0833 Tokke;833;Tokke;68;2;66;.;66;76,4;50;77,6;.;77,6;36;.;36;.;36;73,5;.;76,6;.;76,6;32;2;30;.;30;80;100;78,9;.;78,9
0834 Vinje;834;Vinje;123;5;118;.;118;74,1;62,5;74,7;.;74,7;51;4;47;.;47;68;100;66,2;.;66,2;72;1;71;.;71;79,1;25;81,6;.;81,6
0901 Risør;901;Risør;198;9;189;1;188;67,6;60;68;33,3;68,4;107;4;103;.;103;64,5;50;65,2;.;66;91;5;86;1;85;71,7;71,4;71,7;100;71,4
0904 Grimstad;904;Grimstad;597;14;583;5;578;69,7;46,7;70,5;62,5;70,6;297;6;291;3;288;67,8;60;68;75;67,9;300;8;292;2;290;71,6;40;73,2;50;73,4
0906 Arendal;906;Arendal;1144;51;1093;21;1072;69;56;69,8;70;69,8;551;25;526;11;515;65,4;50;66,4;78,6;66,2;593;26;567;10;557;72,8;63,4;73,3;62,5;73,5
0911 Gjerstad;911;Gjerstad;64;2;62;.;62;57,7;100;56,9;.;56,9;27;1;26;.;26;51,9;100;51;.;51;37;1;36;.;36;62,7;100;62,1;.;62,1
0912 Vegårshei;912;Vegårshei;63;3;60;1;59;81,8;60;83,3;100;83,1;27;1;26;1;25;79,4;100;78,8;100;78,1;36;2;34;.;34;83,7;50;87,2;.;87,2
0914 Tvedestrand;914;Tvedestrand;185;5;180;.;180;68,3;41,7;69,5;.;69,8;84;4;80;.;80;67,7;100;66,7;.;67,2;101;1;100;.;100;68,7;12,5;71,9;.;71,9
0919 Froland;919;Froland;133;5;128;.;128;59,9;50;60,4;.;60,4;61;3;58;.;58;59,8;42,9;61,1;.;61,1;72;2;70;.;70;60;66,7;59,8;.;59,8
0926 Lillesand;926;Lillesand;247;2;245;1;244;68,2;28,6;69;33,3;69,3;118;.;118;.;118;63,8;.;64,8;.;65,2;129;2;127;1;126;72,9;50;73,4;50;73,7
0928 Birkenes;928;Birkenes;145;10;135;2;133;68,7;66,7;68,9;50;69,3;83;5;78;2;76;66,4;55,6;67,2;50;67,9;62;5;57;.;57;72,1;83,3;71,3;.;71,3
0929 Åmli;929;Åmli;40;2;38;.;38;55,6;66,7;55,1;.;55,1;15;.;15;.;15;48,4;.;48,4;.;48,4;25;2;23;.;23;61;66,7;60,5;.;60,5
0935 Iveland;935;Iveland;40;1;39;.;39;62,5;50;62,9;.;62,9;14;.;14;.;14;46,7;.;46,7;.;46,7;26;1;25;.;25;76,5;50;78,1;.;78,1
0937 Evje og Hornnes;937;Evje og Hornnes;96;8;88;1;87;76,8;66,7;77,9;100;77,7;49;4;45;.;45;74,2;50;77,6;.;77,6;47;4;43;1;42;79,7;100;78,2;100;77,8
0938 Bygland;938;Bygland;40;1;39;1;38;78,4;33,3;81,3;100;80,9;25;1;24;.;24;86,2;50;88,9;.;88,9;15;.;15;1;14;68,2;.;71,4;100;70
0940 Valle;940;Valle;39;2;37;.;37;83;50;86;.;86;18;.;18;.;18;78,3;.;81,8;.;81,8;21;2;19;.;19;87,5;66,7;90,5;.;90,5
0941 Bykle;941;Bykle;33;2;31;.;31;82,5;100;81,6;.;81,6;15;.;15;.;15;75;.;75;.;75;18;2;16;.;16;90;100;88,9;.;88,9
1001 Kristiansand;1001;Kristiansand;2396;112;2284;71;2213;73,4;52,6;74,8;62,3;75,3;1176;56;1120;27;1093;70,2;44,8;72,3;50,9;73;1220;56;1164;44;1120;76,7;63,6;77,4;72,1;77,7
1002 Mandal;1002;Mandal;451;15;436;4;432;72,3;57,7;72,9;66,7;73;200;4;196;.;196;66,7;36,4;67,8;.;68,3;251;11;240;4;236;77,5;73,3;77,7;100;77,4
1003 Farsund;1003;Farsund;307;7;300;.;300;76,2;50;77,1;.;77,1;145;5;140;.;140;73,2;50;74,5;.;74,5;162;2;160;.;160;79;50;79,6;.;79,6
1004 Flekkefjord;1004;Flekkefjord;261;11;250;1;249;70,2;55;71;100;70,9;144;6;138;.;138;67,6;75;67,3;.;67,3;117;5;112;1;111;73,6;41,7;76,2;100;76
1014 Vennesla;1014;Vennesla;389;12;377;2;375;68,4;66,7;68,4;28,6;68,9;196;5;191;.;191;65,1;71,4;65;.;66,1;193;7;186;2;184;72;63,6;72,4;100;72,2
1017 Songdalen;1017;Songdalen;199;8;191;2;189;72,6;42,1;74,9;40;75,6;98;5;93;.;93;66,7;38,5;69,4;.;70,5;101;3;98;2;96;79,5;50;81;66,7;81,4
1018 Søgne;1018;Søgne;355;7;348;2;346;72,3;53,8;72,8;33,3;73,3;174;4;170;2;168;72,8;40;74,2;40;75;181;3;178;.;178;71,8;100;71,5;.;71,8
1021 Marnardal;1021;Marnardal;83;5;78;.;78;69,2;83,3;68,4;.;69;47;1;46;.;46;72,3;100;71,9;.;71,9;36;4;32;.;32;65,5;80;64;.;65,3
1026 Åseral;1026;Åseral;25;1;24;.;24;71,4;100;70,6;.;70,6;14;.;14;.;14;66,7;.;66,7;.;66,7;11;1;10;.;10;78,6;100;76,9;.;76,9
1027 Audnedal;1027;Audnedal;54;1;53;.;53;76,1;50;76,8;.;76,8;27;1;26;.;26;75;50;76,5;.;76,5;27;.;27;.;27;77,1;.;77,1;.;77,1
1029 Lindesnes;1029;Lindesnes;125;8;117;1;116;63,1;61,5;63,2;33,3;63,7;60;2;58;.;58;60,6;40;61,7;.;62,4;65;6;59;1;58;65,7;75;64,8;50;65,2
1032 Lyngdal;1032;Lyngdal;235;16;219;1;218;68,9;61,5;69,5;50;69,6;103;4;99;1;98;61,7;40;63,1;50;63,2;132;12;120;.;120;75,9;75;75,9;.;75,9
1034 Hægebostad;1034;Hægebostad;43;2;41;.;41;74,1;66,7;74,5;.;74,5;18;.;18;.;18;62,1;.;62,1;.;62,1;25;2;23;.;23;86,2;66,7;88,5;.;88,5
1037 Kvinesdal;1037;Kvinesdal;193;4;189;1;188;70,4;36,4;71,9;100;71,8;95;.;95;.;95;69,9;.;72;.;72;98;4;94;1;93;71;57,1;71,8;100;71,5
1046 Sirdal;1046;Sirdal;50;.;50;.;50;70,4;.;71,4;.;71,4;24;.;24;.;24;68,6;.;70,6;.;70,6;26;.;26;.;26;72,2;.;72,2;.;72,2
1101 Eigersund;1101;Eigersund;473;8;465;2;463;73,1;53,3;73,6;66,7;73,6;236;1;235;1;234;69,2;20;69,9;100;69,9;237;7;230;1;229;77,5;70;77,7;50;77,9
1102 Sandnes;1102;Sandnes;1832;57;1775;49;1726;71,8;51,8;72,7;60,5;73,1;925;28;897;17;880;67,8;41,2;69,2;38,6;70,3;907;29;878;32;846;76,3;69;76,6;86,5;76,3
1103 Stavanger;1103;Stavanger;3185;104;3081;111;2970;72,7;51,5;73,7;63,8;74,1;1570;52;1518;42;1476;69,2;46,8;70,4;48,8;71,3;1615;52;1563;69;1494;76,4;57,1;77,2;78,4;77,2
1106 Haugesund;1106;Haugesund;892;37;855;7;848;72,9;64,9;73,3;63,6;73,4;443;12;431;5;426;69,2;46,2;70,2;83,3;70,1;449;25;424;2;422;76,9;80,6;76,7;40;77
1111 Sokndal;1111;Sokndal;100;1;99;.;99;69,9;100;69,7;.;69,7;57;1;56;.;56;77;100;76,7;.;76,7;43;.;43;.;43;62,3;.;62,3;.;62,3
1112 Lund;1112;Lund;114;7;107;.;107;80,3;77,8;80,5;.;80,5;58;1;57;.;57;78,4;50;79,2;.;79,2;56;6;50;.;50;82,4;85,7;82;.;82
1114 Bjerkreim;1114;Bjerkreim;113;2;111;1;110;81,9;100;81,6;100;81,5;58;2;56;1;55;82,9;100;82,4;100;82,1;55;.;55;.;55;80,9;.;80,9;.;80,9
1119 Hå;1119;Hå;448;16;432;1;431;68,8;48,5;69,9;33,3;70,1;202;3;199;.;199;61,6;21,4;63,4;.;63,6;246;13;233;1;232;76,2;68,4;76,6;50;76,8
1120 Klepp;1120;Klepp;525;14;511;2;509;68,2;73,7;68;66,7;68;251;8;243;1;242;64,7;72,7;64,5;100;64,4;274;6;268;1;267;71,7;75;71,7;50;71,8
1121 Time;1121;Time;507;16;491;3;488;71,7;59,3;72,2;37,5;72,6;234;6;228;.;228;67,8;66,7;67,9;.;68,5;273;10;263;3;260;75,4;55,6;76,5;60;76,7
1122 Gjesdal;1122;Gjesdal;406;8;398;5;393;71,2;57,1;71,6;83,3;71,5;190;3;187;2;185;65,5;33,3;66,5;100;66,3;216;5;211;3;208;77,1;100;76,7;75;76,8
1124 Sola;1124;Sola;765;20;745;16;729;74,3;51,3;75,2;76,2;75,2;364;11;353;4;349;69,5;55;70;57,1;70,2;401;9;392;12;380;79,2;47,4;80,5;85,7;80,3
1127 Randaberg;1127;Randaberg;327;5;322;2;320;73,3;62,5;73,5;40;73,9;175;2;173;1;172;70,6;50;70,9;33,3;71,4;152;3;149;1;148;76,8;75;76,8;50;77,1
1129 Forsand;1129;Forsand;38;.;38;.;38;67,9;.;67,9;.;67,9;16;.;16;.;16;61,5;.;61,5;.;61,5;22;.;22;.;22;73,3;.;73,3;.;73,3
1130 Strand;1130;Strand;348;8;340;4;336;71,2;61,5;71,4;100;71,2;183;4;179;3;176;70,7;57,1;71;100;70,7;165;4;161;1;160;71,7;66,7;71,9;100;71,7
1133 Hjelmeland;1133;Hjelmeland;99;3;96;.;96;78;50;79,3;.;79,3;45;1;44;.;44;80,4;50;81,5;.;81,5;54;2;52;.;52;76,1;50;77,6;.;77,6
1134 Suldal;1134;Suldal;141;7;134;.;134;81;63,6;82,2;.;82,2;73;2;71;.;71;79,3;40;81,6;.;81,6;68;5;63;.;63;82,9;83,3;82,9;.;82,9
1135 Sauda;1135;Sauda;157;3;154;1;153;74,1;75;74;100;73,9;74;3;71;.;71;69,8;100;68,9;.;68,9;83;.;83;1;82;78,3;.;79;100;78,8
1141 Finnøy;1141;Finnøy;87;.;87;1;86;67,4;.;68;100;67,7;45;.;45;1;44;63,4;.;64,3;100;63,8;42;.;42;.;42;72,4;.;72,4;.;72,4
1142 Rennesøy;1142;Rennesøy;119;2;117;.;117;70,4;66,7;70,5;.;70,5;65;1;64;.;64;64,4;100;64;.;64;54;1;53;.;53;79,4;50;80,3;.;80,3
1144 Kvitsøy;1144;Kvitsøy;15;.;15;.;15;83,3;.;83,3;.;83,3;3;.;3;.;3;60;.;60;.;60;12;.;12;.;12;92,3;.;92,3;.;92,3
1145 Bokn;1145;Bokn;23;.;23;.;23;63,9;.;65,7;.;65,7;16;.;16;.;16;72,7;.;72,7;.;72,7;7;.;7;.;7;50;.;53,8;.;53,8
1146 Tysvær;1146;Tysvær;328;4;324;1;323;74,7;23,5;76,8;100;76,7;174;2;172;1;171;75,3;18,2;78,2;100;78,1;154;2;152;.;152;74;33,3;75,2;.;75,2
1149 Karmøy;1149;Karmøy;1349;33;1316;5;1311;73,1;55,9;73,6;41,7;73,9;657;17;640;2;638;70,2;45,9;71,2;40;71,4;692;16;676;3;673;76;72,7;76,1;42,9;76,4
1151 Utsira;1151;Utsira;8;.;8;.;8;80;.;80;.;80;5;.;5;.;5;83,3;.;83,3;.;83,3;3;.;3;.;3;75;.;75;.;75
1160 Vindafjord;1160;Vindafjord;267;4;263;.;263;74;44,4;74,7;.;74,7;142;1;141;.;141;73,2;25;74,2;.;74,2;125;3;122;.;122;74,9;60;75,3;.;75,3
1201 Bergen;1201;Bergen;6598;178;6420;153;6267;71,4;50,1;72,3;68,6;72,4;3178;93;3085;71;3014;66,6;49,7;67,3;61,7;67,5;3420;85;3335;82;3253;76,5;50,6;77,5;75,9;77,5
1211 Etne;1211;Etne;123;1;122;.;122;73,7;25;74,8;.;75,3;61;1;60;.;60;73,5;33,3;75;.;75;62;.;62;.;62;73,8;.;74,7;.;75,6
1216 Sveio;1216;Sveio;185;1;184;.;184;79,1;25;80;.;80;92;.;92;.;92;76,7;.;76,7;.;76,7;93;1;92;.;92;81,6;25;83,6;.;83,6
1219 Bømlo;1219;Bømlo;401;13;388;2;386;78,3;68,4;78,7;100;78,6;189;7;182;.;182;75,3;77,8;75,2;.;75,2;212;6;206;2;204;81,2;60;82,1;100;81,9
1221 Stord;1221;Stord;569;4;565;2;563;69,9;33,3;70,4;50;70,6;290;1;289;2;287;67,8;14,3;68,6;50;68,8;279;3;276;.;276;72,3;60;72,4;.;72,4
1222 Fitjar;1222;Fitjar;102;.;102;.;102;72,9;.;73,9;.;73,9;47;.;47;.;47;70,1;.;71,2;.;71,2;55;.;55;.;55;75,3;.;76,4;.;76,4
1223 Tysnes;1223;Tysnes;87;1;86;.;86;67,4;100;67,2;.;67,2;40;1;39;.;39;63,5;100;62,9;.;62,9;47;.;47;.;47;71,2;.;71,2;.;71,2
1224 Kvinnherad;1224;Kvinnherad;391;9;382;1;381;67,5;69,2;67,5;33,3;67,7;168;4;164;.;164;59,2;57,1;59,2;.;59,6;223;5;218;1;217;75,6;83,3;75,4;100;75,3
1227 Jondal;1227;Jondal;32;1;31;.;31;69,6;100;68,9;.;68,9;17;1;16;.;16;68;100;66,7;.;66,7;15;.;15;.;15;71,4;.;71,4;.;71,4
1228 Odda;1228;Odda;202;5;197;1;196;75,4;50;76,4;100;76,3;99;4;95;.;95;71,7;66,7;72;.;72;103;1;102;1;101;79,2;25;81;100;80,8
1231 Ullensvang;1231;Ullensvang;104;2;102;.;102;80;50;81;.;81;50;2;48;.;48;74,6;66,7;75;.;75;54;.;54;.;54;85,7;.;87,1;.;87,1
1232 Eidfjord;1232;Eidfjord;42;.;42;.;42;80,8;.;80,8;.;80,8;25;.;25;.;25;80,6;.;80,6;.;80,6;17;.;17;.;17;81;.;81;.;81
1233 Ulvik;1233;Ulvik;43;1;42;.;42;79,6;50;80,8;.;80,8;21;.;21;.;21;80,8;.;84;.;84;22;1;21;.;21;78,6;100;77,8;.;77,8
1234 Granvin;1234;Granvin;40;2;38;.;38;88,9;100;88,4;.;88,4;20;.;20;.;20;80;.;80;.;80;20;2;18;.;18;100;100;100;.;100
1235 Voss;1235;Voss;430;8;422;1;421;74,3;66,7;74,4;100;74,4;211;4;207;1;206;69,4;66,7;69,5;100;69,4;219;4;215;.;215;79,6;66,7;79,9;.;79,9
1238 Kvam;1238;Kvam;299;3;296;1;295;77,9;75;77,9;100;77,8;155;1;154;1;153;76,4;100;76,2;100;76,1;144;2;142;.;142;79,6;66,7;79,8;.;79,8
1241 Fusa;1241;Fusa;118;2;116;.;116;79,2;100;78,9;.;78,9;66;1;65;.;65;75,9;100;75,6;.;75,6;52;1;51;.;51;83,9;100;83,6;.;83,6
1242 Samnanger;1242;Samnanger;69;2;67;.;67;74,2;100;73,6;.;73,6;32;1;31;.;31;74,4;100;73,8;.;73,8;37;1;36;.;36;74;100;73,5;.;73,5
1243 Os;1243;Os;532;8;524;9;515;70,5;61,5;70,6;64,3;70,7;240;2;238;2;236;64,5;40;64,9;33,3;65,4;292;6;286;7;279;76,2;75;76,3;87,5;76
