Kommune nr & navn;kommune_nr;"Kmmune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0216 Nesodden;216;Nesodden;554;14;540;9;531;71,8;50;72,6;64,3;72,7;291;8;283;7;276;69,8;57,1;70,2;63,6;70,4;263;6;257;2;255;74,1;42,9;75,4;66,7;75,4
0217 Oppegård;217;Oppegård;891;22;869;39;830;80,9;68,8;81,2;73,6;81,6;431;15;416;24;392;76,1;71,4;76,3;68,6;76,9;460;7;453;15;438;85,8;63,6;86,3;83,3;86,4
0219 Bærum;219;Bærum;3726;111;3615;115;3500;84,2;60,3;85,3;75,7;85,6;1819;53;1766;47;1719;80,4;54,1;81,6;68,1;82,1;1907;58;1849;68;1781;88,2;67,4;89,1;81,9;89,4
0220 Asker;220;Asker;1846;62;1784;48;1736;79,7;54,4;81;72,7;81,3;905;26;879;26;853;75,7;45,6;77,2;68,4;77,5;941;36;905;22;883;83,9;63,2;85,1;78,6;85,2
0221 Aurskog-Høland;221;Aurskog-Høland;406;13;393;5;388;70,2;72,2;70,2;62,5;70,3;195;5;190;3;187;67,5;71,4;67,4;75;67,3;211;8;203;2;201;73;72,7;73;50;73,4
0226 Sørum;226;Sørum;448;14;434;13;421;73,8;70;73,9;72,2;74;231;11;220;5;215;70,2;73,3;70,1;62,5;70,3;217;3;214;8;206;78,1;60;78,4;80;78,3
0227 Fet;227;Fet;313;4;309;9;300;77,1;40;78;81,8;77,9;147;2;145;3;142;72,4;33,3;73,6;100;73,2;166;2;164;6;158;81,8;50;82,4;75;82,7
0228 Rælingen;228;Rælingen;401;10;391;39;352;68,3;58,8;68,6;67,2;68,8;181;2;179;19;160;63,5;28,6;64,4;63,3;64,5;220;8;212;20;192;72,8;80;72,6;71,4;72,7
0229 Enebakk;229;Enebakk;278;4;274;3;271;67,8;40;68,5;50;68,8;130;2;128;2;126;60,7;28,6;61,8;40;62,4;148;2;146;1;145;75,5;66,7;75,6;100;75,5
0230 Lørenskog;230;Lørenskog;1004;46;958;97;861;76,4;69,7;76,8;75,8;76,9;498;21;477;46;431;71,4;63,6;71,8;71,9;71,8;506;25;481;51;430;82;75,8;82,4;79,7;82,7
0231 Skedsmo;231;Skedsmo;1214;84;1130;91;1039;71,2;59,6;72,3;72,8;72,3;592;46;546;36;510;66;53,5;67,3;62,1;67,7;622;38;584;55;529;77,1;69,1;77,7;82,1;77,2
0233 Nittedal;233;Nittedal;640;15;625;31;594;72,6;75;72,5;75,6;72,4;297;8;289;14;275;66,7;66,7;66,7;60,9;67,1;343;7;336;17;319;78,5;87,5;78,3;94,4;77,6
