kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.alle
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.personer;enhet.personer
1750 Vikna;1750;Vikna;9;100;8;88,9;1;11,11111111;8;1;0
1751 Nærøy;1751;Nærøy;0;100;0;0;0;.;0;0;0
1755 Leka;1755;Leka;1;100;0;0;1;100;0;0;1
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);6;100;0;0;6;100;0;6;0
1804 Bodø;1804;Bodø;7;100;7;100;0;0;7;0;0
1805 Narvik;1805;Narvik;32;100;25;78,1;7;21,875;25;7;0
1811 Bindal;1811;Bindal;0;100;0;0;0;.;0;0;0
1812 Sømna;1812;Sømna;3;100;0;0;3;100;0;3;0
1813 Brønnøy;1813;Brønnøy;72;100;49;68,1;23;31,94444444;45;26;1
1815 Vega;1815;Vega;0;100;0;0;0;.;0;0;0
1816 Vevelstad;1816;Vevelstad;0;100;0;0;0;.;0;0;0
1818 Herøy (Nordl.);1818;Herøy (Nordl.);0;100;0;0;0;.;0;0;0
1820 Alstahaug;1820;Alstahaug;27;100;23;85,2;4;14,81481481;23;4;0
1822 Leirfjord;1822;Leirfjord;0;100;0;0;0;.;0;0;0
1824 Vefsn;1824;Vefsn;37;100;25;67,6;12;32,43243243;25;12;0
1825 Grane;1825;Grane;0;100;0;0;0;.;0;0;0
1826 Hattfjelldal;1826;Hattfjelldal;0;100;0;0;0;.;0;0;0
1827 Dønna;1827;Dønna;3;100;0;0;3;100;0;3;0
1828 Nesna;1828;Nesna;18;100;18;100;0;0;18;0;0
1832 Hemnes;1832;Hemnes;6;100;6;100;0;0;6;0;0
1833 Rana;1833;Rana;48;100;35;72,9;13;27,08333333;40;8;0
1834 Lurøy;1834;Lurøy;5;100;0;0;5;100;0;5;0
1835 Træna;1835;Træna;0;100;0;0;0;.;0;0;0
1836 Rødøy;1836;Rødøy;0;100;0;0;0;.;0;0;0
1837 Meløy;1837;Meløy;13;100;7;53,8;6;46,15384615;6;7;0
1838 Gildeskål;1838;Gildeskål;8;100;8;100;0;0;8;0;0
1839 Beiarn;1839;Beiarn;0;100;0;0;0;.;0;0;0
1840 Saltdal;1840;Saltdal;0;100;0;0;0;.;0;0;0
1841 Fauske;1841;Fauske;12;100;12;100;0;0;12;0;0
1845 Sørfold;1845;Sørfold;0;100;0;0;0;.;0;0;0
1848 Steigen;1848;Steigen;7;100;7;100;0;0;7;0;0
1849 Hamarøy;1849;Hamarøy;0;100;0;0;0;.;0;0;0
1850 Tysfjord;1850;Tysfjord;0;100;0;0;0;.;0;0;0
1851 Lødingen;1851;Lødingen;7;100;7;100;0;0;7;0;0
1852 Tjeldsund;1852;Tjeldsund;1;100;0;0;1;100;0;1;0
1853 Evenes;1853;Evenes;0;100;0;0;0;.;0;0;0
1854 Ballangen;1854;Ballangen;0;100;0;0;0;.;0;0;0
1856 Røst;1856;Røst;0;100;0;0;0;.;0;0;0
1857 Værøy;1857;Værøy;0;100;0;0;0;.;0;0;0
1859 Flakstad;1859;Flakstad;0;100;0;0;0;.;0;0;0
1860 Vestvågøy;1860;Vestvågøy;38;100;38;100;0;0;38;0;0
1865 Vågan;1865;Vågan;51;100;51;100;0;0;48;0;3
1866 Hadsel;1866;Hadsel;23;100;23;100;0;0;23;0;0
1867 Bø (Nordl.);1867;Bø (Nordl.);8;100;8;100;0;0;8;0;0
1868 Øksnes;1868;Øksnes;0;100;0;0;0;.;0;0;0
1870 Sortland;1870;Sortland;26;100;26;100;0;0;26;0;0
1871 Andøy;1871;Andøy;13;100;13;100;0;0;13;0;0
1874 Moskenes;1874;Moskenes;0;100;0;0;0;.;0;0;0
1902 Tromsø;1902;Tromsø;42;100;37;88,1;5;11,9047619;40;2;0
1903 Harstad;1903;Harstad;46;100;45;97,8;1;2,173913043;45;1;0
1911 Kvæfjord;1911;Kvæfjord;1;100;1;100;0;0;0;1;0
1913 Skånland;1913;Skånland;0;100;0;0;0;.;0;0;0
1917 Ibestad;1917;Ibestad;5;100;0;0;5;100;5;0;0
1919 Gratangen;1919;Gratangen;0;100;0;0;0;.;0;0;0
1920 Lavangen;1920;Lavangen;0;100;0;0;0;.;0;0;0
1922 Bardu;1922;Bardu;17;100;17;100;0;0;17;0;0
1923 Salangen;1923;Salangen;20;100;20;100;0;0;20;0;0
1924 Målselv;1924;Målselv;12;100;9;75;3;25;9;3;0
1925 Sørreisa;1925;Sørreisa;0;100;0;0;0;.;0;0;0
1926 Dyrøy;1926;Dyrøy;0;100;0;0;0;.;0;0;0
1927 Tranøy;1927;Tranøy;14;100;14;100;0;0;14;0;0
1928 Torsken;1928;Torsken;0;100;0;0;0;.;0;0;0
1929 Berg;1929;Berg;14;100;14;100;0;0;14;0;0
1931 Lenvik;1931;Lenvik;70;100;68;97,1;2;2,857142857;70;0;0
1933 Balsfjord;1933;Balsfjord;6;100;1;16,7;5;83,33333333;2;4;0
1936 Karlsøy;1936;Karlsøy;2;100;0;0;2;100;2;0;0
1938 Lyngen;1938;Lyngen;10;100;3;30;7;70;4;6;0
1939 Storfjord;1939;Storfjord;8;100;2;25;6;75;2;6;0
1940 Kåfjord;1940;Kåfjord;2;100;0;0;2;100;0;2;0
1941 Skjervøy;1941;Skjervøy;2;100;1;50;1;50;1;1;0
1942 Nordreisa;1942;Nordreisa;9;100;6;66,7;3;33,33333333;6;3;0
1943 Kvænangen;1943;Kvænangen;0;100;0;0;0;.;0;0;0
2002 Vardø;2002;Vardø;2;100;0;0;2;100;0;2;0
2003 Vadsø;2003;Vadsø;28;100;28;100;0;0;28;0;0
2004 Hammerfest;2004;Hammerfest;23;100;23;100;0;0;21;2;0
2011 Kautokeino;2011;Kautokeino;0;100;0;0;0;.;0;0;0
2012 Alta;2012;Alta;100;100;57;57;43;43;54;43;3
2014 Loppa;2014;Loppa;0;100;0;0;0;.;0;0;0
2015 Hasvik;2015;Hasvik;0;100;0;0;0;.;0;0;0
2017 Kvalsund;2017;Kvalsund;0;100;0;0;0;.;0;0;0
2018 Måsøy;2018;Måsøy;0;100;0;0;0;.;0;0;0
2019 Nordkapp;2019;Nordkapp;0;100;0;0;0;.;0;0;0
2020 Porsanger;2020;Porsanger Porsángu Porsanki;8;100;7;87,5;1;12,5;7;1;0
2021 Karasjok;2021;Karasjok;1;100;1;100;0;0;1;0;0
2022 Lebesby;2022;Lebesby;0;100;0;0;0;.;0;0;0
2023 Gamvik;2023;Gamvik;0;100;0;0;0;.;0;0;0
2024 Berlevåg;2024;Berlevåg;0;100;0;0;0;.;0;0;0
2025 Tana;2025;Tana;0;100;0;0;0;.;0;0;0
2027 Nesseby;2027;Nesseby;0;100;0;0;0;.;0;0;0
2028 Båtsfjord;2028;Båtsfjord;0;100;0;0;0;.;0;0;0
2030 Sør-Varanger;2030;Sør-Varanger;10;100;9;90;1;10;9;1;0
99 Uoppgitt kommune;9999;Uoppgitt kommune;;;;;;;;;
