kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.alle
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.personer;enhet.personer
0529 Vestre Toten;529;Vestre Toten;37;100;14;37,8;23;62,16216216;19;17;1
0532 Jevnaker;532;Jevnaker;0;100;0;0;0;.;0;0;0
0533 Lunner;533;Lunner;60;100;56;93,3;4;6,666666667;54;6;0
0534 Gran;534;Gran;0;100;0;0;0;.;0;0;0
0536 Søndre Land;536;Søndre Land;3;100;0;0;3;100;0;3;0
0538 Nordre Land;538;Nordre Land;15;100;11;73,3;4;26,66666667;11;4;0
0540 Sør-Aurdal;540;Sør-Aurdal;6;100;6;100;0;0;6;0;0
0541 Etnedal;541;Etnedal;6;100;4;66,7;2;33,33333333;4;2;0
0542 Nord-Aurdal;542;Nord-Aurdal;10;100;0;0;10;100;0;10;0
0543 Vestre Slidre;543;Vestre Slidre;0;100;0;0;0;.;0;0;0
0544 Øystre Slidre;544;Øystre Slidre;0;100;0;0;0;.;0;0;0
0545 Vang;545;Vang;5;100;0;0;5;100;0;5;0
0602 Drammen;602;Drammen;146;100;129;88,4;17;11,64383562;114;29;3
0604 Kongsberg;604;Kongsberg;22;100;21;95,5;1;4,545454545;22;0;0
0605 Ringerike;605;Ringerike;73;100;54;74;19;26,02739726;71;1;1
0612 Hole;612;Hole;15;100;2;13,3;13;86,66666667;0;15;0
0615 Flå;615;Flå;0;100;0;0;0;.;0;0;0
0616 Nes (Busk.);616;Nes (Busk.);0;100;0;0;0;.;0;0;0
0617 Gol;617;Gol;25;100;22;88;3;12;21;2;2
0618 Hemsedal;618;Hemsedal;0;100;0;0;0;.;0;0;0
0619 Ål;619;Ål;2;100;0;0;2;100;0;2;0
0620 Hol;620;Hol;0;100;0;0;0;.;0;0;0
0621 Sigdal;621;Sigdal;2;100;0;0;2;100;0;2;0
0622 Krødsherad;622;Krødsherad;3;100;0;0;3;100;0;3;0
0623 Modum;623;Modum;55;100;24;43,6;31;56,36363636;26;29;0
0624 Øvre Eiker;624;Øvre Eiker;36;100;25;69,4;11;30,55555556;25;11;0
0625 Nedre Eiker;625;Nedre Eiker;34;100;11;32,4;23;67,64705882;16;18;0
0626 Lier;626;Lier;25;100;11;44;14;56;9;13;3
0627 Røyken;627;Røyken;0;100;0;0;0;.;0;0;0
0628 Hurum;628;Hurum;13;100;13;100;0;0;13;0;0
0631 Flesberg;631;Flesberg;0;100;0;0;0;.;0;0;0
