Næringsreg nr ;naringsregion_nr;"Næringsreg.
navn";botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2
Todelt verdensregion;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
47 Hordaland Vest    ;47;Hordaland Vest    ;4994;2289;1332;1373;0;3007;1554;847;606;0;1987;735;485;767;0
48 HAFS              ;48;HAFS              ;888;541;179;168;0;606;362;136;108;0;282;179;43;60;0
49 Nordfjord         ;49;Nordfjord         ;3117;1716;692;709;0;2147;1232;513;402;0;970;484;179;307;0
50 Sogn              ;50;Sogn              ;2606;1465;512;629;0;1648;914;376;358;0;958;551;136;271;0
51 Sunnfjord         ;51;Sunnfjord         ;2838;1604;539;695;0;1532;954;275;303;0;1306;650;264;392;0
52 Nordmøre          ;52;Nordmøre          ;4916;2643;1175;1098;0;2762;1568;703;491;0;2154;1075;472;607;0
53 Romsdal           ;53;Romsdal           ;5009;2689;1165;1155;0;3150;1795;796;559;0;1859;894;369;596;0
54 Storfjord         ;54;Storfjord         ;2038;969;621;448;0;1483;786;484;213;0;555;183;137;235;0
55 Søre Sunnmøre     ;55;Søre Sunnmøre     ;4728;2849;916;963;0;2939;2036;528;375;0;1789;813;388;588;0
56 Ålesundregionen   ;56;Ålesundregionen   ;8157;4433;1782;1942;0;5245;3251;1139;855;0;2912;1182;643;1087;0
57 Fosen             ;57;Fosen             ;1363;777;316;270;0;937;550;225;162;0;426;227;91;108;0
58 Hitra/Frøya       ;58;Hitra/Frøya       ;1518;961;408;149;0;1227;798;337;92;0;291;163;71;57;0
59 Oppdal/Rennebu    ;59;Oppdal/Rennebu    ;571;298;151;122;0;360;217;88;55;0;211;81;63;67;0
60 Orkdalregionen    ;60;Orkdalregionen    ;1301;577;364;360;0;639;275;181;183;0;662;302;183;177;0
61 Trondheimsregionen;61;Trondheimsregionen;23478;10604;5130;7744;0;10985;5966;2351;2668;0;12493;4638;2779;5076;0
62 Rørosregionen     ;62;Rørosregionen     ;467;201;86;180;0;310;137;67;106;0;157;64;19;74;0
63 Stjørdalsregionen ;63;Stjørdalsregionen ;1793;888;400;505;0;742;388;126;228;0;1051;500;274;277;0
64 Innherred         ;64;Innherred         ;3989;2038;979;972;0;1979;1029;505;445;0;2010;1009;474;527;0
65 Indre Namdal      ;65;Indre Namdal      ;508;297;63;148;0;294;136;44;114;0;214;161;19;34;0
66 Kystgruppen       ;66;Kystgruppen       ;656;408;147;101;0;369;201;106;62;0;287;207;41;39;0
67 Midtre Namdal     ;67;Midtre Namdal     ;1265;687;263;315;0;569;282;135;152;0;696;405;128;163;0
68 Sør-Helgeland     ;68;Sør-Helgeland     ;717;383;166;168;0;324;160;74;90;0;393;223;92;78;0
69 HALD              ;69;HALD              ;1118;727;163;228;0;508;342;68;98;0;610;385;95;130;0
70 Ytre Helgeland    ;70;Ytre Helgeland    ;251;171;47;33;0;188;133;34;21;0;63;38;13;12;0
71 Mosjøregionen     ;71;Mosjøregionen     ;913;465;199;249;0;383;184;86;113;0;530;281;113;136;0
72 Ranaregionen      ;72;Ranaregionen      ;1920;1027;411;482;0;873;428;171;274;0;1047;599;240;208;0
73 Salten            ;73;Salten            ;5661;2995;1134;1532;0;2610;1439;443;728;0;3051;1556;691;804;0
74 Ofoten            ;74;Ofoten            ;2244;1255;428;561;0;1070;571;191;308;0;1174;684;237;253;0
75 Lofoten           ;75;Lofoten           ;2183;1276;475;432;0;1175;680;237;258;0;1008;596;238;174;0
76 Vesterålen        ;76;Vesterålen        ;2681;1590;510;581;0;1177;735;176;266;0;1504;855;334;315;0
77 Sør-Troms         ;77;Sør-Troms         ;2835;1497;671;667;0;1116;523;271;322;0;1719;974;400;345;0
78 Midt-Troms        ;78;Midt-Troms        ;2022;1234;356;432;0;960;553;154;253;0;1062;681;202;179;0
79 Tromsøregionen    ;79;Tromsøregionen    ;7971;3922;1715;2334;0;4421;2324;889;1208;0;3550;1598;826;1126;0
80 Nord-Troms        ;80;Nord-Troms        ;906;514;161;231;0;512;281;77;154;0;394;233;84;77;0
81 Vest-Finnmark     ;81;Vest-Finnmark     ;3950;2215;869;866;0;2142;1304;403;435;0;1808;911;466;431;0
82 Midt-Finnmark     ;82;Midt-Finnmark     ;994;388;158;448;0;637;233;82;322;0;357;155;76;126;0
83 Øst-Finnmark      ;83;Øst-Finnmark      ;3462;1924;497;1041;0;1643;989;157;497;0;1819;935;340;544;0
