kommune_nr-kommunenavn;kommune_nr;kommunenavn;kjonn.alle;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer
0826 Tinn;826;Tinn;22;6;16
0827 Hjartdal;827;Hjartdal;:;:;:
0828 Seljord;828;Seljord;14;8;6
0829 Kviteseid;829;Kviteseid;.;.;.
0830 Nissedal;830;Nissedal;.;.;.
0831 Fyresdal;831;Fyresdal;7;:;:
0833 Tokke;833;Tokke;.;.;.
0834 Vinje;834;Vinje;9;:;5
0901 Risør;901;Risør;33;16;17
0904 Grimstad;904;Grimstad;67;28;39
0906 Arendal;906;Arendal;119;54;65
0911 Gjerstad;911;Gjerstad;26;6;20
0912 Vegårshei;912;Vegårshei;15;:;12
0914 Tvedestrand;914;Tvedestrand;16;9;7
0919 Froland;919;Froland;:;:;:
0926 Lillesand;926;Lillesand;8;5;:
0928 Birkenes;928;Birkenes;11;:;7
0929 Åmli;929;Åmli;:;:;:
0935 Iveland;935;Iveland;9;:;5
0937 Evje og Hornnes;937;Evje og Hornnes;16;5;11
0938 Bygland;938;Bygland;:;:;:
0940 Valle;940;Valle;10;:;8
0941 Bykle;941;Bykle;:;:;:
1001 Kristiansand;1001;Kristiansand;355;147;208
1002 Mandal;1002;Mandal;57;31;26
1003 Farsund;1003;Farsund;18;7;11
1004 Flekkefjord;1004;Flekkefjord;26;8;18
1014 Vennesla;1014;Vennesla;40;22;18
1017 Songdalen;1017;Songdalen;31;15;16
1018 Søgne;1018;Søgne;27;14;13
1021 Marnardal;1021;Marnardal;6;:;:
1026 Åseral;1026;Åseral;:;:;:
1027 Audnedal;1027;Audnedal;14;5;9
1029 Lindesnes;1029;Lindesnes;12;:;8
1032 Lyngdal;1032;Lyngdal;16;:;14
1034 Hægebostad;1034;Hægebostad;6;:;5
1037 Kvinesdal;1037;Kvinesdal;33;18;15
1046 Sirdal;1046;Sirdal;12;6;6
1101 Eigersund;1101;Eigersund;65;31;34
1102 Sandnes;1102;Sandnes;124;62;62
1103 Stavanger;1103;Stavanger;175;83;92
1106 Haugesund;1106;Haugesund;92;54;38
1111 Sokndal;1111;Sokndal;.;.;.
1112 Lund;1112;Lund;10;6;:
1114 Bjerkreim;1114;Bjerkreim;:;:;:
1119 Hå;1119;Hå;27;:;24
1120 Klepp;1120;Klepp;23;12;11
1121 Time;1121;Time;39;22;17
1122 Gjesdal;1122;Gjesdal;34;14;20
1124 Sola;1124;Sola;30;15;15
1127 Randaberg;1127;Randaberg;43;19;24
1129 Forsand;1129;Forsand;.;.;.
1130 Strand;1130;Strand;43;21;22
1133 Hjelmeland;1133;Hjelmeland;15;8;7
1134 Suldal;1134;Suldal;25;11;14
1135 Sauda;1135;Sauda;21;6;15
1141 Finnøy;1141;Finnøy;.;.;.
1142 Rennesøy;1142;Rennesøy;22;9;13
1144 Kvitsøy;1144;Kvitsøy;:;:;:
1145 Bokn;1145;Bokn;.;.;.
1146 Tysvær;1146;Tysvær;29;16;13
1149 Karmøy;1149;Karmøy;84;42;42
1151 Utsira;1151;Utsira;.;.;.
1160 Vindafjord;1160;Vindafjord;26;16;10
1201 Bergen;1201;Bergen;565;226;339
1211 Etne;1211;Etne;16;5;11
1216 Sveio;1216;Sveio;21;13;8
1219 Bømlo;1219;Bømlo;25;16;9
1221 Stord;1221;Stord;7;:;:
1222 Fitjar;1222;Fitjar;.;.;.
1223 Tysnes;1223;Tysnes;:;:;:
1224 Kvinnherad;1224;Kvinnherad;18;9;9
1227 Jondal;1227;Jondal;.;.;.
1228 Odda;1228;Odda;31;8;23
1231 Ullensvang;1231;Ullensvang;21;17;:
1232 Eidfjord;1232;Eidfjord;:;:;:
1233 Ulvik;1233;Ulvik;:;:;:
1234 Granvin;1234;Granvin;.;.;.
1235 Voss;1235;Voss;59;23;36
1238 Kvam;1238;Kvam;6;:;:
1241 Fusa;1241;Fusa;7;:;:
1242 Samnanger;1242;Samnanger;:;:;:
1243 Os (Hord.);1243;Os (Hord.);15;6;9
1244 Austevoll;1244;Austevoll;5;:;:
1245 Sund;1245;Sund;12;:;11
1246 Fjell;1246;Fjell;26;11;15
1247 Askøy;1247;Askøy;34;12;22
1251 Vaksdal;1251;Vaksdal;:;:;:
1252 Modalen;1252;Modalen;.;.;.
1253 Osterøy;1253;Osterøy;5;:;:
1256 Meland;1256;Meland;.;.;.
1259 Øygarden;1259;Øygarden;33;19;14
1260 Radøy;1260;Radøy;.;.;.
1263 Lindås;1263;Lindås;20;8;12
1264 Austrheim;1264;Austrheim;12;5;7
1265 Fedje;1265;Fedje;.;.;.
1266 Masfjorden;1266;Masfjorden;.;.;.
1401 Flora;1401;Flora;72;31;41
1411 Gulen;1411;Gulen;:;:;:
1412 Solund;1412;Solund;.;.;.
1413 Hyllestad;1413;Hyllestad;9;5;:
