fylke;fylke_nr;fylke_navn;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen
07 Vestfold;7;Vestfold;11757;26722;23523;18398;5125;2806;2410;3037;3043;2037;1006;2620;9347;23685;20480;16361;4119;186;18,1;41,2;36,3;28,4;7,9;4,3;21,7;27,3;27,4;18,3;9,1;23,6;17,4;44,1;38,2;30,5;7,7;0,3;6244;15045;9716;7077;2639;1673;1149;1690;1299;820;479;1556;5095;13355;8417;6257;2160;117;19,1;46;29,8;21,7;8,1;5,1;20,2;29,7;22,8;14,4;8,4;27,3;18,9;49,5;31,2;23,2;8;0,4;5513;11677;13807;11321;2486;1133;1261;1347;1744;1217;527;1064;4252;10330;12063;10104;1959;69;17,2;36,3;42,9;35,2;7,7;3,5;23,3;24,9;32,2;22,5;9,7;19,6;15,9;38,7;45,1;37,8;7,3;0,3
08 Telemark;8;Telemark;8844;19712;14340;11432;2908;1582;1734;1663;1878;1250;628;1461;7110;18049;12462;10182;2280;121;19,9;44,3;32,2;25,7;6,5;3,6;25,7;24,7;27,9;18,6;9,3;21,7;18,8;47,8;33;27;6;0,3;4680;11481;5466;4018;1448;895;802;927;778;493;285;815;3878;10554;4688;3525;1163;80;20,8;51;24,2;17,8;6,4;4;24,1;27,9;23,4;14,8;8,6;24,5;20,2;55;24,5;18,4;6,1;0,4;4164;8231;8874;7414;1460;687;932;736;1100;757;343;646;3232;7495;7774;6657;1117;41;19;37,5;40,4;33,8;6,6;3,1;27,3;21,6;32,2;22,2;10;18,9;17,4;40,4;41,9;35,9;6;0,2
09 Aust-Agder;9;Aust-Agder;5564;13222;10465;8121;2344;1147;1086;1188;1355;885;470;1062;4478;12034;9110;7236;1874;85;18,3;43,5;34,4;26,7;7,7;3,8;23,2;25,3;28,9;18,9;10;22,6;17,4;46,8;35,4;28,1;7,3;0,3;2792;7796;4284;3018;1266;671;524;691;568;363;205;615;2268;7105;3716;2655;1061;56;18;50,2;27,5;19,4;8,1;4,3;21,9;28,8;23,6;15,1;8,5;25,6;17,3;54,1;28,3;20,2;8,1;0,4;2772;5426;6181;5103;1078;476;562;497;787;522;265;447;2210;4929;5394;4581;813;29;18,7;36,5;41,7;34,4;7,3;3,2;24,5;21,7;34,4;22,8;11,6;19,5;17,6;39,2;43;36,5;6,5;0,2
10 Vest-Agder;10;Vest-Agder;8061;20892;17293;13380;3913;2013;1863;2231;2432;1536;896;1885;6198;18661;14861;11844;3017;128;16,7;43,3;35,8;27,7;8,1;4,2;22,1;26,5;29;18,3;10,7;22,4;15,6;46,8;37,3;29,7;7,6;0,3;4124;12165;7295;5140;2155;1146;895;1262;1147;674;473;1074;3229;10903;6148;4466;1682;72;16,7;49,2;29,5;20,8;8,7;4,6;20,4;28,8;26,2;15,4;10,8;24,5;15,9;53,6;30,2;21,9;8,3;0,4;3937;8727;9998;8240;1758;867;968;969;1285;862;423;811;2969;7758;8713;7378;1335;56;16,7;37,1;42,5;35;7,5;3,7;24;24;31,9;21,4;10,5;20,1;15,2;39,8;44,6;37,8;6,8;0,3
11 Rogaland;11;Rogaland;20615;52048;51078;35261;15817;8853;4728;6646;10486;5556;4930;8622;15887;45402;40592;29705;10887;231;15,5;39,3;38,5;26,6;11,9;6,7;15,5;21,8;34,4;18,2;16,2;28,3;15,6;44,5;39,8;29,1;10,7;0,2;10644;31011;22268;13647;8621;5490;2391;4167;5240;2639;2601;5341;8253;26844;17028;11008;6020;149;15,3;44,7;32,1;19,7;12,4;7,9;14;24,3;30,6;15,4;15,2;31,2;15,8;51,4;32,6;21,1;11,5;0,3;9971;21037;28810;21614;7196;3363;2337;2479;5246;2917;2329;3281;7634;18558;23564;18697;4867;82;15,8;33,3;45,6;34,2;11,4;5,3;17,5;18,6;39,4;21,9;17,5;24,6;15,3;37,2;47,3;37,5;9,8;0,2
12 Hordaland;12;Hordaland;21007;53506;57918;40184;17734;8086;4152;6237;8674;4727;3947;7809;16855;47269;49244;35457;13787;277;14,9;38,1;41,2;28,6;12,6;5,8;15,5;23,2;32,3;17,6;14,7;29,1;14,8;41,6;43,3;31,2;12,1;0,2;11315;32023;24935;16106;8829;5281;2103;3890;4034;2122;1912;5112;9212;28133;20901;13984;6917;169;15,4;43,5;33,9;21,9;12;7,2;13,9;25,7;26,6;14;12,6;33,8;15,8;48,2;35,7;23,9;11,8;0,3;9692;21483;32983;24078;8905;2805;2049;2347;4640;2605;2035;2697;7643;19136;28343;21473;6870;108;14,5;32,1;49,3;36;13,3;4,2;17,5;20;39,5;22,2;17,3;23;13,8;34,6;51,3;38,9;12,4;0,2
14 Sogn og Fjordane;14;Sogn og Fjordane;3850;12141;9258;7441;1817;1480;612;1100;1175;721;454;1427;3238;11041;8083;6720;1363;53;14,4;45,4;34,6;27,8;6,8;5,5;14,2;25,5;27,2;16,7;10,5;33,1;14,4;49,3;36,1;30;6,1;0,2;2167;7414;3361;2510;851;967;324;678;476;281;195;930;1843;6736;2885;2229;656;37;15,6;53,3;24,1;18;6,1;7;13,5;28,2;19,8;11,7;8,1;38,6;16;58,6;25,1;19,4;5,7;0,3;1683;4727;5897;4931;966;513;288;422;699;440;259;497;1395;4305;5198;4491;707;16;13,1;36,9;46;38,5;7,5;4;15,1;22,1;36,7;23,1;13,6;26,1;12,8;39,4;47,6;41,1;6,5;0,1
15 Møre og Romsdal;15;Møre og Romsdal;11325;29156;23401;18680;4721;3898;1902;3159;3199;1975;1224;3726;9423;25997;20202;16705;3497;172;16,7;43;34,6;27,6;7;5,8;15,9;26,4;26,7;16,5;10,2;31,1;16,9;46,6;36,2;29,9;6,3;0,3;6486;17476;9128;6732;2396;2566;952;1951;1292;751;541;2456;5534;15525;7836;5981;1855;110;18,2;49;25,6;18,9;6,7;7,2;14,3;29,3;19,4;11,3;8,1;36,9;19,1;53,5;27;20,6;6,4;0,4;4839;11680;14273;11948;2325;1332;950;1208;1907;1224;683;1270;3889;10472;12366;10724;1642;62;15,1;36,4;44,4;37,2;7,2;4,1;17,8;22,6;35,7;22,9;12,8;23,8;14,5;39,1;46,1;40;6,1;0,2
16 Sør-Trøndelag;16;Sør-Trøndelag;12044;31725;36878;24302;12576;3938;2056;2727;4584;2119;2465;3783;9988;28998;32294;22183;10111;155;14,2;37,5;43,6;28,7;14,9;4,7;15,6;20,7;34,8;16,1;18,7;28,8;14;40,6;45,3;31,1;14,2;0,2;6683;18282;16459;9685;6774;2543;992;1576;2256;944;1312;2449;5691;16706;14203;8741;5462;94;15,2;41,6;37,4;22;15,4;5,8;13,6;21,7;31;13;18;33,7;15,5;45,5;38,7;23,8;14,9;0,3;5361;13443;20419;14617;5802;1395;1064;1151;2328;1175;1153;1334;4297;12292;18091;13442;4649;61;13,2;33,1;50,3;36;14,3;3,4;18,1;19,6;39,6;20;19,6;22,7;12,4;35,4;52,1;38,7;13,4;0,2
17 Nord-Trøndelag;17;Nord-Trøndelag;5192;15435;11753;9602;2151;1149;750;897;973;612;361;1091;4442;14538;10780;8990;1790;58;15,5;46;35;28,6;6,4;3,4;20,2;24,2;26,2;16,5;9,7;29,4;14,9;48,8;36,1;30,1;6;0,2;2958;9168;4302;3246;1056;690;375;544;419;258;161;650;2583;8624;3883;2988;895;40;17,3;53,6;25,2;19;6,2;4;18,9;27,4;21,1;13;8,1;32,7;17,1;57;25,6;19,7;5,9;0,3;2234;6267;7451;6356;1095;459;375;353;554;354;200;441;1859;5914;6897;6002;895;18;13,6;38,2;45,4;38,7;6,7;2,8;21,8;20,5;32,1;20,5;11,6;25,6;12,7;40,3;47;40,9;6,1;0,1
