naringsgregion_nr-naringsregionnavn;naringsgregion_nr;naringsgregionnavn;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.rett_og_plikt
;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
63 Stjørdalsregionen;63;Stjørdalsregionen;63;:;:;57;41;22;:;:;:;:;36;21
64 Innherred;64;Innherred;165;9;6;150;85;80;:;6;:;:;79;71
65 Indre Namdal;65;Indre Namdal;44;8;:;36;12;32;:;8;:;:;12;24
66 Kystgruppen;66;Kystgruppen;44;:;:;40;25;19;:;:;:;:;24;16
67 Midtre Namdal;67;Midtre Namdal;64;:;:;60;32;32;:;:;:;:;29;31
68 Sør-Helgeland;68;Sør-Helgeland;33;:;:;31;21;12;:;:;:;:;21;10
69 HALD;69;HALD;62;8;:;54;29;33;:;5;:;:;26;28
70 Ytre Helgeland;70;Ytre Helgeland;7;:;:;:;6;:;:;:;:;:;:;:
71 Mosjøregionen;71;Mosjøregionen;69;:;:;66;16;53;:;:;:;:;15;51
72 Ranaregionen;72;Ranaregionen;93;16;:;77;37;56;8;8;:;:;29;48
73 Salten;73;Salten;261;29;6;226;129;132;14;15;:;:;111;115
74 Ofoten;74;Ofoten;105;7;:;96;54;51;5;:;:;:;48;48
75 Lofoten;75;Lofoten;93;9;:;82;32;61;6;:;:;:;25;57
76 Vesterålen;76;Vesterålen;107;:;:;104;48;59;:;:;:;:;46;58
77 Sør-Troms;77;Sør-Troms;156;15;:;139;74;82;6;9;:;:;67;72
78 Midt-Troms;78;Midt-Troms;150;:;:;145;82;68;:;:;:;:;81;64
79 Tromsøregionen;79;Tromsøregionen;258;70;:;184;120;138;33;37;:;:;84;100
80 Nord-Troms;80;Nord-Troms;35;:;:;34;11;24;:;:;:;:;11;23
81 Vest-Finnmark;81;Vest-Finnmark;127;15;:;111;59;68;7;8;:;:;51;60
82 Midt-Finnmark;82;Midt-Finnmark;35;:;:;32;16;19;:;:;:;:;15;17
83 Øst-Finnmark;83;Øst-Finnmark;143;33;7;103;69;74;13;20;7;:;49;54
99 Uoppgitt naringsregion;99;Uoppgitt naringsregion;;;;;;;;;;;;
