Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0228 Rælingen;228;Rælingen;1909;132;1597;180;100;6,9;83,7;9,4;1030;80;853;97;100;7,8;82,8;9,4;879;52;744;83;100;5,9;84,6;9,4
0229 Enebakk;229;Enebakk;1349;49;1248;52;100;3,6;92,5;3,9;710;21;665;24;100;3;93,7;3,4;639;28;583;28;100;4,4;91,2;4,4
0230 Lørenskog;230;Lørenskog;4416;371;3475;570;100;8,4;78,7;12,9;2297;198;1806;293;100;8,6;78,6;12,8;2119;173;1669;277;100;8,2;78,8;13,1
0231 Skedsmo;231;Skedsmo;6228;651;4908;669;100;10,5;78,8;10,7;3208;348;2529;331;100;10,8;78,8;10,3;3020;303;2379;338;100;10;78,8;11,2
0233 Nittedal;233;Nittedal;3011;87;2771;153;100;2,9;92;5,1;1583;50;1452;81;100;3,2;91,7;5,1;1428;37;1319;72;100;2,6;92,4;5
0234 Gjerdrum;234;Gjerdrum;905;48;853;4;100;5,3;94,3;0,4;454;25;425;4;100;5,5;93,6;0,9;451;23;428;.;100;5,1;94,9;.
0235 Ullensaker;235;Ullensaker;3523;306;2980;237;100;8,7;84,6;6,7;1835;147;1566;122;100;8;85,3;6,6;1688;159;1414;115;100;9,4;83,8;6,8
0236 Nes (Akershus);236;Nes (Ak.);2622;155;2444;23;100;5,9;93,2;0,9;1374;89;1273;12;100;6,5;92,6;0,9;1248;66;1171;11;100;5,3;93,8;0,9
0237 Eidsvoll;237;Eidsvoll;2621;168;2355;98;100;6,4;89,9;3,7;1380;88;1243;49;100;6,4;90,1;3,6;1241;80;1112;49;100;6,4;89,6;3,9
0238 Nannestad;238;Nannestad;1511;117;1342;52;100;7,7;88,8;3,4;850;66;756;28;100;7,8;88,9;3,3;661;51;586;24;100;7,7;88,7;3,6
