Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0723 Tjøme;723;Tjøme;644;34;605;5;100;5,3;93,9;0,8;324;17;304;3;100;5,2;93,8;0,9;320;17;301;2;100;5,3;94,1;0,6
0728 Lardal;728;Lardal;294;5;283;6;100;1,7;96,3;2;176;3;168;5;100;1,7;95,5;2,8;118;2;115;1;100;1,7;97,5;0,8
0805 Porsgrunn;805;Porsgrunn;4326;231;3936;159;100;5,3;91;3,7;2210;132;2007;71;100;6;90,8;3,2;2116;99;1929;88;100;4,7;91,2;4,2
0806 Skien;806;Skien;6920;678;5942;300;100;9,8;85,9;4,3;3585;364;3041;180;100;10,2;84,8;5;3335;314;2901;120;100;9,4;87;3,6
0807 Notodden;807;Notodden;1491;81;1401;9;100;5,4;94;0,6;839;50;784;5;100;6;93,4;0,6;652;31;617;4;100;4,8;94,6;0,6
0811 Siljan;811;Siljan;343;7;336;.;100;2;98;.;184;3;181;.;100;1,6;98,4;.;159;4;155;.;100;2,5;97,5;.
0814 Bamble;814;Bamble;1984;98;1879;7;100;4,9;94,7;0,4;1026;50;969;7;100;4,9;94,4;0,7;958;48;910;.;100;5;95;.
0815 Kragerø;815;Kragerø;1382;79;1284;19;100;5,7;92,9;1,4;735;43;680;12;100;5,9;92,5;1,6;647;36;604;7;100;5,6;93,4;1,1
0817 Drangedal;817;Drangedal;520;31;489;.;100;6;94;.;276;17;259;.;100;6,2;93,8;.;244;14;230;.;100;5,7;94,3;.
0819 Nome;819;Nome;875;74;793;8;100;8,5;90,6;0,9;436;35;398;3;100;8;91,3;0,7;439;39;395;5;100;8,9;90;1,1
0821 Bø (Telemark);821;Bø (Telem.);693;64;616;13;100;9,2;88,9;1,9;378;40;333;5;100;10,6;88,1;1,3;315;24;283;8;100;7,6;89,8;2,5
0822 Sauherad;822;Sauherad;571;55;507;9;100;9,6;88,8;1,6;305;31;269;5;100;10,2;88,2;1,6;266;24;238;4;100;9;89,5;1,5
0826 Tinn;826;Tinn;717;46;650;21;100;6,4;90,7;2,9;361;24;324;13;100;6,6;89,8;3,6;356;22;326;8;100;6,2;91,6;2,2
0827 Hjartdal;827;Hjartdal;229;2;227;.;100;0,9;99,1;.;112;1;111;.;100;0,9;99,1;.;117;1;116;.;100;0,9;99,1;.
0828 Seljord;828;Seljord;318;19;299;.;100;6;94;.;182;11;171;.;100;6;94;.;136;8;128;.;100;5,9;94,1;.
0829 Kviteseid;829;Kviteseid;285;5;280;.;100;1,8;98,2;.;155;.;155;.;100;.;100;.;130;5;125;.;100;3,8;96,2;.
0830 Nissedal;830;Nissedal;183;16;165;2;100;8,7;90,2;1,1;124;10;114;.;100;8,1;91,9;.;59;6;51;2;100;10,2;86,4;3,4
0831 Fyresdal;831;Fyresdal;205;14;191;.;100;6,8;93,2;.;113;5;108;.;100;4,4;95,6;.;92;9;83;.;100;9,8;90,2;.
0833 Tokke;833;Tokke;304;12;291;1;100;3,9;95,7;0,3;160;5;155;.;100;3,1;96,9;.;144;7;136;1;100;4,9;94,4;0,7
0834 Vinje;834;Vinje;556;26;522;8;100;4,7;93,9;1,4;287;18;265;4;100;6,3;92,3;1,4;269;8;257;4;100;3;95,5;1,5
0901 Risør;901;Risør;863;47;809;7;100;5,4;93,7;0,8;430;22;407;1;100;5,1;94,7;0,2;433;25;402;6;100;5,8;92,8;1,4
0904 Grimstad;904;Grimstad;3023;216;2767;40;100;7,1;91,5;1,3;1577;122;1436;19;100;7,7;91,1;1,2;1446;94;1331;21;100;6,5;92;1,5
0906 Arendal;906;Arendal;5381;321;4910;150;100;6;91,2;2,8;2832;157;2581;94;100;5,5;91,1;3,3;2549;164;2329;56;100;6,4;91,4;2,2
0911 Gjerstad;911;Gjerstad;353;19;327;7;100;5,4;92,6;2;188;14;172;2;100;7,4;91,5;1,1;165;5;155;5;100;3;93,9;3
0912 Vegårshei;912;Vegårshei;281;17;264;.;100;6;94;.;159;4;155;.;100;2,5;97,5;.;122;13;109;.;100;10,7;89,3;.
0914 Tvedestrand;914;Tvedestrand;741;51;678;12;100;6,9;91,5;1,6;348;28;317;3;100;8;91,1;0,9;393;23;361;9;100;5,9;91,9;2,3
0919 Froland;919;Froland;707;39;665;3;100;5,5;94,1;0,4;385;26;356;3;100;6,8;92,5;0,8;322;13;309;.;100;4;96;.
0926 Lillesand;926;Lillesand;1276;50;1185;41;100;3,9;92,9;3,2;692;29;650;13;100;4,2;93,9;1,9;584;21;535;28;100;3,6;91,6;4,8
0928 Birkenes;928;Birkenes;733;54;672;7;100;7,4;91,7;1;362;27;332;3;100;7,5;91,7;0,8;371;27;340;4;100;7,3;91,6;1,1
0929 Åmli;929;Åmli;249;26;223;.;100;10,4;89,6;.;143;19;124;.;100;13,3;86,7;.;106;7;99;.;100;6,6;93,4;.
0935 Iveland;935;Iveland;201;17;184;.;100;8,5;91,5;.;91;7;84;.;100;7,7;92,3;.;110;10;100;.;100;9,1;90,9;.
0937 Evje og Hornnes;937;Evje og Hornnes;476;55;413;8;100;11,6;86,8;1,7;245;26;217;2;100;10,6;88,6;0,8;231;29;196;6;100;12,6;84,8;2,6
0938 Bygland;938;Bygland;145;4;136;5;100;2,8;93,8;3,4;62;.;60;2;100;.;96,8;3,2;83;4;76;3;100;4,8;91,6;3,6
0940 Valle;940;Valle;198;26;172;.;100;13,1;86,9;.;104;6;98;.;100;5,8;94,2;.;94;20;74;.;100;21,3;78,7;.
0941 Bykle;941;Bykle;122;14;108;.;100;11,5;88,5;.;59;3;56;.;100;5,1;94,9;.;63;11;52;.;100;17,5;82,5;.
1001 Kristiansand;1001;Kristiansand;11118;813;9731;574;100;7,3;87,5;5,2;5748;438;5023;287;100;7,6;87,4;5;5370;375;4708;287;100;7;87,7;5,3
1002 Mandal;1002;Mandal;2017;69;1930;18;100;3,4;95,7;0,9;1081;41;1029;11;100;3,8;95,2;1;936;28;901;7;100;3;96,3;0,7
1003 Farsund;1003;Farsund;1371;39;1324;8;100;2,8;96,6;0,6;709;23;682;4;100;3,2;96,2;0,6;662;16;642;4;100;2,4;97;0,6
1004 Flekkefjord;1004;Flekkefjord;1242;82;1129;31;100;6,6;90,9;2,5;646;32;595;19;100;5;92,1;2,9;596;50;534;12;100;8,4;89,6;2
1014 Vennesla;1014;Vennesla;1965;111;1834;20;100;5,6;93,3;1;1030;59;965;6;100;5,7;93,7;0,6;935;52;869;14;100;5,6;92,9;1,5
1017 Songdalen;1017;Songdalen;961;79;862;20;100;8,2;89,7;2,1;515;36;463;16;100;7;89,9;3,1;446;43;399;4;100;9,6;89,5;0,9
1018 Søgne;1018;Søgne;1618;88;1517;13;100;5,4;93,8;0,8;882;58;820;4;100;6,6;93;0,5;736;30;697;9;100;4,1;94,7;1,2
1021 Marnardal;1021;Marnardal;361;14;345;2;100;3,9;95,6;0,6;189;9;180;.;100;4,8;95,2;.;172;5;165;2;100;2,9;95,9;1,2
1026 Åseral;1026;Åseral;162;9;153;.;100;5,6;94,4;.;85;4;81;.;100;4,7;95,3;.;77;5;72;.;100;6,5;93,5;.
1027 Audnedal;1027;Audnedal;255;11;244;.;100;4,3;95,7;.;115;5;110;.;100;4,3;95,7;.;140;6;134;.;100;4,3;95,7;.
1029 Lindesnes;1029;Lindesnes;659;38;615;6;100;5,8;93,3;0,9;342;18;321;3;100;5,3;93,9;0,9;317;20;294;3;100;6,3;92,7;0,9
1032 Lyngdal;1032;Lyngdal;1128;71;1032;25;100;6,3;91,5;2,2;625;27;583;15;100;4,3;93,3;2,4;503;44;449;10;100;8,7;89,3;2
1034 Hægebostad;1034;Hægebostad;252;8;241;3;100;3,2;95,6;1,2;147;6;138;3;100;4,1;93,9;2;105;2;103;.;100;1,9;98,1;.
1037 Kvinesdal;1037;Kvinesdal;859;75;783;1;100;8,7;91,2;0,1;472;44;427;1;100;9,3;90,5;0,2;387;31;356;.;100;8;92;.
1046 Sirdal;1046;Sirdal;253;15;238;.;100;5,9;94,1;.;130;7;123;.;100;5,4;94,6;.;123;8;115;.;100;6,5;93,5;.
1101 Eigersund;1101;Eigersund;2131;107;2001;23;100;5;93,9;1,1;1166;51;1097;18;100;4,4;94,1;1,5;965;56;904;5;100;5,8;93,7;0,5
1102 Sandnes;1102;Sandnes;8882;641;7869;372;100;7,2;88,6;4,2;4586;330;4063;193;100;7,2;88,6;4,2;4296;311;3806;179;100;7,2;88,6;4,2
1103 Stavanger;1103;Stavanger;14913;874;13278;761;100;5,9;89;5,1;7765;457;6911;397;100;5,9;89;5,1;7148;417;6367;364;100;5,8;89,1;5,1
1106 Haugesund;1106;Haugesund;4388;286;3980;122;100;6,5;90,7;2,8;2301;141;2098;62;100;6,1;91,2;2,7;2087;145;1882;60;100;6,9;90,2;2,9
1111 Sokndal;1111;Sokndal;467;9;458;.;100;1,9;98,1;.;260;1;259;.;100;0,4;99,6;.;207;8;199;.;100;3,9;96,1;.
1112 Lund;1112;Lund;498;37;461;.;100;7,4;92,6;.;269;17;252;.;100;6,3;93,7;.;229;20;209;.;100;8,7;91,3;.
1114 Bjerkreim;1114;Bjerkreim;374;9;358;7;100;2,4;95,7;1,9;195;7;181;7;100;3,6;92,8;3,6;179;2;177;.;100;1,1;98,9;.
1119 Hå;1119;Hå;2519;134;2369;16;100;5,3;94;0,6;1270;80;1180;10;100;6,3;92,9;0,8;1249;54;1189;6;100;4,3;95,2;0,5
1120 Klepp;1120;Klepp;2711;139;2529;43;100;5,1;93,3;1,6;1390;61;1307;22;100;4,4;94;1,6;1321;78;1222;21;100;5,9;92,5;1,6
1121 Time;1121;Time;2269;103;2122;44;100;4,5;93,5;1,9;1245;51;1167;27;100;4,1;93,7;2,2;1024;52;955;17;100;5,1;93,3;1,7
1122 Gjesdal;1122;Gjesdal;1714;71;1625;18;100;4,1;94,8;1,1;949;41;902;6;100;4,3;95;0,6;765;30;723;12;100;3,9;94,5;1,6
1124 Sola;1124;Sola;3237;185;2968;84;100;5,7;91,7;2,6;1723;96;1577;50;100;5,6;91,5;2,9;1514;89;1391;34;100;5,9;91,9;2,2
1127 Randaberg;1127;Randaberg;1644;69;1557;18;100;4,2;94,7;1,1;890;36;842;12;100;4;94,6;1,3;754;33;715;6;100;4,4;94,8;0,8
1129 Forsand;1129;Forsand;183;10;173;.;100;5,5;94,5;.;101;3;98;.;100;3;97;.;82;7;75;.;100;8,5;91,5;.
1130 Strand;1130;Strand;1685;104;1561;20;100;6,2;92,6;1,2;923;53;860;10;100;5,7;93,2;1,1;762;51;701;10;100;6,7;92;1,3
1133 Hjelmeland;1133;Hjelmeland;336;28;308;.;100;8,3;91,7;.;189;10;179;.;100;5,3;94,7;.;147;18;129;.;100;12,2;87,8;.
1134 Suldal;1134;Suldal;553;32;519;2;100;5,8;93,9;0,4;286;17;267;2;100;5,9;93,4;0,7;267;15;252;.;100;5,6;94,4;.
1135 Sauda;1135;Sauda;717;18;698;1;100;2,5;97,4;0,1;378;9;369;.;100;2,4;97,6;.;339;9;329;1;100;2,7;97,1;0,3
1141 Finnøy;1141;Finnøy;433;4;424;5;100;0,9;97,9;1,2;232;2;227;3;100;0,9;97,8;1,3;201;2;197;2;100;1;98;1
1142 Rennesøy;1142;Rennesøy;626;24;602;.;100;3,8;96,2;.;343;12;331;.;100;3,5;96,5;.;283;12;271;.;100;4,2;95,8;.
1144 Kvitsøy;1144;Kvitsøy;83;3;80;.;100;3,6;96,4;.;45;2;43;.;100;4,4;95,6;.;38;1;37;.;100;2,6;97,4;.
1145 Bokn;1145;Bokn;134;5;129;.;100;3,7;96,3;.;75;3;72;.;100;4;96;.;59;2;57;.;100;3,4;96,6;.
1146 Tysvær;1146;Tysvær;1579;52;1525;2;100;3,3;96,6;0,1;759;29;730;.;100;3,8;96,2;.;820;23;795;2;100;2,8;97;0,2
1149 Karmøy;1149;Karmøy;5916;245;5606;65;100;4,1;94,8;1,1;3172;113;3017;42;100;3,6;95,1;1,3;2744;132;2589;23;100;4,8;94,4;0,8
1151 Utsira;1151;Utsira;25;.;25;.;100;.;100;.;15;.;15;.;100;.;100;.;10;.;10;.;100;.;100;.
1160 Vindafjord;1160;Vindafjord;1263;60;1202;1;100;4,8;95,2;0,1;679;30;649;.;100;4,4;95,6;.;584;30;553;1;100;5,1;94,7;0,2
1201 Bergen;1201;Bergen;31099;1996;28063;1040;100;6,4;90,2;3,3;16135;1057;14589;489;100;6,6;90,4;3;14964;939;13474;551;100;6,3;90;3,7
1211 Etne;1211;Etne;506;22;484;.;100;4,3;95,7;.;253;12;241;.;100;4,7;95,3;.;253;10;243;.;100;4;96;.
1216 Sveio;1216;Sveio;683;15;666;2;100;2,2;97,5;0,3;358;5;353;.;100;1,4;98,6;.;325;10;313;2;100;3,1;96,3;0,6
1219 Bømlo;1219;Bømlo;1839;89;1743;7;100;4,8;94,8;0,4;1035;51;981;3;100;4,9;94,8;0,3;804;38;762;4;100;4,7;94,8;0,5
1221 Stord;1221;Stord;2798;102;2656;40;100;3,6;94,9;1,4;1499;50;1428;21;100;3,3;95,3;1,4;1299;52;1228;19;100;4;94,5;1,5
1222 Fitjar;1222;Fitjar;444;6;438;.;100;1,4;98,6;.;224;1;223;.;100;0,4;99,6;.;220;5;215;.;100;2,3;97,7;.
1223 Tysnes;1223;Tysnes;391;14;377;.;100;3,6;96,4;.;230;7;223;.;100;3;97;.;161;7;154;.;100;4,3;95,7;.
1224 Kvinnherad;1224;Kvinnherad;1916;73;1833;10;100;3,8;95,7;0,5;1005;31;968;6;100;3,1;96,3;0,6;911;42;865;4;100;4,6;95;0,4
1227 Jondal;1227;Jondal;160;6;154;.;100;3,8;96,3;.;83;2;81;.;100;2,4;97,6;.;77;4;73;.;100;5,2;94,8;.
1228 Odda;1228;Odda;887;32;853;2;100;3,6;96,2;0,2;422;22;399;1;100;5,2;94,5;0,2;465;10;454;1;100;2,2;97,6;0,2
1231 Ullensvang;1231;Ullensvang;487;46;439;2;100;9,4;90,1;0,4;243;25;216;2;100;10,3;88,9;0,8;244;21;223;.;100;8,6;91,4;.
1232 Eidfjord;1232;Eidfjord;112;2;110;.;100;1,8;98,2;.;62;2;60;.;100;3,2;96,8;.;50;.;50;.;100;.;100;.
1233 Ulvik;1233;Ulvik;164;16;148;.;100;9,8;90,2;.;92;7;85;.;100;7,6;92,4;.;72;9;63;.;100;12,5;87,5;.
1234 Granvin;1234;Granvin;139;10;129;.;100;7,2;92,8;.;75;2;73;.;100;2,7;97,3;.;64;8;56;.;100;12,5;87,5;.
1235 Voss;1235;Voss;1886;45;1830;11;100;2,4;97;0,6;977;28;940;9;100;2,9;96,2;0,9;909;17;890;2;100;1,9;97,9;0,2
1238 Kvam;1238;Kvam;1217;89;1128;.;100;7,3;92,7;.;674;56;618;.;100;8,3;91,7;.;543;33;510;.;100;6,1;93,9;.
1241 Fusa;1241;Fusa;580;3;574;3;100;0,5;99;0,5;320;2;315;3;100;0,6;98,4;0,9;260;1;259;.;100;0,4;99,6;.
1242 Samnanger;1242;Samnanger;310;15;290;5;100;4,8;93,5;1,6;176;6;170;.;100;3,4;96,6;.;134;9;120;5;100;6,7;89,6;3,7
1243 Os (Hord.);1243;Os (Hord.);2419;122;2255;42;100;5;93,2;1,7;1307;44;1248;15;100;3,4;95,5;1,1;1112;78;1007;27;100;7;90,6;2,4
1244 Austevoll;1244;Austevoll;693;13;679;1;100;1,9;98;0,1;397;8;389;.;100;2;98;.;296;5;290;1;100;1,7;98;0,3
1245 Sund;1245;Sund;824;49;769;6;100;5,9;93,3;0,7;448;24;422;2;100;5,4;94,2;0,4;376;25;347;4;100;6,6;92,3;1,1
1246 Fjell;1246;Fjell;3829;146;3643;40;100;3,8;95,1;1;2041;75;1939;27;100;3,7;95;1,3;1788;71;1704;13;100;4;95,3;0,7
1247 Askøy;1247;Askøy;3541;155;3366;20;100;4,4;95,1;0,6;1909;74;1819;16;100;3,9;95,3;0,8;1632;81;1547;4;100;5;94,8;0,2
1251 Vaksdal;1251;Vaksdal;558;30;527;1;100;5,4;94,4;0,2;306;22;284;.;100;7,2;92,8;.;252;8;243;1;100;3,2;96,4;0,4
1252 Modalen;1252;Modalen;59;2;57;.;100;3,4;96,6;.;31;.;31;.;100;.;100;.;28;2;26;.;100;7,1;92,9;.
1253 Osterøy;1253;Osterøy;1152;38;1108;6;100;3,3;96,2;0,5;591;21;566;4;100;3,6;95,8;0,7;561;17;542;2;100;3;96,6;0,4
1256 Meland;1256;Meland;1047;49;993;5;100;4,7;94,8;0,5;512;20;492;.;100;3,9;96,1;.;535;29;501;5;100;5,4;93,6;0,9
1259 Øygarden;1259;Øygarden;631;34;597;.;100;5,4;94,6;.;341;22;319;.;100;6,5;93,5;.;290;12;278;.;100;4,1;95,9;.
1260 Radøy;1260;Radøy;734;62;670;2;100;8,4;91,3;0,3;386;34;350;2;100;8,8;90,7;0,5;348;28;320;.;100;8;92;.
1263 Lindås;1263;Lindås;2068;77;1988;3;100;3,7;96,1;0,1;1134;48;1086;.;100;4,2;95,8;.;934;29;902;3;100;3,1;96,6;0,3
1264 Austrheim;1264;Austrheim;346;18;328;.;100;5,2;94,8;.;162;13;149;.;100;8;92;.;184;5;179;.;100;2,7;97,3;.
1265 Fedje;1265;Fedje;89;3;86;.;100;3,4;96,6;.;48;3;45;.;100;6,3;93,8;.;41;.;41;.;100;.;100;.
1266 Masfjorden;1266;Masfjorden;270;4;266;.;100;1,5;98,5;.;132;.;132;.;100;.;100;.;138;4;134;.;100;2,9;97,1;.
1401 Flora;1401;Flora;1809;101;1668;40;100;5,6;92,2;2,2;993;62;908;23;100;6,2;91,4;2,3;816;39;760;17;100;4,8;93,1;2,1
1411 Gulen;1411;Gulen;362;4;358;.;100;1,1;98,9;.;175;.;175;.;100;.;100;.;187;4;183;.;100;2,1;97,9;.
1412 Solund;1412;Solund;117;4;113;.;100;3,4;96,6;.;54;.;54;.;100;.;100;.;63;4;59;.;100;6,3;93,7;.
1413 Hyllestad;1413;Hyllestad;201;4;195;2;100;2;97;1;101;3;96;2;100;3;95;2;100;1;99;.;100;1;99;.
1416 Høyanger;1416;Høyanger;631;30;589;12;100;4,8;93,3;1,9;352;17;329;6;100;4,8;93,5;1,7;279;13;260;6;100;4,7;93,2;2,2
1417 Vik;1417;Vik;368;5;357;6;100;1,4;97;1,6;183;3;176;4;100;1,6;96,2;2,2;185;2;181;2;100;1,1;97,8;1,1
1418 Balestrand;1418;Balestrand;221;11;206;4;100;5;93,2;1,8;120;5;114;1;100;4,2;95;0,8;101;6;92;3;100;5,9;91,1;3
1419 Leikanger;1419;Leikanger;302;12;290;.;100;4;96;.;182;7;175;.;100;3,8;96,2;.;120;5;115;.;100;4,2;95,8;.
1420 Sogndal;1420;Sogndal;992;49;938;5;100;4,9;94,6;0,5;534;31;503;.;100;5,8;94,2;.;458;18;435;5;100;3,9;95;1,1
1421 Aurland;1421;Aurland;220;3;217;.;100;1,4;98,6;.;110;3;107;.;100;2,7;97,3;.;110;.;110;.;100;.;100;.
1422 Lærdal;1422;Lærdal;314;6;296;12;100;1,9;94,3;3,8;177;3;169;5;100;1,7;95,5;2,8;137;3;127;7;100;2,2;92,7;5,1
1424 Årdal;1424;Årdal;766;26;737;3;100;3,4;96,2;0,4;416;18;395;3;100;4,3;95;0,7;350;8;342;.;100;2,3;97,7;.
1426 Luster;1426;Luster;729;10;719;.;100;1,4;98,6;.;371;7;364;.;100;1,9;98,1;.;358;3;355;.;100;0,8;99,2;.
1428 Askvoll;1428;Askvoll;431;12;417;2;100;2,8;96,8;0,5;210;.;210;.;100;.;100;.;221;12;207;2;100;5,4;93,7;0,9
1429 Fjaler;1429;Fjaler;665;162;499;4;100;24,4;75;0,6;322;75;247;.;100;23,3;76,7;.;343;87;252;4;100;25,4;73,5;1,2
1430 Gaular;1430;Gaular;411;16;395;.;100;3,9;96,1;.;202;6;196;.;100;3;97;.;209;10;199;.;100;4,8;95,2;.
1431 Jølster;1431;Jølster;413;5;408;.;100;1,2;98,8;.;212;2;210;.;100;0,9;99,1;.;201;3;198;.;100;1,5;98,5;.
1432 Førde;1432;Førde;1799;90;1694;15;100;5;94,2;0,8;949;45;899;5;100;4,7;94,7;0,5;850;45;795;10;100;5,3;93,5;1,2
1433 Naustdal;1433;Naustdal;375;7;368;.;100;1,9;98,1;.;221;3;218;.;100;1,4;98,6;.;154;4;150;.;100;2,6;97,4;.
1438 Bremanger;1438;Bremanger;540;48;484;8;100;8,9;89,6;1,5;317;21;292;4;100;6,6;92,1;1,3;223;27;192;4;100;12,1;86,1;1,8
1439 Vågsøy;1439;Vågsøy;851;42;795;14;100;4,9;93,4;1,6;500;27;464;9;100;5,4;92,8;1,8;351;15;331;5;100;4,3;94,3;1,4
1441 Selje;1441;Selje;451;10;439;2;100;2,2;97,3;0,4;213;8;205;.;100;3,8;96,2;.;238;2;234;2;100;0,8;98,3;0,8
1443 Eid;1443;Eid;901;63;829;9;100;7;92;1;511;40;466;5;100;7,8;91,2;1;390;23;363;4;100;5,9;93,1;1
1444 Hornindal;1444;Hornindal;179;.;179;.;100;.;100;.;96;.;96;.;100;.;100;.;83;.;83;.;100;.;100;.
1445 Gloppen;1445;Gloppen;870;44;826;.;100;5,1;94,9;.;447;20;427;.;100;4,5;95,5;.;423;24;399;.;100;5,7;94,3;.
1449 Stryn;1449;Stryn;956;73;879;4;100;7,6;91,9;0,4;532;50;481;1;100;9,4;90,4;0,2;424;23;398;3;100;5,4;93,9;0,7
1502 Molde;1502;Molde;3525;138;3349;38;100;3,9;95;1,1;1808;94;1695;19;100;5,2;93,8;1,1;1717;44;1654;19;100;2,6;96,3;1,1
1504 Ålesund;1504;Ålesund;5413;270;5084;59;100;5;93,9;1,1;2820;122;2672;26;100;4,3;94,8;0,9;2593;148;2412;33;100;5,7;93;1,3
1505 Kristiansund;1505;Kristiansund;2841;160;2671;10;100;5,6;94;0,4;1523;86;1430;7;100;5,6;93,9;0,5;1318;74;1241;3;100;5,6;94,2;0,2
1511 Vanylven;1511;Vanylven;504;19;485;.;100;3,8;96,2;.;287;3;284;.;100;1;99;.;217;16;201;.;100;7,4;92,6;.
1514 Sande (M. og R.);1514;Sande (M. og R.);315;26;289;.;100;8,3;91,7;.;167;12;155;.;100;7,2;92,8;.;148;14;134;.;100;9,5;90,5;.
1515 Herøy (M. og R.);1515;Herøy (M. og R.);1253;54;1187;12;100;4,3;94,7;1;634;33;594;7;100;5,2;93,7;1,1;619;21;593;5;100;3,4;95,8;0,8
1516 Ulstein;1516;Ulstein;1069;49;995;25;100;4,6;93,1;2,3;556;36;512;8;100;6,5;92,1;1,4;513;13;483;17;100;2,5;94,2;3,3
1517 Hareid;1517;Hareid;713;51;627;35;100;7,2;87,9;4,9;378;33;325;20;100;8,7;86;5,3;335;18;302;15;100;5,4;90,1;4,5
1519 Volda;1519;Volda;1297;79;1201;17;100;6,1;92,6;1,3;709;54;644;11;100;7,6;90,8;1,6;588;25;557;6;100;4,3;94,7;1
1520 Ørsta;1520;Ørsta;1388;52;1328;8;100;3,7;95,7;0,6;764;26;737;1;100;3,4;96,5;0,1;624;26;591;7;100;4,2;94,7;1,1
1523 Ørskog;1523;Ørskog;281;13;261;7;100;4,6;92,9;2,5;133;9;123;1;100;6,8;92,5;0,8;148;4;138;6;100;2,7;93,2;4,1
1524 Norddal;1524;Norddal;258;14;240;4;100;5,4;93;1,6;138;7;127;4;100;5,1;92;2,9;120;7;113;.;100;5,8;94,2;.
1525 Stranda;1525;Stranda;629;30;592;7;100;4,8;94,1;1,1;350;15;330;5;100;4,3;94,3;1,4;279;15;262;2;100;5,4;93,9;0,7
1526 Stordal;1526;Stordal;129;9;115;5;100;7;89,1;3,9;58;3;55;.;100;5,2;94,8;.;71;6;60;5;100;8,5;84,5;7
1528 Sykkylven;1528;Sykkylven;973;49;916;8;100;5;94,1;0,8;518;23;490;5;100;4,4;94,6;1;455;26;426;3;100;5,7;93,6;0,7
1529 Skodje;1529;Skodje;614;15;591;8;100;2,4;96,3;1,3;332;11;319;2;100;3,3;96,1;0,6;282;4;272;6;100;1,4;96,5;2,1
1531 Sula;1531;Sula;1064;39;1019;6;100;3,7;95,8;0,6;607;27;574;6;100;4,4;94,6;1;457;12;445;.;100;2,6;97,4;.
1532 Giske;1532;Giske;983;40;932;11;100;4,1;94,8;1,1;536;20;511;5;100;3,7;95,3;0,9;447;20;421;6;100;4,5;94,2;1,3
1534 Haram;1534;Haram;1209;72;1113;24;100;6;92,1;2;635;35;590;10;100;5,5;92,9;1,6;574;37;523;14;100;6,4;91,1;2,4
1535 Vestnes;1535;Vestnes;998;35;961;2;100;3,5;96,3;0,2;555;19;536;.;100;3,4;96,6;.;443;16;425;2;100;3,6;95,9;0,5
1539 Rauma;1539;Rauma;1021;47;972;2;100;4,6;95,2;0,2;502;26;474;2;100;5,2;94,4;0,4;519;21;498;.;100;4;96;.
1543 Nesset;1543;Nesset;422;5;417;.;100;1,2;98,8;.;243;.;243;.;100;.;100;.;179;5;174;.;100;2,8;97,2;.
1545 Midsund;1545;Midsund;279;23;253;3;100;8,2;90,7;1,1;151;12;136;3;100;7,9;90,1;2;128;11;117;.;100;8,6;91,4;.
1546 Sandøy;1546;Sandøy;161;20;141;.;100;12,4;87,6;.;91;16;75;.;100;17,6;82,4;.;70;4;66;.;100;5,7;94,3;.
1547 Aukra;1547;Aukra;428;20;405;3;100;4,7;94,6;0,7;210;14;194;2;100;6,7;92,4;1;218;6;211;1;100;2,8;96,8;0,5
1548 Fræna;1548;Fræna;1342;51;1281;10;100;3,8;95,5;0,7;727;29;692;6;100;4;95,2;0,8;615;22;589;4;100;3,6;95,8;0,7
1551 Eide;1551;Eide;505;17;488;.;100;3,4;96,6;.;269;8;261;.;100;3;97;.;236;9;227;.;100;3,8;96,2;.
1554 Averøy;1554;Averøy;737;30;705;2;100;4,1;95,7;0,3;399;22;375;2;100;5,5;94;0,5;338;8;330;.;100;2,4;97,6;.
1557 Gjemnes;1557;Gjemnes;288;17;266;5;100;5,9;92,4;1,7;153;14;136;3;100;9,2;88,9;2;135;3;130;2;100;2,2;96,3;1,5
1560 Tingvoll;1560;Tingvoll;359;22;336;1;100;6,1;93,6;0,3;194;15;178;1;100;7,7;91,8;0,5;165;7;158;.;100;4,2;95,8;.
