Bydel nr & navn;bydel_nr;"Bydel
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere
030106 Ullern;30106;Ullern;44,5;39,9;43,7;44,7;257;8;13;236;42,8;40,4;41,9;43;136;5;5;126;46,4;39;44,8;46,7;121;3;8;110;39,9;:;:;8;:;:;:;:;:;:;:;:;:;-;:;:;-;:;39,9;40,9;39,3;8;3;5;:;:;:;:;:;:;:;:;:;:;:;:
030107 Vestre Aker;30107;Veste Aker;44,8;34,9;38,7;45,3;461;13;15;433;43,8;34,2;40,7;44,2;242;6;9;227;45,8;35,6;35,6;46,5;219;7;6;206;34,9;37,5;32,8;13;6;7;34,2;:;:;6;:;:;35,6;:;:;7;:;:;34,9;36,7;34,2;13;4;9;34,2;-;34,2;6;-;6;35,6;36,7;34;7;4;3
030108 Nordre Aker;30108;Nordre Aker;44,9;38,1;41;45,2;548;20;12;516;43;33,3;40,2;43,5;292;12;7;273;47;45,3;42,1;47,2;256;8;5;243;38,1;37,1;38,6;20;7;13;33,3;27,9;36;12;4;8;45,3;49,5;42,8;8;3;5;38,1;40;37,8;20;3;17;33,3;40;31,1;12;3;9;45,3;-;45,3;8;-;8
030109 Bjerke;30109;Bjerke;39,4;32,7;37,7;43,3;298;56;102;140;38,1;31,7;36,9;41,3;167;31;56;80;41;33,9;38,6;45,9;131;25;46;60;32,7;27,9;34,1;56;13;43;31,7;28,5;32,5;31;6;25;33,9;27,3;36,4;25;7;18;32,7;36,4;29,5;56;26;30;31,7;36,4;28,3;31;13;18;33,9;36,3;31,2;25;13;12
030110 Grorud;30110;Grorud;38,8;36,7;36,2;41,8;301;55;110;136;37,1;36,2;35,1;39,1;141;26;53;62;40,3;37,2;37,1;44;160;29;57;74;36,7;39,3;36,6;55;3;52;36,2;-;36,2;26;-;26;37,2;39,3;37;29;3;26;36,7;36,1;37,4;55;27;28;36,2;34,3;38,8;26;15;11;37,2;38,3;36,4;29;12;17
030111 Stovner;30111;Stovner;39;34,2;39,1;40,9;444;69;197;178;37,1;32,4;36,9;39,2;240;37;104;99;41,3;36,3;41,5;43;204;32;93;79;34,2;25,4;35;69;6;63;32,4;:;:;37;:;:;36,3;:;:;32;:;:;34,2;36,7;31,5;69;35;34;32,4;35,5;29,9;37;16;21;36,3;37,7;34,1;32;19;13
030112 Alna;30112;Alna;38,3;33,7;38,8;40,1;498;92;230;176;36,2;31,1;36,8;38,1;255;51;105;99;40,5;36,9;40,4;42,7;243;41;125;77;33,7;30,2;34;92;7;85;31,1;:;:;51;:;:;36,9;:;:;41;:;:;33,7;35,2;32,2;92;47;45;31,1;33,3;29,6;51;21;30;36,9;36,7;37,2;41;26;15
030113 Østensjø;30113;Østensjø;42,2;36;39,5;43,6;458;41;78;339;40,7;35,7;38,6;41,9;242;21;44;177;43,9;36,3;40,7;45,5;216;20;34;162;36;33,4;36,5;41;7;34;35,7;31,4;36,7;21;4;17;36,3;35,9;36,4;20;3;17;36;39,1;32,7;41;21;20;35,7;37,3;34,2;21;10;11;36,3;40,7;30,9;20;11;9
030114 Nordstrand;30114;Nordstrand;42,8;33,6;39,6;43,6;485;27;24;434;40,7;32,9;36,9;41,4;252;15;12;225;45,1;34,4;42,3;45,8;233;12;12;209;33,6;41,2;31,4;27;6;21;32,9;:;:;15;:;:;34,4;:;:;12;:;:;33,6;36,2;32,3;27;9;18;32,9;34,1;32,3;15;5;10;34,4;38,7;32,3;12;4;8
030115 Søndre Nordstrand;30115;Søndre Nordstrand;39,3;35,2;39;40,8;508;67;225;216;37,6;35,4;37,2;38,7;248;31;108;109;40,9;35,1;40,7;43;260;36;117;107;35,2;34,7;35,3;67;10;57;35,4;35,9;35,3;31;4;27;35,1;33,9;35,3;36;6;30;35,2;36,3;34,4;67;30;37;35,4;36,8;34,2;31;14;17;35,1;35,9;34,4;36;16;20
030116 Sentrum;30116;Sentrum;:;.;:;:;:;.;:;:;:;.;:;:;:;.;:;:;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030117 Marka;30117;Marka;41,9;.;.;41,9;19;.;.;19;39,9;.;.;39,9;9;.;.;9;43,6;.;.;43,6;10;.;.;10;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;27,1;.;:;:;5;.;:;:;27,1;.;:;:;5;.;:;:;.;.;.;.;.;.;.;.; . ;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
