Fylkenr-fylkenavn;fylke_nr;"Fylke
navn";avslutning_arsak_8.alle;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_3.alle;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_8.alle;avslutning_arsak_8.alle;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.annet;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.annet;avslutning_arsak_3.alle;avslutning_arsak_3.alle;avslutning_arsak_3.arbutd;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.annet;avslutning_arsak_3.arbutd;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.annet
;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
08 Telemark;8;Telemark;214;52;62;32;18;15;6;29;24,2990654;28,9719626;14,953271;8,411215;7,0093458;2,8037383;13,5514019;214;50;164;23,36448598;76,63551402;101;113;16;36;35;27;10;22;5;13;9;6;:;:;22;7;15,84158416;31,85840708;34,65346535;23,89380531;9,900990099;19,46902655;4,95049505;11,50442478;8,910891089;5,309734513;:;:;21,78217822;6,194690265;101;113;15;35;86;78;14,85148515;30,97345133;85,14851485;69,02654867
09 Aust-Agder;9;Aust-Agder;89;23;12;16;19;7;:;10;25,8426966;13,4831461;17,9775281;21,3483146;7,8651685;:;11,2359551;89;35;54;39,3258427;60,6741573;45;44;14;9;:;8;8;8;9;10;:;:;:;:;5;5;31,11111111;20,45454545;:;18,18181818;17,77777778;18,18181818;20;22,72727273;:;:;:;:;11,11111111;11,36363636;45;44;17;18;28;26;37,77777778;40,90909091;62,22222222;59,09090909
10 Vest-Agder;10;Vest-Agder;152;50;21;39;12;8;:;21;32,8947368;13,8157895;25,6578947;7,8947368;5,2631579;:;13,8157895;152;51;101;33,55263158;66,44736842;83;69;36;14;13;8;15;24;:;10;:;:;:;:;12;9;43,37349398;20,28985507;15,6626506;11,5942029;18,07228916;34,7826087;:;14,49275362;:;:;:;:;14,45783133;13,04347826;83;69;17;34;66;35;20,48192771;49,27536232;79,51807229;50,72463768
11 Rogaland;11;Rogaland;267;64;22;55;62;24;7;33;23,9700375;8,2397004;20,5992509;23,2209738;8,988764;2,6217228;12,3595506;267;117;150;43,82022472;56,17977528;133;134;31;33;13;9;22;33;23;39;17;7;5;:;22;11;23,30827068;24,62686567;9,77443609;6,71641791;16,54135338;24,62686567;17,29323308;29,10447761;12,78195489;5,223880597;3,759398496;:;16,54135338;8,208955224;133;134;45;72;88;62;33,83458647;53,73134328;66,16541353;46,26865672
12 Hordaland;12;Hordaland;333;73;32;71;88;41;5;23;21,9219219;9,6096096;21,3213213;26,4264264;12,3123123;1,5015015;6,9069069;333;159;174;47,74774775;52,25225225;131;202;37;36;12;20;29;42;21;67;25;16;:;:;:;19;28,24427481;17,82178218;9,160305344;9,900990099;22,13740458;20,79207921;16,03053435;33,16831683;19,08396947;7,920792079;:;:;:;9,405940594;131;202;50;109;81;93;38,16793893;53,96039604;61,83206107;46,03960396
14 Sogn og Fjordane;14;Sogn og Fjordane;70;24;:;10;13;7;:;13;34,2857143;:;14,2857143;18,5714286;10;:;18,5714286;70;23;47;32,85714286;67,14285714;28;42;9;15;:;:;:;6;6;7;:;5;:;:;6;7;32,14285714;35,71428571;:;:;:;14,28571429;21,42857143;16,66666667;:;11,9047619;:;:;21,42857143;16,66666667;28;42;10;13;18;29;35,71428571;30,95238095;64,28571429;69,04761905
15 Møre og Romsdal;15;Møre og Romsdal;178;38;17;44;49;10;:;16;21,3483146;9,5505618;24,7191011;27,5280899;5,6179775;:;8,988764;178;93;85;52,24719101;47,75280899;82;96;21;17;12;5;17;27;9;40;9;:;:;:;11;5;25,6097561;17,70833333;14,63414634;5,208333333;20,73170732;28,125;10,97560976;41,66666667;10,97560976;:;:;:;13,41463415;5,208333333;82;96;26;67;56;29;31,70731707;69,79166667;68,29268293;30,20833333
16 Sør-Trøndelag;16;Sør-Trøndelag;224;55;14;37;63;29;:;25;24,5535714;6,25;16,5178571;28,125;12,9464286;:;11,1607143;224;100;124;44,64285714;55,35714286;110;114;31;24;7;7;19;18;23;40;17;12;:;:;12;13;28,18181818;21,05263158;6,363636364;6,140350877;17,27272727;15,78947368;20,90909091;35,0877193;15,45454545;10,52631579;:;:;10,90909091;11,40350877;110;114;42;58;68;56;38,18181818;50,87719298;61,81818182;49,12280702
17 Nord-Trøndelag;17;Nord-Trøndelag;116;17;6;50;17;:;:;20;14,6551724;5,1724138;43,1034483;14,6551724;:;:;17,2413793;116;67;49;57,75862069;42,24137931;46;70;9;8;:;:;18;32;:;13;:;:;:;:;10;10;19,56521739;11,42857143;:;:;39,13043478;45,71428571;:;18,57142857;:;:;:;:;21,73913043;14,28571429;46;70;22;45;24;25;47,82608696;64,28571429;52,17391304;35,71428571
18 Nordland;18;Nordland;207;40;45;28;43;14;:;35;19,3236715;21,7391304;13,52657;20,7729469;6,763285;:;16,9082126;207;71;136;34,29951691;65,70048309;92;115;20;20;27;18;12;16;9;34;7;7;:;:;15;20;21,73913043;17,39130435;29,34782609;15,65217391;13,04347826;13,91304348;9,782608696;29,56521739;7,608695652;6,086956522;:;:;16,30434783;17,39130435;92;115;21;50;71;65;22,82608696;43,47826087;77,17391304;56,52173913
19 Troms ;19;Troms ;153;36;15;23;55;:;:;19;23,5294118;9,8039216;15,0326797;35,9477124;:;:;12,4183007;153;78;75;50,98039216;49,01960784;62;91;17;19;8;7;9;14;18;37;:;:;:;:;7;12;27,41935484;20,87912088;12,90322581;7,692307692;14,51612903;15,38461538;29,03225806;40,65934066;:;:;:;:;11,29032258;13,18681319;62;91;27;51;35;40;43,5483871;56,04395604;56,4516129;43,95604396
20 Finnmark ;20;Finnmark ;76;16;7;12;24;10;:;7;21,0526316;9,2105263;15,7894737;31,5789474;13,1578947;:;9,2105263;76;36;40;47,36842105;52,63157895;36;40;11;5;6;:;5;7;5;19;5;5;:;:;:;:;30,55555556;12,5;16,66666667;:;13,88888889;17,5;13,88888889;47,5;13,88888889;12,5;:;:;:;:;36;40;10;26;26;14;27,77777778;65;72,22222222;35
99 Uoppgitt fylke;99;Uoppgitt fylke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
