Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0233 Nittedal;233;Nittedal;1943;7473;2188;250;1153;175;1693;6320;2013;67,7;87,8;63,3;63,1;79,1;57;68,4;89,7;63,9
0234 Gjerdrum;234;Gjerdrum;584;2121;637;93;332;30;491;1789;607;72,5;87,9;64,7;65;76,7;63,8;74,1;90,4;64,8
0235 Ullensaker;235;Ullensaker;3555;10274;2700;774;2106;198;2781;8168;2502;74,5;84,2;58;69,5;73,8;47,5;76;87,4;59,1
0236 Nes (Akershus);236;Nes (Ak.);2038;6011;2199;218;706;114;1820;5305;2085;70,7;83,5;59,8;58,9;71,5;58,8;72,5;85,4;59,9
0237 Eidsvoll;237;Eidsvoll;2296;6716;2245;244;945;97;2052;5771;2148;71,7;82,4;56,1;60,2;72,8;46;73,3;84,2;56,7
0238 Nannestad;238;Nannestad;1246;3669;1128;215;676;78;1031;2993;1050;73,6;84;60;64,6;78;55,7;75,8;85,5;60,3
0239 Hurdal;239;Hurdal;255;710;310;17;83;19;238;627;291;73,9;81;57,1;60,7;74,8;61,3;75,1;81,9;56,8
0301 Oslo;301;Oslo kommune;89600;195151;52238;22565;56722;7418;67035;138429;44820;70,9;79,6;60;63,5;67,1;45;73,8;86,2;63,4
0402 Kongsvinger;402;Kongsvinger;1424;4276;1932;121;524;96;1303;3752;1836;59,1;75,1;50,4;38,4;60,3;40,5;62,2;77,7;51,1
0403 Hamar;403;Hamar;2949;7597;3550;350;877;150;2599;6720;3400;66;81,8;59,8;53,1;64,9;49;68,2;84,7;60,3
0412 Ringsaker;412;Ringsaker;3305;9269;3564;261;885;138;3044;8384;3426;70,7;82,2;57,3;58;71,2;55,4;72,1;83,6;57,3
0415 Løten;415;Løten;765;1974;891;51;160;20;714;1814;871;70,6;80,2;57,8;48,1;66,9;48,8;73;81,7;58
0417 Stange;417;Stange;1826;5264;2288;156;498;80;1670;4766;2208;66,9;81,6;58,6;45,6;68,5;55,9;69,9;83,3;58,7
0418 Nord-Odal;418;Nord-Odal;403;1266;588;13;72;10;390;1194;578;68,3;77,5;51,8;46,4;66,7;43,5;69,4;78,3;51,9
0419 Sør-Odal;419;Sør-Odal;708;2146;892;31;160;28;677;1986;864;69,8;80,5;55,5;47,7;71,1;56;71,3;81,4;55,5
0420 Eidskog;420;Eidskog;491;1504;740;28;110;37;463;1394;703;63,4;75,8;54,8;50,9;59,5;46,8;64,4;77,5;55,3
0423 Grue;423;Grue;355;1160;661;31;96;35;324;1064;626;59,7;79,6;54,7;50,8;71,1;58,3;60,7;80,5;54,5
0425 Åsnes;425;Åsnes;550;1788;908;26;124;35;524;1664;873;59,7;76,7;54,5;35,6;60,5;50,7;61,8;78,3;54,6
0426 Våler (Hedm.);426;Våler (Hedm.);295;940;479;27;77;15;268;863;464;66,3;77,6;53,8;73;68,1;51,7;65,7;78,5;53,9
0427 Elverum;427;Elverum;2146;5540;2268;194;461;96;1952;5079;2172;68,4;82,7;59,1;52,3;63,2;55,5;70,5;85,1;59,3
0428 Trysil;428;Trysil;525;1662;764;49;175;32;476;1487;732;60,1;78,6;55,5;44,5;61,6;47,8;62,3;81,3;55,9
0429 Åmot;429;Åmot;478;1142;466;28;102;9;450;1040;457;69,7;81,9;55,1;47,5;68,9;36;71,8;83,5;55,7
0430 Stor-Elvdal;430;Stor-Elvdal;204;606;310;25;68;12;179;538;298;48,8;73,6;53,6;17,4;51,1;41,4;65,3;78;54,3
0432 Rendalen;432;Rendalen;153;441;297;8;23;5;145;418;292;75,7;84,2;60,2;50;62,2;33,3;78;85,8;61,1
0434 Engerdal;434;Engerdal;99;340;184; : ;25;11; : ;315;173;62,7;85,4;60,1; : ;62,5;52,4; : ;88;60,7
0436 Tolga;436;Tolga;172;421;238;8;51;8;164;370;230;68,5;87;72,3;32;68;50;72,6;90,5;73,5
0437 Tynset;437;Tynset;565;1438;793;68;187;24;497;1251;769;70,7;87,2;71,2;57,1;78,9;61,5;73,1;88,5;71,6
0438 Alvdal;438;Alvdal;256;671;309;11;52;4;245;619;305;76,2;89;72,5;44;78,8; : ;78,8;90; : 
0439 Folldal;439;Folldal;121;431;232;4;34; : ;117;397; : ;70,3;87,8;63;57,1;87,2; : ;70,9;87,8; : 
0441 Os (Hedm.);441;Os (Hedm.);203;562;271;22;63;8;181;499;263;69;89,6;67,8;68,8;74,1;44,4;69,1;92,1;68,8
0501 Lillehammer;501;Lillehammer;3043;7343;3212;323;845;146;2720;6498;3066;67,2;85,7;63,3;58,5;71,8;53,3;68,4;87,9;63,8
0502 Gjøvik;502;Gjøvik;3088;8045;3190;381;1028;142;2707;7017;3048;67,4;82;57,3;53,4;69,3;46,1;70;84,2;58
0511 Dovre;511;Dovre;262;661;358;24;66;11;238;595;347;71,2;84;61,3;50;71,7;50;74,4;85,6;61,7
0512 Lesja;512;Lesja;213;546;303;15;58;9;198;488;294;76,1;89,8;69;62,5;81,7;60;77,3;90,9;69,3
0513 Skjåk;513;Skjåk;215;601;315;12;49;7;203;552;308;75,4;85,4;64;48;58,3;63,6;78,1;89;64
0514 Lom;514;Lom;231;659;316;12;40; : ;219;619; : ;72,9;88,2;63,1;66,7;74,1; : ;73,2;89,3; : 
