Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1018 Søgne;1018;Søgne;1092;3109;1095;60;311;52;1032;2798;1043;66,8;83,6;59,8;41,1;68,5;56,5;69,3;85,7;59,9
1021 Marnardal;1021;Marnardal;261;595;248;12;61;16;249;534;232;75,7;79,4;63,4;52,2;67;61,5;77,3;81,2;63,6
1026 Åseral;1026;Åseral;98;272;99;10;32; : ;88;240; : ;72,6;87,5;71,7;45,5;74,4; : ;77,9;89,6; : 
1027 Audnedal;1027;Audnedal;195;475;187;6;47;6;189;428;181;74,7;85,6;71,6;27,3;81;85,7;79,1;86,1;71,3
1029 Lindesnes;1029;Lindesnes;500;1216;529;48;162;38;452;1054;491;71,7;81,3;56,8;55,2;76,1;58,5;74,1;82,2;56,6
1032 Lyngdal;1032;Lyngdal;918;2141;792;112;271;31;806;1870;761;74,7;83,2;57,6;60,9;74,2;44,3;77,1;84,7;58,3
1034 Hægebostad;1034;Hægebostad;207;485;173;6;38;6;201;447;167;81,2;87,4;64,8;33,3;73,1;50;84,8;88,9;65,5
1037 Kvinesdal;1037;Kvinesdal;657;1622;539;41;158;25;616;1464;514;72;84,3;54,6;45,1;73,8;54,3;74,9;85,6;54,6
1046 Sirdal;1046;Sirdal;208;523;218;14;89;15;194;434;203;77,6;88,6;68,1;46,7;83,2;68,2;81,5;89,9;68,1
1101 Eigersund;1101;Eigersund;1762;4214;1599;149;678;69;1613;3536;1530;75,5;86;62,5;54,2;77,3;55,2;78,3;87,9;62,8
1102 Sandnes;1102;Sandnes;9374;22362;6449;1724;4916;555;7650;17446;5894;75,9;86,2;64,7;68,4;77,2;57,9;77,8;89,2;65,4
1103 Stavanger;1103;Stavanger;17123;40805;12412;3635;9642;1414;13488;31163;10998;73,2;85,4;64;67,9;75,1;61,3;74,8;89,1;64,4
1106 Haugesund;1106;Haugesund;4202;10349;3380;707;1978;233;3495;8371;3147;70;81,9;57,5;61,4;71,6;52,4;72,1;84,8;58
1111 Sokndal;1111;Sokndal;349;881;378;11;79;11;338;802;367;73,3;87,7;62,9;64,7;84;68,8;73,6;88,1;62,7
1112 Lund;1112;Lund;386;818;389;30;76;21;356;742;368;75,1;85,2;67,5;50,8;65;72,4;78,2;88;67,3
1114 Bjerkreim;1114;Bjerkreim;386;821;310;26;129;10;360;692;300;83;89,5;73,8;70,3;84,3;66,7;84,1;90,6;74,1
1119 Hå;1119;Hå;2584;5235;1758;365;951;86;2219;4284;1672;82,1;87,4;69,5;66,4;76,4;64,2;85,4;90,2;69,8
1120 Klepp;1120;Klepp;2467;5850;1593;313;958;72;2154;4892;1521;80,7;88,3;65,5;68,5;80,2;62,1;82,8;90,1;65,7
1121 Time;1121;Time;2444;5404;1835;243;684;66;2201;4720;1769;79;88,2;70,1;67,7;75,8;62,3;80,4;90,4;70,5
1122 Gjesdal;1122;Gjesdal;1644;3591;1033;184;529;56;1460;3062;977;80,5;89,2;70,9;70,5;81,3;65,1;82;90,7;71,2
1124 Sola;1124;Sola;3246;7937;2268;507;1603;195;2739;6334;2073;76,1;87,8;67;67,6;77,7;64,6;77,9;90,8;67,3
1127 Randaberg;1127;Randaberg;1258;3184;989;139;436;56;1119;2748;933;75,1;88,2;66,3;65,3;79,1;62,9;76,5;89,9;66,5
1129 Forsand;1129;Forsand;135;349;127;12;46;6;123;303;121;78,5;88,1;64,1;75;86,8;85,7;78,8;88,3;63,4
1130 Strand;1130;Strand;1452;3383;1198;119;407;64;1333;2976;1134;74,4;86,3;62,9;52;75,5;66,7;77,4;88,1;62,7
1133 Hjelmeland;1133;Hjelmeland;304;747;377;70;166;26;234;581;351;77,6;86,5;73,3;75,3;77,9;76,5;78,3;89,2;73,1
1134 Suldal;1134;Suldal;400;1067;498;45;140;13;355;927;485;77,2;89,3;67,3;65,2;83,3;44,8;79,1;90,3;68,2
1135 Sauda;1135;Sauda;496;1259;533;29;123;19;467;1136;514;71,7;85,6;61,1;56,9;74,5;67,9;72,9;87;60,9
1141 Finnøy;1141;Finnøy;382;839;455;82;167;24;300;672;431;82,2;91;79,1;88,2;88,4;72,7;80,6;91,7;79,5
1142 Rennesøy;1142;Rennesøy;615;1521;445;60;215;22;555;1306;423;81,6;90;69,6;58,8;79,3;64,7;85,1;92;69,9
1144 Kvitsøy;1144;Kvitsøy;60;158;51;8;16; : ;52;142; : ;77,9;93,5;63,8;80;80; : ;77,6;95,3; : 
1145 Bokn;1145;Bokn;97;243;86;9;38; : ;88;205; : ;77,6;88,4;58,5;64,3;84,4; : ;79,3;89,1; : 
1146 Tysvær;1146;Tysvær;1217;3070;1000;88;285;27;1129;2785;973;76;87,7;60,1;56,4;72,2;54;78,1;89,7;60,3
1149 Karmøy;1149;Karmøy;4714;11650;3788;360;1305;192;4354;10345;3596;72,5;83;55,9;57,2;70,6;54,9;74,1;84,8;55,9
1151 Utsira;1151;Utsira;19;65;32; : ;8; : ; : ;57; : ;73,1;94,2;71,1; : ;88,9; : ; : ;95; : 
1160 Vindafjord;1160;Vindafjord;1042;2411;982;148;391;40;894;2020;942;76,6;86,4;68,8;64,3;73,2;62,5;79,1;89,5;69,1
1201 Bergen;1201;Bergen;36881;79619;25667;5160;14149;1749;31721;65470;23918;71;83,6;63,1;57,4;72,2;57,5;73,9;86,6;63,5
1211 Etne;1211;Etne;448;1153;480;63;185;14;385;968;466;78,2;89;66,6;70,8;83,3;60,9;79,5;90,2;66,8
1216 Sveio;1216;Sveio;585;1497;633;38;189;18;547;1308;615;74,5;85,9;62,8;55,9;76,2;45;76,3;87,5;63,5
1219 Bømlo;1219;Bømlo;1321;3185;1234;126;388;53;1195;2797;1181;73,4;85,2;63,4;61,8;70,5;67,1;74,9;87,8;63,3
1221 Stord;1221;Stord;2292;5234;1865;187;688;91;2105;4546;1774;75,5;85,4;63,5;61,3;71,6;47,6;77,1;88;64,6
1222 Fitjar;1222;Fitjar;333;838;378;17;81;14;316;757;364;79,1;88,3;64,4;63;84,4;56;80,2;88,7;64,8
1223 Tysnes;1223;Tysnes;282;672;348;22;88;13;260;584;335;73,6;87,3;58,7;59,5;81,5;59,1;75,1;88,2;58,7
1224 Kvinnherad;1224;Kvinnherad;1258;3501;1507;73;347;39;1185;3154;1468;70,5;85,1;61,1;52,1;74;52;72;86,5;61,4
1227 Jondal;1227;Jondal;128;246;147;12;27; : ;116;219; : ;76,6;85,4;58,1;66,7;79,4; : ;77,9;86,2; : 
1228 Odda;1228;Odda;666;1853;825;74;248;36;592;1605;789;66,3;85,2;60,9;58,3;79;67,9;67,4;86,2;60,6
1231 Ullensvang;1231;Ullensvang;281;954;421;31;120;13;250;834;408;68,9;88,6;67;57,4;72,7;59,1;70,6;91,4;67,3
1232 Eidfjord;1232;Eidfjord;115;272;130;8;38; : ;107;234; : ;79,3;89,2;70,7;80;71,7; : ;79,3;92,9; : 
1233 Ulvik;1233;Ulvik;99;286;154;10;51;9;89;235;145;70,2;88;67;47,6;86,4;64,3;74,2;88,3;67,1
1234 Granvin;1234;Granvin;110;226;123;7;23;4;103;203;119;73,3;89;63,7;63,6;82,1;50;74,1;89,8;64,3
1235 Voss;1235;Voss;1573;3756;1802;122;318;55;1451;3438;1747;74,7;87,1;67,8;56;70,8;59,8;76,8;89;68,1
1238 Kvam;1238;Kvam;925;2178;1048;108;299;34;817;1879;1014;70,5;85,2;64,3;56;69,4;51,5;73;88,4;64,8
1241 Fusa;1241;Fusa;358;1030;502;32;100;15;326;930;487;74;87,7;68,7;68,1;78,7;57,7;74,6;88,7;69,1
1242 Samnanger;1242;Samnanger;247;655;300;13;64;7;234;591;293;75,1;84,7;58,8;52;74,4;58,3;77;86;58,8
1243 Os (Hord.);1243;Os (Hord.);2165;5441;1951;257;738;52;1908;4703;1899;75,5;86,1;63,4;67,5;74,5;48,6;76,7;88,2;63,9
1244 Austevoll;1244;Austevoll;623;1371;572;90;237;20;533;1134;552;80,2;87,5;68,6;75,6;80,6;71,4;81;89,1;68,5
1245 Sund;1245;Sund;754;1843;716;81;249;33;673;1594;683;74,7;84,8;61,7;58,7;77,1;57,9;77,2;86,1;61,9
1246 Fjell;1246;Fjell;2789;7344;2131;212;837;93;2577;6507;2038;73,7;86,2;60,8;60,6;76,4;60,8;75,1;87,7;60,8
1247 Askøy;1247;Askøy;2902;8368;2474;215;861;85;2687;7507;2389;75,3;86,4;58,5;58,1;75,5;49,4;77,1;87,9;58,9
1251 Vaksdal;1251;Vaksdal;439;1039;439;35;101;9;404;938;430;73,5;83,5;58,4;61,4;71,1;40,9;74,8;85,1;58,9
1252 Modalen;1252;Modalen;27;107;45; : ;12; : ; : ;95; : ;50,9;87;72,6; : ;85,7; : ; : ;87,2; : 
1253 Osterøy;1253;Osterøy;901;2140;811;80;241;18;821;1899;793;75,7;86,4;59,4;65;74,8;56,3;76,9;88,2;59,4
1256 Meland;1256;Meland;853;2191;745;72;247;12;781;1944;733;72,7;86,1;63,2;57,6;79,2;44,4;74,5;87;63,7
1259 Øygarden;1259;Øygarden;511;1301;470;38;176;24;473;1125;446;71,5;84;57;45,8;76,5;63,2;74,8;85,3;56,7
1260 Radøy;1260;Radøy;526;1403;550;51;220;15;475;1183;535;75;83,6;59,5;67,1;75,9;60;76;85,2;59,4
1263 Lindås;1263;Lindås;1582;4176;1731;151;423;50;1431;3753;1681;73,4;85,2;62,5;64,3;74;64,1;74,5;86,7;62,4
1264 Austrheim;1264;Austrheim;276;827;321;36;163;12;240;664;309;72,1;87,4;58,6;63,2;79,1;66,7;73,6;89,7;58,3
1265 Fedje;1265;Fedje;35;144;76; : ;14; : ; : ;130; : ;66;90;62,3; : ;82,4; : ; : ;90,9; : 
1266 Masfjorden;1266;Masfjorden;185;417;248;5;25;9;180;392;239;77,4;91;71,9;71,4;80,6;81,8;77,6;91,8;71,6
1401 Flora;1401;Flora;1289;3283;1336;128;458;74;1161;2825;1262;70,2;84,9;65,7;48,1;69,5;74,7;73,9;88,1;65,3
1411 Gulen;1411;Gulen;262;631;308;27;87;7;235;544;301;78,9;90;67,1;73;83,7;58,3;79,7;91,1;67,3
1412 Solund;1412;Solund;71;226;118;6;41;4;65;185;114;76,3;88,3;62,8;54,5;87,2;50;79,3;88,5;63,3
1413 Hyllestad;1413;Hyllestad;125;394;185; : ;73;13; : ;321;172;80,6;89,3;64,9; : ;83;81,3; : ;90,9;63,9
1416 Høyanger;1416;Høyanger;385;1117;460;28;140;18;357;977;442;68,9;85;58,6;62,2;75,7;78,3;69,5;86,5;58
1417 Vik;1417;Vik;295;698;405;33;98;7;262;600;398;81,5;91,6;73,8;70,2;83,1;53,8;83,2;93,2;74,3
1418 Balestrand;1418;Balestrand;129;336;210;27;83;10;102;253;200;66,8;84,6;75,3;84,4;83;71,4;63,4;85,2;75,5
1419 Leikanger;1419;Leikanger;225;647;309;14;54;7;211;593;302;69,2;91,5;70,7;63,6;80,6;87,5;69,6;92,7;70,4
1420 Sogndal;1420;Sogndal;1026;2182;872;101;217;31;925;1965;841;71;88,5;70,4;49;65,4;77,5;74,7;92,1;70,2
1421 Aurland;1421;Aurland;195;467;211;18;69;8;177;398;203;72,8;84,9;62,6;75;78,4;57,1;72,5;86,1;62,8
1422 Lærdal;1422;Lærdal;198;594;293;7;66;21;191;528;272;66,7;88,5;64,1;46,7;84,6;84;67,7;89;63
1424 Årdal;1424;Årdal;501;1545;518;38;208;29;463;1337;489;66,5;85,2;51,4;37,6;76,2;56,9;71;86,8;51,1
1426 Luster;1426;Luster;575;1378;659;39;126;16;536;1252;643;77;89,7;70,6;67,2;81,3;64;77,8;90,6;70,7
1428 Askvoll;1428;Askvoll;282;728;421;10;65;10;272;663;411;74,4;87,2;65,4;52,6;73,9;45,5;75,6;88,8;66,1
1429 Fjaler;1429;Fjaler;259;666;391;13;71;17;246;595;374;55,7;87,9;71;9,5;78;73,9;75;89,2;70,8
1430 Gaular;1430;Gaular;313;793;413;23;90;9;290;703;404;74,9;89,6;72,3;71,9;84,1;64,3;75,1;90,4;72,5
1431 Jølster;1431;Jølster;346;850;366;37;77; : ;309;773; : ;77,9;88,4;70,8;51,4;64,2; : ;83,1;91,9; : 
1432 Førde;1432;Førde;1660;3841;1436;165;401;56;1495;3440;1380;74,6;89,4;73;59,6;77,6;68,3;76,8;91;73,2
1433 Naustdal;1433;Naustdal;306;770;367;15;68;12;291;702;355;74,6;90;72,1;71,4;86,1;70,6;74,8;90,3;72,2
1438 Bremanger;1438;Bremanger;347;1019;436;47;200;25;300;819;411;67,4;86,3;60,2;43,1;76;62,5;73,9;89,2;60,1
1439 Vågsøy;1439;Vågsøy;621;1584;714;79;254;35;542;1330;679;68,4;86,3;61,1;59,4;77,4;64,8;69,9;88,2;60,9
1441 Selje;1441;Selje;278;706;403;16;69;19;262;637;384;74,5;86,4;66,8;66,7;77,5;79,2;75,1;87,5;66,3
1443 Eid;1443;Eid;618;1678;740;44;160;22;574;1518;718;70,7;89,3;69,6;51,2;79,2;53,7;72,8;90,5;70,3
1444 Hornindal;1444;Hornindal;151;336;160;10;38;5;141;298;155;82,1;92,6;78,8;71,4;92,7;83,3;82,9;92,5;78,7
1445 Gloppen;1445;Gloppen;613;1529;786;57;140;16;556;1389;770;76;91,6;70;72,2;81,9;64;76,4;92,7;70,1
1449 Stryn;1449;Stryn;756;2042;872;133;429;48;623;1613;824;73,6;88,7;70,2;64,9;78;62,3;75,8;92;70,7
1502 Molde;1502;Molde;2882;7350;3177;358;952;109;2524;6398;3068;69,2;86,3;65;57,9;75,8;59,2;71,2;88,1;65,2
1504 Ålesund;1504;Ålesund;5543;13385;4895;890;1992;213;4653;11393;4682;71,3;85,9;64,3;64,4;75;62,5;72,7;88,1;64,4
1505 Kristiansund;1505;Kristiansund;2652;6580;2679;351;912;95;2301;5668;2584;68,7;82,2;56,4;59,5;70,7;54,9;70,3;84,4;56,4
1511 Vanylven;1511;Vanylven;285;799;481;22;77;7;263;722;474;69,2;84,9;63,4;71;76,2;46,7;69;86;63,7
1514 Sande (M. og R.);1514;Sande (M. og R.);256;740;332;52;193;27;204;547;305;70,3;87,6;65,9;72,2;85,4;73;69,9;88,4;65,3
1515 Herøy (M. og R.);1515;Herøy (M. og R.);915;2478;947;147;370;35;768;2108;912;72,6;85,9;60;73,5;78,2;64,8;72,5;87,4;59,8
1516 Ulstein;1516;Ulstein;836;2556;839;111;591;60;725;1965;779;70,8;88,1;66,6;56,6;80,7;67,4;73,6;90,6;66,5
1517 Hareid;1517;Hareid;545;1388;559;90;305;28;455;1083;531;68,4;84,7;66,2;67,2;76,6;63,6;68,6;87,3;66,4
1519 Volda;1519;Volda;996;2312;1038;96;220;33;900;2092;1005;62,4;85,7;66,1;40;66,5;62,3;66,4;88,3;66,2
1520 Ørsta;1520;Ørsta;1164;2838;1210;97;269;30;1067;2569;1180;73,1;86,5;63,4;61,4;74,3;57,7;74,4;88;63,5
1523 Ørskog;1523;Ørskog;233;620;323;29;120;18;204;500;305;73,5;86;66,7;54,7;73,6;54,5;77,3;89,6;67,6
1524 Norddal;1524;Norddal;156;442;250;14;73;9;142;369;241;76,5;89,7;76;93,3;88;64,3;75,1;90;76,5
1525 Stranda;1525;Stranda;525;1311;562;146;260;31;379;1051;531;74,9;90,9;70;78,5;84,7;83,8;73,6;92,5;69,3
1526 Stordal;1526;Stordal;79;296;115;17;67;5;62;229;110;62,2;85,1;70,1;63;80,7;55,6;62;86,4;71
1528 Sykkylven;1528;Sykkylven;751;2221;1019;119;333;49;632;1888;970;70,7;87,9;71,4;64,3;75,5;66,2;72,1;90,6;71,7
1529 Skodje;1529;Skodje;495;1274;478;60;146;9;435;1128;469;73,8;86,8;63,9;74,1;75,3;39,1;73,7;88,6;64,7
1531 Sula;1531;Sula;959;2491;948;111;371;32;848;2120;916;75,7;88,4;66,1;76;80,5;55,2;75,6;89,9;66,6
1532 Giske;1532;Giske;883;2213;861;88;295;35;795;1918;826;75,5;88,7;67,3;61,5;77,2;61,4;77,5;90,8;67,6
1534 Haram;1534;Haram;912;2505;1124;126;497;67;786;2008;1057;73;86,4;66,4;63,3;77,3;65;74,9;89;66,5
1535 Vestnes;1535;Vestnes;690;1792;820;74;313;38;616;1479;782;69;84,6;61,1;58,3;79,4;65,5;70,6;85,7;61
1539 Rauma;1539;Rauma;757;2005;946;69;237;31;688;1768;915;74,7;87,1;64,2;75,8;87,5;64,6;74,5;87;64,2
1543 Nesset;1543;Nesset;345;798;378;12;71;10;333;727;368;75,7;86,6;64,5;75;75,5;66,7;75,7;87,9;64,4
1545 Midsund;1545;Midsund;188;549;234;29;109;11;159;440;223;76,7;88;65,2;70,7;83,8;78,6;77,9;89,1;64,6
1546 Sandøy;1546;Sandøy;110;343;202;25;68;9;85;275;193;73,8;90;74,3;71,4;82,9;81,8;74,6;92;73,9
1547 Aukra;1547;Aukra;347;905;394;40;139;21;307;766;373;74,3;86,9;64,3;69;80,3;77,8;75,1;88,1;63,7
1548 Fræna;1548;Fræna;1112;2682;1112;91;287;33;1021;2395;1079;74,7;85,3;63,1;62,8;71,6;51,6;76;87,3;63,6
1551 Eide;1551;Eide;357;945;433;22;87;16;335;858;417;72;87,9;68,4;47,8;74,4;69,6;74,4;89,6;68,4
1554 Averøy;1554;Averøy;574;1549;742;52;209;31;522;1340;711;74,4;85,3;65,4;76,5;80,7;79,5;74,1;86,1;64,9
1557 Gjemnes;1557;Gjemnes;233;697;381;26;66;7;207;631;374;70,8;88,5;67,4;48,1;78,6;70;75,3;89,6;67,4
1560 Tingvoll;1560;Tingvoll;267;799;379;18;105;13;249;694;366;69,2;84,6;59,1;40;75,5;68,4;73;86,1;58,8
1563 Sunndal;1563;Sunndal;614;1938;826;42;154;16;572;1784;810;59,2;85,5;59;28,4;61,6;40;64,3;88,5;59,6
1566 Surnadal;1566;Surnadal;611;1620;721;23;91;14;588;1529;707;74,3;88,4;60,1;52,3;74,6;48,3;75,6;89,4;60,4
1567 Rindal;1567;Rindal;226;550;241;6;11; : ;220;539; : ;77,7;92,4;64,8;75;84,6; : ;77,7;92,6; : 
1571 Halsa;1571;Halsa;156;372;241;13;23;5;143;349;236;80;84,5;64,1;86,7;65,7;50;79,4;86,2;64,5
1573 Smøla;1573;Smøla;221;549;290;17;77;10;204;472;280;79,8;85,5;59,8;77,3;80,2;55,6;80;86,4;60
1576 Aure;1576;Aure;289;969;472;24;144;12;265;825;460;66,9;84,5;62,4;54,5;77;57,1;68,3;85,9;62,6
1601 Trondheim;1601;Trondheim;25371;53007;17409;3233;7254;913;22138;45753;16496;68,1;84,5;62,1;53,6;71,1;54,4;70,9;87,1;62,6
1612 Hemne;1612;Hemne;447;1095;494;22;73;14;425;1022;480;70,6;85,6;59,6;36,1;68,9;58,3;74,3;87,1;59,6
1613 Snillfjord;1613;Snillfjord;108;264;127;0;24; : ;108;240; : ;81,2;87,1;62,9;0;82,8; : ;82,4;87,6; : 
1617 Hitra;1617;Hitra;509;1268;444;153;324;36;356;944;408;74,4;83,3;51,6;72,5;78,8;67,9;75,3;85;50,5
1620 Frøya;1620;Frøya;543;1316;416;192;342;28;351;974;388;77,6;85,2;54,1;83,1;84,9;77,8;74,8;85,3;52,9
1621 Ørland;1621;Ørland;626;1398;536;23;115;9;603;1283;527;74;83,7;59,8;54,8;76,2;45;75;84,5;60,1
1622 Agdenes;1622;Agdenes;182;443;218;13;43;8;169;400;210;75,5;85,9;64,5;54,2;72,9;57,1;77,9;87,5;64,8
1624 Rissa;1624;Rissa;622;1813;714;47;213;22;575;1600;692;68;84;58,1;49,5;72;48,9;70,1;85,9;58,4
1627 Bjugn;1627;Bjugn;458;1128;546;25;103;11;433;1025;535;72,9;81,2;56,3;65,8;78;55;73,4;81,5;56,4
1630 Åfjord;1630;Åfjord;337;863;410;13;42; : ;324;821; : ;76,8;88,7;64;68,4;85,7; : ;77,1;88,9; : 
1632 Roan;1632;Roan;100;242;146;4;33;4;96;209;142;77,5;87,1;60,6;57,1;86,8;80;78,7;87,1;60,2
1633 Osen;1633;Osen;82;251;134; : ;15; : ; : ;236; : ;71,3;90,3;56,3; : ;71,4; : ; : ;91,8; : 
1634 Oppdal;1634;Oppdal;699;1842;798;71;171;23;628;1671;775;71,9;86,1;60,7;60,2;71;59;73,5;88;60,8
1635 Rennebu;1635;Rennebu;264;633;362;11;38;7;253;595;355;74,4;86,7;64,9;61,1;74,5;100;75,1;87,6;64,4
1636 Meldal;1636;Meldal;413;967;444;28;79;4;385;888;440;73,8;80,4;56,6;57,1;77,5; : ;75,3;80,7; : 
1638 Orkdal;1638;Orkdal;1192;3184;1323;85;245;37;1107;2939;1286;72,9;84;59,7;53,5;69,4;52,9;75;85,5;59,9
1640 Røros;1640;Røros;568;1524;791;58;134;27;510;1390;764;76,3;88,1;65,4;77,3;78,8;60;76,2;89,1;65,6
1644 Holtålen;1644;Holtålen;214;501;262;9;36;4;205;465;258;82,6;85,9;58,9;81,8;73,5;50;82,7;87,1;59
1648 Midtre Gauldal;1648;Midtre Gauldal;810;1826;667;141;345;22;669;1481;645;78,9;86,3;63,6;70,5;84,4;71;80,9;86,8;63,4
1653 Melhus;1653;Melhus;1771;4678;1600;120;357;31;1651;4321;1569;75,1;86,4;63,3;56,3;72;56,4;77;87,9;63,5
1657 Skaun;1657;Skaun;769;2271;716;43;126;17;726;2145;699;75;87,6;61,9;55,8;78,8;70,8;76,5;88,2;61,7
1662 Klæbu;1662;Klæbu;631;1906;515;54;154;15;577;1752;500;71;88,1;61,8;63,5;74,8;60;71,8;89,5;61,8
1663 Malvik;1663;Malvik;1246;4283;1249;110;430;46;1136;3853;1203;67,6;86,8;60,8;58,8;77,5;60,5;68,6;88;60,8
1664 Selbu;1664;Selbu;425;1105;486;17;71;11;408;1034;475;76,4;87,8;62,5;48,6;76,3;52,4;78,3;88,7;62,7
1665 Tydal;1665;Tydal;107;224;122;7;14; : ;100;210; : ;77,5;91,1;75,8;87,5;93,3; : ;76,9;90,9; : 
1702 Steinkjer;1702;Steinkjer;2201;5592;2431;133;392;53;2068;5200;2378;67,5;84,1;59,2;40,7;64,4;51;70,5;86;59,5
1703 Namsos;1703;Namsos;1413;3463;1433;81;267;47;1332;3196;1386;67,7;85,3;61,4;38,2;68,1;65,3;71;87,1;61,2
1711 Meråker;1711;Meråker;213;611;279;20;57;8;193;554;271;58,8;78,6;53,7;32,8;54,8;40;64,1;82,3;54,2
1714 Stjørdal;1714;Stjørdal;2352;6463;2365;134;520;68;2218;5943;2297;72;85,5;60,9;46,4;72,4;51,1;74,5;86,9;61,3
1717 Frosta;1717;Frosta;254;678;273;35;64; : ;219;614; : ;67,7;83,8;57,7;68,6;74,4; : ;67,6;84,9; : 
1718 Leksvik;1718;Leksvik;297;938;432;19;87;9;278;851;423;67,3;85,8;57,1;61,3;76,3;52,9;67,8;86,9;57,2
1719 Levanger;1719;Levanger;2163;5264;2155;188;456;63;1975;4808;2092;70;86,8;61,6;59,9;74,6;55,8;71,2;88,1;61,8
1721 Verdal;1721;Verdal;1534;4000;1577;86;366;37;1448;3634;1540;70,5;83,1;55;51,2;68,4;48,7;72,1;85;55,1
1724 Verran;1724;Verran;215;615;230;16;90;12;199;525;218;63,8;72,6;47,1;45,7;50,6;52,2;65,9;78,5;46,9
1725 Namdalseid;1725;Namdalseid;182;404;226;6;32;4;176;372;222;78,1;85,6;62,3; : ;84,2;57,1; : ;85,7;62,4
1736 Snåsa;1736;Snåsa;240;561;275;6;26;8;234;535;267;74,8;89,9;66,6;100;78,8;61,5;74,3;90,5;66,8
1738 Lierne;1738;Lierne;136;361;233;13;32;9;123;329;224;80,5;90,7;73,7;76,5;91,4;64,3;80,9;90,6;74,2
1739 Røyrvik;1739;Røyrvik;51;119;78;5;11;5;46;108;73;76,1;89,5;72,2;83,3;84,6;83,3;75,4;90;71,6
1740 Namsskogan;1740;Namsskogan;67;226;122; : ;16;5; : ;210;117;70,5;83,7;61,6; : ;80;71,4; : ;84;61,3
1742 Grong;1742;Grong;227;583;331;30;44;10;197;539;321;58,7;82,9;68,5;31,6;51,2;55,6;67,5;87,4;69
1743 Høylandet;1743;Høylandet;114;322;195;5;20;4;109;302;191;76,5;92,5;74,1;55,6;87;100;77,9;92,9;73,7
1744 Overhalla;1744;Overhalla;411;1016;470;31;59;6;380;957;464;71,5;88,3;69,6;50,8;72,8;54,5;73,9;89,5;69,9
1748 Fosnes;1748;Fosnes;54;155;82; : ;21; : ; : ;134; : ;62,8;82,9;60,3; : ;77,8; : ; : ;83,8; : 
1749 Flatanger;1749;Flatanger;112;286;169;9;37; : ;103;249; : ;67,9;87,2;68,1;40,9;86; : ;72;87,4; : 
1750 Vikna;1750;Vikna;486;1223;459;49;124;12;437;1099;447;74,3;88,1;64;63,6;75,6;60;75,7;89,8;64,1
1751 Nærøy;1751;Nærøy;548;1335;545;32;110;17;516;1225;528;72,7;85,1;57,6;55,2;70,1;58,6;74,1;86,8;57,6
1755 Leka;1755;Leka;50;122;91;0;17;4;50;105;87;71,4;89,1;61,5;0;89,5;66,7;72,5;89;61,3
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);671;1766;834;31;92;23;640;1674;811;69,2;86,8;61,2;48,4;68,7;69,7;70,7;88,1;61
1804 Bodø;1804;Bodø;6131;14958;5093;597;1325;158;5534;13633;4935;71,4;86,5;62,7;54,9;70,2;53,7;73,8;88,5;63,1
1805 Narvik;1805;Narvik;2127;4849;1915;275;594;105;1852;4255;1810;67,8;82,5;54,7;51,6;70,4;66,5;71,1;84,6;54,2
1811 Bindal;1811;Bindal;119;327;194;5;13; : ;114;314; : ;64,7;83,4;51,1;45,5;59,1; : ;65,9;84,9; : 
1812 Sømna;1812;Sømna;186;553;248;9;38; : ;177;515; : ;65,7;84,9;61,8;36;71,7; : ;68,6;86,1; : 
1813 Brønnøy;1813;Brønnøy;783;2210;842;52;162;19;731;2048;823;66,5;84,6;60,8;50,5;65,1;57,6;68;86,7;60,9
1815 Vega;1815;Vega;109;306;166; : ;22;0; : ;284;166;72,7;81,8;63,4; : ;71;0; : ;82,8;63,8
1816 Vevelstad;1816;Vevelstad;41;132;72; : ;16; : ; : ;116; : ;82;86,3;56,3; : ;84,2; : ; : ;86,6; : 
1818 Herøy (Nordl.);1818;Herøy (Nordl.);196;412;198;43;62;9;153;350;189;68,8;79,7;54,8;58,9;68,1;69,2;72,2;82,2;54,3
