kommune;kommune_nr;kommune_navn;bosetting.bosatt_per_1000
Nedbrytninger;;;enhet.promille
0829 Kviteseid;829;Kviteseid;0
0830 Nissedal;830;Nissedal;0
0831 Fyresdal;831;Fyresdal;3,837298542
0833 Tokke;833;Tokke;0
0834 Vinje;834;Vinje;0
0901 Risør;901;Risør;4,348456298
0904 Grimstad;904;Grimstad;1,698572281
0906 Arendal;906;Arendal;1,20891403
0911 Gjerstad;911;Gjerstad;5,624748895
0912 Vegårshei;912;Vegårshei;0
0914 Tvedestrand;914;Tvedestrand;0,99026242
0919 Froland;919;Froland;0
0926 Lillesand;926;Lillesand;1,0884623
0928 Birkenes;928;Birkenes;2,002803925
0929 Åmli;929;Åmli;2,762430939
0935 Iveland;935;Iveland;3,805175038
0937 Evje og Hornnes;937;Evje og Hornnes;2,2541561
0938 Bygland;938;Bygland;0
0940 Valle;940;Valle;7,086614173
0941 Bykle;941;Bykle;1,054852321
1001 Kristiansand;1001;Kristiansand;1,767791308
1002 Mandal;1002;Mandal;1,824223076
1003 Farsund;1003;Farsund;1,996637243
1004 Flekkefjord;1004;Flekkefjord;1,442361034
1014 Vennesla;1014;Vennesla;1,573001573
1017 Songdalen;1017;Songdalen;3,173092178
1018 Søgne;1018;Søgne;1,090413448
1021 Marnardal;1021;Marnardal;2,620087336
1026 Åseral;1026;Åseral;0
1027 Audnedal;1027;Audnedal;5,163511188
1029 Lindesnes;1029;Lindesnes;3,090871626
1032 Lyngdal;1032;Lyngdal;2,962231548
1034 Hægebostad;1034;Hægebostad;0
1037 Kvinesdal;1037;Kvinesdal;4,24376167
1046 Sirdal;1046;Sirdal;2,730748225
1101 Eigersund;1101;Eigersund;2,700695429
1102 Sandnes;1102;Sandnes;0,792767733
1103 Stavanger;1103;Stavanger;0,726555211
1106 Haugesund;1106;Haugesund;0,914152747
1111 Sokndal;1111;Sokndal;0
1112 Lund;1112;Lund;3,410852713
1114 Bjerkreim;1114;Bjerkreim;0
1119 Hå;1119;Hå;0,552028705
1120 Klepp;1120;Klepp;1,136056262
1121 Time;1121;Time;1,005755154
1122 Gjesdal;1122;Gjesdal;1,325439604
1124 Sola;1124;Sola;0,478411673
1127 Randaberg;1127;Randaberg;1,056067588
1129 Forsand;1129;Forsand;0
1130 Strand;1130;Strand;1,894719499
1133 Hjelmeland;1133;Hjelmeland;3,946896304
1134 Suldal;1134;Suldal;0,77299665
1135 Sauda;1135;Sauda;2,100840336
1141 Finnøy;1141;Finnøy;0
1142 Rennesøy;1142;Rennesøy;1,682439537
1144 Kvitsøy;1144;Kvitsøy;0
1145 Bokn;1145;Bokn;0
1146 Tysvær;1146;Tysvær;2,343457068
1149 Karmøy;1149;Karmøy;0,886163868
1151 Utsira;1151;Utsira;0
1160 Vindafjord;1160;Vindafjord;1,143249114
1201 Bergen;1201;Bergen;1,169336898
1211 Etne;1211;Etne;2,957850629
1216 Sveio;1216;Sveio;1,830496064
1219 Bømlo;1219;Bømlo;1,361818027
1221 Stord;1221;Stord;0,759837178
1222 Fitjar;1222;Fitjar;0
1223 Tysnes;1223;Tysnes;0
1224 Kvinnherad;1224;Kvinnherad;0,529020556
1227 Jondal;1227;Jondal;0
1228 Odda;1228;Odda;3,42563517
1231 Ullensvang;1231;Ullensvang;4,749183734
1232 Eidfjord;1232;Eidfjord;4,210526316
1233 Ulvik;1233;Ulvik;0
1234 Granvin;1234;Granvin;0
1235 Voss;1235;Voss;1,764539808
1238 Kvam;1238;Kvam;0,116495806
1241 Fusa;1241;Fusa;0
1242 Samnanger;1242;Samnanger;0
1243 Os (Hord.);1243;Os (Hord.);0,481850305
1244 Austevoll;1244;Austevoll;0,406173842
1245 Sund;1245;Sund;0,301431801
1246 Fjell;1246;Fjell;0,503102465
1247 Askøy;1247;Askøy;0,804505229
1251 Vaksdal;1251;Vaksdal;1,93236715
1252 Modalen;1252;Modalen;0
1253 Osterøy;1253;Osterøy;0
1256 Meland;1256;Meland;1,590668081
1259 Øygarden;1259;Øygarden;3,18877551
1260 Radøy;1260;Radøy;0,595356221
1263 Lindås;1263;Lindås;0,929059659
1264 Austrheim;1264;Austrheim;1,411930815
1265 Fedje;1265;Fedje;0
1266 Masfjorden;1266;Masfjorden;0
1401 Flora;1401;Flora;3,310977163
1411 Gulen;1411;Gulen;0
1412 Solund;1412;Solund;0
1413 Hyllestad;1413;Hyllestad;5,032350827
1416 Høyanger;1416;Høyanger;4,06406885
1417 Vik;1417;Vik;0,37202381
1418 Balestrand;1418;Balestrand;0
1419 Leikanger;1419;Leikanger;2,204585538
1420 Sogndal;1420;Sogndal;4,460186278
1421 Aurland;1421;Aurland;0
1422 Lærdal;1422;Lærdal;0
1424 Årdal;1424;Årdal;0
1426 Luster;1426;Luster;2,161524858
1428 Askvoll;1428;Askvoll;0
1429 Fjaler;1429;Fjaler;0
1430 Gaular;1430;Gaular;0
1431 Jølster;1431;Jølster;0,651465798
1432 Førde;1432;Førde;1,813165156
1433 Naustdal;1433;Naustdal;0
1438 Bremanger;1438;Bremanger;0
1439 Vågsøy;1439;Vågsøy;0
1441 Selje;1441;Selje;0
1443 Eid;1443;Eid;1,518731016
1444 Hornindal;1444;Hornindal;0
1445 Gloppen;1445;Gloppen;2,809975413
1449 Stryn;1449;Stryn;2,803476311
1502 Molde;1502;Molde;2,03470516
1504 Ålesund;1504;Ålesund;0,874374276
1505 Kristiansund;1505;Kristiansund;1,721664275
1511 Vanylven;1511;Vanylven;0
1514 Sande (M. og R.);1514;Sande (M. og R.);0
1515 Herøy (M. og R.);1515;Herøy (M. og R.);1,130326664
1516 Ulstein;1516;Ulstein;2,595155709
1517 Hareid;1517;Hareid;0
1519 Volda;1519;Volda;2,581658997
1520 Ørsta;1520;Ørsta;2,182991648
1523 Ørskog;1523;Ørskog;1,73837462
1524 Norddal;1524;Norddal;0
1525 Stranda;1525;Stranda;0
1526 Stordal;1526;Stordal;0,966183575
1528 Sykkylven;1528;Sykkylven;2,587322122
1529 Skodje;1529;Skodje;0
1531 Sula;1531;Sula;0,809155011
1532 Giske;1532;Giske;0,646078305
1534 Haram;1534;Haram;1,210920299
1535 Vestnes;1535;Vestnes;2,569916856
1539 Rauma;1539;Rauma;0
1543 Nesset;1543;Nesset;0
1545 Midsund;1545;Midsund;0
1546 Sandøy;1546;Sandøy;0
1547 Aukra;1547;Aukra;0,296120817
1548 Fræna;1548;Fræna;0,925925926
1551 Eide;1551;Eide;0,864304235
1554 Averøy;1554;Averøy;2,637594514
1557 Gjemnes;1557;Gjemnes;0
1560 Tingvoll;1560;Tingvoll;0,979112272
1563 Sunndal;1563;Sunndal;5,717473156
1566 Surnadal;1566;Surnadal;1,847497481
1567 Rindal;1567;Rindal;0
1571 Halsa;1571;Halsa;0
1573 Smøla;1573;Smøla;0
1576 Aure;1576;Aure;3,634330445
1601 Trondheim;1601;Trondheim;1,378855715
1612 Hemne;1612;Hemne;0,473484848
1613 Snillfjord;1613;Snillfjord;0
1617 Hitra;1617;Hitra;0,221141088
1620 Frøya;1620;Frøya;0
