kommune;kommune_nr;kommune_navn;bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt;bosetting.anmodning;bosetting.anmodning
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
0101 Halden;101;Halden;21;100;22;104,76;35;166,67
0104 Moss;104;Moss;20;100;20;100;45;225,00
0105 Sarpsborg;105;Sarpsborg;65;100;59;90,77;60;92,31
0106 Fredrikstad;106;Fredrikstad;69;100;59;85,51;100;144,93
0111 Hvaler;111;Hvaler;15;100;12;80;15;100,00
0118 Aremark;118;Aremark;.;.;0;.;15;.
0119 Marker;119;Marker;4;100;5;125;10;250,00
0121 Rømskog;121;Rømskog;.;.;0;.;10;.
0122 Trøgstad;122;Trøgstad;3;100;0;0;10;333,33
0123 Spydeberg;123;Spydeberg;10;100;8;80;15;150,00
0124 Askim;124;Askim;11;100;10;90,91;20;181,82
0125 Eidsberg;125;Eidsberg;11;100;6;54,55;20;181,82
0127 Skiptvet;127;Skiptvet;5;100;2;40;10;200,00
0128 Rakkestad;128;Rakkestad;6;100;4;66,67;15;250,00
0135 Råde;135;Råde;5;100;6;120;15;300,00
0136 Rygge;136;Rygge;10;100;11;110;20;200,00
0137 Våler (Østfold);137;Våler (Østf.);10;100;5;50;10;100,00
0138 Hobøl;138;Hobøl;0;.;0;.;10;.
0211 Vestby;211;Vestby;17;100;18;105,88;20;117,65
0213 Ski;213;Ski;57;100;54;94,74;57;100,00
0214 Ås;214;Ås;20;100;18;90;22;110,00
0215 Frogn;215;Frogn;20;100;17;85;22;110,00
0216 Nesodden;216;Nesodden;.;.;24;.;20;.
0217 Oppegård;217;Oppegård;40;100;43;107,5;40;100,00
0219 Bærum;219;Bærum;140;100;99;70,71;160;114,29
0220 Asker;220;Asker;65;100;65;100;75;115,38
0221 Aurskog Høland;221;Aurskog-Høland;13;100;10;76,92;15;115,38
0226 Sørum;226;Sørum;15;100;11;73,33;20;133,33
0227 Fet;227;Fet;15;100;2;13,33;15;100,00
0228 Rælingen;228;Rælingen;20;100;20;100;20;100,00
0229 Enebakk;229;Enebakk;5;100;7;140;15;300,00
0230 Lørenskog;230;Lørenskog;27;100;29;107,41;47;174,07
0231 Skedsmo;231;Skedsmo;75;100;68;90,67;75;100,00
0233 Nittedal;233;Nittedal;15;100;13;86,67;25;166,67
0234 Gjerdrum;234;Gjerdrum;7;100;7;100;9;128,57
0235 Ullensaker;235;Ullensaker;20;100;22;110;35;175,00
0236 Nes (Akershus);236;Nes (Ak.);25;100;25;100;25;100,00
0237 Eidsvoll;237;Eidsvoll;15;100;19;126,67;25;166,67
0238 Nannestad;238;Nannestad;15;100;15;100;15;100,00
0239 Hurdal;239;Hurdal;10;100;4;40;10;100,00
0301 Oslo;301;Oslo kommune;500;100;495;99;500;100,00
0402 Kongsvinger;402;Kongsvinger;25;100;33;132;40;160,00
0403 Hamar;403;Hamar;40;100;41;102,5;70;175,00
0412 Ringsaker;412;Ringsaker;34;100;34;100;55;161,76
0415 Løten;415;Løten;9;100;9;100;15;166,67
0417 Stange;417;Stange;30;100;39;130;35;116,67
0418 Nord-Odal;418;Nord-Odal;6;100;6;100;10;166,67
0419 Sør-Odal;419;Sør-Odal;10;100;6;60;10;100,00
0420 Eidskog;420;Eidskog;5;100;6;120;10;200,00
0423 Grue;423;Grue;5;100;2;40;10;200,00
0425 Åsnes;425;Åsnes;1;100;2;200;15;1500,00
0426 Våler (Hedm.);426;Våler (Hedm.);0;.;0;.;10;.
0427 Elverum;427;Elverum;40;100;34;85;50;125,00
0428 Trysil;428;Trysil;10;100;10;100;15;150,00
0429 Åmot;429;Åmot;10;100;7;70;10;100,00
0430 Stor-Elvdal;430;Stor-Elvdal;8;100;2;25;10;125,00
0432 Rendalen;432;Rendalen;11;100;11;100;10;90,91
0434 Engerdal;434;Engerdal;0;.;7;.;10;.
0436 Tolga;436;Tolga;7;100;5;71,43;15;214,29
0437 Tynset;437;Tynset;20;100;16;80;20;100,00
0438 Alvdal;438;Alvdal;3;100;4;133,33;10;333,33
0439 Folldal;439;Folldal;6;100;6;100;10;166,67
0441 Os (Hedm.);441;Os (Hedm.);7;100;9;128,57;10;142,86
0501 Lillehammer;501;Lillehammer;55;100;47;85,45;55;100,00
0502 Gjøvik;502;Gjøvik;55;100;52;94,55;55;100,00
0511 Dovre;511;Dovre;5;100;6;120;10;200,00
0512 Lesja;512;Lesja;5;100;5;100;10;200,00
0513 Skjåk;513;Skjåk;5;100;5;100;10;200,00
0514 Lom;514;Lom;10;100;12;120;10;100,00
0515 Vågå;515;Vågå;12;100;11;91,67;12;100,00
0516 Nord-Fron;516;Nord-Fron;15;100;18;120;20;133,33
0517 Sel;517;Sel;10;100;20;200;15;150,00
0519 Sør-Fron;519;Sør-Fron;5;100;2;40;10;200,00
0520 Ringebu;520;Ringebu;10;100;10;100;10;100,00
0521 Øyer;521;Øyer;15;100;11;73,33;15;100,00
0522 Gausdal;522;Gausdal;5;100;5;100;15;300,00
0528 Østre Toten;528;Østre Toten;20;100;16;80;25;125,00
0529 Vestre Toten;529;Vestre Toten;15;100;15;100;25;166,67
0532 Jevnaker;532;Jevnaker;20;100;17;85;20;100,00
