kommune;kommune_nr;kommune_navn;bosetting.anmodning;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_per_1000;bosetting.bosatt_av_anmodede;bosetting.bosatt_av_vedtak;bosetting.bosatt_siste_trear;bosetting.bosatt_per_1000_snitt_trear;;;
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.promille;enhet.prosent;enhet.prosent;enhet.personer;enhet.promille;;;
0101 Halden;0101;Halden;30,00;10,00;6,00;0,200803213;20;60,00;.;.;;;
0104 Moss;0104;Moss;50,00;20,00;34,00;1,097198916;68;170,00;.;.;;;
0105 Sarpsborg;0105;Sarpsborg;60,00;60,00;44,00;0,81942789;73,33333333;73,33;.;.;;;
0106 Fredrikstad;0106;Fredrikstad;100,00;50,00;48,00;0,624943039;48;96,00;.;.;;;
0111 Hvaler;0111;Hvaler;10,00;4,00;5,00;1,16713352;50;125,00;.;.;;;
0118 Aremark;0118;Aremark;15,00;.;0,00;0;0;.;.;.;;;
0119 Marker;0119;Marker;15,00;3,00;5,00;1,393922498;33,33333333;166,67;.;.;;;
0121 Rømskog;0121;Rømskog;0,00;.;0,00;0;.;.;.;.;;;
0122 Trøgstad;0122;Trøgstad;15,00;5,00;5,00;0,948226816;33,33333333;100,00;.;.;;;
0123 Spydeberg;0123;Spydeberg;15,00;10,00;11,00;2,009499452;73,33333333;110,00;.;.;;;
0124 Askim;0124;Askim;25,00;10,00;9,00;0,587659158;36;90,00;.;.;;;
0125 Eidsberg;0125;Eidsberg;25,00;12,00;7,00;0,625279142;28;58,33;.;.;;;
0127 Skiptvet;0127;Skiptvet;5,00;5,00;8,00;2,181025082;160;160,00;.;.;;;
0128 Rakkestad;0128;Rakkestad;15,00;0,00;0,00;0;0;.;.;.;;;
0135 Råde;0135;Råde;15,00;10,00;11,00;1,55962002;73,33333333;110,00;.;.;;;
0136 Rygge;0136;Rygge;10,00;2,00;4,00;0,267254627;40;200,00;.;.;;;
0137 Våler (Østfold);0137;Våler (Østf.);5,00;.;0,00;0;0;.;.;.;;;
0138 Hobøl;0138;Hobøl;15,00;.;0,00;0;0;.;.;.;;;
0211 Vestby;0211;Vestby;20,00;10,00;12,00;0,7689843;60;120,00;.;.;;;
0213 Ski;0213;Ski;50,00;50,00;33,00;1,126010851;66;66,00;.;.;;;
0214 Ås;0214;Ås;15,00;15,00;14,00;0,796903461;93,33333333;93,33;.;.;;;
0215 Frogn;0215;Frogn;15,00;10,00;6,00;0,387872519;40;60,00;.;.;;;
0216 Nesodden;0216;Nesodden;30,00;20,00;12,00;0,666740749;40;60,00;.;.;;;
0217 Oppegård;0217;Oppegård;45,00;30,00;8,00;0,308130802;17,77777778;26,67;.;.;;;
0219 Bærum;0219;Bærum;155,00;135,00;101,00;0,865637615;65,16129032;74,81;.;.;;;
0220 Asker;0220;Asker;85,00;50,00;48,00;0,835974781;56,47058824;96,00;.;.;;;
0221 Aurskog Høland;0221;Aurskog-Høland;16,00;10,00;9,00;0,589777195;56,25;90,00;.;.;;;
0226 Sørum;0226;Sørum;15,00;10,00;9,00;0,55002139;60;90,00;.;.;;;
0227 Fet;0227;Fet;16,00;10,00;13,00;1,202590194;81,25;130,00;.;.;;;
0228 Rælingen;0228;Rælingen;32,00;10,00;15,00;0,913520097;46,875;150,00;.;.;;;
0229 Enebakk;0229;Enebakk;15,00;5,00;5,00;0,473484848;33,33333333;100,00;.;.;;;
0230 Lørenskog;0230;Lørenskog;65,00;20,00;23,00;0,67016317;35,38461538;115,00;.;.;;;
0231 Skedsmo;0231;Skedsmo;60,00;60,00;53,00;1,048840339;88,33333333;88,33;.;.;;;
0233 Nittedal;0233;Nittedal;21,00;15,00;10,00;0,455145419;47,61904762;66,67;.;.;;;
0234 Gjerdrum;0234;Gjerdrum;13,00;10,00;2,00;0,319284802;15,38461538;20,00;.;.;;;
0235 Ullensaker;0235;Ullensaker;25,00;10,00;11,00;0,346533094;44;110,00;.;.;;;
0236 Nes (Akershus);0236;Nes (Ak.);25,00;20,00;19,00;0,958676018;76;95,00;.;.;;;
0237 Eidsvoll;0237;Eidsvoll;20,00;15,00;15,00;0,677445579;75;100,00;.;.;;;
0238 Nannestad;0238;Nannestad;13,00;10,00;8,00;0,695349848;61,53846154;80,00;.;.;;;
0239 Hurdal;0239;Hurdal;13,00;.;0,00;0;0;.;.;.;;;
0301 Oslo;0301;Oslo kommune;450,00;410,00;459,00;0,735617005;102;111,95;.;.;;;
0402 Kongsvinger;0402;Kongsvinger;31,00;25,00;8,00;0,453566164;25,80645161;32,00;.;.;;;
0403 Hamar;0403;Hamar;47,00;40,00;40,00;1,36272272;85,10638298;100,00;.;.;;;
0412 Ringsaker;0412;Ringsaker;31,00;25,00;7,00;0,209543196;22,58064516;28,00;.;.;;;
