Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0604 Kongsberg;604;Kongsberg;203;8;195;3;192;70,5;38,1;73;75;73;88;5;83;1;82;65,2;50;66,4;50;66,7;115;3;112;2;110;75,2;27,3;78,9;100;78,6
0605 Ringerike;605;Ringerike;244;10;234;4;230;66,1;66,7;66,1;57,1;66,3;117;5;112;1;111;60,3;62,5;60,2;25;61;127;5;122;3;119;72,6;71,4;72,6;100;72,1
0625 Nedre Eiker;625;Nedre Eiker;207;6;201;10;191;61,1;40;62;52,6;62,6;103;2;101;5;96;55,7;28,6;56,7;55,6;56,8;104;4;100;5;95;67,5;50;68,5;50;69,9
0626 Lier;626;Lier;239;7;232;10;222;76,6;53,8;77,6;71,4;77,9;119;6;113;3;110;70,8;54,5;72;60;72,4;120;1;119;7;112;83,3;50;83,8;77,8;84,2
0627 Røyken;627;Røyken;165;2;163;3;160;73;50;73,4;60;73,7;77;1;76;2;74;65,8;50;66,1;66,7;66,1;88;1;87;1;86;80,7;50;81,3;50;81,9
0701 Horten;701;Horten;225;5;220;4;216;66,4;50;66,9;100;66,5;113;2;111;2;109;63,1;33,3;64,2;100;63,7;112;3;109;2;107;70;75;69,9;100;69,5
0704 Tønsberg;704;Tønsberg;291;9;282;4;278;69,3;45;70,5;66,7;70,6;136;.;136;.;136;63,3;.;64,8;.;65,1;155;9;146;4;142;75,6;60;76,8;80;76,8
0706 Sandefjord;706;Sandefjord;362;19;343;10;333;68,4;52,8;69,6;71,4;69,5;176;10;166;6;160;63,1;38,5;65,6;60;65,8;186;9;177;4;173;74,4;90;73,8;100;73,3
0709 Larvik;709;Larvik;372;16;356;6;350;69,9;61,5;70,4;66,7;70,4;184;8;176;4;172;64,8;50;65,7;80;65,4;188;8;180;2;178;75,8;80;75,6;50;76,1
0805 Porsgrunn;805;Porsgrunn;308;14;294;5;289;66,8;58,3;67,3;55,6;67,5;157;7;150;3;147;64,9;58,3;65,2;42,9;65,9;151;7;144;2;142;68,9;58,3;69,6;100;69,3
0806 Skien;806;Skien;458;29;429;7;422;69,2;63;69,6;41,2;70,5;210;11;199;5;194;63,1;55;63,6;35,7;64,9;248;18;230;2;228;75,4;69,2;75,9;66,7;76
0904 Grimstad;904;Grimstad;181;1;180;3;177;69,6;9,1;72,3;100;72;87;1;86;2;84;69;50;69,4;100;68,9;94;.;94;1;93;70,1;.;75,2;100;75
0906 Arendal;906;Arendal;381;17;364;6;358;67,4;44,7;69,1;66,7;69,1;197;10;187;3;184;66,3;41,7;68,5;100;68,1;184;7;177;3;174;68,7;50;69,7;50;70,2
1001 Kristiansand;1001;Kristiansand;759;31;728;21;707;71,6;42,5;73,8;67,7;74;362;14;348;6;342;68,3;36,8;70,7;54,5;71,1;397;17;380;15;365;74,9;48,6;76,8;75;76,8
1102 Sandnes;1102;Sandnes;586;8;578;11;567;69,6;33,3;70,7;52,4;71,1;288;3;285;4;281;63,9;21,4;65,2;30,8;66,3;298;5;293;7;286;76,2;50;76,9;87,5;76,7
1103 Stavanger;1103;Stavanger;1081;29;1052;40;1012;73,6;50,9;74,6;66,7;74,9;542;15;527;16;511;70;41,7;71,4;51,6;72,3;539;14;525;24;501;77,7;66,7;78;82,8;77,8
1106 Haugesund;1106;Haugesund;297;9;288;5;283;74,1;75;74;83,3;73,9;158;4;154;4;150;70,2;57,1;70,6;100;70,1;139;5;134;1;133;79;100;78,4;50;78,7
1119 Hå;1119;Hå;139;3;136;1;135;69,2;50;69,7;100;69,6;57;1;56;.;56;59,4;50;59,6;.;59,6;82;2;80;1;79;78,1;50;79,2;100;79
1124 Sola;1124;Sola;232;3;229;6;223;73,2;42,9;73,9;75;73,8;100;2;98;2;96;64,1;66,7;64,1;50;64,4;132;1;131;4;127;82;25;83,4;100;83
1149 Karmøy;1149;Karmøy;465;7;458;1;457;74,6;53,8;75,1;25;75,4;222;2;220;.;220;71,2;33,3;71,9;.;72,1;243;5;238;1;237;78,1;71,4;78,3;33,3;78,7
1201 Bergen;1201;Bergen;2231;61;2170;46;2124;71,9;54;72,5;66,7;72,7;1064;30;1034;22;1012;67,5;54,5;67,9;64,7;68;1167;31;1136;24;1112;76,4;53,4;77,3;68,6;77,5
1502 Molde;1502;Molde;255;2;253;.;253;79,9;50;80,3;.;80,3;127;1;126;.;126;75,1;50;75,4;.;75,4;128;1;127;.;127;85,3;50;85,8;.;85,8
1504 Ålesund;1504;Ålesund;411;4;407;5;402;70;36,4;70,7;83,3;70,5;189;3;186;2;184;66,3;75;66,2;66,7;66,2;222;1;221;3;218;73,5;14,3;74,9;100;74,7
1601 Trondheim;1601;Trondheim;1422;46;1376;30;1346;70,9;56,8;71,5;68,2;71,6;679;16;663;15;648;65,7;41;66,7;60;66,9;743;30;713;15;698;76,4;71,4;76,6;78,9;76,5
1804 Bodø;1804;Bodø;396;5;391;1;390;64,8;33,3;65,6;100;65,5;184;2;182;1;181;59,4;25;60,3;100;60,1;212;3;209;.;209;70,4;42,9;71,1;.;71,1
1902 Tromsø;1902;Tromsø;533;11;522;5;517;62,9;52,4;63,2;83,3;63;280;1;279;2;277;61;14,3;61,7;66,7;61,7;253;10;243;3;240;65,2;71,4;65;100;64,7
