naringsgregion_nr-naringsregionnavn;naringsgregion_nr;naringsgregionnavn;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial;undervisning_grskole.grskole_og_spesial;;undervisning_grskole.grskole_og_spesial;undervisning_grskole.grskole_og_spesial;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
29 Øst-Telemark;29;Øst-Telemark;46;100;46;100;0;0;46;1;.;.;.;.;0;0;.;.;.;.;0;0;.;.;.;.
30 Vest-Telemark;30;Vest-Telemark;25;100;17;68;8;32;17;0,68;.;.;.;.;8;0,32;.;.;.;.;0;0;.;.;.;.
31 Setesdal;31;Setesdal;1;100;0;0;1;100;0;0;.;.;.;.;1;1;.;.;.;.;0;0;.;.;.;.
32 Arendalregionen;32;Arendalregionen;283;100;203;71,7;80;28,26855124;199;0,703180212;.;.;.;.;84;0,296819788;.;.;.;.;0;0;.;.;.;.
33 Lister;33;Lister;72;100;37;51,4;35;48,61111111;33;0,458333333;.;.;.;.;38;0,527777778;.;.;.;.;1;0,013888889;.;.;.;.
34 Mandalsregionen;34;Mandalsregionen;58;100;29;50;29;50;28;0,482758621;.;.;.;.;29;0,5;.;.;.;.;1;0,017241379;.;.;.;.
35 Kristiansandregionen;35;Kristiansandregionen;420;100;177;42,1;243;57,85714286;166;0,395238095;.;.;.;.;244;0,580952381;.;.;.;.;10;0,023809524;.;.;.;.
36 Dalane;36;Dalane;23;100;0;0;23;100;2;0,086956522;.;.;.;.;21;0,913043478;.;.;.;.;0;0;.;.;.;.
37 Haugesundregionen;37;Haugesundregionen;206;100;87;42,2;119;57,76699029;84;0,40776699;.;.;.;.;119;0,577669903;.;.;.;.;3;0,014563107;.;.;.;.
38 Ryfylke;38;Ryfylke;45;100;12;26,7;33;73,33333333;27;0,6;.;.;.;.;18;0,4;.;.;.;.;0;0;.;.;.;.
39 Stavangerregionen;39;Stavangerregionen;643;100;403;62,7;240;37,32503888;393;0,611197512;.;.;.;.;249;0,387247278;.;.;.;.;1;0,00155521;.;.;.;.
40 Bergen;40;Bergen;318;100;204;64,2;114;35,8490566;298;0,937106918;.;.;.;.;17;0,053459119;.;.;.;.;3;0,009433962;.;.;.;.
41 Bjørnefjorden;41;Bjørnefjorden;53;100;25;47,2;28;52,83018868;24;0,452830189;.;.;.;.;29;0,547169811;.;.;.;.;0;0;.;.;.;.
42 Hardanger;42;Hardanger;50;100;18;36;32;64;18;0,36;.;.;.;.;32;0,64;.;.;.;.;0;0;.;.;.;.
43 Voss;43;Voss;56;100;24;42,9;32;57,14285714;24;0,428571429;.;.;.;.;32;0,571428571;.;.;.;.;0;0;.;.;.;.
44 Nordhordland;44;Nordhordland;48;100;19;39,6;29;60,41666667;18;0,375;.;.;.;.;28;0,583333333;.;.;.;.;2;0,041666667;.;.;.;.
45 Osterfjorden;45;Osterfjorden;19;100;0;0;19;100;2;0,105263158;.;.;.;.;14;0,736842105;.;.;.;.;3;0,157894737;.;.;.;.
46 Sunnhordland;46;Sunnhordland;28;100;13;46,4;15;53,57142857;18;0,642857143;.;.;.;.;9;0,321428571;.;.;.;.;1;0,035714286;.;.;.;.
47 Hordaland Vest;47;Hordaland Vest;34;100;21;61,8;13;38,23529412;22;0,647058824;.;.;.;.;12;0,352941176;.;.;.;.;0;0;.;.;.;.
48 HAFS;48;HAFS;12;100;0;0;12;100;0;0;.;.;.;.;12;1;.;.;.;.;0;0;.;.;.;.
49 Nordfjord;49;Nordfjord;45;100;22;48,9;23;51,11111111;22;0,488888889;.;.;.;.;23;0,511111111;.;.;.;.;0;0;.;.;.;.
50 Sogn;50;Sogn;47;100;17;36,2;30;63,82978723;16;0,340425532;.;.;.;.;31;0,659574468;.;.;.;.;0;0;.;.;.;.
51 Sunnfjord;51;Sunnfjord;56;100;23;41,1;33;58,92857143;50;0,892857143;.;.;.;.;6;0,107142857;.;.;.;.;0;0;.;.;.;.
52 Nordmøre;52;Nordmøre;203;100;153;75,4;50;24,63054187;161;0,793103448;.;.;.;.;42;0,206896552;.;.;.;.;0;0;.;.;.;.
53 Romsdal;53;Romsdal;184;100;52;28,3;132;71,73913043;53;0,288043478;.;.;.;.;45;0,244565217;.;.;.;.;86;0,467391304;.;.;.;.
54 Storfjord;54;Storfjord;18;100;0;0;18;100;0;0;.;.;.;.;18;1;.;.;.;.;0;0;.;.;.;.
55 Søre Sunnmøre;55;Søre Sunnmøre;111;100;46;41,4;65;58,55855856;46;0,414414414;.;.;.;.;64;0,576576577;.;.;.;.;1;0,009009009;.;.;.;.
56 Ålesundregionen;56;Ålesundregionen;167;100;47;28,1;120;71,85628743;58;0,347305389;.;.;.;.;109;0,652694611;.;.;.;.;0;0;.;.;.;.
57 Fosen;57;Fosen;26;100;11;42,3;15;57,69230769;11;0,423076923;.;.;.;.;15;0,576923077;.;.;.;.;0;0;.;.;.;.
58 Hitra/Frøya;58;Hitra/Frøya;3;100;0;0;3;100;0;0;.;.;.;.;3;1;.;.;.;.;0;0;.;.;.;.
59 Oppdal/Rennebu;59;Oppdal/Rennebu;5;100;5;100;0;0;5;1;.;.;.;.;0;0;.;.;.;.;0;0;.;.;.;.
60 Orkdalregionen;60;Orkdalregionen;21;100;21;100;0;0;21;1;.;.;.;.;0;0;.;.;.;.;0;0;.;.;.;.
61 Trondheimsregionen;61;Trondheimsregionen;333;100;264;79,3;69;20,72072072;217;0,651651652;.;.;.;.;113;0,339339339;.;.;.;.;3;0,009009009;.;.;.;.
62 Rørosregionen;62;Rørosregionen;17;100;0;0;17;100;0;0;.;.;.;.;17;1;.;.;.;.;0;0;.;.;.;.
63 Stjørdalsregionen;63;Stjørdalsregionen;34;100;17;50;17;50;17;0,5;.;.;.;.;17;0,5;.;.;.;.;0;0;.;.;.;.
64 Innherred;64;Innherred;140;100;77;55;63;45;78;0,557142857;.;.;.;.;62;0,442857143;.;.;.;.;0;0;.;.;.;.
65 Indre Namdal;65;Indre Namdal;20;100;20;100;0;0;20;1;.;.;.;.;0;0;.;.;.;.;0;0;.;.;.;.
66 Kystgruppen;66;Kystgruppen;10;100;8;80;2;20;8;0,8;.;.;.;.;1;0,1;.;.;.;.;1;0,1;.;.;.;.
67 Midtre Namdal;67;Midtre Namdal;47;100;34;72,3;13;27,65957447;34;0,723404255;.;.;.;.;13;0,276595745;.;.;.;.;0;0;.;.;.;.
