kommune;kommune_nr;kommune_navn;bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak;;;;;;;;
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;;;;;;;;
0101 Halden;101;Halden;30;100;6;20,00;10;33,33;;;;;;;;
0104 Moss;104;Moss;50;100;34;68,00;20;40,00;;;;;;;;
0105 Sarpsborg;105;Sarpsborg;60;100;44;73,33;60;100,00;;;;;;;;
0106 Fredrikstad;106;Fredrikstad;100;100;48;48,00;50;50,00;;;;;;;;
0111 Hvaler;111;Hvaler;10;100;5;50,00;4;40,00;;;;;;;;
0118 Aremark;118;Aremark;15;100;0;0,00;.;.;;;;;;;;
0119 Marker;119;Marker;15;100;5;33,33;3;20,00;;;;;;;;
0121 Rømskog;121;Rømskog;0;.;0;.;.;.;;;;;;;;
0122 Trøgstad;122;Trøgstad;15;100;5;33,33;5;33,33;;;;;;;;
0123 Spydeberg;123;Spydeberg;15;100;11;73,33;10;66,67;;;;;;;;
0124 Askim;124;Askim;25;100;9;36,00;10;40,00;;;;;;;;
0125 Eidsberg;125;Eidsberg;25;100;7;28,00;12;48,00;;;;;;;;
0127 Skiptvet;127;Skiptvet;5;100;8;160,00;5;100,00;;;;;;;;
0128 Rakkestad;128;Rakkestad;15;100;0;0,00;0;0,00;;;;;;;;
0135 Råde;135;Råde;15;100;11;73,33;10;66,67;;;;;;;;
0136 Rygge;136;Rygge;10;100;4;40,00;2;20,00;;;;;;;;
0137 Våler (Østfold);137;Våler (Østf.);5;100;0;0,00;.;.;;;;;;;;
0138 Hobøl;138;Hobøl;15;100;0;0,00;.;.;;;;;;;;
0211 Vestby;211;Vestby;20;100;12;60,00;10;50,00;;;;;;;;
0213 Ski;213;Ski;50;100;33;66,00;50;100,00;;;;;;;;
0214 Ås;214;Ås;15;100;14;93,33;15;100,00;;;;;;;;
0215 Frogn;215;Frogn;15;100;6;40,00;10;66,67;;;;;;;;
0216 Nesodden;216;Nesodden;30;100;12;40,00;20;66,67;;;;;;;;
0217 Oppegård;217;Oppegård;45;100;8;17,78;30;66,67;;;;;;;;
0219 Bærum;219;Bærum;155;100;101;65,16;135;87,10;;;;;;;;
0220 Asker;220;Asker;85;100;48;56,47;50;58,82;;;;;;;;
0221 Aurskog Høland;221;Aurskog-Høland;16;100;9;56,25;10;62,50;;;;;;;;
0226 Sørum;226;Sørum;15;100;9;60,00;10;66,67;;;;;;;;
0227 Fet;227;Fet;16;100;13;81,25;10;62,50;;;;;;;;
0228 Rælingen;228;Rælingen;32;100;15;46,88;10;31,25;;;;;;;;
0229 Enebakk;229;Enebakk;15;100;5;33,33;5;33,33;;;;;;;;
0230 Lørenskog;230;Lørenskog;65;100;23;35,38;20;30,77;;;;;;;;
0231 Skedsmo;231;Skedsmo;60;100;53;88,33;60;100,00;;;;;;;;
0233 Nittedal;233;Nittedal;21;100;10;47,62;15;71,43;;;;;;;;
0234 Gjerdrum;234;Gjerdrum;13;100;2;15,38;10;76,92;;;;;;;;
0235 Ullensaker;235;Ullensaker;25;100;11;44,00;10;40,00;;;;;;;;
0236 Nes (Akershus);236;Nes (Ak.);25;100;19;76,00;20;80,00;;;;;;;;
0237 Eidsvoll;237;Eidsvoll;20;100;15;75,00;15;75,00;;;;;;;;
0238 Nannestad;238;Nannestad;13;100;8;61,54;10;76,92;;;;;;;;
0239 Hurdal;239;Hurdal;13;100;0;0,00;.;.;;;;;;;;
0301 Oslo;301;Oslo kommune;450;100;459;102,00;410;91,11;;;;;;;;
0402 Kongsvinger;402;Kongsvinger;31;100;8;25,81;25;80,65;;;;;;;;
0403 Hamar;403;Hamar;47;100;40;85,11;40;85,11;;;;;;;;
0412 Ringsaker;412;Ringsaker;31;100;7;22,58;25;80,65;;;;;;;;
0415 Løten;415;Løten;13;100;8;61,54;10;76,92;;;;;;;;
0417 Stange;417;Stange;36;100;26;72,22;25;69,44;;;;;;;;
0418 Nord-Odal;418;Nord-Odal;13;100;1;7,69;10;76,92;;;;;;;;
0419 Sør-Odal;419;Sør-Odal;13;100;6;46,15;10;76,92;;;;;;;;
0420 Eidskog;420;Eidskog;10;100;1;10,00;.;.;;;;;;;;
0423 Grue;423;Grue;15;100;4;26,67;4;26,67;;;;;;;;
0425 Åsnes;425;Åsnes;15;100;14;93,33;19;126,67;;;;;;;;
0426 Våler (Hedm.);426;Våler (Hedm.);0;.;0;.;.;.;;;;;;;;
0427 Elverum;427;Elverum;41;100;27;65,85;35;85,37;;;;;;;;
0428 Trysil;428;Trysil;14;100;9;64,29;8;57,14;;;;;;;;
0429 Åmot;429;Åmot;2;100;0;0,00;2;100,00;;;;;;;;
0430 Stor-Elvdal;430;Stor-Elvdal;14;100;3;21,43;.;.;;;;;;;;
0432 Rendalen;432;Rendalen;0;.;0;.;.;.;;;;;;;;
0434 Engerdal;434;Engerdal;10;100;5;50,00;5;50,00;;;;;;;;
0436 Tolga;436;Tolga;14;100;7;50,00;7;50,00;;;;;;;;
0437 Tynset;437;Tynset;19;100;15;78,95;15;78,95;;;;;;;;
0438 Alvdal;438;Alvdal;10;100;5;50,00;10;100,00;;;;;;;;
0439 Folldal;439;Folldal;8;100;0;0,00;8;100,00;;;;;;;;
0441 Os (Hedm.);441;Os (Hedm.);10;100;1;10,00;7;70,00;;;;;;;;
0501 Lillehammer;501;Lillehammer;57;100;48;84,21;45;78,95;;;;;;;;
0502 Gjøvik;502;Gjøvik;50;100;44;88,00;50;100,00;;;;;;;;
0511 Dovre;511;Dovre;9;100;6;66,67;.;.;;;;;;;;
0512 Lesja;512;Lesja;0;.;0;.;.;.;;;;;;;;
0513 Skjåk;513;Skjåk;12;100;3;25,00;5;41,67;;;;;;;;
0514 Lom;514;Lom;10;100;0;0,00;11;110,00;;;;;;;;
0515 Vågå;515;Vågå;14;100;10;71,43;12;85,71;;;;;;;;
0516 Nord-Fron;516;Nord-Fron;19;100;13;68,42;15;78,95;;;;;;;;
0517 Sel;517;Sel;9;100;6;66,67;5;55,56;;;;;;;;
0519 Sør-Fron;519;Sør-Fron;5;100;1;20,00;.;.;;;;;;;;
0520 Ringebu;520;Ringebu;16;100;10;62,50;5;31,25;;;;;;;;
0521 Øyer;521;Øyer;20;100;16;80,00;15;75,00;;;;;;;;
0522 Gausdal;522;Gausdal;10;100;5;50,00;5;50,00;;;;;;;;
0528 Østre Toten;528;Østre Toten;19;100;11;57,89;15;78,95;;;;;;;;
0529 Vestre Toten;529;Vestre Toten;19;100;12;63,16;15;78,95;;;;;;;;
0532 Jevnaker;532;Jevnaker;10;100;5;50,00;10;100,00;;;;;;;;
0533 Lunner;533;Lunner;30;100;33;110,00;25;83,33;;;;;;;;
0534 Gran;534;Gran;35;100;30;85,71;30;85,71;;;;;;;;
0536 Søndre Land;536;Søndre Land;10;100;7;70,00;10;100,00;;;;;;;;
0538 Nordre Land;538;Nordre Land;19;100;15;78,95;15;78,95;;;;;;;;
0540 Sør-Aurdal;540;Sør-Aurdal;10;100;4;40,00;7;70,00;;;;;;;;
0541 Etnedal;541;Etnedal;10;100;2;20,00;.;.;;;;;;;;
0542 Nord-Aurdal;542;Nord-Aurdal;14;100;12;85,71;10;71,43;;;;;;;;
0543 Vestre Slidre;543;Vestre Slidre;9;100;0;0,00;5;55,56;;;;;;;;
0544 Øystre Slidre;544;Øystre Slidre;9;100;2;22,22;5;55,56;;;;;;;;
0545 Vang;545;Vang;2;100;2;100,00;2;100,00;;;;;;;;
0602 Drammen;602;Drammen;124;100;133;107,26;124;100,00;;;;;;;;
