naringsregionnr-naringsregionnavn;naringsregion_nr;"naringsregionnavn
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1-5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2-5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk-samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
51 Sunnfjord;51;Sunnfjord;69866600,00;45503500,00;13070500,00;32433000,00;0,00;20926900,00;2094400,00;431800,00;295200,00;614800,00
52 Nordmøre;52;Nordmøre;105072346,00;69689825,00;23974000,00;45715825,00;1418214,00;28459100,00;3676107,00;384900,00;295200,00;1149000,00
53 Romsdal;53;Romsdal;74739898,00;46173700,00;14792500,00;31381200,00;1516789,00;21472100,00;4419309,00;224600,00;147600,00;785800,00
54 Storfjord;54;Storfjord;13892700,00;9169700,00;2874500,00;6295200,00;0,00;4374800,00;0,00;0,00;143000,00;205200,00
55 Søre Sunnmøre;55;Søre Sunnmøre;91261956,00;58022700,00;17652000,00;40370700,00;4060559,00;20948100,00;6820497,00;341300,00;0,00;1068800,00
56 Ålesundregionen;56;Ålesundregionen;73864959,00;47226000,00;15809500,00;31416500,00;0,00;22014900,00;3348859,00;205000,00;147600,00;922600,00
57 Fosen;57;Fosen;15107480,00;7227000,00;3260000,00;3967000,00;0,00;6633780,00;1178100,00;45800,00;0,00;22800,00
58 Hitra/Frøya;58;Hitra/Frøya;9245700,00;4029000,00;165000,00;3864000,00;0,00;5193900,00;0,00;0,00;0,00;22800,00
59 Oppdal/Rennebu;59;Oppdal/Rennebu;12786100,00;10282200,00;3416500,00;6865700,00;0,00;2310800,00;0,00;90500,00;0,00;102600,00
60 Orkdalregionen;60;Orkdalregionen;31785000,00;20612600,00;7064500,00;13548100,00;0,00;9759700,00;785400,00;224600,00;143000,00;259700,00
61 Trondheimsregionen;61;Trondheimsregionen;317202633,00;215104100,00;61779800,00;153324300,00;30301946,00;55128230,00;11819557,00;902800,00;881000,00;3065000,00
62 Rørosregionen;62;Rørosregionen;7118900,00;4822600,00;1275000,00;3547600,00;0,00;2159500,00;0,00;0,00;0,00;136800,00
63 Stjørdalsregionen;63;Stjørdalsregionen;54211215,00;39127150,00;10376000,00;28751150,00;1350615,00;9886600,00;3038350,00;153700,00;143000,00;511800,00
64 Innherred;64;Innherred;117340424,00;85877050,00;28583500,00;57293550,00;600888,00;22800900,00;6162286,00;339100,00;0,00;1560200,00
65 Indre Namdal;65;Indre Namdal;23864414,00;11351100,00;2086500,00;9264600,00;0,00;8871700,00;3096614,00;21800,00;295200,00;228000,00
66 Kystgruppen;66;Kystgruppen;26785500,00;21198300,00;7454550,00;13743750,00;0,00;5131000,00;0,00;137400,00;0,00;318800,00
67 Midtre Namdal;67;Midtre Namdal;52959318,00;35730900,00;12503000,00;23227900,00;183753,00;14515200,00;1493765,00;249700,00;147600,00;638400,00
68 Sør-Helgeland;68;Sør-Helgeland;24045600,00;17360600,00;3800000,00;13560600,00;0,00;6342700,00;0,00;68700,00;0,00;273600,00
69 HALD;69;HALD;49230222,00;35382300,00;11174500,00;24207800,00;0,00;10984400,00;1929422,00;217500,00;0,00;716600,00
70 Ytre Helgeland;70;Ytre Helgeland;1743300,00;70000,00;0,00;70000,00;0,00;1673300,00;0,00;0,00;0,00;0,00
71 Mosjøregionen;71;Mosjøregionen;33684375,00;18277000,00;5680000,00;12597000,00;0,00;12980500,00;2061675,00;91600,00;0,00;273600,00
72 Ranaregionen;72;Ranaregionen;67830077,00;45046500,00;12476500,00;32570000,00;160000,00;17103400,00;4438677,00;158100,00;0,00;923400,00
73 Salten;73;Salten;169238285,00;110658400,00;41051500,00;69606900,00;4037765,00;44355000,00;7503620,00;829700,00;0,00;1853800,00
74 Ofoten;74;Ofoten;54310200,00;37640800,00;13088000,00;24552800,00;1221800,00;14156700,00;261800,00;314000,00;0,00;715100,00
75 Lofoten;75;Lofoten;78173444,00;49882200,00;13764500,00;36117700,00;4827450,00;16871600,00;5148394,00;362000,00;295200,00;786600,00
76 Vesterålen;76;Vesterålen;106022757,00;73983400,00;20869500,00;53113900,00;5088020,00;22372400,00;2323137,00;447000,00;147600,00;1661200,00
77 Sør-Troms;77;Sør-Troms;119949217,00;75344900,00;19213000,00;56131900,00;4079629,00;28827400,00;10009788,00;389300,00;147600,00;1150600,00
78 Midt-Troms;78;Midt-Troms;83724667,00;53853900,00;19712500,00;34141400,00;3229208,00;25001400,00;207259,00;295500,00;147600,00;989800,00
79 Tromsøregionen;79;Tromsøregionen;110789525,00;78202900,00;22009000,00;56193900,00;1841200,00;23967300,00;5006925,00;582200,00;143000,00;1046000,00
80 Nord-Troms;80;Nord-Troms;25498300,00;13493800,00;4823000,00;8670800,00;0,00;11696500,00;0,00;45800,00;0,00;262200,00
81 Vest-Finnmark;81;Vest-Finnmark;68163414,00;40398600,00;10169500,00;30229100,00;1565573,00;18736100,00;6790041,00;114500,00;0,00;558600,00
82 Midt-Finnmark;82;Midt-Finnmark;14117200,00;7058400,00;3200000,00;3858400,00;0,00;5635600,00;1309000,00;45800,00;0,00;68400,00
83 Øst-Finnmark;83;Øst-Finnmark;111852212,00;67475500,00;19668500,00;47807000,00;11760236,00;22188900,00;8606676,00;341300,00;295200,00;1184400,00
