naringsregionnr-naringsregionnavn;naringsregion_nr;"naringsregionnavn
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1-5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2-5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk-samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
01 Halden;1;Halden;12788516,00;8195800,00;1495000,00;6700800,00;0,00;3756500,00;676316,00;68700,00;0,00;91200,00
02 Indre Østfold;2;Indre Østfold;56533545,00;32074500,00;9219500,00;22855000,00;947705,00;19513300,00;3031840,00;113400,00;442800,00;410000,00
03 Mosseregionen;3;Mosseregionen;57739537,00;33134800,00;7008000,00;26126800,00;1958941,00;17674900,00;3991096,00;137400,00;295200,00;547200,00
04 Nedre Glomma;4;Nedre Glomma;123439952,00;82974000,00;24636000,00;58338000,00;1219600,00;29313400,00;7761852,00;380500,00;585800,00;1204800,00
05 Akershus Vest;5;Akershus Vest;182456116,00;115376300,00;33586000,00;81790300,00;12490146,00;37986800,00;13742670,00;386000,00;585800,00;1888400,00
06 Follo;6;Follo;147388012,00;101051900,00;31398500,00;69653400,00;4063155,00;32423500,00;7635157,00;475400,00;0,00;1738900,00
07 Nedre Romerike;7;Nedre Romerike;160696772,00;108409700,00;34140500,00;74269200,00;4998813,00;38477300,00;6596159,00;523400,00;143000,00;1548400,00
08 Øvre Romerike;8;Øvre Romerike;61782374,00;38040700,00;9138500,00;28902200,00;400000,00;18760100,00;3433074,00;182100,00;147600,00;818800,00
09 Oslo;9;Oslo;689577091,00;427991800,00;122889850,00;305101950,00;9494093,00;212375900,00;30896098,00;1660700,00;1914200,00;5244300,00
10 Fjellregionen;10;Fjellregionen;41065445,00;29419000,00;11857000,00;17562000,00;1050673,00;6585500,00;3042072,00;246400,00;290600,00;431200,00
11 Glåmdal;11;Glåmdal;65998186,00;35621750,00;8208000,00;27413750,00;4816006,00;23577700,00;1154930,00;111200,00;0,00;716600,00
12 Hamarregionen;12;Hamarregionen;116644969,00;82424000,00;24911500,00;57512500,00;5169835,00;21772500,00;5038634,00;429600,00;147600,00;1662800,00
13 Sør Østerdal;13;Sør Østerdal;70448330,00;45304800,00;15834000,00;29470800,00;1473297,00;17597200,00;4625133,00;360900,00;290600,00;796400,00
14 Gjøvikregionen;14;Gjøvikregionen;111507850,00;70167300,00;19079600,00;51087700,00;9883465,00;23441500,00;5813885,00;227900,00;585800,00;1388000,00
15 Hadeland;15;Hadeland;63440733,00;52211500,00;18671000,00;33540500,00;223833,00;7786000,00;2094400,00;181000,00;147600,00;796400,00
16 Lillehammerregionen;16;Lillehammerregionen;73398083,00;46157300,00;11195500,00;34961800,00;14237264,00;9110900,00;2824919,00;373100,00;0,00;694600,00
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;13801200,00;8058700,00;156500,00;7902200,00;160000,00;5388700,00;0,00;0,00;0,00;193800,00
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;46243600,00;28911800,00;11263000,00;17648800,00;0,00;15306400,00;1309000,00;272600,00;0,00;443800,00
19 Valdres;19;Valdres;35688700,00;18880800,00;4250000,00;14630800,00;0,00;16295100,00;261800,00;45800,00;0,00;205200,00
20 Drammensregionen;20;Drammensregionen;233203730,00;164219362,00;51124000,00;113095362,00;3905818,00;49876950,00;10576700,00;1156900,00;442800,00;3025200,00
21 Hallingdal;21;Hallingdal;38909599,00;20477900,00;4536500,00;15941400,00;957309,00;15493500,00;1252090,00;91600,00;295200,00;342000,00
22 Kongsberg/Numedal;22;Kongsberg/Numedal;62497502,00;44506900,00;13815500,00;30691400,00;1883015,00;12937600,00;1970687,00;312900,00;0,00;886400,00
23 Midt-Buskerud;23;Midt-Buskerud;22665552,00;15192850,00;4028000,00;11164850,00;612610,00;4562000,00;1821692,00;89400,00;147600,00;239400,00
24 Ringerike/Hole;24;Ringerike/Hole;36670274,00;23429100,00;7587500,00;15841600,00;1158932,00;10850600,00;447242,00;159200,00;147600,00;477600,00
25 Tønsbergregionen;25;Tønsbergregionen;132412107,00;82306000,00;26465000,00;55841000,00;3002856,00;32719100,00;12370551,00;591000,00;0,00;1422600,00
26 Sandefjord/Larvik;26;Sandefjord/Larvik;82435275,00;53746100,00;16763000,00;36983100,00;2315834,00;18291300,00;6515741,00;474300,00;0,00;1092000,00
27 Grenland;27;Grenland;244600069,00;177551000,00;48734500,00;128816500,00;10063379,00;38391800,00;14506390,00;803500,00;147600,00;3136400,00
28 Midt-Telemark;28;Midt-Telemark;49969718,00;29213700,00;7798000,00;21415700,00;6198118,00;10212600,00;3403400,00;179900,00;147600,00;614400,00
29 Øst-Telemark;29;Øst-Telemark;56868877,00;37001750,00;14982500,00;22019250,00;2962855,00;11314000,00;4438672,00;246400,00;438200,00;467000,00
30 Vest-Telemark;30;Vest-Telemark;15664000,00;10921600,00;2485000,00;8436600,00;0,00;4280700,00;130900,00;45800,00;0,00;285000,00
31 Setesdal;31;Setesdal;16531900,00;10755200,00;3511500,00;7243700,00;0,00;4708400,00;523600,00;90500,00;147600,00;306600,00
32 Arendalregionen;32;Arendalregionen;150096370,00;107794100,00;30244500,00;77549600,00;6018802,00;23387100,00;10187368,00;318400,00;442800,00;1947800,00
33 Lister;33;Lister;71160727,00;43510400,00;13441000,00;30069400,00;1691927,00;23322500,00;1047200,00;137400,00;438200,00;1013100,00
34 Mandalsregionen;34;Mandalsregionen;50755774,00;35138000,00;11768000,00;23370000,00;1796616,00;11112900,00;1778058,00;157000,00;0,00;773200,00
35 Kristiansandregionen;35;Kristiansandregionen;234101670,00;164822900,00;50819500,00;114003400,00;9465344,00;43962000,00;11681826,00;898400,00;438200,00;2833000,00
36 Dalane;36;Dalane;36049608,00;23312300,00;8365000,00;14947300,00;487000,00;10138100,00;1712608,00;137400,00;0,00;262200,00
37 Haugesundregionen;37;Haugesundregionen;128948881,00;90577150,00;24026500,00;66550650,00;6140231,00;29503200,00;654500,00;547400,00;0,00;1526400,00
38 Ryfylke;38;Ryfylke;41160018,00;25963200,00;6935000,00;19028200,00;2487518,00;11604400,00;523600,00;68700,00;0,00;512600,00
39 Stavangerregionen;39;Stavangerregionen;297842359,00;187011300,00;48166000,00;138845300,00;6820700,00;84704000,00;14521759,00;1086000,00;885600,00;2813000,00
40 Bergen;40;Bergen;331686441,00;242433175,00;80974125,00;161459050,00;2215271,00;66339700,00;15160495,00;859200,00;706500,00;3972100,00
41 Bjørnefjorden;41;Bjørnefjorden;14840500,00;7439800,00;1495000,00;5944800,00;2344600,00;4811000,00;130900,00;45800,00;0,00;68400,00
42 Hardanger;42;Hardanger;42430445,00;25253700,00;12161500,00;13092200,00;1251561,00;14387800,00;632684,00;182100,00;290600,00;432000,00
43 Voss;43;Voss;23026966,00;15163950,00;4950500,00;10213450,00;0,00;6714700,00;873516,00;128600,00;0,00;146200,00
44 Nordhordland;44;Nordhordland;27571865,00;17261200,00;6408000,00;10853200,00;210600,00;8193300,00;1518965,00;137400,00;0,00;250400,00
45 Osterfjorden;45;Osterfjorden;13207800,00;9370000,00;3103000,00;6267000,00;0,00;3572400,00;130900,00;43600,00;0,00;90900,00
46 Sunnhordland;46;Sunnhordland;68120249,00;43962200,00;11216000,00;32746400,00;320000,00;19924600,00;2421649,00;229000,00;295200,00;967400,00
47 Hordaland Vest;47;Hordaland Vest;61786063,00;44597400,00;12558000,00;32039400,00;399033,00;14297400,00;1547630,00;159200,00;0,00;785400,00
48 HAFS;48;HAFS;3885800,00;1215000,00;1215000,00;0,00;0,00;2625000,00;0,00;45800,00;0,00;0,00
49 Nordfjord;49;Nordfjord;53132075,00;35043000,00;13477000,00;21566000,00;0,00;14254500,00;2821875,00;317300,00;0,00;695400,00
50 Sogn;50;Sogn;56522958,00;37639900,00;15911500,00;21728400,00;0,00;17495800,00;338158,00;206100,00;147600,00;695400,00
