Kommune nr & navn;kommune_nr;"Kommune
navn";botid_3.alle;botid_3.0_4;botid_3.5+;botid_3.0_4;botid_3.0_4;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.0_4;botid_3.5+;botid_3.0_4;botid_3.0_4;botid_3.5+;botid_3.5+
Nedbrytninger;;;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.ja;forste_bosettingskommune.nei
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1941 Skjervøy               ;1941;Skjervøy;38;8;30;5;0;7;8;100;21,1;78,9;13,2;0;18,4;21,1
1942 Nordreisa              ;1942;Nordreisa;85;76;9;76;0;6;0;100;89,4;10,6;89,4;0;7,1;0
2002 Vardø                  ;2002;Vardø;11;0;11;0;0;3;0;100;0;100;0;0;27,3;0
2003 Vadsø                  ;2003;Vadsø;664;460;204;348;34;168;9;100;69,3;30,7;52,4;5,1;25,3;1,4
2004 Hammerfest             ;2004;Hammerfest;417;193;224;164;12;118;49;100;46,3;53,7;39,3;2,9;28,3;11,8
2012 Alta                   ;2012;Alta;377;232;145;158;27;97;22;100;61,5;38,5;41,9;7,2;25,7;5,8
2019 Nordkapp               ;2019;Nordkapp;41;22;19;22;0;16;0;100;53,7;46,3;53,7;0;39;0
2020 Porsanger Porsángu     ;2020;Porsanger Porsángu;64;40;24;40;0;14;5;100;62,5;37,5;62,5;0;21,9;7,8
2027 Unjárga Nesseby        ;2027;Unjárga Nesseby;13;7;6;7;0;0;3;100;53,8;46,2;53,8;0;0;23,1
2028 Båtsfjord              ;2028;Båtsfjord;34;10;24;10;0;4;11;100;29,4;70,6;29,4;0;11,8;32,4
2030 Sør-Varanger           ;2030;Sør-Varanger;187;88;99;78;4;41;14;100;47,1;52,9;41,7;2,1;21,9;7,5
