Kommune nr & navn;kommune_nr;"Kommune
navn";botid_3.alle;botid_3.0_4;botid_3.5+;botid_3.0_4;botid_3.0_4;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.0_4;botid_3.5+;botid_3.0_4;botid_3.0_4;botid_3.5+;botid_3.5+
Nedbrytninger;;;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.ja;forste_bosettingskommune.nei
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1818 Herøy                  ;1818;Herøy;29;22;7;22;0;0;4;100;75,9;24,1;75,9;0;0;13,8
1820 Alstahaug              ;1820;Alstahaug;277;192;85;138;19;59;6;100;69,3;30,7;49,8;6,9;21,3;2,2
1822 Leirfjord              ;1822;Leirfjord;103;74;29;71;0;15;4;100;71,8;28,2;68,9;0;14,6;3,9
1824 Vefsn                  ;1824;Vefsn;248;143;105;93;12;56;21;100;57,7;42,3;37,5;4,8;22,6;8,5
1826 Hattfjelldal           ;1826;Hattfjelldal;75;68;7;15;19;7;0;100;90,7;9,3;20;25,3;9,3;0
1828 Nesna                  ;1828;Nesna;161;131;30;57;29;18;5;100;81,4;18,6;35,4;18;11,2;3,1
1832 Hemnes                 ;1832;Hemnes;64;26;38;26;0;29;3;100;40,6;59,4;40,6;0;45,3;4,7
1833 Rana                   ;1833;Rana;466;265;201;193;24;145;29;100;56,9;43,1;41,4;5,2;31,1;6,2
1837 Meløy                  ;1837;Meløy;60;37;23;34;0;15;3;100;61,7;38,3;56,7;0;25;5
1838 Gildeskål              ;1838;Gildeskål;62;55;7;55;0;0;7;100;88,7;11,3;88,7;0;0;11,3
1840 Saltdal                ;1840;Saltdal;159;114;45;28;26;39;3;100;71,7;28,3;17,6;16,4;24,5;1,9
1841 Fauske                 ;1841;Fauske;184;98;86;91;0;54;19;100;53,3;46,7;49,5;0;29,3;10,3
1848 Steigen                ;1848;Steigen;50;36;14;36;0;11;0;100;72;28;72;0;22;0
1849 Hábmer Hamarøy         ;1849;Hábmer Hamarøy;64;47;17;42;0;7;4;100;73,4;26,6;65,6;0;10,9;6,3
1850 Divtasvuodna Tysfjord  ;1850;Divtasvuodna Tysfjord;18;18;0;18;0;0;0;100;100;0;100;0;0;0
1851 Lødingen               ;1851;Lødingen;150;137;13;53;37;10;0;100;91,3;8,7;35,3;24,7;6,7;0
1853 Evenes                 ;1853;Evenes;34;31;3;31;0;3;0;100;91,2;8,8;91,2;0;8,8;0
1854 Ballangen              ;1854;Ballangen;62;39;23;39;0;15;0;100;62,9;37,1;62,9;0;24,2;0
1860 Vestvågøy              ;1860;Vestvågøy;338;231;107;166;16;82;8;100;68,3;31,7;49,1;4,7;24,3;2,4
1865 Vågan                  ;1865;Vågan;344;213;131;155;10;98;18;100;61,9;38,1;45,1;2,9;28,5;5,2
1866 Hadsel                 ;1866;Hadsel;380;210;170;153;24;123;21;100;55,3;44,7;40,3;6,3;32,4;5,5
1867 Bø                     ;1867;Bø;52;40;12;40;0;9;3;100;76,9;23,1;76,9;0;17,3;5,8
1868 Øksnes                 ;1868;Øksnes;35;11;24;11;0;17;3;100;31,4;68,6;31,4;0;48,6;8,6
1870 Sortland               ;1870;Sortland;261;140;121;133;0;89;23;100;53,6;46,4;51;0;34,1;8,8
1871 Andøy                  ;1871;Andøy;136;109;27;106;0;22;0;100;80,1;19,9;77,9;0;16,2;0
1902 Tromsø                 ;1902;Tromsø;1426;652;774;528;41;340;236;100;45,7;54,3;37;2,9;23,8;16,5
1903 Harstad                ;1903;Harstad;747;435;312;380;20;214;50;100;58,2;41,8;50,9;2,7;28,6;6,7
1911 Kvæfjord               ;1911;Kvæfjord;171;111;60;63;15;49;5;100;64,9;35,1;36,8;8,8;28,7;2,9
1913 Skånland               ;1913;Skånland;33;26;7;26;0;4;0;100;78,8;21,2;78,8;0;12,1;0
1917 Ibestad                ;1917;Ibestad;31;20;11;20;0;7;4;100;64,5;35,5;64,5;0;22,6;12,9
1919 Gratangen              ;1919;Gratangen;20;20;0;20;0;0;0;100;100;0;100;0;0;0
1922 Bardu                  ;1922;Bardu;131;84;47;35;18;27;4;100;64,1;35,9;26,7;13,7;20,6;3,1
1923 Salangen               ;1923;Salangen;123;104;19;59;23;13;0;100;84,6;15,4;48;18,7;10,6;0
1924 Målselv                ;1924;Målselv;106;98;8;54;8;0;8;100;92,5;7,5;50,9;7,5;0;7,5
1925 Sørreisa               ;1925;Sørreisa;35;14;21;14;0;11;7;100;40;60;40;0;31,4;20
1927 Tranøy                 ;1927;Tranøy;39;36;3;31;0;3;0;100;92,3;7,7;79,5;0;7,7;0
1929 Berg                   ;1929;Berg;48;48;0;48;0;0;0;100;100;0;100;0;0;0
1931 Lenvik                 ;1931;Lenvik;326;224;102;145;48;76;6;100;68,7;31,3;44,5;14,7;23,3;1,8
1936 Karlsøy                ;1936;Karlsøy;10;0;10;0;0;0;6;100;0;100;0;0;0;60
1938 Lyngen                 ;1938;Lyngen;15;0;15;0;0;15;0;100;0;100;0;0;100;0
1939 Storfjord              ;1939;Storfjord;41;38;3;9;3;0;3;100;92,7;7,3;22;7,3;0;7,3
1940 Gáivuotna Kåfjord      ;1940;Gáivuotna Kåfjord;42;39;3;0;7;0;0;100;92,9;7,1;0;16,7;0;0
