kommune_nr-kommunenavn;kommune_nr;kommunenavn;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.rett_og_plikt
nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
1633 Osen;1633;Osen;.;.;.;.;.;.;.;.;.;.;.;.
1634 Oppdal;1634;Oppdal;19;:;:;19;9;10;:;:;:;:;9;10
1635 Rennebu;1635;Rennebu;5;:;:;5;:;:;:;:;:;:;:;:
1636 Meldal;1636;Meldal;5;:;:;5;:;:;:;:;:;:;:;:
1638 Orkdal;1638;Orkdal;25;:;:;25;15;10;:;:;:;:;15;10
1640 Røros;1640;Røros;9;:;:;7;5;:;:;:;:;:;:;:
1644 Holtålen;1644;Holtålen;.;.;.;.;.;.;.;.;.;.;.;.
1648 Midtre Gauldal;1648;Midtre Gauldal;5;:;:;5;:;:;:;:;:;:;:;:
1653 Melhus;1653;Melhus;23;:;:;23;15;8;:;:;:;:;15;8
1657 Skaun;1657;Skaun;14;:;:;13;6;8;:;:;:;:;6;7
1662 Klæbu;1662;Klæbu;:;:;:;:;:;:;:;:;:;:;:;:
1663 Malvik;1663;Malvik;13;:;:;12;8;5;:;:;:;:;7;5
1664 Selbu;1664;Selbu;:;:;:;:;:;:;:;:;:;:;:;:
1665 Tydal;1665;Tydal;:;:;:;:;:;:;:;:;:;:;:;:
1702 Steinkjer;1702;Steinkjer;56;:;:;53;33;23;:;:;:;:;30;23
1703 Namsos;1703;Namsos;52;:;:;49;26;26;:;:;:;:;24;25
1711 Meråker;1711;Meråker;:;:;:;:;:;:;:;:;:;:;:;:
1714 Stjørdal;1714;Stjørdal;52;:;:;46;35;17;:;:;:;:;30;16
1717 Frosta;1717;Frosta;8;:;:;8;5;:;:;:;:;:;5;:
1718 Leksvik;1718;Leksvik;15;5;:;9;11;:;:;:;:;:;6;:
1719 Levanger;1719;Levanger;53;:;:;48;28;25;:;:;:;:;27;21
1721 Verdal;1721;Verdal;34;:;:;29;16;18;:;:;:;:;14;15
1724 Verran;1724;Verran;9;:;:;7;:;5;:;:;:;:;:;:
1725 Namdalseid;1725;Namdalseid;:;:;:;:;:;:;:;:;:;:;:;:
1736 Snåsa;1736;Snåsa;10;:;:;10;:;7;:;:;:;:;:;7
1738 Lierne;1738;Lierne;6;:;:;6;:;:;:;:;:;:;:;:
1739 Røyrvik;1739;Røyrvik;:;:;:;:;:;:;:;:;:;:;:;:
1740 Namsskogan;1740;Namsskogan;:;:;:;:;:;:;:;:;:;:;:;:
1742 Grong;1742;Grong;25;7;:;18;:;21;:;7;:;:;:;14
1743 Høylandet;1743;Høylandet;:;:;:;:;:;:;:;:;:;:;:;:
1744 Overhalla;1744;Overhalla;11;:;:;10;5;6;:;:;:;:;:;6
1748 Fosnes;1748;Fosnes;.;.;.;.;.;.;.;.;.;.;.;.
1749 Flatanger;1749;Flatanger;.;.;.;.;.;.;.;.;.;.;.;.
1750 Vikna;1750;Vikna;22;:;:;20;14;8;:;:;:;:;13;7
1751 Nærøy;1751;Nærøy;22;:;:;20;11;11;:;:;:;:;11;9
1755 Leka;1755;Leka;.;.;.;.;.;.;.;.;.;.;.;.
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);13;:;:;13;:;9;:;:;:;:;:;9
1804 Bodø;1804;Bodø;152;25;:;126;69;83;12;13;:;:;57;69
1805 Narvik;1805;Narvik;70;5;:;63;31;39;:;:;:;:;27;36
1811 Bindal;1811;Bindal;.;.;.;.;.;.;.;.;.;.;.;.
1812 Sømna;1812;Sømna;7;:;:;7;5;:;:;:;:;:;5;:
1813 Brønnøy;1813;Brønnøy;24;:;:;23;15;9;:;:;:;:;15;8
1815 Vega;1815;Vega;:;:;:;:;:;:;:;:;:;:;:;:
1816 Vevelstad;1816;Vevelstad;.;.;.;.;.;.;.;.;.;.;.;.
1818 Herøy (Nordl.);1818;Herøy (Nordl.);:;:;:;:;:;:;:;:;:;:;:;:
1820 Alstahaug;1820;Alstahaug;45;:;:;41;21;24;:;:;:;:;20;21
1822 Leirfjord;1822;Leirfjord;11;:;:;8;5;6;:;:;:;:;:;5
1824 Vefsn;1824;Vefsn;39;:;:;36;12;27;:;:;:;:;11;25
1825 Grane;1825;Grane;:;:;:;:;:;:;:;:;:;:;:;:
1826 Hattfjelldal;1826;Hattfjelldal;28;:;:;28;:;24;:;:;:;:;:;24
1827 Dønna;1827;Dønna;:;:;:;:;:;:;:;:;:;:;:;:
1828 Nesna;1828;Nesna;30;:;:;30;11;19;:;:;:;:;11;19
1832 Hemnes;1832;Hemnes;:;:;:;:;:;:;:;:;:;:;:;:
1833 Rana;1833;Rana;61;15;:;46;25;36;8;7;:;:;17;29
1834 Lurøy;1834;Lurøy;:;:;:;:;:;:;:;:;:;:;:;:
1835 Træna;1835;Træna;:;:;:;:;:;:;:;:;:;:;:;:
1836 Rødøy;1836;Rødøy;:;:;:;:;:;:;:;:;:;:;:;:
1837 Meløy;1837;Meløy;18;:;:;16;14;:;:;:;:;:;12;:
1838 Gildeskål;1838;Gildeskål;10;:;:;8;7;:;:;:;:;:;6;:
1839 Beiarn;1839;Beiarn;:;:;:;:;:;:;:;:;:;:;:;:
1840 Saltdal;1840;Saltdal;37;:;:;34;13;24;:;:;:;:;10;24
1841 Fauske;1841;Fauske;22;:;:;21;14;8;:;:;:;:;14;7
1845 Sørfold;1845;Sørfold;:;:;:;:;:;:;:;:;:;:;:;:
1848 Steigen;1848;Steigen;6;:;:;6;:;:;:;:;:;:;:;:
1849 Hamarøy;1849;Hamarøy;12;:;:;12;7;5;:;:;:;:;7;5
1850 Tysfjord;1850;Tysfjord;:;:;:;:;:;:;:;:;:;:;:;:
1851 Lødingen;1851;Lødingen;30;:;:;30;7;23;:;:;:;:;7;23
1852 Tjeldsund;1852;Tjeldsund;:;:;:;:;:;:;:;:;:;:;:;:
1853 Evenes;1853;Evenes;13;:;:;13;5;8;:;:;:;:;5;8
1854 Ballangen;1854;Ballangen;16;:;:;14;12;:;:;:;:;:;10;:
1856 Røst;1856;Røst;:;:;:;:;:;:;:;:;:;:;:;:
1857 Værøy;1857;Værøy;.;.;.;.;.;.;.;.;.;.;.;.
1859 Flakstad;1859;Flakstad;:;:;:;:;:;:;:;:;:;:;:;:
1860 Vestvågøy;1860;Vestvågøy;45;:;:;39;14;31;:;:;:;:;10;29
1865 Vågan;1865;Vågan;43;:;:;41;14;29;:;:;:;:;13;28
1866 Hadsel;1866;Hadsel;22;:;:;21;9;13;:;:;:;:;8;13
1867 Bø (Nordl.);1867;Bø (Nordl.);11;:;:;11;7;:;:;:;:;:;7;:
1868 Øksnes;1868;Øksnes;5;:;:;:;:;:;:;:;:;:;:;:
1870 Sortland;1870;Sortland;16;:;:;16;10;6;:;:;:;:;10;6
1871 Andøy;1871;Andøy;23;:;:;22;12;11;:;:;:;:;11;11
1874 Moskenes;1874;Moskenes;:;:;:;:;:;:;:;:;:;:;:;:
1902 Tromsø;1902;Tromsø;255;70;:;181;117;138;33;37;:;:;81;100
1903 Harstad;1903;Harstad;102;15;:;85;47;55;6;9;:;:;40;45
1911 Kvæfjord;1911;Kvæfjord;19;:;:;19;8;11;:;:;:;:;8;11
1913 Skånland;1913;Skånland;:;:;:;:;:;:;:;:;:;:;:;:
1917 Ibestad;1917;Ibestad;.;.;.;.;.;.;.;.;.;.;.;.
1919 Gratangen;1919;Gratangen;5;:;:;5;:;:;:;:;:;:;:;:
1920 Lavangen;1920;Lavangen;.;.;.;.;.;.;.;.;.;.;.;.
1922 Bardu;1922;Bardu;23;:;:;23;12;11;:;:;:;:;12;11
1923 Salangen;1923;Salangen;26;:;:;26;13;13;:;:;:;:;13;13
1924 Målselv;1924;Målselv;37;:;:;36;20;17;:;:;:;:;19;17
1925 Sørreisa;1925;Sørreisa;11;:;:;11;7;:;:;:;:;:;7;:
1926 Dyrøy;1926;Dyrøy;.;.;.;.;.;.;.;.;.;.;.;.
1927 Tranøy;1927;Tranøy;12;:;:;12;8;:;:;:;:;:;8;:
1928 Torsken;1928;Torsken;:;:;:;:;:;:;:;:;:;:;:;:
1929 Berg;1929;Berg;13;:;:;13;6;7;:;:;:;:;6;7
1931 Lenvik;1931;Lenvik;50;:;:;46;27;23;:;:;:;:;27;19
1933 Balsfjord;1933;Balsfjord;:;:;:;:;:;:;:;:;:;:;:;:
1936 Karlsøy;1936;Karlsøy;.;.;.;.;.;.;.;.;.;.;.;.
1938 Lyngen;1938;Lyngen;:;:;:;:;:;:;:;:;:;:;:;:
1939 Storfjord;1939;Storfjord;26;:;:;26;6;20;:;:;:;:;6;20
1940 Kåfjord;1940;Kåfjord;:;:;:;:;:;:;:;:;:;:;:;:
1941 Skjervøy;1941;Skjervøy;:;:;:;:;:;:;:;:;:;:;:;:
1942 Nordreisa;1942;Nordreisa;:;:;:;:;:;:;:;:;:;:;:;:
1943 Kvænangen;1943;Kvænangen;:;:;:;:;:;:;:;:;:;:;:;:
2002 Vardø;2002;Vardø;:;:;:;:;:;:;:;:;:;:;:;:
2003 Vadsø;2003;Vadsø;73;:;:;68;21;52;:;:;:;:;20;48
2004 Hammerfest;2004;Hammerfest;43;6;:;37;16;27;:;5;:;:;15;22
2011 Kautokeino;2011;Kautokeino;7;:;:;7;5;:;:;:;:;:;5;:
2012 Alta;2012;Alta;68;7;:;61;33;35;:;:;:;:;29;32
2014 Loppa;2014;Loppa;:;:;:;:;:;:;:;:;:;:;:;:
2015 Hasvik;2015;Hasvik;:;:;:;:;:;:;:;:;:;:;:;:
2017 Kvalsund;2017;Kvalsund;.;.;.;.;.;.;.;.;.;.;.;.
2018 Måsøy;2018;Måsøy;:;:;:;:;:;:;:;:;:;:;:;:
2019 Nordkapp;2019;Nordkapp;11;:;:;10;5;6;:;:;:;:;:;6
2020 Porsanger;2020;Porsanger Porsángu Porsanki;10;:;:;9;5;5;:;:;:;:;5;:
2021 Karasjok;2021;Karasjok;:;:;:;:;:;:;:;:;:;:;:;:
2022 Lebesby;2022;Lebesby;:;:;:;:;:;:;:;:;:;:;:;:
2023 Gamvik;2023;Gamvik;8;:;:;:;7;:;:;:;:;:;:;:
2024 Berlevåg;2024;Berlevåg;:;:;:;:;:;:;:;:;:;:;:;:
2025 Tana;2025;Tana;16;:;:;16;5;11;:;:;:;:;5;11
2027 Nesseby;2027;Nesseby;:;:;:;:;:;:;:;:;:;:;:;:
2028 Båtsfjord;2028;Båtsfjord;:;:;:;:;:;:;:;:;:;:;:;:
2030 Sør-Varanger;2030;Sør-Varanger;52;24;:;26;31;21;9;15;:;:;20;6
99 Uoppgitt kommune;9999;Uoppgitt kommune;585;385;7;193;278;307;172;213;:;:;103;90
