kommune_nr-kommunenavn;kommune_nr;kommunenavn;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.rett_og_plikt
nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
0514 Lom;514;Lom;11;:;:;11;:;8;:;:;:;:;:;8
0515 Vågå;515;Vågå;12;:;:;12;9;:;:;:;:;:;9;:
0516 Nord-Fron;516;Nord-Fron;12;:;:;11;6;6;:;:;:;:;6;5
0517 Sel;517;Sel;36;:;:;35;11;25;:;:;:;:;11;24
0519 Sør-Fron;519;Sør-Fron;:;:;:;:;:;:;:;:;:;:;:;:
0520 Ringebu;520;Ringebu;12;:;:;11;:;11;:;:;:;:;:;11
0521 Øyer;521;Øyer;12;:;:;9;5;7;:;:;:;:;5;:
0522 Gausdal;522;Gausdal;:;:;:;:;:;:;:;:;:;:;:;:
0528 Østre Toten;528;Østre Toten;28;:;:;26;13;15;:;:;:;:;13;13
0529 Vestre Toten;529;Vestre Toten;41;:;:;39;19;22;:;:;:;:;18;21
0532 Jevnaker;532;Jevnaker;10;:;:;8;7;:;:;:;:;:;5;:
0533 Lunner;533;Lunner;46;:;:;46;34;12;:;:;:;:;34;12
0534 Gran;534;Gran;39;:;:;38;28;11;:;:;:;:;27;11
0536 Søndre Land;536;Søndre Land;31;:;:;29;11;20;:;:;:;:;9;20
0538 Nordre Land;538;Nordre Land;17;:;:;15;10;7;:;:;:;:;9;6
0540 Sør-Aurdal;540;Sør-Aurdal;6;:;:;6;:;:;:;:;:;:;:;:
0541 Etnedal;541;Etnedal;31;:;:;28;:;29;:;:;:;:;:;26
0542 Nord-Aurdal;542;Nord-Aurdal;10;:;:;10;5;5;:;:;:;:;5;5
0543 Vestre Slidre;543;Vestre Slidre;:;:;:;:;:;:;:;:;:;:;:;:
0544 Øystre Slidre;544;Øystre Slidre;8;:;:;8;:;6;:;:;:;:;:;6
0545 Vang;545;Vang;16;:;:;16;5;11;:;:;:;:;5;11
0602 Drammen;602;Drammen;219;46;:;169;128;91;25;21;:;:;99;70
0604 Kongsberg;604;Kongsberg;121;53;5;63;63;58;31;22;:;:;30;33
0605 Ringerike;605;Ringerike;66;8;:;54;39;27;:;:;:;:;31;23
0612 Hole;612;Hole;8;:;:;5;5;:;:;:;:;:;:;:
0615 Flå;615;Flå;:;:;:;:;:;:;:;:;:;:;:;:
0616 Nes (Busk.);616;Nes (Busk.);34;:;:;33;15;19;:;:;:;:;14;19
0617 Gol;617;Gol;9;:;:;9;:;5;:;:;:;:;:;5
0618 Hemsedal;618;Hemsedal;10;:;:;9;:;7;:;:;:;:;:;7
0619 Ål;619;Ål;19;:;:;17;6;13;:;:;:;:;5;12
0620 Hol;620;Hol;:;:;:;:;:;:;:;:;:;:;:;:
0621 Sigdal;621;Sigdal;:;:;:;:;:;:;:;:;:;:;:;:
0622 Krødsherad;622;Krødsherad;:;:;:;:;:;:;:;:;:;:;:;:
0623 Modum;623;Modum;28;:;:;24;16;12;:;:;:;:;14;10
0624 Øvre Eiker;624;Øvre Eiker;28;6;:;22;14;14;:;:;:;:;10;12
0625 Nedre Eiker;625;Nedre Eiker;46;:;:;41;28;18;:;:;:;:;25;16
0626 Lier;626;Lier;44;10;:;31;26;18;5;5;:;:;20;11
0627 Røyken;627;Røyken;32;7;:;23;17;15;:;:;:;:;13;10
0628 Hurum;628;Hurum;22;:;:;21;14;8;:;:;:;:;13;8
0631 Flesberg;631;Flesberg;14;:;:;11;6;8;:;:;:;:;:;7
0632 Rollag;632;Rollag;10;:;:;9;8;:;:;:;:;:;7;:
0633 Nore og Uvdal;633;Nore og Uvdal;:;:;:;:;:;:;:;:;:;:;:;:
0701 Horten;701;Horten;62;8;:;53;40;22;:;5;:;:;36;17
0702 Holmestrand;702;Holmestrand;13;:;:;12;10;:;:;:;:;:;10;:
0704 Tønsberg;704;Tønsberg;80;8;:;71;47;33;6;:;:;:;40;31
0706 Sandefjord;706;Sandefjord;96;22;5;69;64;32;11;11;5;:;48;21
0709 Larvik;709;Larvik;57;6;:;49;30;27;:;:;:;:;25;24
0711 Svelvik;711;Svelvik;6;:;:;6;:;:;:;:;:;:;:;:
0713 Sande (Vestf.);713;Sande (Vestf.);16;:;:;16;11;5;:;:;:;:;11;5
0714 Hof;714;Hof;5;:;:;5;:;:;:;:;:;:;:;:
0716 Re;716;Re (f.o.m. 2002);17;:;:;12;7;10;:;:;:;:;6;6
0719 Andebu;719;Andebu;6;:;:;6;6;:;:;:;:;:;6;:
0720 Stokke;720;Stokke;27;:;:;24;16;11;:;:;:;:;14;10
0722 Nøtterøy;722;Nøtterøy;32;:;:;30;22;10;:;:;:;:;21;9
0723 Tjøme;723;Tjøme;11;:;:;8;:;8;:;:;:;:;:;6
0728 Lardal;728;Lardal;:;:;:;:;:;:;:;:;:;:;:;:
0805 Porsgrunn;805;Porsgrunn;70;5;:;65;35;35;:;:;:;:;33;32
0806 Skien;806;Skien;158;7;:;147;76;82;:;:;:;:;71;76
0807 Notodden;807;Notodden;54;7;:;44;27;27;:;:;:;:;22;22
0811 Siljan;811;Siljan;:;:;:;:;:;:;:;:;:;:;:;:
0814 Bamble;814;Bamble;29;:;:;28;16;13;:;:;:;:;15;13
0815 Kragerø;815;Kragerø;36;:;:;34;20;16;:;:;:;:;20;14
0817 Drangedal;817;Drangedal;10;:;:;8;7;:;:;:;:;:;6;:
0819 Nome;819;Nome;12;:;:;12;:;8;:;:;:;:;:;8
