Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.minoritet;spraak.ikke_minoritet
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0618 Hemsedal;618;Hemsedal;4;1;3;100;25;75
0619 Ål;619;Ål;10;1;9;100;10;90
0620 Hol;620;Hol;14;2;12;100;14,3;85,7
0621 Sigdal;621;Sigdal;8;1;7;100;12,5;87,5
0622 Krødsherad;622;Krødsherad;14;2;12;100;14,3;85,7
0623 Modum;623;Modum;79;19;60;100;24,1;75,9
0624 Øvre Eiker;624;Øvre Eiker;70;10;60;100;14,3;85,7
0625 Nedre Eiker;625;Nedre Eiker;175;72;103;100;41,1;58,9
0626 Lier;626;Lier;139;64;75;100;46;54
0627 Røyken;627;Røyken;96;28;68;100;29,2;70,8
0628 Hurum;628;Hurum;43;11;32;100;25,6;74,4
0631 Flesberg;631;Flesberg;5;2;3;100;40;60
0632 Rollag;632;Rollag;5;3;2;100;60;40
0633 Nore og Uvdal;633;Nore og Uvdal;12;3;9;100;25;75
0701 Horten;701;Horten;170;50;120;100;29,4;70,6
0702 Holmestrand;702;Holmestrand;70;7;63;100;10;90
0704 Tønsberg;704;Tønsberg;262;60;202;100;22,9;77,1
0706 Sandefjord;706;Sandefjord;253;56;197;100;22,1;77,9
0709 Larvik;709;Larvik;215;37;178;100;17,2;82,8
0711 Svelvik;711;Svelvik;27;9;18;100;33,3;66,7
0713 Sande;713;Sande;43;8;35;100;18,6;81,4
0714 Hof;714;Hof;19;2;17;100;10,5;89,5
0716 Re;716;Re;55;11;44;100;20;80
0719 Andebu;719;Andebu;29;6;23;100;20,7;79,3
0720 Stokke;720;Stokke;79;14;65;100;17,7;82,3
0722 Nøtterøy;722;Nøtterøy;108;29;79;100;26,9;73,1
0723 Tjøme;723;Tjøme;21;5;16;100;23,8;76,2
0728 Lardal;728;Lardal;5;.;.;:;.;:
0805 Porsgrunn;805;Porsgrunn;281;99;182;100;35,2;64,8
0806 Skien;806;Skien;409;177;232;100;43,3;56,7
0807 Notodden;807;Notodden;100;28;72;100;28;72
0811 Siljan;811;Siljan;20;2;18;100;10;90
0814 Bamble;814;Bamble;122;43;79;100;35,2;64,8
0815 Kragerø;815;Kragerø;57;19;38;100;33,3;66,7
0817 Drangedal;817;Drangedal;25;4;21;100;16;84
0819 Nome;819;Nome;44;13;31;100;29,5;70,5
0821 Bø;821;Bø;33;7;26;100;21,2;78,8
0822 Sauherad;822;Sauherad;29;7;22;100;24,1;75,9
0826 Tinn;826;Tinn;55;26;29;100;47,3;52,7
0827 Hjartdal;827;Hjartdal;13;.;.;:;.;:
0828 Seljord;828;Seljord;22;4;18;100;18,2;81,8
0829 Kviteseid;829;Kviteseid;11;3;8;100;27,3;72,7
0830 Nissedal;830;Nissedal;7;2;5;100;28,6;71,4
0831 Fyresdal;831;Fyresdal;8;.;.;:;.;:
0833 Tokke;833;Tokke;12;2;10;100;16,7;83,3
0834 Vinje;834;Vinje;18;5;13;100;27,8;72,2
0901 Risør;901;Risør;43;7;36;100;16,3;83,7
0904 Grimstad;904;Grimstad;134;39;95;100;29,1;70,9
0906 Arendal;906;Arendal;257;71;186;100;27,6;72,4
0911 Gjerstad;911;Gjerstad;15;5;10;100;33,3;66,7
0912 Vegårshei;912;Vegårshei;7;1;6;100;14,3;85,7
0914 Tvedestrand;914;Tvedestrand;28;7;21;100;25;75
0919 Froland;919;Froland;39;10;29;100;25,6;74,4
0926 Lillesand;926;Lillesand;48;11;37;100;22,9;77,1
0928 Birkenes;928;Birkenes;29;9;20;100;31;69
0929 Åmli;929;Åmli;15;3;12;100;20;80
0935 Iveland;935;Iveland;4;2;2;100;50;50
0937 Evje og Hornnes;937;Evje og Hornnes;22;9;13;100;40,9;59,1
0938 Bygland;938;Bygland;5;2;3;100;40;60
0940 Valle;940;Valle;4;.;.;:;.;:
0941 Bykle;941;Bykle;3;.;.;:;.;:
1001 Kristiansand;1001;Kristiansand;323;133;190;100;41,2;58,8
1002 Mandal;1002;Mandal;84;31;53;100;36,9;63,1
1003 Farsund;1003;Farsund;21;4;17;100;19;81
1004 Flekkefjord;1004;Flekkefjord;41;4;37;100;9,8;90,2
1014 Vennesla;1014;Vennesla;86;15;71;100;17,4;82,6
1017 Songdalen;1017;Songdalen;26;9;17;100;34,6;65,4
1018 Søgne;1018;Søgne;53;7;46;100;13,2;86,8
1021 Marnardal;1021;Marnardal;12;4;8;100;33,3;66,7
1026 Åseral;1026;Åseral;4;3;1;100;75;25
