kommune;kommune_nr;kommune_navn;bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_av_vedtak;bosetting.anmodning;bosetting.anmodning
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
0619 Ål;619;Ål;10;100;12;120;13;130,00
0620 Hol;620;Hol;5;100;3;60;12;240,00
0621 Sigdal;621;Sigdal;5;100;4;80;8;160,00
0622 Krødsherad;622;Krødsherad;.;.;0;.;5;.
0623 Modum;623;Modum;20;100;21;105;20;100,00
0624 Øvre Eiker;624;Øvre Eiker;20;100;19;95;27;135,00
0625 Nedre Eiker;625;Nedre Eiker;15;100;12;80;25;166,67
0626 Lier;626;Lier;20;100;18;90;27;135,00
0627 Røyken;627;Røyken;20;100;16;80;27;135,00
0628 Hurum;628;Hurum;20;100;14;70;27;135,00
0631 Flesberg;631;Flesberg;10;100;8;80;13;130,00
0632 Rollag;632;Rollag;8;100;4;50;17;212,50
0633 Nore og Uvdal;633;Nore og Uvdal;6;100;7;116,67;12;200,00
0701 Horten;701;Horten;15;100;21;140;40;266,67
0702 Holmestrand;702;Holmestrand;8;100;9;112,5;18;225,00
0704 Tønsberg;704;Tønsberg;30;100;23;76,67;50;166,67
0706 Sandefjord;706;Sandefjord;30;100;30;100;50;166,67
0709 Larvik;709;Larvik;40;100;32;80;50;125,00
0711 Svelvik;711;Svelvik;5;100;5;100;13;260,00
0713 Sande (Vestf.);713;Sande (Vestf.);10;100;11;110;18;180,00
0714 Hof;714;Hof;5;100;0;0;13;260,00
0716 Re;716;Re (f.o.m. 2002);15;100;5;33,33;25;166,67
0719 Andebu;719;Andebu;.;.;1;.;25;.
0720 Stokke;720;Stokke;20;100;27;135;25;125,00
0722 Nøtterøy;722;Nøtterøy;25;100;19;76;30;120,00
0723 Tjøme;723;Tjøme;8;100;5;62,5;18;225,00
0728 Lardal;728;Lardal;5;100;4;80;20;400,00
0805 Porsgrunn;805;Porsgrunn;50;100;43;86;70;140,00
0806 Skien;806;Skien;90;100;95;105,56;100;111,11
0807 Notodden;807;Notodden;30;100;34;113,33;40;133,33
0811 Siljan;811;Siljan;15;100;15;100;15;100,00
0814 Bamble;814;Bamble;41;100;42;102,44;40;97,56
0815 Kragerø;815;Kragerø;40;100;37;92,5;40;100,00
0817 Drangedal;817;Drangedal;4;100;5;125;15;375,00
0819 Nome;819;Nome;10;100;11;110;20;200,00
0821 Bø (Telemark);821;Bø (Telem.);10;100;6;60;25;250,00
0822 Sauherad;822;Sauherad;15;100;23;153,33;25;166,67
0826 Tinn;826;Tinn;14;100;16;114,29;20;142,86
0827 Hjartdal;827;Hjartdal;.;.;0;.;0;.
0828 Seljord;828;Seljord;8;100;1;12,5;20;250,00
0829 Kviteseid;829;Kviteseid;.;.;0;.;0;.
0830 Nissedal;830;Nissedal;.;.;0;.;0;.
0831 Fyresdal;831;Fyresdal;10;100;5;50;10;100,00
0833 Tokke;833;Tokke;.;.;0;.;0;.
0834 Vinje;834;Vinje;10;100;6;60;5;50,00
0901 Risør;901;Risør;18;100;18;100;20;111,11
0904 Grimstad;904;Grimstad;25;100;21;84;45;180,00
0906 Arendal;906;Arendal;75;100;73;97,33;85;113,33
0911 Gjerstad;911;Gjerstad;13;100;11;84,62;15;115,38
0912 Vegårshei;912;Vegårshei;.;.;0;.;15;.
0914 Tvedestrand;914;Tvedestrand;5;100;3;60;15;300,00
0919 Froland;919;Froland;10;100;11;110;10;100,00
0926 Lillesand;926;Lillesand;15;100;13;86,67;25;166,67
0928 Birkenes;928;Birkenes;8;100;6;75;15;187,50
0929 Åmli;929;Åmli;10;100;7;70;10;100,00
0935 Iveland;935;Iveland;7;100;7;100;10;142,86
0937 Evje og Hornnes;937;Evje og Hornnes;.;.;0;.;10;.
0938 Bygland;938;Bygland;.;.;0;.;0;.
0940 Valle;940;Valle;.;.;0;.;15;.
0941 Bykle;941;Bykle;5;100;5;100;15;300,00
1001 Kristiansand;1001;Kristiansand;140;100;128;91,43;160;114,29
1002 Mandal;1002;Mandal;40;100;25;62,5;40;100,00
1003 Farsund;1003;Farsund;15;100;17;113,33;25;166,67
1004 Flekkefjord;1004;Flekkefjord;10;100;6;60;30;300,00
1014 Vennesla;1014;Vennesla;20;100;20;100;35;175,00
1017 Songdalen;1017;Songdalen;20;100;21;105;25;125,00
1018 Søgne;1018;Søgne;25;100;19;76;30;120,00
1021 Marnardal;1021;Marnardal;5;100;3;60;10;200,00
1026 Åseral;1026;Åseral;.;.;0;.;10;.
1027 Audnedal;1027;Audnedal;.;.;0;.;0;.
1029 Lindesnes;1029;Lindesnes;10;100;6;60;15;150,00
1032 Lyngdal;1032;Lyngdal;20;100;17;85;30;150,00
1034 Hægebostad;1034;Hægebostad;.;.;1;.;15;.
1037 Kvinesdal;1037;Kvinesdal;15;100;15;100;15;100,00
1046 Sirdal;1046;Sirdal;10;100;5;50;10;100,00
1101 Eigersund;1101;Eigersund;20;100;20;100;30;150,00
1102 Sandnes;1102;Sandnes;60;100;59;98,33;75;125,00
1103 Stavanger;1103;Stavanger;102;100;103;100,98;140;137,25
1106 Haugesund;1106;Haugesund;44;100;49;111,36;59;134,09
1111 Sokndal;1111;Sokndal;.;.;0;.;10;.
1112 Lund;1112;Lund;10;100;7;70;15;150,00
1114 Bjerkreim;1114;Bjerkreim;.;.;0;.;10;.
1119 Hå;1119;Hå;10;100;11;110;15;150,00
1120 Klepp;1120;Klepp;20;100;18;90;25;125,00
1121 Time;1121;Time;25;100;14;56;30;120,00
1122 Gjesdal;1122;Gjesdal;15;100;15;100;20;133,33
1124 Sola;1124;Sola;20;100;16;80;30;150,00
1127 Randaberg;1127;Randaberg;20;100;25;125;25;125,00
1129 Forsand;1129;Forsand;.;.;0;.;5;.
1130 Strand;1130;Strand;15;100;14;93,33;20;133,33
1133 Hjelmeland;1133;Hjelmeland;10;100;11;110;15;150,00
1134 Suldal;1134;Suldal;.;.;1;.;15;.
1135 Sauda;1135;Sauda;.;.;0;.;15;.
1141 Finnøy;1141;Finnøy;.;.;0;.;10;.
1142 Rennesøy;1142;Rennesøy;10;100;10;100;15;150,00
1144 Kvitsøy;1144;Kvitsøy;.;.;0;.;5;.
1145 Bokn;1145;Bokn;.;.;0;.;5;.
1146 Tysvær;1146;Tysvær;20;100;19;95;30;150,00
1149 Karmøy;1149;Karmøy;40;100;42;105;55;137,50
1151 Utsira;1151;Utsira;.;.;0;.;5;.
1160 Vindafjord;1160;Vindafjord;15;100;22;146,67;15;100,00
1201 Bergen;1201;Bergen;265;100;278;104,91;300;113,21
1211 Etne;1211;Etne;.;.;0;.;15;.
1216 Sveio;1216;Sveio;13;100;9;69,23;19;146,15
1219 Bømlo;1219;Bømlo;15;100;17;113,33;25;166,67
1221 Stord;1221;Stord;10;100;10;100;20;200,00
1222 Fitjar;1222;Fitjar;.;.;0;.;10;.
1223 Tysnes;1223;Tysnes;.;.;0;.;10;.
1224 Kvinnherad;1224;Kvinnherad;15;100;23;153,33;20;133,33
1227 Jondal;1227;Jondal;.;.;0;.;5;.
1228 Odda;1228;Odda;.;.;0;.;25;.
1231 Ullensvang;1231;Ullensvang;15;100;15;100;20;133,33
1232 Eidfjord;1232;Eidfjord;.;.;0;.;5;.
1233 Ulvik;1233;Ulvik;.;.;0;.;5;.
1234 Granvin;1234;Granvin;.;.;0;.;5;.
1235 Voss;1235;Voss;.;.;15;.;40;.
1238 Kvam;1238;Kvam;15;100;13;86,67;25;166,67
1241 Fusa;1241;Fusa;.;.;0;.;10;.
1242 Samnanger;1242;Samnanger;.;.;0;.;10;.
1243 Os (Hord.);1243;Os (Hord.);10;100;9;90;20;200,00
1244 Austevoll;1244;Austevoll;.;.;0;.;20;.
1245 Sund;1245;Sund;.;.;2;.;15;.
1246 Fjell;1246;Fjell;20;100;15;75;30;150,00
1247 Askøy;1247;Askøy;25;100;25;100;35;140,00
1251 Vaksdal;1251;Vaksdal;6;100;8;133,33;20;333,33
1252 Modalen;1252;Modalen;.;.;0;.;5;.
1253 Osterøy;1253;Osterøy;.;.;0;.;20;.
1256 Meland;1256;Meland;.;.;0;.;15;.
1259 Øygarden;1259;Øygarden;15;100;13;86,67;25;166,67
1260 Radøy;1260;Radøy;.;.;2;.;15;.
1263 Lindås;1263;Lindås;17;100;10;58,82;25;147,06
1264 Austrheim;1264;Austrheim;.;.;0;.;10;.
1265 Fedje;1265;Fedje;.;.;0;.;5;.
1266 Masfjorden;1266;Masfjorden;.;.;0;.;5;.
1401 Flora;1401;Flora;25;100;31;124;35;140,00
1411 Gulen;1411;Gulen;.;.;0;.;10;.
1412 Solund;1412;Solund;.;.;0;.;5;.
1413 Hyllestad;1413;Hyllestad;.;.;0;.;5;.
1416 Høyanger;1416;Høyanger;9;100;1;11,11;10;111,11
1417 Vik;1417;Vik;.;.;0;.;10;.
1418 Balestrand;1418;Balestrand;.;.;0;.;15;.
1419 Leikanger;1419;Leikanger;.;.;2;.;15;.
1420 Sogndal;1420;Sogndal;20;100;16;80;20;100,00
1421 Aurland;1421;Aurland;.;.;0;.;5;.
1422 Lærdal;1422;Lærdal;.;.;0;.;10;.
1424 Årdal;1424;Årdal;.;.;0;.;15;.
1426 Luster;1426;Luster;5;100;5;100;15;300,00
1428 Askvoll;1428;Askvoll;.;.;0;.;10;.
1429 Fjaler;1429;Fjaler;.;.;0;.;10;.
1430 Gaular;1430;Gaular;.;.;0;.;10;.
1431 Jølster;1431;Jølster;5;100;6;120;15;300,00
1432 Førde;1432;Førde;20;100;18;90;30;150,00
1433 Naustdal;1433;Naustdal;.;.;0;.;10;.
1438 Bremanger;1438;Bremanger;.;.;0;.;20;.
1439 Vågsøy;1439;Vågsøy;.;.;0;.;10;.
1441 Selje;1441;Selje;.;.;0;.;10;.
1443 Eid;1443;Eid;8;100;3;37,5;30;375,00
1444 Hornindal;1444;Hornindal;.;.;0;.;5;.
1445 Gloppen;1445;Gloppen;10;100;14;140;30;300,00
1449 Stryn;1449;Stryn;15;100;13;86,67;30;200,00
1502 Molde;1502;Molde;55;100;53;96,36;55;100,00
1504 Ålesund;1504;Ålesund;40;100;32;80;60;150,00
1505 Kristiansund;1505;Kristiansund;40;100;30;75;50;125,00
1511 Vanylven;1511;Vanylven;.;.;0;.;0;.
1514 Sande (M. og R.);1514;Sande (M. og R.);.;.;0;.;0;.
1515 Herøy (M. og R.);1515;Herøy (M. og R.);10;100;6;60;20;200,00
1516 Ulstein;1516;Ulstein;20;100;19;95;20;100,00
1517 Hareid;1517;Hareid;15;100;11;73,33;15;100,00
1519 Volda;1519;Volda;25;100;29;116;30;120,00
1520 Ørsta;1520;Ørsta;25;100;24;96;30;120,00
1523 Ørskog;1523;Ørskog;.;.;1;.;0;.
1524 Norddal;1524;Norddal;.;.;0;.;0;.
1525 Stranda;1525;Stranda;.;.;0;.;0;.
1526 Stordal;1526;Stordal;.;.;0;.;0;.
1528 Sykkylven;1528;Sykkylven;14;100;11;78,57;20;142,86
1529 Skodje;1529;Skodje;.;.;0;.;0;.
1531 Sula;1531;Sula;.;.;0;.;10;.
1532 Giske;1532;Giske;6;100;6;100;10;166,67
1534 Haram;1534;Haram;20;100;18;90;20;100,00
1535 Vestnes;1535;Vestnes;3;100;2;66,67;5;166,67
1539 Rauma;1539;Rauma;.;.;0;.;5;.
1543 Nesset;1543;Nesset;.;.;0;.;0;.
1545 Midsund;1545;Midsund;.;.;0;.;0;.
1546 Sandøy;1546;Sandøy;.;.;0;.;0;.
1547 Aukra;1547;Aukra;8;100;5;62,5;10;125,00
1548 Fræna;1548;Fræna;3;100;0;0;10;333,33
1551 Eide;1551;Eide;2;100;5;250;10;500,00
1554 Averøy;1554;Averøy;.;.;0;.;0;.
1557 Gjemnes;1557;Gjemnes;.;.;0;.;10;.
1560 Tingvoll;1560;Tingvoll;5;100;2;40;10;200,00
1563 Sunndal;1563;Sunndal;25;100;20;80;25;100,00
1566 Surnadal;1566;Surnadal;.;.;0;.;0;.
1567 Rindal;1567;Rindal;.;.;0;.;0;.
1571 Halsa;1571;Halsa;.;.;0;.;0;.
1573 Smøla;1573;Smøla;.;.;0;.;0;.
1576 Aure;1576;Aure;5;100;10;200;10;200,00
1601 Trondheim;1601;Trondheim;240;100;242;100,83;270;112,50
1612 Hemne;1612;Hemne;5;100;5;100;5;100,00
1613 Snillfjord;1613;Snillfjord;.;.;0;.;0;.
1617 Hitra;1617;Hitra;10;100;0;0;10;100,00
1620 Frøya;1620;Frøya;.;.;0;.;0;.
1621 Ørland;1621;Ørland;.;.;0;.;0;.
1622 Agdenes;1622;Agdenes;.;.;0;.;0;.
1624 Rissa;1624;Rissa;11;100;8;72,73;11;100,00
1627 Bjugn;1627;Bjugn;.;.;0;.;0;.
1630 Åfjord;1630;Åfjord;.;.;0;.;0;.
1632 Roan;1632;Roan;.;.;0;.;0;.
1633 Osen;1633;Osen;.;.;0;.;0;.
1634 Oppdal;1634;Oppdal;15;100;15;100;20;133,33
1635 Rennebu;1635;Rennebu;.;.;0;.;0;.
1636 Meldal;1636;Meldal;.;.;0;.;0;.
1638 Orkdal;1638;Orkdal;20;100;20;100;25;125,00
1640 Røros;1640;Røros;10;100;7;70;15;150,00
1644 Holtålen;1644;Holtålen;.;.;0;.;0;.
1648 Midtre Gauldal;1648;Midtre Gauldal;16;100;16;100;15;93,75
1653 Melhus;1653;Melhus;15;100;14;93,33;25;166,67
1657 Skaun;1657;Skaun;6;100;3;50;15;250,00
1662 Klæbu;1662;Klæbu;.;.;0;.;5;.
1663 Malvik;1663;Malvik;10;100;9;90;20;200,00
1664 Selbu;1664;Selbu;.;.;0;.;0;.
1665 Tydal;1665;Tydal;.;.;0;.;0;.
1702 Steinkjer;1702;Steinkjer;35;100;31;88,57;40;114,29
1703 Namsos;1703;Namsos;40;100;41;102,5;40;100,00
1711 Meråker;1711;Meråker;10;100;13;130;20;200,00
1714 Stjørdal;1714;Stjørdal;40;100;40;100;45;112,50
1717 Frosta;1717;Frosta;.;.;0;.;0;.
1718 Leksvik;1718;Leksvik;8;100;7;87,5;8;100,00
1719 Levanger;1719;Levanger;40;100;40;100;40;100,00
1721 Verdal;1721;Verdal;25;100;24;96;35;140,00
1724 Verran;1724;Verran;10;100;6;60;10;100,00
1725 Namdalseid;1725;Namdalseid;.;.;0;.;0;.
1736 Snåsa;1736;Snåsa;.;.;0;.;0;.
1738 Lierne;1738;Lierne;.;.;0;.;0;.
1739 Røyrvik;1739;Røyrvik;.;.;0;.;0;.
1740 Namsskogan;1740;Namsskogan;.;.;0;.;0;.
1742 Grong;1742;Grong;15;100;15;100;15;100,00
1743 Høylandet;1743;Høylandet;.;.;0;.;0;.
1744 Overhalla;1744;Overhalla;3;100;4;133,33;3;100,00
1748 Fosnes;1748;Fosnes;.;.;0;.;0;.
1749 Flatanger;1749;Flatanger;.;.;0;.;0;.
1750 Vikna;1750;Vikna;10;100;13;130;15;150,00
1751 Nærøy;1751;Nærøy;15;100;18;120;15;100,00
1755 Leka;1755;Leka;.;.;0;.;0;.
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);.;.;11;.;0;.
1804 Bodø;1804;Bodø;70;100;65;92,86;90;128,57
1805 Narvik;1805;Narvik;40;100;22;55;50;125,00
1811 Bindal;1811;Bindal;.;.;0;.;0;.
1812 Sømna;1812;Sømna;15;100;11;73,33;20;133,33
1813 Brønnøy;1813;Brønnøy;25;100;13;52;30;120,00
1815 Vega;1815;Vega;.;.;0;.;0;.
1816 Vevelstad;1816;Vevelstad;.;.;0;.;0;.
1818 Herøy (Nordl.);1818;Herøy (Nordl.);.;.;0;.;10;.
1820 Alstahaug;1820;Alstahaug;30;100;28;93,33;30;100,00
1822 Leirfjord;1822;Leirfjord;10;100;12;120;15;150,00
1824 Vefsn;1824;Vefsn;25;100;23;92;25;100,00
1825 Grane;1825;Grane;.;.;0;.;0;.
1826 Hattfjelldal;1826;Hattfjelldal;11;100;10;90,91;15;136,36
1827 Dønna;1827;Dønna;.;.;0;.;0;.
1828 Nesna;1828;Nesna;10;100;17;170;10;100,00
1832 Hemnes;1832;Hemnes;10;100;7;70;10;100,00
1833 Rana;1833;Rana;50;100;40;80;60;120,00
1834 Lurøy;1834;Lurøy;.;.;0;.;0;.
1835 Træna;1835;Træna;.;.;0;.;0;.
