Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1421 Aurland;1421;Aurland;185;155;30;24;6;16,3;15,4;23,6;22;33,3
1422 Lærdal;1422;Lærdal;226;203;23;15;8;16;15,7;19,5;17;26,7
1424 Årdal;1424;Årdal;685;551;134;54;80;19,4;17,8;31,6;20,4;50,3
1426 Luster;1426;Luster;411;363;48;21;27;12,8;12,2;20,2;11,8;45
1428 Askvoll;1428;Askvoll;269;234;35;24;11;14,7;13,8;27,3;27,3;27,5
1429 Fjaler;1429;Fjaler;262;186;76;48;28;14,5;12,5;23,9;29,1;18,3
1430 Gaular;1430;Gaular;231;204;27; : ; : ;12,4;12;17,1; : ; : 
1431 Jølster;1431;Jølster;244;167;77;10;67;12,7;9,7;38,7;10,3;65,7
1432 Førde;1432;Førde;1009;787;222;80;142;11,8;10,3;25,1;16,8;34,6
1433 Naustdal;1433;Naustdal;206;185;21;13;8;11,8;11,3;17,9;15,3;25
1438 Bremanger;1438;Bremanger;440;305;135;51;84;18,5;15,6;31,8;20,2;48,8
1439 Vågsøy;1439;Vågsøy;698;555;143;103;40;17,9;16,4;27,5;27,1;28,6
1441 Selje;1441;Selje;290;259;31;13;18;16,2;15,7;22,3;14,8;35,3
1443 Eid;1443;Eid;504;412;92;51;41;13,2;11,9;27,1;23,9;32,3
1444 Hornindal;1444;Hornindal;59;50;9; : ; : ;7,9;7,3;14,3; : ; : 
1445 Gloppen;1445;Gloppen;412;360;52;24;28;11,5;10,9;18,2;15,6;21,2
1449 Stryn;1449;Stryn;644;432;212;138;74;14,2;11,7;25,2;20,4;44,8
1502 Molde;1502;Molde;2747;2176;571;241;330;15,8;14,2;27,2;21,2;34,3
1504 Ålesund;1504;Ålesund;4936;3786;1150;615;535;16;14,4;26;22,8;31
1505 Kristiansund;1505;Kristiansund;3535;2891;644;271;373;21,6;20,2;31,1;23,6;40,5
1511 Vanylven;1511;Vanylven;366;327;39;25;14;17,6;17;26,5;23,8;33,3
1514 Sande (M. og R.);1514;Sande (M. og R.);255;194;61;48;13;15,1;14,4;17,7;15,7;34,2
1515 Herøy (M. og R.);1515;Herøy (M. og R.);998;828;170;92;78;17,4;16,6;23;17,9;34,8
1516 Ulstein;1516;Ulstein;790;537;253;94;159;14,8;12,5;24,5;14;44
1517 Hareid;1517;Hareid;562;419;143;90;53;17,1;15,5;24,4;24,7;24
1519 Volda;1519;Volda;898;679;219;61;158;15,4;13,1;34,2;22,5;42,8
1520 Ørsta;1520;Ørsta;1057;900;157;61;96;15,7;14,7;27,1;19,2;36,6
1523 Ørskog;1523;Ørskog;249;174;75;55;20;16,8;14,1;29,9;30,7;27,8
1524 Norddal;1524;Norddal;114;100;14;10;4;11,2;11;12,4;10,5;22,2
1525 Stranda;1525;Stranda;337;250;87;77;10;11,5;10,5;16,2;16,9;12,3
1526 Stordal;1526;Stordal;112;83;29;22;7;17,4;15,9;24;21,6;36,8
1528 Sykkylven;1528;Sykkylven;705;526;179;88;91;14,1;12,3;25,2;20;33,7
1529 Skodje;1529;Skodje;450;375;75;53;22;15,6;14,5;25;23,2;30,6
1531 Sula;1531;Sula;784;641;143;88;55;14,2;13,2;21,2;18,3;28,4
1532 Giske;1532;Giske;670;518;152;101;51;13,6;11,9;25,7;24,2;29,3
1534 Haram;1534;Haram;931;688;243;128;115;16;14,2;25,1;21,1;31,7
1535 Vestnes;1535;Vestnes;828;683;145;64;81;18,8;17,8;25;16,8;40,9
1539 Rauma;1539;Rauma;758;691;67;44;23;16;16;15,9;14,1;21,3
1543 Nesset;1543;Nesset;305;273;32;20;12;15,7;15;25,6;23,8;29,3
1545 Midsund;1545;Midsund;179;142;37;20;17;14,6;13,8;19,3;14,8;29,8
1546 Sandøy;1546;Sandøy;109;86;23;19;4;13,6;12,9;17,4;17,3;18,2
1547 Aukra;1547;Aukra;327;274;53;28;25;15,5;14,9;20,2;14,9;33,8
1548 Fræna;1548;Fræna;1084;893;191;117;74;17,1;15,6;31;27,4;38,9
1551 Eide;1551;Eide;341;282;59;32;27;15,4;13,9;31,1;27,8;36
1554 Averøy;1554;Averøy;620;547;73;41;32;16,8;16,5;19,5;14,9;32,7
1557 Gjemnes;1557;Gjemnes;252;206;46;22;24;15,5;13,9;30,7;23,2;43,6
1560 Tingvoll;1560;Tingvoll;345;286;59;19;40;18,1;16,9;28,6;15,6;47,6
1563 Sunndal;1563;Sunndal;919;696;223;26;197;19,6;16,5;47,8;23,6;55,2
1566 Surnadal;1566;Surnadal;617;556;61;31;30;16,2;15,4;31;25,6;39,5
1567 Rindal;1567;Rindal;161;156;5; : ; : ;12,9;12,7;21,7; : ; : 
1571 Halsa;1571;Halsa;168;150;18;8;10;17,2;16,4;30;20;50
1573 Smøla;1573;Smøla;256;228;28;22;6;18,7;18,5;20,7;19;31,6
1576 Aure;1576;Aure;413;345;68;25;43;18,2;17,1;26,4;14,5;50
1601 Trondheim;1601;Trondheim;20743;15648;5095;1659;3436;16,3;14,3;28,3;21,4;33,5
1612 Hemne;1612;Hemne;481;407;74;16;58;17,8;16,2;38,1;21,6;48,3
1613 Snillfjord;1613;Snillfjord;100;93;7; : ; : ;15,8;15,5;21,2; : ; : 
1617 Hitra;1617;Hitra;634;481;153;77;76;21,1;20,6;22,5;15;45,2
1620 Frøya;1620;Frøya;556;457;99;83;16;18,5;19,6;14,6;14,4;16,2
1621 Ørland;1621;Ørland;599;539;60;33;27;17,8;17,1;27,4;25,4;30,3
1622 Agdenes;1622;Agdenes;174;147;27;17;10;16,1;15;27,6;26,6;29,4
1624 Rissa;1624;Rissa;832;684;148;111;37;19,6;18;33,9;31,7;43
1627 Bjugn;1627;Bjugn;635;587;48;24;24;21,6;21,3;24,7;18,6;36,9
1630 Åfjord;1630;Åfjord;304;290;14;7;7;15;14,8;18,7;14,3;26,9
1632 Roan;1632;Roan;114;104;10;6;4;18,1;18;18,9;13,3;50
1633 Osen;1633;Osen;93;87;6; : ; : ;15,6;15,3;24; : ; : 
1634 Oppdal;1634;Oppdal;772;646;126;59;67;17,7;16,4;31;22,7;45,9
1635 Rennebu;1635;Rennebu;276;257;19;12;7;17,2;16,8;25;21,1;36,8
1636 Meldal;1636;Meldal;564;516;48;34;14;22,2;21,8;28,9;26,8;35,9
1638 Orkdal;1638;Orkdal;1437;1251;186;67;119;19,1;18;31,4;26,8;34,8
1640 Røros;1640;Røros;535;468;67;29;38;14,8;14,1;22,6;15,3;35,5
1644 Holtålen;1644;Holtålen;208;191;17;9;8;16,7;16,3;25,4;18,8;42,1
1648 Midtre Gauldal;1648;Midtre Gauldal;643;512;131;89;42;15,5;14,7;20,2;16,1;43,3
1653 Melhus;1653;Melhus;1608;1374;234;107;127;15,6;14,4;30,2;23,9;38,7
1657 Skaun;1657;Skaun;734;665;69;31;38;15,4;14,8;26,1;19,9;35,2
1662 Klæbu;1662;Klæbu;565;482;83;49;34;14,4;13,4;25,9;22,5;33
1663 Malvik;1663;Malvik;1362;1171;191;114;77;15,4;14,6;23,2;20,5;28,8
1664 Selbu;1664;Selbu;409;361;48;39;9;16,1;15,1;31,8;35,1;22,5
1665 Tydal;1665;Tydal;48; : ; : ; : ; : ;8,9; : ; : ; : ; : 
1702 Steinkjer;1702;Steinkjer;2640;2237;403;127;276;19,1;17,5;38,1;27,6;46,2
1703 Namsos;1703;Namsos;1493;1258;235;42;193;17,8;16,3;33,9;17,5;42,6
1711 Meråker;1711;Meråker;429;341;88;24;64;25,9;23,2;47,3;34,8;54,7
1714 Stjørdal;1714;Stjørdal;2421;2067;354;98;256;16,5;15,3;30,4;22,7;34,9
1717 Frosta;1717;Frosta;329;288;41;32;9;20,1;19,3;27,9;27,4;30
1718 Leksvik;1718;Leksvik;417;377;40;14;26;18,8;18,3;24,8;16,5;34,2
1719 Levanger;1719;Levanger;2057;1747;310;92;218;16,3;15,2;28,9;18;39
1721 Verdal;1721;Verdal;1937;1681;256;101;155;19,9;18,7;32,5;23,2;44,2
1724 Verran;1724;Verran;481;364;117;83;34;29,1;25,7;49,2;45,1;63
1725 Namdalseid;1725;Namdalseid;187;179;8; : ; : ;17,7;17,9;14,8; : ; : 
1736 Snåsa;1736;Snåsa;179;170;9; : ; : ;13,4;13,2;18,4; : ; : 
1738 Lierne;1738;Lierne;106;97;9; : ; : ;12,4;12,3;14,1; : ; : 
1739 Røyrvik;1739;Røyrvik;43;39;4; : ; : ;14,1;13,9;15,4; : ; : 
1740 Namsskogan;1740;Namsskogan;99;93;6;6;0;18,3;18,2;19,4;25;0
1742 Grong;1742;Grong;303;200;103;13;90;19,4;14,7;50;22;61,2
1743 Høylandet;1743;Høylandet;81;74;7; : ; : ;10,9;10,4;19,4; : ; : 
1744 Overhalla;1744;Overhalla;341;293;48;22;26;14,4;13,2;31,2;21;53,1
1748 Fosnes;1748;Fosnes;86;77;9; : ; : ;21,3;20,9;25,7; : ; : 
1749 Flatanger;1749;Flatanger;109;85;24; : ; : ;15,1;13,2;30,8; : ; : 
1750 Vikna;1750;Vikna;436;363;73;31;42;15,8;14,5;27,2;20,3;36,5
1751 Nærøy;1751;Nærøy;623;539;84;36;48;19,2;18;33,5;25,7;43,2
1755 Leka;1755;Leka;51;47;4; : ; : ;15,4;15,4;15,4; : ; : 
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);737;665;72;32;40;17;16,2;31,2;22,9;44
1804 Bodø;1804;Bodø;5424;4444;980;314;666;16;14,5;29,7;21,9;35,8
1805 Narvik;1805;Narvik;2580;2124;456;186;270;20,8;19,5;29,3;25,5;32,7
1811 Bindal;1811;Bindal;224;207;17;12;5;24;23,1;45,9;42,9;55,6
1812 Sømna;1812;Sømna;241;207;34;5;29;18,5;17;38,6;13,9;55,8
1813 Brønnøy;1813;Brønnøy;959;810;149;38;111;18,6;17,1;37,2;22;48,7
1815 Vega;1815;Vega;153;141;12;4;8;19,4;18,8;33,3;22,2;44,4
1816 Vevelstad;1816;Vevelstad;61;55;6; : ; : ;19,5;19,2;23,1; : ; : 
1818 Herøy (Nordl.);1818;Herøy (Nordl.);271;207;64;39;25;23,9;21,7;35,6;28,9;55,6
1820 Alstahaug;1820;Alstahaug;989;801;188;44;144;20,2;18,4;35,1;19,6;46,3
1822 Leirfjord;1822;Leirfjord;309;249;60;11;49;21,3;18,9;43,8;25,6;52,1
1824 Vefsn;1824;Vefsn;1583;1384;199;41;158;18,3;17,2;34;18,6;43,3
1825 Grane;1825;Grane;176;166;10;4;6;19,6;19,9;16,7;9,3;35,3
1826 Hattfjelldal;1826;Hattfjelldal;198;126;72;10;62;21,5;15,6;62,6;25,6;81,6
1827 Dønna;1827;Dønna;209;195;14; : ; : ;23,5;23,6;22,6; : ; : 
1828 Nesna;1828;Nesna;304;186;118;13;105;24;18;50,6;17,8;65,6
1832 Hemnes;1832;Hemnes;602;549;53;16;37;21,1;20,5;29,4;18,2;40,2
1833 Rana;1833;Rana;3350;2957;393;130;263;19,6;18,6;33,3;23,4;42
1834 Lurøy;1834;Lurøy;217;202;15;10;5;18,6;18,8;16,9;14,5;25
1835 Træna;1835;Træna;39;33;6; : ; : ;12,1;13,5;7,8; : ; : 
1836 Rødøy;1836;Rødøy;133;124;9; : ; : ;16,8;16,6;18,8; : ; : 
1837 Meløy;1837;Meløy;832;741;91;50;41;20,1;19,3;29,2;28,2;30,4
1838 Gildeskål;1838;Gildeskål;274;230;44;12;32;21,4;20,6;27,5;13,3;45,7
1839 Beiarn;1839;Beiarn;150;138;12;6;6;22,1;21,3;41,4;35,3;50
1840 Saltdal;1840;Saltdal;714;586;128;17;111;23;20,7;47,1;17,9;62,7
1841 Fauske;1841;Fauske;1286;1160;126;38;88;20,6;19,9;31,7;19,5;43,3
1845 Sørfold;1845;Sørfold;291;271;20;9;11;23,4;23,3;25;16,4;44
1848 Steigen;1848;Steigen;352;291;61;30;31;21,5;19,6;39,6;30;57,4
1849 Hamarøy;1849;Hamarøy;240;190;50;22;28;20,4;18,9;28,6;24,4;32,9
1850 Tysfjord;1850;Tysfjord;348;320;28;12;16;26,6;26,5;27,2;17,4;47,1
1851 Lødingen;1851;Lødingen;360;245;115;18;97;25,4;20,6;50,7;23,4;64,7
1852 Tjeldsund;1852;Tjeldsund;181;167;14;4;10;23,5;22,8;35;25;41,7
1853 Evenes;1853;Evenes;232;199;33;11;22;27,6;26;43,4;26,8;62,9
1854 Ballangen;1854;Ballangen;429;381;48;13;35;26,4;25,5;37,2;23,2;47,9
1856 Røst;1856;Røst;72;61;11; : ; : ;19,1;17,7;35,5; : ; : 
1857 Værøy;1857;Værøy;95;79;16; : ; : ;18,9;19,4;16,8; : ; : 
1859 Flakstad;1859;Flakstad;208;187;21;17;4;24,2;23,7;30,9;32,7;25
1860 Vestvågøy;1860;Vestvågøy;1443;1198;245;66;179;20,3;18,6;36,8;24;45,9
1865 Vågan;1865;Vågan;1265;983;282;104;178;20,8;18,8;33,8;23;46,6
1866 Hadsel;1866;Hadsel;1107;928;179;40;139;21,2;20;31;19;37,8
1867 Bø (Nordl.);1867;Bø (Nordl.);411;353;58;23;35;26,2;24,6;43,6;32,9;55,6
1868 Øksnes;1868;Øksnes;707;578;129;87;42;23,5;21,9;35,1;32;43,8
1870 Sortland;1870;Sortland;1315;1150;165;42;123;19,7;18,8;29,9;19,4;36,7
1871 Andøy;1871;Andøy;690;577;113;45;68;22,1;20,5;37,4;28,1;47,9
1874 Moskenes;1874;Moskenes;148;119;29;24;5;21,2;21,3;21,2;18,9;50
1902 Tromsø;1902;Tromsø;8163;6520;1643;770;873;16,2;14,9;24,6;21,3;28,7
1903 Harstad;1903;Harstad;3140;2620;520;129;391;19,3;17,8;32,6;21,6;39,2
1911 Kvæfjord;1911;Kvæfjord;505;396;109;17;92;24,8;22;45,8;25;54,1
1913 Skånland;1913;Skånland;430;374;56;30;26;22,7;21,8;32,2;29,4;36,1
1917 Ibestad;1917;Ibestad;195;178;17;8;9;22,5;22,9;19,3;14,8;26,5
1919 Gratangen;1919;Gratangen;155;135;20;9;11;22,4;23,1;18,5;10,5;50
1920 Lavangen;1920;Lavangen;140;134;6; : ; : ;23,3;23,3;23,1; : ; : 
1922 Bardu;1922;Bardu;408;315;93;25;68;15,8;13,3;42,7;30,9;49,6
1923 Salangen;1923;Salangen;358;251;107;7;100;24;19,4;54;17,1;63,7
1924 Målselv;1924;Målselv;742;640;102;25;77;16,9;15,7;33,3;15,3;53,8
1925 Sørreisa;1925;Sørreisa;417;372;45;25;20;18,8;18,3;24,6;21,9;29
1926 Dyrøy;1926;Dyrøy;172;163;9;5;4;23,5;23,5;24,3;23,8;25
1927 Tranøy;1927;Tranøy;229;197;32;9;23;25,1;23,7;38,6;26,5;46,9
1928 Torsken;1928;Torsken;128;113;15; : ; : ;23,6;23,9;21,7; : ; : 
1929 Berg;1929;Berg;140;113;27;11;16;23,5;22,7;27,6;18,3;42,1
1931 Lenvik;1931;Lenvik;1524;1284;240;70;170;20,6;19,1;35,6;23,9;44,6
1933 Balsfjord;1933;Balsfjord;758;690;68;52;16;21,5;21,1;27,8;29,5;23,2
1936 Karlsøy;1936;Karlsøy;327;280;47;35;12;21,8;21,3;25,7;25,9;25
1938 Lyngen;1938;Lyngen;354;331;23;14;9;19,2;19,1;20,4;18,7;23,7
1939 Storfjord;1939;Storfjord;326;264;62;19;43;25,1;22,4;50,4;29,7;72,9
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;340;292;48;10;38;24,1;22,4;46,2;19,6;71,7
1941 Skjervøy;1941;Skjervøy;388;342;46;26;20;20,8;20,5;23,8;19,8;32,3
1942 Nordreisa;1942;Nordreisa;632;561;71;23;48;20,2;19;37,6;26,4;47,1
1943 Kvænangen;1943;Kvænangen;172;162;10;6;4;22,7;22,6;24,4;20;36,4
2002 Vardø;2002;Vardø;377;312;65;46;19;26,1;25,3;30,2;29,9;31,1
2003 Vadsø;2003;Vadsø;855;508;347;39;308;20,3;14,9;43,5;22,7;49,2
2004 Hammerfest;2004;Hammerfest;1184;900;284;145;139;16,7;15,5;21,8;21,7;22
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;417;377;40;28;12;20,8;20,2;29,4;26,2;41,4
2012 Alta;2012;Alta;2562;2203;359;131;228;19,3;18,5;25,7;19,6;31,3
2014 Loppa;2014;Loppa;170;145;25;20;5;25,5;25;29,1;32,3;20,8
2015 Hasvik;2015;Hasvik;190;157;33;26;7;27,8;29,9;20,8;19,4;28
2017 Kvalsund;2017;Kvalsund;167;153;14; : ; : ;26,2;26,4;24,6; : ; : 
2018 Måsøy;2018;Måsøy;229;176;53;42;11;28,6;27,5;32,9;34,4;28,2
2019 Nordkapp;2019;Nordkapp;544;449;95;61;34;24,9;23,9;31,7;31,9;31,2
2020 Porsanger;2020;Porsanger Porsángu Porsanki;613;536;77;31;46;22,6;21,6;33,6;29,5;37,1
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;314;291;23;19;4;17;16,9;17,3;21,1;9,3
2022 Lebesby;2022;Lebesby;235;206;29;21;8;26,7;27,2;23,2;25,3;19
2023 Gamvik;2023;Gamvik;199;146;53;46;7;25,8;25,5;26,8;29,5;16,7
2024 Berlevåg;2024;Berlevåg;142;120;22; : ; : ;20,3;20,1;21; : ; : 
2025 Deatnu Tana;2025;Deatnu Tana;385;328;57;44;13;20,3;19,5;25,7;29,1;18,3
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;114;103;11;5;6;19,4;19,8;16,2;13,2;20
2028 Båtsfjord;2028;Båtsfjord;355;266;89;59;30;23,2;23,9;21,2;19,4;25,9
2030 Sør-Varanger;2030;Sør-Varanger;1229;953;276;130;146;17,9;16,6;24,2;24,8;23,7
