kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraaknivaa.alle;spraaknivaa.alle;spraaknivaa.alle;spraaknivaa.alle;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;
;;;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;
nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;
0138 Hobøl;138;Hobøl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0211 Vestby;211;Vestby;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0213 Ski;213;Ski;73;74;74;74;48;59;61;19;35;44;45;14;45;32;22;58;33;24;16;43;4;8;16;23;3;6;12;17;0;0;1;0;0;0;1;0;3;0;0;0;2;0;0;0;
0214 Ås;214;Ås;23;31;31;31;30;61;77;19;7;19;24;6;57;35;19;65;13;11;6;20;13;3;3;13;3;1;1;4;0;0;0;3;0;0;0;1;0;0;0;3;0;0;0;1;
0215 Frogn;215;Frogn;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0216 Nesodden;216;Nesodden;26;40;40;40;38;50;58;20;10;20;23;8;31;40;18;52;8;16;7;21;31;10;20;22;8;4;8;9;0;0;5;2;0;0;2;1;0;0;0;2;0;0;0;1;
0217 Oppegård;217;Oppegård;68;91;91;91;44;73;67;19;30;66;61;17;47;27;26;59;32;25;24;54;6;0;5;20;4;0;5;18;0;0;1;2;0;0;1;2;3;0;0;2;2;0;0;2;
0219 Bærum;219;Bærum;220;280;280;280;43;67;75;24;95;188;210;67;45;29;18;59;99;81;50;165;5;4;6;16;11;11;17;45;0;0;0;0;0;0;0;0;8;0;0;0;18;0;0;0;
0220 Asker;220;Asker;159;194;195;195;45;62;72;35;72;120;140;68;46;33;19;49;73;64;37;96;8;5;8;15;13;10;16;29;1;1;0;1;2;2;0;2;1;0;0;0;2;0;0;0;
0221 Aurskog Høland;221;Aurskog-Høland;21;20;20;20;43;75;60;30;9;15;12;6;57;25;40;60;12;5;8;12;0;0;0;5;0;0;0;1;0;0;0;5;0;0;0;1;0;0;0;4;0;0;0;1;
0226 Sørum;226;Sørum;14;17;17;17;36;59;59;24;5;10;10;4;50;35;12;53;7;6;2;9;14;6;29;24;2;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0227 Fet;227;Fet;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0228 Rælingen;228;Rælingen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0229 Enebakk;229;Enebakk;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0230 Lørenskog;230;Lørenskog;103;141;143;143;41;53;59;16;42;75;84;23;49;36;27;50;50;51;39;72;11;11;12;29;11;16;17;41;0;0;1;5;0;0;1;7;0;0;0;4;0;0;0;6;
0231 Skedsmo;231;Skedsmo;173;204;203;203;45;60;68;20;78;122;138;41;43;35;21;60;74;71;43;122;8;5;10;19;14;10;20;39;0;0;0;0;0;0;0;0;5;0;0;0;9;0;0;0;
0233 Nittedal;233;Nittedal;22;22;22;22;45;86;77;45;10;19;17;10;55;14;23;50;12;3;5;11;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0234 Gjerdrum;234;Gjerdrum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0235 Ullensaker;235;Ullensaker;67;90;90;90;48;56;53;16;32;50;48;14;37;39;30;53;25;35;27;48;15;6;16;24;10;5;14;22;0;0;1;4;0;0;1;4;0;0;0;4;0;0;0;4;
0236 Nes (Akershus);236;Nes (Ak.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0237 Eidsvoll;237;Eidsvoll;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0238 Nannestad;238;Nannestad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0239 Hurdal;239;Hurdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0301 Oslo;301;Oslo kommune;1882;2464;2465;2464;40;61;69;23;753;1503;1701;567;51;33;22;59;960;813;542;1454;6;5;8;17;113;123;197;419;0;0;1;1;0;0;25;25;3;0;0;1;56;0;0;25;
0402 Kongsvinger;402;Kongsvinger;30;35;35;35;37;26;54;23;11;9;19;8;57;63;29;46;17;22;10;16;3;11;14;23;1;4;5;8;0;0;3;3;0;0;1;1;3;0;0;3;1;0;0;1;
0403 Hamar;403;Hamar;21;37;37;37;38;70;68;11;8;26;25;4;52;24;27;73;11;9;10;27;10;5;3;16;2;2;1;6;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;
0412 Ringsaker;412;Ringsaker;16;22;22;22;50;64;73;14;8;14;16;3;44;27;18;68;7;6;4;15;6;9;9;14;1;2;2;3;0;0;0;5;0;0;0;1;0;0;0;4;0;0;0;1;
0415 Løten;415;Løten;13;17;17;17;31;29;47;6;4;5;8;1;69;59;24;53;9;10;4;9;0;12;24;35;0;2;4;6;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;
0417 Stange;417;Stange;25;33;33;33;28;48;45;12;7;16;15;4;52;39;39;48;13;13;13;16;12;12;6;24;3;4;2;8;4;0;9;12;1;0;3;4;4;0;0;11;1;0;0;4;
0418 Nord-Odal;418;Nord-Odal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0419 Sør-Odal;419;Sør-Odal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0420 Eidskog;420;Eidskog;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0423 Grue;423;Grue;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0425 Åsnes;425;Åsnes;11;11;11;11;64;55;55;27;7;6;6;3;36;36;36;27;4;4;4;3;0;9;9;45;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0426 Våler (Hedm.);426;Våler (Hedm.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0427 Elverum;427;Elverum;17;28;28;28;12;32;32;4;2;9;9;1;65;46;39;39;11;13;11;11;18;21;14;57;3;6;4;16;0;0;14;0;0;0;4;0;6;0;0;0;1;0;0;0;
0428 Trysil;428;Trysil;2;4;4;4;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;
0429 Åmot;429;Åmot;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0430 Stor-Elvdal;430;Stor-Elvdal;3;4;5;5;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;
0432 Rendalen;432;Rendalen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0434 Engerdal;434;Engerdal;6;3;3;3;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;
0436 Tolga;436;Tolga;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0437 Tynset;437;Tynset;14;15;15;15;29;27;33;13;4;4;5;2;36;73;53;33;5;11;8;5;36;0;13;53;5;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0438 Alvdal;438;Alvdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0439 Folldal;439;Folldal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0441 Os (Hedm.);441;Os (Hedm.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0501 Lillehammer;501;Lillehammer;57;56;56;56;44;48;66;27;25;27;37;15;33;48;18;41;19;27;10;23;19;4;11;29;11;2;6;16;0;0;5;0;0;0;3;0;4;0;0;0;2;0;0;0;
0502 Gjøvik;502;Gjøvik;80;93;93;93;29;58;61;25;23;54;57;23;54;41;29;49;43;38;27;46;10;1;10;24;8;1;9;22;0;0;0;0;0;0;0;0;8;0;0;0;6;0;0;0;
0511 Dovre;511;Dovre;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0512 Lesja;512;Lesja;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0513 Skjåk;513;Skjåk;1;6;6;6;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;
0514 Lom;514;Lom;2;5;5;5;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;
0515 Vågå;515;Vågå;2;5;5;5;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;
0516 Nord-Fron;516;Nord-Fron;2;2;2;2;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;
0517 Sel;517;Sel;27;27;27;27;41;26;44;15;11;7;12;4;48;52;30;44;13;14;8;12;11;22;22;37;3;6;6;10;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;
0519 Sør-Fron;519;Sør-Fron;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0520 Ringebu;520;Ringebu;0;2;2;2;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;
0521 Øyer;521;Øyer;11;15;15;16;64;47;47;6;7;7;7;1;27;40;33;56;3;6;5;9;9;13;13;25;1;2;2;4;0;0;7;6;0;0;1;1;0;0;0;6;0;0;0;1;
0522 Gausdal;522;Gausdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0528 Østre Toten;528;Østre Toten;16;16;16;16;19;38;44;6;3;6;7;1;81;50;44;69;13;8;7;11;0;12;12;25;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0529 Vestre Toten;529;Vestre Toten;31;31;31;31;42;58;77;16;13;18;24;5;39;32;10;55;12;10;3;17;19;10;10;16;6;3;3;5;0;0;3;10;0;0;1;3;0;0;0;9;0;0;0;3;
0532 Jevnaker;532;Jevnaker;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0533 Lunner;533;Lunner;54;67;67;67;24;49;43;13;13;33;29;9;57;27;24;39;31;18;16;26;17;18;21;31;9;12;14;21;2;6;12;3;1;4;8;2;0;0;0;3;0;0;0;2;
0534 Gran;534;Gran;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0536 Søndre Land;536;Søndre Land;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0538 Nordre Land;538;Nordre Land;14;30;30;30;36;50;37;7;5;15;11;2;57;37;30;63;8;11;9;19;7;13;30;23;1;4;9;7;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;
0540 Sør-Aurdal;540;Sør-Aurdal;4;13;13;13;:;31;23;8;.;4;3;1;:;46;38;23;.;6;5;3;:;23;38;69;.;3;5;9;:;0;0;0;.;0;0;0;:;0;0;0;.;0;0;0;
0541 Etnedal;541;Etnedal;2;1;2;2;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;
0542 Nord-Aurdal;542;Nord-Aurdal;10;11;11;11;60;18;27;0;6;2;3;0;40;73;45;73;4;8;5;8;0;9;27;27;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0543 Vestre Slidre;543;Vestre Slidre;3;5;5;5;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;
