kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0612 Hole;612;Hole;358 400;281 200;264 400;366 700
0615 Flå;615;Flå;327 900;234 900;255 800;335 100
0616 Nes;616;Nes (Busk.);311 400;273 300;165 200;317 200
0617 Gol;617;Gol;320 900;270 000;212 800;329 900
0618 Hemsedal;618;Hemsedal;329 200;277 500;169 200;336 600
0619 Ål;619;Ål;321 500;252 600;182 500;329 300
0620 Hol;620;Hol;332 000;260 700;230 400;341 600
0621 Sigdal;621;Sigdal;320 400;236 600;267 000;325 100
0622 Krødsherad;622;Krødsherad;320 000;219 300;214 500;330 000
0623 Modum;623;Modum;318 400;263 400;214 900;324 800
0624 Øvre Eiker;624;Øvre Eiker;329 000;270 900;240 000;336 400
0625 Nedre Eiker;625;Nedre Eiker;330 200;272 500;249 400;337 500
0626 Lier;626;Lier;359 300;274 000;253 000;373 900
0627 Røyken;627;Røyken;363 300;299 500;273 300;370 900
0628 Hurum;628;Hurum;344 000;304 400;220 000;349 200
0631 Flesberg;631;Flesberg;340 100;277 900;147 900;346 800
0632 Rollag;632;Rollag;335 600;306 200;202 600;338 900
0633 Nore og Uvdal;633;Nore og Uvdal;315 400;236 700;151 200;319 500
0701 Horten;701;Horten;320 700;267 100;218 400;328 600
0702 Holmestrand;702;Holmestrand;334 500;276 000;240 300;339 400
0704 Tønsberg;704;Tønsberg;334 700;264 400;235 100;343 800
0706 Sandefjord;706;Sandefjord;322 000;266 400;238 000;330 800
0709 Larvik;709;Larvik;321 200;269 400;215 400;328 200
0711 Svelvik;711;Svelvik;333 400;286 100;255 600;338 900
0713 Sande;713;Sande (Vestf.);337 300;282 300;231 000;343 800
0714 Hof;714;Hof;325 900;267 200;291 000;328 400
0716 Re;716;Re (f.o.m. 2002);327 300;264 200;229 300;333 600
0719 Andebu;719;Andebu;322 400;242 800;219 100;327 700
0720 Stokke;720;Stokke;328 400;265 100;208 700;338 000
0722 Nøtterøy;722;Nøtterøy;345 600;272 500;229 000;353 700
0723 Tjøme;723;Tjøme;327 100;259 000;204 400;334 400
0728 Lardal;728;Lardal;323 300;255 800;198 200;329 300
0805 Porsgrunn;805;Porsgrunn;328 700;270 600;225 500;335 200
0806 Skien;806;Skien;319 000;264 300;213 600;327 800
0807 Notodden;807;Notodden;312 700;243 700;198 900;320 000
0811 Siljan;811;Siljan;332 600;275 800;191 300;335 100
0814 Bamble;814;Bamble;332 800;284 800;188 600;339 300
0815 Kragerø;815;Kragerø;308 900;259 800;195 700;314 100
0817 Drangedal;817;Drangedal;303 200;241 700;204 100;307 500
0819 Nome;819;Nome;311 400;249 600;188 100;317 000
0821 Bø;821;Bø (Telem.);306 800;191 600;192 800;315 900
0822 Sauherad;822;Sauherad;317 700;222 100;195 900;326 500
0826 Tinn;826;Tinn;316 900;281 300;209 400;325 300
0827 Hjartdal;827;Hjartdal;320 200;201 500;94 600;322 600
0828 Seljord;828;Seljord;312 700;258 800;179 600;316 800
0829 Kviteseid;829;Kviteseid;311 300;249 300;258 800;315 300
0830 Nissedal;830;Nissedal;314 100;239 600;281 300;317 400
0831 Fyresdal;831;Fyresdal;313 100;242 200;149 800;319 700
0833 Tokke;833;Tokke;327 000;274 400;259 100;329 500
0834 Vinje;834;Vinje;332 400;248 200;252 500;337 500
