kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
1939 Storfjord;1939;Storfjord;329 000;295 100;192 800;331 600
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;320 200;270 800;2 900;323 700
1941 Skjervøy;1941;Skjervøy;326 900;260 000;299 700;330 400
1942 Nordreisa;1942;Nordreisa;326 400;305 400;208 400;329 600
1943 Kvænangen;1943;Kvænangen;312 700;324 300;273 400;312 700
2002 Vardø;2002;Vardø;313 300;226 700;250 700;319 000
2003 Vadsø;2003;Vadsø;349 800;338 800;207 300;362 800
2004 Hammerfest;2004;Hammerfest;365 800;306 200;256 300;376 800
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;290 600;290 200;253 300;291 900
2012 Alta;2012;Alta;343 800;312 100;243 500;347 600
2014 Loppa;2014;Loppa;309 200;278 800;331 400;311 300
2015 Hasvik;2015;Hasvik;299 100;239 600;300 300;311 400
2017 Kvalsund;2017;Kvalsund;331 500;290 600;336 900;332 900
2018 Måsøy;2018;Måsøy;322 800;278 400;319 700;326 600
2019 Nordkapp;2019;Nordkapp;337 400;240 400;252 800;345 700
2020 Porsanger Porsángu Porsanki;2020;Porsanger Porsángu Porsanki;342 000;282 000;249 800;347 000
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;316 200;292 300;340 200;316 400
2022 Lebesby;2022;Lebesby;318 800;287 300;307 500;320 400
2023 Gamvik;2023;Gamvik;299 600;224 300;247 600;317 100
2024 Berlevåg;2024;Berlevåg;328 200;265 200;346 600;331 300
2025 Deatnu Tana;2025;Deatnu Tana;334 400;274 300;306 800;339 200
2027 Unjárga Nesseby;2027;Unjárga Nesseby;319 600;273 300;290 100;322 300
2028 Båtsfjord;2028;Båtsfjord;321 300;271 400;285 300;327 600
2030 Sør-Varanger;2030;Sør-Varanger;349 500;292 200;295 400;357 000
