naringsregionnr-naringsregionnavn;naringsregion_nr;"naringsregionnavn
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1_5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2_5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk_samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
52 Nordmøre;52;Nordmøre;132431234;96819100;37054000;59765100;1882634;29814300;2410200;812000;590400;102600
53 Romsdal;53;Romsdal;101687565;70899700;29297000;41602700;3553190;21166800;5053975;488900;456600;68400
54 Storfjord;54;Storfjord;21924400;16472700;7159500;9313200;0;5172600;0;115500;152200;11400
55 Søre Sunnmøre;55;Søre Sunnmøre;101909155;66156291;21124691;45031600;3815040;23424700;8035824;443100;0;34200
56 Ålesundregionen;56;Ålesundregionen;82350304;56603550;17353000;39250550;650054;18539500;6241800;140400;152200;22800
57 Fosen;57;Fosen;27174500;20368000;10539000;9829000;0;6391000;185400;138900;0;91200
58 Hitra/Frøya;58;Hitra/Frøya;9380300;4533000;2250000;2283000;0;4847300;0;0;0;0
59 Oppdal/Rennebu;59;Oppdal/Rennebu;20207500;17328400;7759000;9569400;0;2682000;0;185700;0;11400
60 Orkdalregionen;60;Orkdalregionen;30880758;22576350;8481000;14095350;0;7944300;196308;117000;0;46800
61 Trondheimsregionen;61;Trondheimsregionen;328426980;240258712;68907612;171351100;24690185;45627100;15570883;1042400;913200;324500
62 Rørosregionen;62;Rørosregionen;7429700;5850200;2412000;3438200;0;1532700;0;46800;0;0
63 Stjørdalsregionen;63;Stjørdalsregionen;60200679;44848800;13542000;31306800;1181061;9636800;3825318;231000;295200;182500
64 Innherred;64;Innherred;135328760;97200300;29413500;67786800;9230010;24218400;4032450;302200;299800;45600
65 Indre Namdal;65;Indre Namdal;35259450;21162250;10702000;10460250;0;9616500;4295100;162800;0;22800
66 Kystgruppen;66;Kystgruppen;38733500;33233600;11771000;21462600;160000;5072200;0;233500;0;34200
67 Midtre Namdal;67;Midtre Namdal;56509629;39792700;10737500;29055200;630879;13068400;2784650;210600;0;22400
68 Sør-Helgeland;68;Sør-Helgeland;30503900;25466200;10227000;15239200;0;4804300;0;210600;0;22800
69 HALD;69;HALD;62667300;48918350;16182000;32736350;0;10316300;3074550;278300;0;79800
70 Ytre Helgeland;70;Ytre Helgeland;710300;0;0;0;0;710300;0;0;0;0
71 Mosjøregionen;71;Mosjøregionen;40868250;22711000;8067000;14644000;0;14608100;3186350;210600;152200;0
72 Ranaregionen;72;Ranaregionen;72898217;47882900;12838000;35044900;1125060;16909200;6688957;139900;152200;0
73 Salten;73;Salten;187032201;131842700;45466000;86376700;4544560;40810000;9046441;561100;147600;79800
74 Ofoten;74;Ofoten;63497900;48624300;17157000;31467300;575100;13598100;185400;253400;147600;114000
75 Lofoten;75;Lofoten;83042866;56170200;17664000;38506200;4619900;14960500;6989766;256900;0;45600
76 Vesterålen;76;Vesterålen;109968510;83290000;25045000;58245000;2694544;21232300;2045766;580500;0;125400
77 Sør-Troms;77;Sør-Troms;122761836;84542800;25627000;58915800;4424727;23205500;10227009;327600;0;34200
78 Midt-Troms;78;Midt-Troms;102611490;74219000;25675000;48544000;3430590;24253300;370800;280800;0;57000
79 Tromsøregionen;79;Tromsøregionen;124925983;94820200;29588000;65232200;1600200;21836300;5925583;370900;304400;68400
80 Nord-Troms;80;Nord-Troms;23095500;13933600;3793000;10140600;0;8962900;0;46800;152200;0
81 Vest-Finnmark;81;Vest-Finnmark;70244427;42320450;11904000;30416450;1132136;17852100;8647741;117000;152200;22800
82 Midt-Finnmark;82;Midt-Finnmark;18831200;13249800;7016000;6233800;0;5256600;185400;139400;0;0
83 Øst-Finnmark;83;Øst-Finnmark;120754272;84492900;28764500;55728400;3083142;21849400;10537830;536200;152200;102600
