Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
1834 Lurøy;1834;Lurøy;840;72;768;78,3;82,8;77,9
1835 Træna;1835;Træna;238;67;171;81,5;89,3;78,8
1836 Rødøy;1836;Rødøy;574;39;535;79,5;81,3;79,4
1837 Meløy;1837;Meløy;2849;205;2644;75,9;68,6;76,5
1838 Gildeskål;1838;Gildeskål;884;110;774;74,8;73,3;75
1839 Beiarn;1839;Beiarn;466;17;449;75;58,6;75,8
1840 Saltdal;1840;Saltdal;2109;137;1972;73,8;51,3;76,1
1841 Fauske;1841;Fauske;4315;248;4067;75,5;66,1;76,2
1845 Sørfold;1845;Sørfold;844;54;790;73,3;75;73,1
1848 Steigen;1848;Steigen;1114;83;1031;74,7;57,6;76,5
1849 Hamarøy;1849;Hamarøy;791;111;680;74,3;73,5;74,4
1850 Tysfjord;1850;Tysfjord;834;72;762;69;70,6;68,9
1851 Lødingen;1851;Lødingen;907;104;803;69,8;48,6;74
1852 Tjeldsund;1852;Tjeldsund;518;26;492;72,8;66,7;73,1
1853 Evenes;1853;Evenes;541;40;501;69,1;53,3;70,8
1854 Ballangen;1854;Ballangen;1027;71;956;68,6;60,2;69,4
1856 Røst;1856;Røst;272;20;252;78,6;66,7;79,7
1857 Værøy;1857;Værøy;369;79;290;80;83,2;79,2
1859 Flakstad;1859;Flakstad;551;44;507;72,1;67,7;72,5
1860 Vestvågøy;1860;Vestvågøy;4860;376;4484;75,8;62;77,2
1865 Vågan;1865;Vågan;4236;508;3728;75,7;65,5;77,4
1866 Hadsel;1866;Hadsel;3508;344;3164;74;64,4;75,3
1867 Bø (Nordl.);1867;Bø (Nordl.);1013;72;941;70,7;56,7;72,1
1868 Øksnes;1868;Øksnes;1988;226;1762;73,2;64,2;74,5
1870 Sortland;1870;Sortland;4612;331;4281;76,2;66,6;77,1
1871 Andøy;1871;Andøy;2092;176;1916;74,2;61,3;75,6
1874 Moskenes;1874;Moskenes;496;108;388;77,1;79,4;76,5
1902 Tromsø;1902;Tromsø;36930;4571;32359;79;70,9;80,3
1903 Harstad;1903;Harstad;11380;950;10430;76,3;63,2;77,7
1911 Kvæfjord;1911;Kvæfjord;1288;106;1182;70,6;49,3;73,5
1913 Skånland;1913;Skånland;1288;103;1185;72,9;62,4;74
1917 Ibestad;1917;Ibestad;585;60;525;74,5;78,9;74
1919 Gratangen;1919;Gratangen;483;86;397;75;81,1;73,8
1920 Lavangen;1920;Lavangen;397;19;378;72,6;73,1;72,6
1922 Bardu;1922;Bardu;1947;117;1830;81,3;57,1;83,6
1923 Salangen;1923;Salangen;947;72;875;73,9;55,4;76
1924 Målselv;1924;Målselv;3213;188;3025;80;64,6;81,2
1925 Sørreisa;1925;Sørreisa;1562;127;1435;77,4;74,3;77,7
1926 Dyrøy;1926;Dyrøy;476;24;452;72;66,7;72,3
1927 Tranøy;1927;Tranøy;597;49;548;71,7;65,3;72,3
1928 Torsken;1928;Torsken;371;52;319;74,1;78,8;73,3
1929 Berg;1929;Berg;407;70;337;73,7;72,9;73,9
1931 Lenvik;1931;Lenvik;5107;397;4710;76,1;66,5;77
1933 Balsfjord;1933;Balsfjord;2430;170;2260;75,6;71,7;75,9
1936 Karlsøy;1936;Karlsøy;1031;130;901;74,4;73,4;74,5
1938 Lyngen;1938;Lyngen;1298;82;1216;76,6;75,9;76,7
1939 Storfjord;1939;Storfjord;847;55;792;71,2;47;73,9
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;921;55;866;71,5;52,9;73,1
1941 Skjervøy;1941;Skjervøy;1259;142;1117;75,3;77,2;75,1
1942 Nordreisa;1942;Nordreisa;2152;107;2045;75,7;60,5;76,8
1943 Kvænangen;1943;Kvænangen;512;31;481;72,6;75,6;72,4
2002 Vardø;2002;Vardø;936;145;791;69,2;68,7;69,3
2003 Vadsø;2003;Vadsø;2860;355;2505;75,4;51;80,9
2004 Hammerfest;2004;Hammerfest;5298;957;4341;80,2;77,2;81
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;1361;91;1270;73,8;67,9;74,2
2012 Alta;2012;Alta;9143;921;8222;75,7;69,9;76,4
2014 Loppa;2014;Loppa;421;57;364;70,3;68,7;70,5
2015 Hasvik;2015;Hasvik;446;125;321;69,8;79,1;66,7
2017 Kvalsund;2017;Kvalsund;416;42;374;70,3;76,4;69,6
2018 Måsøy;2018;Måsøy;502;102;400;67,7;65,8;68,1
2019 Nordkapp;2019;Nordkapp;1429;188;1241;71,4;66;72,3
2020 Porsanger;2020;Porsanger Porsángu Porsanki;1815;138;1677;73;63,6;73,9
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;1304;104;1200;77,6;80,6;77,4
2022 Lebesby;2022;Lebesby;560;95;465;69,1;76,6;67,8
2023 Gamvik;2023;Gamvik;504;141;363;71,3;71,9;71
2024 Berlevåg;2024;Berlevåg;490;82;408;76,4;80,4;75,7
2025 Deatnu Tana;2025;Deatnu Tana;1348;159;1189;76,3;73,6;76,7
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;421;53;368;77,1;81,5;76,5
2028 Båtsfjord;2028;Båtsfjord;1051;313;738;73,9;77,3;72,6
2030 Sør-Varanger;2030;Sør-Varanger;5024;823;4201;79,2;74,8;80,1
